,google_keyword,google_review_date,google_stars,google_star_avg,google_review_txt
1,달맞이길%20Chakyoung,"['6달 전', '6달 전']","[' 별표 1개 ', ' 별표 5개 ']",3.0,"['프라이빗 식당이기에 두세배 비싼 가격인것은 이해가 되지만, 그럼에도 불구하고 다음과 같은 점들 때문에 실망이 컸습니다.\n\n먼저, 오픈 키친인데 고양이를 키우시더라구요. 이 사실을 도착한 후에야 알려주셨습니다. 저와 제 친구를 고양이 알러지가 없어서 다행이지만, 있는…', '']"
3,만촌동%20Madeleine,"['3달 전', '2달 전', '4년 전', '2년 전', '3년 전', '1년 전', '2년 전', '1년 전', '1년 전']","[' 별표 2개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 3개 ', ' 별표 3개 ', ' 별표 3개 ', ' 별표 3개 ']",3.6,"['갈수록 가격이 비싸져서 이젠 가기가 꺼려져요.. 왜 갈수록 가격을 올리거나 비싼신제품만 나올까요? 그리고 빵마다 가격도 적혀있었으면 좋겠어요. 본사차원에서 방침을 바꾸심이..', '맛있는데 개비쌈', '맛있고 시식도 할 수 있어 좋아요. 하지만 가격이 좀 바싸요', '비싼가격하는 빵집', '', '', '', '', '']"
7,수영역%20모이바바,"['2년 전', '1년 전']","[' 별표 4개 ', ' 별표 4개 ']",4.0,"['도로변이 아니라 아늑하다.\n인터리어도 잘 되어 있어 사진 찍기 좋다.\n주변이 번화가가 아니라 관광객이 찾아오긴 힘들겠지만 동네주민에게는 너무 좋은 곳', '커피저렴하고 음료 맛있어요.']"
9,전포동%20써리힐,"['4달 전', '5일 전', '1년 전', '9달 전', '10달 전', '7달 전', '1년 전', '1년 전', '1년 전', '2주 전']","[' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 3개 ']",4.7,"['전포카페거리에서 조금 거리가 있는 식당. 골목길로 들어와서 2층으로 올라와야한다. 크림리가토니와 오지버거가 맛있다. 다른 메뉴는 안시켜봤지만 모두 평타이상할듯. 사이드로 주문한 빵조차 맛있다😋 꼭 다시 들리고 싶은 맛집…', '브런치 버거 패티 새우가 들어있고 두툼하고 바삭해서 맛있었다.', '분위기가 되게 따뜻해서 사진 찍기 좋습니다.\n맛도 맛이지만 분위기 맛집 이랄까요? 직원님들도 굉장히 친절하셔서 재방문 하고 싶은 가게입니다.', '크림 리가토니 부드럽고 맛있었어요!!', '독특한 조합으로 새로운 맛을 알려주는 가게. 이런 조합도 괜찮구나..!하고 신선한느낌', '새우 오일 링귀니 진짜 맛있어요. 하나도 안느끼하고 소스? 오일? 그냥 스푼으로 떠먹어도 안느끼해요 최고', '존맛탱\n또올거에요', '맛있고 친절해용~♡', '최고의 서비스', '']"
10,전주%20진삼미 샌드위치,"['3년 전', '2년 전', '3년 전', '1년 전', '2년 전', '1년 전']","[' 별표 5개 ', ' 별표 4개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ']",4.7,"['최고의 샌드위치점.', '샌드위치보다는 빙수쥬?', '3살 입니다 11', '', '', '']"
19,영광%20007식당,"['1주 전', '7달 전', '1달 전', '1달 전', '4달 전', '2년 전', '3년 전', '2년 전', '6달 전', '6달 전']","[' 별표 1개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ', ' 별표 3개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 5개 ']",3.5,"['007식당 주인 형인듯한데 후진중에 우리차를 받고, 적반하장격으로 우리에게 운전 왜 이렇게 하냐고 따지는 황당한 상황 발생. 맛도 없고, 파리가 많고 비위행적인 환경으로 둘째는 밥을 거의 안먹는 상황.. 두번다시 가고싶지 않은 식당', '전라도 오셨다면 이곳에서...\n\n4인상 10만원에 모든 것을 맛 보실수 있어요...', '12만원한상 맛있네요', '영광법성포에서는 제일 맛이좋은곳입니다', '아짐니가 친절하고 서비스도 좋아요 유머감각도 뛰어나십니다^^', '그럭저럭, 미리 예약하거나 아는 사람을 통해가면 더욱 챙겨줘요. 한상으로 주문하는것이 좋습니다. (정식보다는)', '어쩌다 한번이지 매일 이렇게 먹고 살순 없을거야...', '4인기준 특 굴비정식\n120,000원', '굴비정식.사장님  손맛과남도의맛이\n그대로 나오는 영과앗집', '법성 굴비정식은 007!!!\n아버지께서 젊으셨을 때부터 가시는 곳입니다 ㅎㅎ\n법성에서 젤로 반찬도 맛있고 잘나와요']"
21,화목동%20012촌밥집,['8달 전'],[' 별표 5개 '],5.0,['사장님께서 집밥처럼 모든 음식을 엄마의 정성으로 해주는 음식 같아요 넘맛있고 최고에요']
27,역곡%20032 닭강정,['11달 전'],[' 별표 5개 '],5.0,['여기 모래내시장으로 간지가 언젠데 구글 일 안하냐 하지만 아직도 아주 맛있음']
28,원주%20033터그,['2년 전'],[' 별표 3개 '],3.0,['별로인곳']
29,방배동%2003수제비칼국수,"['1년 전', '6달 전', '3년 전', '10달 전', '8달 전', '6달 전', '1년 전', '1년 전', '1년 전', '1년 전']","[' 별표 5개 ', ' 별표 1개 ', ' 별표 4개 ', ' 별표 1개 ', ' 별표 4개 ', ' 별표 4개 ', ' 별표 5개 ', ' 별표 4개 ', ' 별표 4개 ', ' 별표 1개 ']",3.7,"['불친절하면 어때요 맛있으면 그만! 둘이 가면 싫어하시고 카드결제도 싫어하시지만 푸짐하고 다채로운 반찬이 넘 맛나고 좋습니다', '일단자리에 앉으라고 할때부터 짜증섞인 목소리내시고 마스크위로 눈을  흘기는듯한 모습이셨고,  셋이서 각각하나씩 주문하자  한메뉴를 2인분씩만 주문받으신다고  1인분주문 안받는다고 큰소리치시고하심.\n나이드신 사장님이 아주 불친절하시고 현금결제를 고집하셨으며\n사나우심. 주차비 내고 걸어서 찾아갔는데 일케 식사후 기분나빠본 집은 처음입니다.', '대기 시간이 좀 긴 편...\n배달 가능한것 역시 장점!!\n방배동에서 이 정도 칼국수라면 종종 와야겠어요^^', '카드 내면 수수료 나간다고 현금 달라고 하고 2명 가면 자리 없다고 3명부터 손님받고...복날 삼계탕집 가도 여기보단 대접 더 잘받을듯..', '집밥먹고싶을때 정말 딱이에요\n허름하지만 음식솜씨가 좋으세요. 손맛 짱~^^', '근처에선 맛난집 여러모로 특이함', '강남에서 반찬가지수에 주메뉴 푸짐한곳없을꺼예요. 강력추천요.~', '강남에서 방배동에서 8,000원에 집밥같은 밥을 먹을수있는곳이다.주인장 부부의 성실함이 고스란히 뭍어 나는 식당이다.식당주변의 공영 주차장을 이용해야한다', '밑반찬 맛남..제육볶음 최고. 할아버지 혼자 서빙 하시느라 애 쓰심...', '진짜 리뷰 잘 안남기는데 가본 음식점중에 최악\n위생상태가 음식을 먹을 수 있는 수준이 아님\n바닥에 까맣게 쌓여있는 먼지하며 선풍기에 끼어있는 먼지까지 더러움의 콜라보 그자체.…']"
31,두정동%20041프로젝트,"['2년 전', '2년 전', '2년 전']","[' 별표 5개 ', ' 별표 5개 ', ' 별표 5개 ']",5.0,"['네네', '', '']"
