UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
곰탱이37 (정윤정),@BbHOco0fdxmCdf9,2021-08-15T23:16:25.000Z,"곰탱이37 (정윤정)
@BbHOco0fdxmCdf9
·
Aug 15","냐함~~ 자도 자도 졸령~ 
대체 공휴일이지만 그래동 난 출근을.. 
오늘은 놀면서 일하겠딩~ 중간중간 굿즈나 만들러 사이트나 뒤적뒤적 해야겠딩~~ 오늘도 날씨 맑음~ 
토요일날 친구하고 은평구 한옥마을 카페 갔다가 2층에서 한컷^^~~ 이뽀이뽀~~ 
하늘 맑음~ 내 머릿속과 마음은 샘유로 가득가득
6
2
34",,6,2,34,"['https://pbs.twimg.com/media/E83jPGaVcAAXNuu?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E83jQjVUUAE-868?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E83jP5zVUAInF8h?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E83jRKuUcAImQqU?format=jpg&name=360x360']",https://twitter.com/BbHOco0fdxmCdf9/status/1427046550438506496
Innocent DickGirl (CD윤경),@kyk0815,2021-08-09T02:11:32.000Z,"Innocent DickGirl (CD윤경)
@kyk0815
·
Aug 8","여유로운 월요일 아침~
카페.. 날씨.. 참 좋다~

#여유 #아침 #카페 #맑음
9",🎶 🔅,,,9,"['https://pbs.twimg.com/media/E8UDd2aVcAUfma7?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8UDd2YVgAAgvVP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8UDd2ZVkAES6tn?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8UH6YmUUAIuDaF?format=jpg&name=360x360']",https://twitter.com/kyk0815/status/1424553904264544261
𝐒𝐮𝐧𝐧𝐲 𝐀𝐟𝐭𝐞𝐫 𝐒𝐂𝐎𝐔𝐏𝐒,@0808__1995,2021-08-18T05:24:41.000Z,"𝐒𝐮𝐧𝐧𝐲 𝐀𝐟𝐭𝐞𝐫 𝐒𝐂𝐎𝐔𝐏𝐒
@0808__1995
·
Aug 17","감사했습니다, 에스쿱스 생일 카페 '승철 온 뒤 맑음' CLOSE ₍ᐢᐢ₎·°
1
29",,,1,29,[],https://twitter.com/0808__1995/status/1427864005356310532
말랑토끼 ʲᵏ𝄞 JJK,@jk_tokki0901,2021-08-07T11:15:22.000Z,"말랑토끼 ʲᵏ𝄞 JJK
@jk_tokki0901
·
Aug 7","이름만으로도 심장뛰는 유포리아
드뎌 와본 유포리아 카페
커피도 부드럽고 유포리아브라우니 촉촉하니 아주 굿  
한남동 하늘도 맑음
The following media includes potentially sensitive content. Change settings
View
3
1
22",👍,3,1,22,[],https://twitter.com/jk_tokki0901/status/1423965989985652737
냥이,@neah2014,2021-08-20T07:24:40.000Z,"냥이
@neah2014
·
Aug 20","오늘의 카페메이트 울집 레몬 맑음이♡♡
15",,,,15,"['https://pbs.twimg.com/media/E9N5XpuVgAA0wLZ?format=jpg&name=small', 'https://pbs.twimg.com/media/E9N5YjiVEAApPND?format=jpg&name=small']",https://twitter.com/neah2014/status/1428618972631486473
Jina Lee,@lifeisjina,2021-08-14T09:03:55.000Z,"Jina Lee
@lifeisjina
·
Aug 14","#콜링북스이야기 카페 히비, 도쿄 맑음, 와타시노 교토, osanpo, 시스베이글을 기억하는 분들이 좋아하실 작은 전시 ㅡ <osanpo abc> 를 열고 있습니다! https://m.blog.naver.com/callingbooks/222466993727…
4",,,,4,"['https://pbs.twimg.com/media/E8vWjSNVoAI4pKD?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8vWjSOVgAgJk1h?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8vWjSPUUAEA7x1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8vWjSNVkAUO1Xp?format=jpg&name=360x360']",https://twitter.com/lifeisjina/status/1426469624661504000
연이,@LZflvkuRb5JV0HZ,2021-08-08T03:57:12.000Z,"연이
@LZflvkuRb5JV0HZ
·
Aug 7","#0808_승철_온_뒤_맑음 #0808_sunny_after_scoups
둘쨋날 카페너와나~ㅎㅎ선착순 성공♡
일찍와서 6번째 스티커도 나눔받고 그냥받기 좀 뭐해서 사탕도 드리고 음료도 받음ㅎㅎ
사진찍지못해서 아쉽ㅠㅜ 짧은시간 함께였지만 즐거웠어요~>_<♡
3",,,,3,"['https://pbs.twimg.com/media/E8PWyZ-UUAQYPtz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8PWzMfVkAA72u_?format=jpg&name=360x360']",https://twitter.com/LZflvkuRb5JV0HZ/status/1424218107053166599
푸차,@mykitty1122,2021-08-09T06:58:15.000Z,"푸차
@mykitty1122
·
Aug 8","카페 너와 늘
예쁜 승철이 잘 보고 갑니다 너무 아기자기하게 잘 꾸며주셔서 눈호강했어요 
@0808__1995
 #0808_승철_온_뒤_맑음
#0808_Sunny_After_SCOUPS
6",🥰 😍,,,6,"['https://pbs.twimg.com/media/E8VJ16wVUAEktaV?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8VJ16rVgAUwZVG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8VJ16sVcAEBmBB?format=jpg&name=360x360']",https://twitter.com/mykitty1122/status/1424626059048226821
반|단뮤,@BALLIM_TOSVT,2021-08-09T02:32:32.000Z,"반|단뮤
@BALLIM_TOSVT
·
Aug 8","#0808_승철_온_뒤_맑음 
 #0808_Sunny_After_SCOUPS
어제 비도 많이오고 시간도 없어서 정신 없이 받고 나가느라 카페 사진을 한 장도 못 찍었네요 ㅠㅠㅠ 컵홀더도 카페 내부도 너무 이뻤어요 승철이로 채워주신 예쁜 공간 감사합니다
The following media includes potentially sensitive content. Change settings
View
4",❄ 🤍 🤍 🍒,,,4,[],https://twitter.com/BALLIM_TOSVT/status/1424559188588384263
뿌우,@sond_of_ys,2021-08-09T11:00:52.000Z,"뿌우
@sond_of_ys
·
Aug 9","#0808_승철_온_뒤_맑음
#0808_Sunny_After_SCOUPS

제가 첫1빠였는데 어제 일정이 있어서 아예 한곳도 못갔는뎅
이 카페는 10일까지여서 넘 좋았어요
제가 애기입맛이라서 그런지 모르겠지만 아이스티 진짜 맛있어요!!
The following media includes potentially sensitive content. Change settings
View
1",❤,,,1,[],https://twitter.com/sond_of_ys/status/1424687116978573315
