UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
이아곰,@haechan_chanhae,2021-08-06T04:54:30.000Z,"이아곰
@haechan_chanhae
·
8월 6일","짱잘생겻다...오밀조밀...귀엽고 잘생기기 동시에 한다...
414
1.1천",,,414,1.1천,['https://pbs.twimg.com/media/E8FQwL3UcAAFDYK?format=jpg&name=900x900'],https://twitter.com/haechan_chanhae/status/1423507753423626240
케챱,@Ketchup_suaccce,2021-08-06T16:42:27.000Z,"케챱
@Ketchup_suaccce
·
8월 7일","오밀조밀
45
93",,,45,93,"['https://pbs.twimg.com/media/E8HyxqeVUAkbonO?format=png&name=360x360', 'https://pbs.twimg.com/media/E8Hyxq5UUAEc2Hw?format=png&name=360x360']",https://twitter.com/Ketchup_suaccce/status/1423685913058562049
두-부,@dobooboy,2021-08-03T14:19:00.000Z,"두-부
@dobooboy
·
8월 3일","""오밀조밀"" ""야물딱""
1
34
211",,1,34,211,['https://pbs.twimg.com/media/E731EkdUYAM7xpf?format=jpg&name=small'],https://twitter.com/dobooboy/status/1422562651477925895
루카네 집 모기,@ohnew0612,2021-08-12T16:08:39.000Z,"루카네 집 모기
@ohnew0612
·
8월 13일","오밀조밀
1
10
31",,1,10,31,['https://pbs.twimg.com/media/E8mkmUeVoAQgxOo?format=jpg&name=medium'],https://twitter.com/ohnew0612/status/1425851737282256896
the 선인장드라이어,@Yellowpeachcan,2021-08-07T21:58:41.000Z,"the 선인장드라이어
@Yellowpeachcan
·
8월 8일","너... 되게 오밀조밀하게 생겻구나?
발만 빼고
50
46",🍑,,50,46,['https://pbs.twimg.com/media/E8OEwZIVcAAzUFd?format=jpg&name=small'],https://twitter.com/Yellowpeachcan/status/1424127887221813248
함바그,@hambak_teaS2,2021-08-10T09:38:13.000Z,"함바그
@hambak_teaS2
·
8월 10일","이렇게 오밀조밀한 구름을 보면
하늘의 주먹밥같다라는 생각을 하곤 해요
2
23",💙 ☁ ☁ 💙,,2,23,['https://pbs.twimg.com/media/E8a4DbHVkAAeRh4?format=jpg&name=small'],https://twitter.com/hambak_teaS2/status/1425028703814230016
𝑳𝒚𝒐𝒏. 𝑲𝑰𝑴 Ⴀ͡კႠ͡ ✧,@oO0oco,2021-08-12T11:35:00.000Z,"𝑳𝒚𝒐𝒏. 𝑲𝑰𝑴 Ⴀ͡კႠ͡ ✧
@oO0oco
·
8월 12일","오밀조밀 귀엽당
8",,,,8,['https://pbs.twimg.com/media/E8ll9cGUYAAH-Je?format=jpg&name=small'],https://twitter.com/oO0oco/status/1425782869734027267
토끼별,@rabbitstar99,2021-08-15T16:05:15.000Z,"토끼별
@rabbitstar99
·
8월 16일","오밀조밀한 얼굴에 다이나믹한 표정이 꽉 들어찰 때마다 너무 귀여운 것 같음
3
26",🐇 🥺,,3,26,['https://pbs.twimg.com/media/E81_5xaVUAY13fK?format=jpg&name=small'],https://twitter.com/rabbitstar99/status/1426938042510499840
맛챠민,@chomin_som,2021-08-04T08:30:13.000Z,"맛챠민
@chomin_som
·
8월 4일","슬쩍 보여드리는 
생산품으로 나온 디어 
얼굴이 오밀조밀 예뿌게 모여있어요
얼굴형두 넘 예쁘죠
3
35",🌿 😚,,3,35,['https://pbs.twimg.com/media/E77u8gIUcAEWMV7?format=jpg&name=small'],https://twitter.com/chomin_som/status/1422837262228754435
채채,@chaechae0623,2021-08-14T06:50:44.000Z,"채채
@chaechae0623
·
8월 14일","옹기종기 오밀조밀 삼형제
1
21",💙,,1,21,['https://pbs.twimg.com/media/E8u4E5fVcAAUANu?format=jpg&name=small'],https://twitter.com/chaechae0623/status/1426436106015240193
