UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
쮜,@ppuppu02,2021-08-27T11:41:50.000Z,"쮜
@ppuppu02
·
Aug 27","천러 포카 양도 

운미포 가격이고 준등기 거래해요!

교환은 호피폴라 하현상, 아일 / 태연 포카 
시세맞춰서교환해요^.^

엔시티드림 라이딩 마지막첫사랑 맛 쥬얼 카페
1
2",🐬 💚,,1,2,['https://pbs.twimg.com/media/E9y3Xu9VQAs361u?format=jpg&name=small'],https://twitter.com/ppuppu02/status/1431220407449755649
강정,@zzangband_sz,2021-08-05T17:02:11.000Z,"강정
@zzangband_sz
·
Aug 5","훈짱 커피 좋아하는 것 같던데 여기 가보라고 하고 싶으네.. 선배 아일 선배 여기 함 가봐요 낙산공원 근처 테르트르 카페인데.. 뷰가 걍 오바킹스 에바킹스 다 한다구.. 
7",🥲,,,7,['https://pbs.twimg.com/media/E8CttogUYAEShgU?format=jpg&name=small'],https://twitter.com/zzangband_sz/status/1423328493295656966
박하사탕,@mintcandy_TRPG,2021-08-22T07:27:20.000Z,"박하사탕
@mintcandy_TRPG
·
Aug 22","210814
[CoC 다인] 어서오세요, 방탈출카페에!
https://mingming-ming.tistory.com/14

KP : 비유님
With : 깐계님, 아일님, 스켈놈

PC : 이찬솔(19/남)
키워드 : 질서중립, 모범생, 이성적

첫 다인!! 생각보다 너무 재밌어서 놀랐다.... 퍼즐도 딱 풀 수 있을 정도고 너무 재밌었으
6",❄,,,6,['https://pbs.twimg.com/media/E9YNH-rVgAIDdlX?format=png&name=small'],https://twitter.com/mintcandy_TRPG/status/1429344419996524552
느린빠내,@write_youth_,2021-08-27T03:27:33.000Z,"느린빠내
@write_youth_
·
Aug 26","카페 아일에서 한컷 ^^
1
1
27",🎇 🎆 🎇,1,1,27,"['https://pbs.twimg.com/media/E9xGOLeUcAYZlWt?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9xGOLiVUAE2yzC?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9xGOLhVgAU4rLi?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9xGOLkVIAE8X8h?format=jpg&name=360x360']",https://twitter.com/write_youth_/status/1431096016195887112
칠공,@77rcc_0,2021-08-13T10:31:49.000Z,"칠공
@77rcc_0
·
Aug 13","압구정로데오
족황상제
카페쿠스
#손영재_콧구멍커지겠지
#콥이는_콥빼기로주세요
#아일_여기당장구속시켜
1
3",,,1,3,"['https://pbs.twimg.com/media/E8qhFJ7UcAMNoGj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8qhFJ7VIAAJOZv?format=jpg&name=360x360']",https://twitter.com/77rcc_0/status/1426129354753417219
"인팍atm 알랜더-16낮,밤 23낮밤 주말회차 저요",@deuxfo82,2021-08-26T08:57:35.000Z,"인팍atm 알랜더-16낮,밤 23낮밤 주말회차 저요
@deuxfo82
·
Aug 26","유진이들 기작

챠밍-풍월주
강제-아일랜더
필연-없는 듯 (아시는 분 답변부탁)
힘기-카페사장님
앚진-잠시 쉰다고 하심
4
2
16",,4,2,16,[],https://twitter.com/deuxfo82/status/1430816684386832386
정하령,@hl201344,2021-08-27T10:23:26.000Z,"정하령
@hl201344
·
Aug 27","아 일때려치고 키즈카페 알바 구한다
1",,,,1,[],https://twitter.com/hl201344/status/1431200676080545794
,@dirtychococo,2021-08-29T10:41:06.000Z,"@dirtychococo
·
Aug 29",아일오빠 취미 홈카페인거 너무 매력있다…,🍫,,,,[],https://twitter.com/dirtychococo/status/1431929899959263232
셀레,@ceres2914,2021-08-02T15:09:30.000Z,"셀레
@ceres2914
·
Aug 2","연남 카페 오랑지
와플 크로플이 맛있고 카페 사장님이 친절해요
with 흰둥이짱팬 
@Sloth__Joo
 

#주창욱_넌_안먹어봤겠지 
#하현상_넌다못먹겠지 
#아일_여기당장구속시켜
#교수깅_학식대신_여기어때요
#영소야_여기는안매워
1
1",🥞 💕 🧡,,1,1,"['https://pbs.twimg.com/media/E7y3JwkVgAQ5HmT?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7y3KL5UUAM3XtE?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7y3J-VVIAE-MQz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7y3KW6VkAE41Tc?format=jpg&name=360x360']",https://twitter.com/ceres2914/status/1422212973032968194
벚,@commu_BSR,2021-08-11T11:47:29.000Z,"벚
@commu_BSR
·
Aug 11","아 일님 썰 들으니까 저도 웃픈거 생각났어요

누가 커뮤 엔딩나면 카페 탈퇴하는게 맞는줄알고 앤캐 생겨도 울면서 탈퇴하고 '즐거웠다...'했는데 귀뮤 문화에 익숙해지고보니 탈퇴 안해도 됐었다고 전앤오님들한테 미안하다고 (ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2",,,,2,[],https://twitter.com/commu_BSR/status/1425423622064070660
