UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
꿀꿀(=^^=),@wanbumJMT,2021-08-15T13:02:51.000Z,"꿀꿀(=^^=)
@wanbumJMT
·
8월 15일","더폴에유로 로이똥식 알렉산드랴쭈원 보고파...(급기야) 자살용으로 모르핀 얻으려고 아기쭈원에게 이야기 들려주는 똥식.. 
59
123",,,59,123,['https://pbs.twimg.com/media/E81WBCPVoAERBrm?format=jpg&name=small'],https://twitter.com/wanbumJMT/status/1426892142010503181
DayAn,@stayHeon,2021-08-21T14:43:16.000Z,"DayAn
@stayHeon
·
8월 21일","웨이브투어스 + 더폴스 모두나와 샴슈노 부르는데
탬버린과 코러스로 데뷔한 동키보고 얼마나 귀엽고 웃겼던지 자꾸 시강해감 

20210821
encore Life Always Goes On And On
2
4
5",🤣,2,4,5,['https://pbs.twimg.com/ext_tw_video_thumb/1429091682578878467/pu/img/YWvJLvDDa4M2--iR.jpg'],https://twitter.com/stayHeon/status/1429091740422598662
여름,@loveofmy1ife,2021-08-15T03:00:48.000Z,"여름
@loveofmy1ife
·
8월 15일","Wave to earth x 더폴스 4열 극싸자리 양도합니다.ᐟ.ᐟ 
현장에서 제가 수령해드릴게요 

웨투어 더폴스 웨폴스 롤링홀 양도
2
8
1",,2,8,1,['https://pbs.twimg.com/media/E8zNCb0VgAA_9UT?format=jpg&name=medium'],https://twitter.com/loveofmy1ife/status/1426740628373741572
heekee,@heekeekomori,2021-08-22T09:20:16.000Z,"heekee
@heekeekomori
·
8월 22일","어제 처음 공개한 더폴스 신곡 !!!!!! 
제목은 Find Me .. 제발 들어줘 .,.
9
4",🥺 💧,,9,4,['https://pbs.twimg.com/ext_tw_video_thumb/1429372338911334401/pu/img/IaE-xfJI7N9ULOUT.jpg'],https://twitter.com/heekeekomori/status/1429372839866486793
Inevitable,@Inevita72012422,2021-08-16T06:03:41.000Z,"Inevitable
@Inevita72012422
·
8월 16일","그린나이트를 보고 왔습니다. 다양한 의미에서 좀 더 매끄럽고 돈냄새가 나는 더폴 ㅋ을 보는 것 같았음. 가웨인경에 대해서는 아무것도 모르고 들어갔는데.... 그냥 맘이 끌리는 이야기. 소리빵빵하고 화면큰 극장에서 봐야한다는 말을 해준 모든 사람들에게 감사하다
1
2
4",,1,2,4,"['https://pbs.twimg.com/media/E85AezZVoAM61my?format=jpg&name=small', 'https://pbs.twimg.com/media/E85AfMhVkAIIO8e?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E85AfYNUUAIM2G-?format=jpg&name=360x360']",https://twitter.com/Inevita72012422/status/1427149042614640649
쩜이,@llehotxxuf,2021-08-17T11:16:18.000Z,"쩜이
@llehotxxuf
·
8월 17일","8/21일 웨이브투어스&더폴스 웨폴스 합동공연 5열 사이드 양도해요..!!! 현장에서 수령해드려요 디엠주세요!!!!
1
1
1",,1,1,1,['https://pbs.twimg.com/media/E8_RoUFUcAgYERd?format=jpg&name=small'],https://twitter.com/llehotxxuf/status/1427590104239919106
냇녀,@natyelnettt,2021-08-11T04:22:03.000Z,"냇녀
@natyelnettt
·
8월 11일","뭐야 더폴링 레즈영화임? 왜 손잡고있어?? 근데 아닌거..알아요
1",,,,1,['https://pbs.twimg.com/media/E8e5R1NVkAE9Oku?format=jpg&name=900x900'],https://twitter.com/natyelnettt/status/1425311525460316161
탑꾸,@Top99u,2021-08-07T08:38:25.000Z,"탑꾸
@Top99u
·
8월 7일","탑꾸 판매

각 0.4
준등기 1800 우편 500 반택 1600 편택 3000 (지에스)

탑로더 특성상 생기는 잔기스나 본드자국 등이 있을 수 있으니 이로인한 환불은 불가능하며 예민하신 분들은 피해주세요

탑로더폴꾸포카양도방탄엔시티투바투더보이즈스테이씨오마이걸레드벨벳앙스타에스파뱅드림
1
1
3",,1,1,3,"['https://pbs.twimg.com/media/E8LNltqVUAUrjRL?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8LNmLPUYAEdc5m?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8LNl_LVoAAYmbQ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8LNmV2VEAMJLXj?format=jpg&name=small']",https://twitter.com/Top99u/status/1423926492778561538
불꽃호라,@LPetcetra,2021-08-15T02:07:15.000Z,"불꽃호라
@LPetcetra
·
8월 15일","혹시 웨이브투어스 & 더폴스 양도받으실 분 있나요 뒷자리지만  현장에서 제가 표 수령해드려요!!
5
2",🥺,,5,2,['https://pbs.twimg.com/media/E8zAx1UVcAQW20e?format=jpg&name=small'],https://twitter.com/LPetcetra/status/1426727152007794695
당,@driliant_kgge,2021-08-21T14:53:14.000Z,"당
@driliant_kgge
·
8월 21일","더폴스 & 웨이브투어스 합동 무대
샴페인 슈퍼노바 
7
4",☁ ✨ 💛,,7,4,['https://pbs.twimg.com/ext_tw_video_thumb/1429093837033537548/pu/img/tqk34jXU-UjN0Bz0.jpg'],https://twitter.com/driliant_kgge/status/1429094247240638472
naroo,@wthatw,2021-08-21T13:43:00.000Z,"naroo
@wthatw
·
8월 21일","210821 웨이브투어스 & 더폴스
Oasis - Champagne Supernova

#wavetoearth #thepoles #oasis
1
33
15",,1,33,15,['https://pbs.twimg.com/ext_tw_video_thumb/1429074611132456969/pu/img/j3-y7lMqbbDBoyE0.jpg'],https://twitter.com/wthatw/status/1429076570593906697
