UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
SLOW 퓰,@dokidoki6100,2021-08-04T08:16:40.000Z,"SLOW 퓰
@dokidoki6100
·
Aug 4","#rt 엔시티 포카 양도
아래 써진 가격으로 양도하고 애눌도 가능하니 편하게 찔러봐주세요!!
시그포토팩 런쥔은 제시해주세요! 
교환은 (N:1 가능) 2020 키노 도영으로 받아요! 

레귤러마크 이레귤러태용 베레모천러 카페드림천러 에이전트천러 이불런쥔 퓨처런쥔 에이전트런쥔
1
12
9",,1,12,9,"['https://pbs.twimg.com/media/E77rqwmUcAQetuE?format=jpg&name=small', 'https://pbs.twimg.com/media/E77rqwkVgAUIW6i?format=jpg&name=360x360']",https://twitter.com/dokidoki6100/status/1422833853794684931
,@money_plss,2021-08-07T10:52:00.000Z,"@money_plss
·
Aug 7","엔시티 127 드림 웨이션브이 포카 양도합니다!!

8장 일괄 4에 양도합니다
따로도 가능!!!
보스 루카스 엠파시 쥬얼지성 에이전트 칠링 보링 크레이지 카페 레귤러 이레귤러 레귤레이트 도영 시그 홀카 태용 127 dream nct wayv",🎁,,,,['https://pbs.twimg.com/media/E8LsKu7UcAElJU6?format=jpg&name=small'],https://twitter.com/money_plss/status/1423960107310743554
거래계,@LtPFnS4RvuUQ4sn,2021-08-20T10:44:01.000Z,"거래계
@LtPFnS4RvuUQ4sn
·
Aug 20","엔시티 드림 127 포카 양도 레귤레이트 레귤러 이레귤러 태용 카페 해찬 크레이지 런쥔 보링 ar 쥬얼 마크 nct sell 맛 핫소스 헬로퓨처 컴백 리팩 포카리스트

* 하자는 타래 참고해주세요!! 전부 준미포
맛은 일괄로 사면 반택비 제가 내드려용♡
2개 이상 거래 우대합니다ㅠㅅㅠ 가격 내렸어요
1
9",,1,,9,"['https://pbs.twimg.com/media/E9OnAg2UcAIw5Dt?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9OnAwaVUAUiN6i?format=jpg&name=small']",https://twitter.com/LtPFnS4RvuUQ4sn/status/1428669140521213953
양도,@yangdopc6,2021-08-12T02:31:17.000Z,"양도
@yangdopc6
·
Aug 11","포카 양도 일괄all 11
에이전트 재민 카페 맛 무모샵 헬로퓨처 헬퓨 키노 마첫 맛 라이딩 엠파시 캔디랩 컨포 셀포 레귤러 이레귤러 시그 레조넌스 엔시티드림 엔시티127 photocard 천러 제노 런쥔 마크 태용 도영 윈윈 지성 포카 nctdream nct127 wayv pc

#rt 추첨 두 분께 스벅 깊티 드려요
2
48
4",,2,48,4,"['https://pbs.twimg.com/media/E8jpgpnVcAAeM6V?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8jpgpoVEAAp1pT?format=jpg&name=360x360']",https://twitter.com/yangdopc6/status/1425646038451318790
거래계,@sinha_1219,2021-08-20T14:39:40.000Z,"거래계
@sinha_1219
·
Aug 20","엔시티 드림 127 포카 양도합니다
헬로퓨처 헬퓨 포토북 퓨처 버전 해찬
맛 카페 재민 
맛 보링 천러
127 이레귤러 버전 유타 
양도합니다 뎀주세요!
ㅅㅊㅇ 맛 헬로 크레이지 칠링 엠디 키노 팬미팅 레귤러
3
2
10",,3,2,10,['https://pbs.twimg.com/media/E9Pc8nrVgAYr6rh?format=jpg&name=small'],https://twitter.com/sinha_1219/status/1428728445786202117
거래계,@goodsyumyum,2021-08-26T00:22:48.000Z,"거래계
@goodsyumyum
·
Aug 25","엔시티 스쿨키트 투명포카 이태용 생일카페 비공굿 양도해요 

레조넌스 파트원 파트투 영웅 포카 키노 맛 멬어위시 체리밤 네오존 슈휴 레귤러 이레귤러 엠파시 소방차 펀치 파이널라운드 러브홀릭 비공식
1
1",,1,,1,"['https://pbs.twimg.com/media/E9rSWykUYAMWG5D?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9rSWykVEAAam8T?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9rSWykUUAAtNKZ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9rSWymUYAIKKya?format=jpg&name=360x360']",https://twitter.com/goodsyumyum/status/1430687133451186176
거래,@mkkklee,2021-08-10T08:09:39.000Z,"거래
@mkkklee
·
Aug 10","엔시티 포카 양도합니다.

시세맞는 마크랑 교환 가능
세장이상 에눌가능

헬로제노 헬로해찬 에이전트런쥔 보링런쥔 크레이지지성 쥬얼해찬 쥬얼지성 쥬얼런쥔 소방차재현 이레귤러윈윈 베레모유타 펀치키노유타 퓨처성찬 패스트성찬 구공럽트레카 카페드볼 렌티큘러 드림 127 nct pc
The following media includes potentially sensitive content. Change settings
View
1
1",,,1,1,[],https://twitter.com/mkkklee/status/1425006417694449664
∠ᴜɴғᴀɪʟᴇᴅ,@un_failed,2021-08-23T03:34:24.000Z,"∠ᴜɴғᴀɪʟᴇᴅ
@un_failed
·
Aug 22",오늘 카페이레 꼭 들어야 해,,,,,[],https://twitter.com/un_failed/status/1429648190102454275
거래,@fl6_za,2021-08-12T09:43:04.000Z,"거래
@fl6_za
·
Aug 12","NCT 엔시티 드림 포토카드 양도
여러장 하시면 에눌 해 드려요

엔시티 포카 양도 마크 런쥔 해찬 재민 지성 라이딘  2020 디파쳐 어라이벌 패스트 키노 맛 칠링 붐 에이전트 카페 캐시비 위고업 네오존 헬로퓨처 이레귤러 비욘드 ar 펀치 홀카 스쿨키트 영통
2",,,,2,['https://pbs.twimg.com/media/E8lMV6GUUAAmjn1?format=jpg&name=small'],https://twitter.com/fl6_za/status/1425754700809314312
,@dain4ev,2021-08-04T10:28:51.000Z,"@dain4ev
·
Aug 4","지성 포카 양도합니다! 급처해요ㅠ 준등기 반택 다 가능합니당 편하게 디엠 주세요! 저 포장 잘해요 진짜

엔시티 포카 양도 마크 런쥔 해찬 재민 지성 제노 천러 라이딘  2020 디파쳐 어라이벌 패스트 키노 맛 칠링 붐 에이전트 카페 캐시비 위고업  헬로퓨처 이레귤러 비욘드 ar 홀카 스쿨키트 영통
2
2",🍀,,2,2,['https://pbs.twimg.com/media/E78KGePUYAY7vTu?format=jpg&name=small'],https://twitter.com/dain4ev/status/1422867119415255044
••거래••,@__jae_hyun_____,2021-08-11T13:22:34.000Z,"••거래••
@__jae_hyun_____
·
Aug 11","사진에 보이는 지성이 양도 받습니다 

엔시티 포카 마크 런쥔 해찬 재민 지성 도영 라이딘 2020 디파쳐 어라이벌 패스트 키노 맛 칠링 붐 에이전트 카페 캐시비 위고업 네오존 헬로퓨처 이레귤러 비욘드 ar 펀치 홀카 스쿨키트 영통 하키제노 렌티 더드림쇼 붐홀카 스페셜 이즈위 오왓 포카리스트
1",☺,1,,,['https://pbs.twimg.com/media/E8g0_UYVoAUQD3Q?format=jpg&name=900x900'],https://twitter.com/__jae_hyun_____/status/1425447550320975878
맠끌리•.,@mdyeon_8221,2021-08-16T08:58:56.000Z,"맠끌리•.
@mdyeon_8221
·
Aug 16","엔시티 포카 양도 교환해요!초록색으로 표시한 도영은 써클하자가 있고 주황색은 미세하자가 조금 있어요 엑스친 마크 빼고 교환 가능합니다 위영마크 우대해요!

엑세스도영 엠파시도영 영웅키노도영 입꼬리도영 에이전트런쥔 카페제노 헬로해찬 영웅도영 블랙도영 이레귤러도영 펀치쟈니 마크 교환
2
6",,2,,6,"['https://pbs.twimg.com/media/E85ol1lVUAUpiT4?format=jpg&name=small', 'https://pbs.twimg.com/media/E85ol1mUYAA_O9-?format=jpg&name=small']",https://twitter.com/mdyeon_8221/status/1427193143775010817
OoO,@JJ_Wwo,2021-08-19T05:49:55.000Z,"OoO
@JJ_Wwo
·
Aug 18","엔시티드림 리로드 키노 포카 양도합니다

재민 1.7 
하자 없습니다 디엠 주세요 

엔시티 드림 127 해찬 재민 천러 지성 제노 마첫 마지막첫사랑 위고업 맛 크레이지 카페 ar 리로드 라이딘 헬로퓨쳐 헬퓨 에이전트 레귤러 이레귤러 키노 포토카드 포카
2
2",,,2,2,['https://pbs.twimg.com/media/E9IaGEqUUAIB5Dh?format=jpg&name=small'],https://twitter.com/JJ_Wwo/status/1428232739635941380
거래••,@HJX1zvDBejWmBXs,2021-08-28T02:55:17.000Z,"거래••
@HJX1zvDBejWmBXs
·
Aug 27","엔시티 포카 양도
하자 없어용 모두 준미포 가격 

nct dream 127 펀치키노 타투재현 헬로퓨처 네오존 태일 유타 t버전 도영 이레귤러 레귤러 태용 컨포 마크 칠링 해찬 카페 지성 에이전트 hellofuture irregular regular neozone hotsauce
1",,,,1,['https://pbs.twimg.com/media/E92IcjCVQAIXH14?format=jpg&name=small'],https://twitter.com/HJX1zvDBejWmBXs/status/1431450286149619716
거래계정,@soooooo000000,2021-08-26T10:52:35.000Z,"거래계정
@soooooo000000
·
Aug 26","엔시티 드림 포카 양도 합니다~ 디엠주세요

 사진에 안써있는거 제시해주세요! 급처라 싸게 해드려요!

일이칠 드림 마크 런쥔 천러 해찬 동혁 지성 마첫 위고업 위영 붐 라이딘 라이딩 키노 2020 카페 맛 헬퓨 중국영통 레귤러 이레귤러 시그 퓨처 홀카 캔디랩 1차 2차 3차 쥬얼 보링 칠링 에이전트
1",,,,1,['https://pbs.twimg.com/media/E9tigsVVkAEIHo1?format=jpg&name=small'],https://twitter.com/soooooo000000/status/1430845627039055872
거래,@wowowow_128,2021-08-01T11:15:29.000Z,"거래
@wowowow_128
·
Aug 1","양도 해욤~ 준미포 가격이고 3장 이상 사시면 준포로 해드림 하자 확인하긴 했는데 전 이런거 못봐서 예민하신 분 ㄴㄴ

엔시티 포카 양도 마크 런쥔 해찬 재민 지성 도영 라이딘  2020 디파쳐 어라이벌 패스트 키노 맛 칠링 붐 에이전트 카페 캐시비 위고업 네오존 헬로퓨처 이레귤러 비욘드 ar 펀치
The following media includes potentially sensitive content. Change settings
View
2
1
8",,2,1,8,[],https://twitter.com/wowowow_128/status/1421791692164800514
거래계정,@soooooo000000,2021-08-16T07:59:44.000Z,"거래계정
@soooooo000000
·
Aug 16","엔시티 드림 포카 양도 합니다~ 디엠주세요

 사진에 안써있는거 제시해주세요! 급처라 싸게 해드려요!

일이칠 드림 마크 런쥔 천러 해찬 동혁 지성 마첫 위고업 위영 붐 라이딘 라이딩 키노 2020 카페 맛 헬퓨 중국영통 레귤러 이레귤러 시그 퓨처 홀카 캔디랩 1차 2차 3차 쥬얼 보링 칠링 에이전트
2",,,,2,['https://pbs.twimg.com/media/E85bDQGVIAMdMdn?format=jpg&name=small'],https://twitter.com/soooooo000000/status/1427178249298190342
,@BigexzqXjuxUIix,2021-08-04T12:44:13.000Z,"@BigexzqXjuxUIix
·
Aug 4","엔시티 포카 양도
사진 속 가격은 준미포
디엠주세요

엔시티드림 엔시티127 nct dream nct127 레귤러도영 이레귤러도영 블랙도영 네오존t도영 카페지성 카페천러 퓨처천러 에이전트천러 에이전트천러 크레이지지성 보링해찬 헬로퓨처 맛 영웅 레귤러 이레귤러 에이전트포카 카페포카 도영 포카양도
@BigexzqXjuxUIix
 · Aug 1
엔시티 포카 양도
사진 속 가격은 준미포
디엠주세요

엔시티드림 엔시티127 nct dream nct127 레귤러도영 이레귤러도영 블랙도영 네오존t도영 카페지성 카페천러 퓨처천러 에이전트천러 에이전트천러 크레이지지성 보링해찬 헬로퓨처 맛 영웅 레귤러 이레귤러 에이전트포카 카페포카 도영 포카양도
Show this thread",🤍 🤍 🤍 🤍 🤍 🤍,,,,"['https://pbs.twimg.com/profile_images/1410541866253099008/F9DR50fk_mini.jpg', 'https://pbs.twimg.com/media/E7sUK6cVgAAU-Xm?format=jpg&name=small']",https://twitter.com/BigexzqXjuxUIix/status/1422901186059898886
