UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
MrNyanderful,@Housuck,2021-08-19T10:02:48.000Z,"MrNyanderful
@Housuck
·
Aug 19","치킨의 신이 사는 피자집
1
4",,1,,4,['https://pbs.twimg.com/media/E9JT8PCVgAEKqtH?format=jpg&name=small'],https://twitter.com/Housuck/status/1428296382834638851
유시카,@yusica110,2021-08-08T05:54:41.000Z,"유시카
@yusica110
·
Aug 7","[알티 이벤] 

제 데뷔작 <잠자는 집착 남주를 깨우고 말았다> 약칭 <잠.깨>가 카카오페이지에서 독점 오픈되었습니다!

흑화감금남 에셀레드와 고기욤뇸녀 아리엘의 과거와 현재를 오가는 귀염뽀쟉감금집착 로맨스! 많관부! 많관부! 

알티하주신 한분께 아리엘이 좋아하는 고기! 치킨 깁티를 드림돠!
2
597
116",,2,597,116,"['https://pbs.twimg.com/media/E8Pxs9_UUAMXPek?format=jpg&name=small', 'https://pbs.twimg.com/media/E8Pxs-BVoAEx3HO?format=jpg&name=360x360']",https://twitter.com/yusica110/status/1424247674857934851
플로나,@flonaplona,2021-08-25T23:56:37.000Z,"플로나
@flonaplona
·
Aug 25","[RT] 정초량님의 전전반측 2부가 단행본으로 출간되었습니다. 미인공 떡대수의 정석 무협 어떠신가요=) ? 정말 좋아하는 작품인지라 출간 알티 이벤트를 하려고 해요! 알티해주신 한 분께 치킨, 한 분께 커피를 드립니다. (당발 9/1)
2
660
107",💓,2,660,107,['https://pbs.twimg.com/media/E9rMXYnVEAcNIUK?format=jpg&name=medium'],https://twitter.com/flonaplona/status/1430680544019304449
네사,@MnWbl,2021-08-26T16:25:48.000Z,"네사
@MnWbl
·
Aug 26","[RT이벤트]
미스터블루 최고의 BL웹툰
<보스빗치베이비><보빗베>시즌2 연재시작 기념으로 추첨을 통해 한 분께 호진이가 좋아하는 치킨과 유성이가 먹다 놀란 치즈볼을 선물로 드려요 
당발은 시즌2 2화올라오는날에!

※ 당첨되신 분은 디엠을 통해 보스빗치베이비 소장인증 부탁드립니다.
1
96
43",😇 😇 🤤 🍗 🧀,1,96,43,"['https://pbs.twimg.com/media/E9uuxtnVIAQ0YQg?format=jpg&name=small', 'https://pbs.twimg.com/media/E9uux8tVcAA3RgI?format=jpg&name=360x360']",https://twitter.com/MnWbl/status/1430929481879887881
茶香 박시이,@forsiro,2021-08-28T06:15:12.000Z,"茶香 박시이
@forsiro
·
Aug 27","소떡소떡 누가 대체 처음 만들 생각을 했냐?
진짜 복 받으십시요, 당신은 에어컨을 창조해내신 분의 오른편에 앉아 피자의 장족의 발전을 가져온 사람, 치킨을 발전시켜온 사람, 코카콜라의 창시자 그 외 수많은 위인들이 조화롭게 광고용 팝송을 부르는 하늘의 나라에서 영세를 누릴 것입니다.
6
6",,,6,6,[],https://twitter.com/forsiro/status/1431500593391046657
만두,@mandu_svt,2021-08-15T17:17:48.000Z,"만두
@mandu_svt
·
Aug 15","도겸이 특유의 그 치킨팝리액션(ㅋㅋㅋ) 너무 좋음 말하는 상대 더 신나서 썰풀면서 날아다니게 하는 그런 리액션
1",,,,1,[],https://twitter.com/mandu_svt/status/1426956300093517829
도아,@a09_doh,2021-08-12T17:15:51.000Z,"도아
@a09_doh
·
Aug 12","#To_별똥별 

 개학하고 신학기 새롭게 실천해서 목표 달성
 올해 크리스마스는 꼭 집 나가서 놀기
 생일에 엽떡 치킨 명량시켜서 즐기고 케잌 촛불 불기
 팬데믹이 점차 나아지는 한 해
 나를 포함한 가족과 모든 지인들의 행복과 안녕과 건강
 상황이 좋아져서 서울 놀러 가보기",🌠 ✅ ✅ ✅ ✅ ✅ ✅,,,,['https://pbs.twimg.com/media/E8mz-fxUYAEml31?format=jpg&name=small'],https://twitter.com/a09_doh/status/1425868648984440837
9,@sodufma,2021-08-22T10:22:53.000Z,"9
@sodufma
·
Aug 22","자~ 이제 언니가 할 일도 알려 줄게~ 그냥 변방에 개가 짖는다고 생각해 주세요

1. 자기 책임이라고 자책 말기
2. 누가 뭐래도 사과하지 말기
3. 삼시세끼 뜨신 밥 먹기
4. 치킨이랑 닭 요리 먹기
5. 드라마 영화 보면서 누워 있기
6. 아프지 말기
7. 행복만 하기
9. 주변의 올바른 애정만 받기
68
74",,,68,74,[],https://twitter.com/sodufma/status/1429388598474809347
봄눈,@__snowblossom,2021-08-12T13:21:56.000Z,"봄눈
@__snowblossom
·
Aug 12",아 지금 설사 계속 하고 있는데 이게 백신 부작용인지 쉬는 날이라고 신나서 먹은 빵이랑 치킨의 콜라보인지 모르겠어ㅋㅋㅋㅋㅋㅋㅋ,,,,,[],https://twitter.com/__snowblossom/status/1425809781634125828
엔치,@RPlzThnkb4Enter,2021-08-09T09:00:13.000Z,"엔치
@RPlzThnkb4Enter
·
Aug 9","아니 왜 나 이제 못먹으니까
햄버거 치킨 각종세일에 신메뉴 봇물 터지듯이 나오냐
분명히 이건 어둠의 세력이 존재하는 거임

각하 그가 식단을 시작했습니다
연구예산 늘리고 할인행사 시작해
4
5",💔,,4,5,[],https://twitter.com/RPlzThnkb4Enter/status/1424656752037883906
