UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
꼬리별,@Kkolibyeol,2021-08-29T15:35:15.000Z,"꼬리별
@Kkolibyeol
·
8월 30일","잉니비아님 커미션 완료~
9
157
825",,9,157,825,['https://pbs.twimg.com/media/E99_68aVUAIM3sd?format=jpg&name=small'],https://twitter.com/Kkolibyeol/status/1432003922047094801
야쿠자테리어,@yarkieyarkie,2021-08-29T08:31:58.000Z,"야쿠자테리어
@yarkieyarkie
·
8월 29일","김용호 맨날 악의 가득찬 눈으로 비아냥 거리고 생사람 잡고 조롱할 땐 언제고 인생 좆될 위기 처하니까 제가.. 제가 막 막 앙마가 돼버려쪄염ㅠ^ㅠ!!! 하는 거 너무 웃김
5
254
213",,5,254,213,['https://pbs.twimg.com/media/E98fFsDVUAUTsJD?format=jpg&name=small'],https://twitter.com/yarkieyarkie/status/1431897401539764224
Dark,@aacacc666,2021-08-24T14:47:33.000Z,"Dark
@aacacc666
·
8월 24일","추미애 장관이 자신에게 인사청탁했다는 김종민 의원이 추미애 장관 아들문제로 비아냥거리는 장제원(a.k.a미성년자에게 성매매 구애했던 랩퍼 노엘 애비)을 혼내고 있다...
GIF
5
296
236",🌒,5,296,236,['https://pbs.twimg.com/tweet_video_thumb/E9kFFTWXsAUE6eA.jpg'],https://twitter.com/aacacc666/status/1430179981393637387
Dark,@aacacc666,2021-08-27T00:58:26.000Z,"Dark
@aacacc666
·
8월 27일","거짓말하던 이경 공보국장, 이재명 캠프 합류

민주당 대전시당에서 재직 당시 언론을 담당하면서 취재 기자를 상대로 거짓말을 일삼던 이경 전 공보국장이 이재명 캠프 대변인으로 합류하자 그게 이재명 캠프 수준'이라는 비아냥

출처 : 대전뉴스(http://daejeonnews.kr)
6
210
120",🌒,6,210,120,['https://pbs.twimg.com/media/E9wkFU1VkAMTSgN?format=png&name=small'],https://twitter.com/aacacc666/status/1431058490370392066
자 꾸르륵,@banachopie,2021-08-29T14:07:44.000Z,"자 꾸르륵
@banachopie
·
8월 29일","찢빠들이 문프의 일자리 상황판을 비아냥거리더라.
댓글을 악의적으로 다는 것들이 수꼴만 있는게 아니더라고.
찢빠들은 위에서 지령받고 움직이잖아.
그 ""위""가 누구겠어?
1
19
15",🦁 🦁 🦁 🦁,1,19,15,['https://pbs.twimg.com/media/E99r8vVVEAMXeWM?format=jpg&name=medium'],https://twitter.com/banachopie/status/1431981900759851013
KOON,@flflzkzh,2021-08-28T10:45:33.000Z,"KOON
@flflzkzh
·
8월 28일","잉니비아님의 복종커미션입니다!
커미션문의는 DM 주세요 :)
1
11
73",,1,11,73,['https://pbs.twimg.com/media/E930C-UUUAQn2vx?format=jpg&name=medium'],https://twitter.com/flflzkzh/status/1431568629758263301
마일,@News_Mile_,2021-08-30T15:05:34.000Z,"마일
@News_Mile_
·
8월 31일","완다 소코비아 악센트 코치가 오드리 1940년대 앨라바마 악센트 코치인게 신기했음. 두 악센트 같은 억양 코치 였다네
11
16",,,11,16,"['https://pbs.twimg.com/media/E-DCnyBUcAUSX-1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-DCl7mVEAIwnLj?format=jpg&name=360x360']",https://twitter.com/News_Mile_/status/1432358842977828867
백탄웬수1%함유,@carmel_matri,2021-08-30T15:51:31.000Z,"백탄웬수1%함유
@carmel_matri
·
8월 31일","같은 위치 다른 느낌
리엔옌(166cm) 비아틴(172cm)
1
3
3",,1,3,3,"['https://pbs.twimg.com/media/E-DNRsfUcAEpEpx?format=jpg&name=small', 'https://pbs.twimg.com/media/E-DNSVTUYAAcUWb?format=jpg&name=small']",https://twitter.com/carmel_matri/status/1432370406254596099
먹는센불,@eat_fiire,2021-08-24T16:41:46.000Z,"먹는센불
@eat_fiire
·
8월 25일","비아 2넴까지 선클 완...
7",,,,7,['https://pbs.twimg.com/media/E9kfQBwVgAA8AeH?format=jpg&name=small'],https://twitter.com/eat_fiire/status/1430208722526035970
ㅅㅎ,@SH_055555,2021-08-29T19:59:33.000Z,"ㅅㅎ
@SH_055555
·
8월 30일","황사덕이 권력으로 현 상황을 휘어잡고 비아냥대면서 열뻗치게 하니까 못 참고 멱살 잡은 수 경사... 황사덕 매섭게 노려보는데 그 모습을 가만히 바라보던 황사덕이 새어나가는 웃음을 참지 못하고 폭소하며 하는 말이,

""아~ 우리 형사님 참 재밌으셔. 수사반 강제 해체 당해도 괜찮으신가봐요?""
1
52
188",,1,52,188,[],https://twitter.com/SH_055555/status/1432070437509337089
워든/warden,@warden_snyder,2021-08-22T17:48:30.000Z,"워든/warden
@warden_snyder
·
8월 23일","하도 앰피비아 보세요 앰피비아 외쳐대는 바람에 
사람들이 앰피비아나 사샤 캐릭터 보면 날 떠올리진…않…겠지?
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
8",🐸,,,8,[],https://twitter.com/warden_snyder/status/1429500742688075777
워든/warden,@warden_snyder,2021-08-23T11:21:46.000Z,"워든/warden
@warden_snyder
·
8월 23일","갑자기 든 생각인데... 

사실 시즌3 오프닝 자체가 거대한 훼이크라면? 현대배경, 지구 지분 많아보였는데 

사실 1,2,3화만에, 아니 어쩌면 단 1화만에 
지구 소동 끝나고 다시 앰피비아로 귀환한다면? 지구가 즌3 메인 배경이 아니라면?
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
2
12",🐸,2,,12,[],https://twitter.com/warden_snyder/status/1429765804782882816
박아가씨,@thregiprincess,2021-08-26T14:40:45.000Z,"박아가씨
@thregiprincess
·
8월 26일","비아플레인 쇼룸 구경갔는데 옷은 내취향 아니었지만 전체적으로 멋진 곳이라 생각했다 커피마시러 내리막길 내려오는데 혀깨물고 죽고 싶었지만
7
33",,,7,33,"['https://pbs.twimg.com/media/E9uWumzVkAw2tQl?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9uWum1VkAk_J2O?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9uWum0UcAs5upM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9uWum6VcAgwWBq?format=jpg&name=360x360']",https://twitter.com/thregiprincess/status/1430903043474694144
