UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
다아비,@dabi_luv,2021-08-11T16:09:15.000Z,"다아비
@dabi_luv
·
8월 12일","이 둘의 관계는 무엇인가 하니....!!
불의 나라
나뭇잎 마을 소속
다비
                                               바람의 나라
                                               모래 마을 소속
                                               스내치
3",🌟,,,3,"['https://pbs.twimg.com/media/E8ha88SVoAM25FZ?format=jpg&name=small', 'https://pbs.twimg.com/media/E8ha960UYAIDdkp?format=jpg&name=small']",https://twitter.com/dabi_luv/status/1425489498016604167
유하,@rohdagy7,2021-08-30T16:51:04.000Z,"유하
@rohdagy7
·
8월 31일","제가 본 하시라마 사망 이유 추측 중 가장 좋았던 거:

하시라마의 입지가 너무 커지니까 불의 나라 영주와 수뇌부가 걔를 경계해서 마을과 시대의 안정이 흔들릴 조짐이 보이니 하시라마가 스스로 목숨을 끊었다. 토비라마에게 덤덤히 예고하고 죽었다.

이 썰 푸셨던 존잘님 아직도 찾고 있어요
몽디
@mongdi_99
 · 8월 31일
으흐흑 흐에엥 왜하시라마거일찍죽었어 왜죽었어 누구야시발 구미도때려잡는놈을 무슨수로죽인거야 마사시 개죽음당했다며
설머 선대카게들에게 통수맞았니

근데그랬음 토비라마가 싹다갈아마셨겠지..?
1
2
4",,1,2,4,['https://pbs.twimg.com/profile_images/1406968952413061128/dXXZ2a3S_mini.jpg'],https://twitter.com/rohdagy7/status/1432385393744248836
남승민,@000gl3,2021-08-19T11:00:48.000Z,"남승민
@000gl3
·
8월 19일","아 불의 나라의 그림자..
라서 호카게군아 신기해",🍥,,,,[],https://twitter.com/000gl3/status/1428310976118493188
𝑎𝑡𝑒 𝑎 𝑤𝑟𝑖𝑡𝑒𝑟,@K_HIPHOPIS_LIE,2021-08-29T17:50:52.000Z,"𝑎𝑡𝑒 𝑎 𝑤𝑟𝑖𝑡𝑒𝑟
@K_HIPHOPIS_LIE
·
8월 30일","아제르바이잔좋죠
지옥의문
불의나라
3",,,,3,[],https://twitter.com/K_HIPHOPIS_LIE/status/1432038052805840904
한새미로,@2_The_Knight,2021-08-27T04:19:45.000Z,"한새미로
@2_The_Knight
·
8월 27일","그렇다면 너는… 불의 나라에 사는 사람이겠지. ……불의 나라, 왕 같은…?",,,,,[],https://twitter.com/2_The_Knight/status/1431109153695551495
센쥬 하시라마,@hashirama_krbot,2021-08-30T06:19:18.000Z,"센쥬 하시라마
@hashirama_krbot
·
8월 30일","불의나라를 그림자 속에서 지키는 닌자들의 수장, ‘호카게’ 어감이 어때?",,,,,[],https://twitter.com/hashirama_krbot/status/1432226400769957899
연돌,@amtwelo,2021-08-06T12:33:02.000Z,"연돌
@amtwelo
·
8월 6일",부라자언니들 저번에보니까 싸불 잘하던데 싸불의나라 둘에게 주심 가루되겠뇌,,,,,[],https://twitter.com/amtwelo/status/1423623147996160003
상진이...,@Saguahaseyo,2021-08-27T17:07:21.000Z,"상진이...
@Saguahaseyo
·
8월 28일","나지대궁금한점
나뭇잎마을은 왜 나뭇잎마을임?
불의 나라에있고 불의 의지를 어쩌구,,,하는데
어째서... 나뭇잎마을?
1",,1,,,[],https://twitter.com/Saguahaseyo/status/1431302325939761159
센쥬 하시라마,@hashirama_krbot,2021-08-30T07:48:35.000Z,"센쥬 하시라마
@hashirama_krbot
·
8월 30일",불의나라에서 우리에게 마을의 수장을 정해달라는 요청이 들어왔어. 난 네가 수장이 되었으면 좋겠다.,,,,,[],https://twitter.com/hashirama_krbot/status/1432248871946633222
초록,@lsm20300,2021-08-09T23:26:26.000Z,"초록
@lsm20300
·
8월 10일","수사기관의 변명이 궁색하기 그지없다.

1만불이 조롱받자 2만불이라고 주장하는것도 웃기고,
소득 3만불의 나라에서 4명의 공작원에게 2만불의 공작금을 주었다는 말도 웃긴다.

차라리 스케일을 바꿔라!
청주지역 노인정을 포섭하라는 공작금이라고...
간첩 혐의 활동가들 스스로 영장 공개.. 수사기관, 북측에 증거인멸 신호 의심
간첩 활동을 벌인 의혹을 받는 충북 청주의 시민활동가 4명이 혐의가 낱낱이 적힌 구속영장을 스스로 공개한 배경에 관심이 쏠리고 있다. 피의자들은 국가정보원과 경찰이 죄를 뒤집어씌우려고 불법으로 뺏은 자료를 부풀리고 짜맞췄음을 보여주기 위한 것이라고 주장했다. 그러나 수사기관은 이들이 고의로 수사정보를 언론에 공개함으로써 북측에 증거 인멸 등의 지침을 전달했
news.v.daum.net",,,,,['https://pbs.twimg.com/card_img/1440953502767874049/m8LgyAGi?format=jpg&name=small'],https://twitter.com/lsm20300/status/1424874743396634629
먼쑨,@munsoon_mmm,2021-08-06T13:33:14.000Z,"먼쑨
@munsoon_mmm
·
8월 6일","사불 개 오짐 근데 어쩌라는거지? 한국도 사불의 나라임 타격0
1
15",,,1,15,[],https://twitter.com/munsoon_mmm/status/1423638298199683080
펭귄클래식 기록장,@PenguinBooksBot,2021-08-18T05:09:27.000Z,"펭귄클래식 기록장
@PenguinBooksBot
·
8월 18일","내가 기억해 낸 것은 두 줄로도 충분했다. 불의 나라*라는 조그만 섬에서 오로지 스포츠에만 몰두하는 사회 안에서의 삶. (*티에라델푸에고) <W 또는 유년의 기억>, 조르주 페렉, 펭귄클래식",,,,,[],https://twitter.com/PenguinBooksBot/status/1427860171900915719
동결 서루,@hhhh_ruio,2021-08-21T09:36:29.000Z,"동결 서루
@hhhh_ruio
·
8월 21일","헉 불의 나라는 더울 것 같아요..! 렘곰쿠님 더위 조심하시고 같이 마음을 불태워요!!
서루의 질문함입니다
질문/답변은 여기
peing.net
2",❄ ❄ 🔥,,,2,['https://pbs.twimg.com/card_img/1432086619381993472/g1j7LaT-?format=jpg&name=small'],https://twitter.com/hhhh_ruio/status/1429014533608140808
완전한 세계의 이야기,@Complete_World,2021-08-30T11:09:52.000Z,"완전한 세계의 이야기
@Complete_World
·
8월 30일","이야기를 듣고 간 사람들은 꿈의 사막으로 참과 같은 소망을 보낸다.
꿈속의 벗이 우리의 꿈으로 채워져 낮에 발을 디딜 수 있기를.
제 날개로 날아오를 날을 희망하는 소년이, 불의 나라를 찾아낸 영웅의 노래가 들리자 붉어진 낯으로 급히 자리를 떠난다.",,,,,[],https://twitter.com/Complete_World/status/1432299526933516291
김_____에_____프,@FFF_KIM1,2021-08-06T13:15:57.000Z,"김_____에_____프
@FFF_KIM1
·
8월 6일","저같잖은싸불은뭐임
싸불의나라 키보드워리어의나라 한국을따라올려면한참멀었음
2",,,,2,[],https://twitter.com/FFF_KIM1/status/1423633946135318538
lay한동안 뜸함,@1917_lay,2021-08-06T10:48:54.000Z,"lay한동안 뜸함
@1917_lay
·
8월 6일","나루토가 호카게를 꿈꿀 때 가아라는 이미 카제카게였다는게 날가적으로 발림
가아라-현직
나루토-차차기

불의나라 상층부에 친분 과시해서 은근히 나루토 취임 도와줬을 거 같음
1
2",❄ ❄,,1,2,[],https://twitter.com/1917_lay/status/1423596941657604099
이중인격자공자수도화살녀,@Gong15_14,2021-08-06T14:30:33.000Z,"이중인격자공자수도화살녀
@Gong15_14
·
8월 6일","맞싸불 ㅂㄹ안좋아하는데 에휴
싸불의나라야 힘내라
2",,,,2,[],https://twitter.com/Gong15_14/status/1423652721689710595
,@minmin25ju,2021-08-06T13:35:24.000Z,"@minmin25ju
·
8월 6일",아 한국인들 개웃겨 진짜 싸불의나라,🧀 ⚽,,,,[],https://twitter.com/minmin25ju/status/1423638840061820936
센쥬 하시라마,@hashirama_krbot,2021-08-30T03:20:07.000Z,"센쥬 하시라마
@hashirama_krbot
·
8월 30일","우리는 마을을 건설하기 시작했단다. 또, 평화로운 국가를 건설하고자 불의 나라와 손을 잡고 나라와 마을을 동급으로 만들었지. 어째든, 꿈만 같은 나날이었다.",,,,,[],https://twitter.com/hashirama_krbot/status/1432181310378835968
