UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Joastin.,@_joastin,2021-08-08T10:41:12.000Z,"Joastin.
@_joastin
·
8월 8일","Four-And-Twenty
14
7
54",🎈,14,7,54,"['https://pbs.twimg.com/media/E8QzPI6X0AAE5oA?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8QzQ7lXMAE8b_5?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8QzQEKWUAA9YPH?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8QzR4KWUAcHJnC?format=jpg&name=360x360']",https://twitter.com/_joastin/status/1424319779184205828
@_rt*,@_rt*,2021-08-12T11:35:22.000Z,"@_rt*
@literatura_rte
·
8월 12일","William Blake (1757–1827) The Four and Twenty Elders Casting their Crowns before the Divine Throne ( 1803–1805)
8
32",,,8,32,['https://pbs.twimg.com/media/E8lmCvsXsAgtlUt?format=jpg&name=small'],https://twitter.com/literatura_rte/status/1425782961337667588
Hecaterine,@kazerin,2021-08-01T12:29:00.000Z,"Hecaterine
@kazerin
·
8월 1일","Sing a song of sixpence,
A pocket full of rye,
Four and twenty blackbirds
Baked in a pie.

Happy Lammas and Blessed Lughnasadh 
2
2
18",🎶 🎶 🌾 🍞 💛,2,2,18,['https://pbs.twimg.com/media/E7tI1jXXIAYUIb4?format=jpg&name=small'],https://twitter.com/kazerin/status/1421810194053574660
SERGIO,@SERG1O_D,2021-08-04T06:12:24.000Z,"SERGIO
@SERG1O_D
·
8월 4일","Opals lose by four and twenty
1",,,,1,['https://pbs.twimg.com/media/E77PZ_bVoAIANiA?format=jpg&name=small'],https://twitter.com/SERG1O_D/status/1422802579843547140
Ecomemory,@Ecomemory1,2021-08-08T01:05:17.000Z,"Ecomemory
@Ecomemory1
·
8월 8일","Revelation 11:16
“And the four and twenty elders, which sat before God on their seats, fell upon their faces, and worshipped God,”
2
2",,,2,2,[],https://twitter.com/Ecomemory1/status/1424174842950074368
PureAusten,@PureAusten,2021-08-30T05:00:03.000Z,"PureAusten
@PureAusten
·
8월 30일","“Only four-and-twenty. That is too young to settle. His mother is perfectly right not to be in a hurry.
1
4",,,1,4,[],https://twitter.com/PureAusten/status/1432206459048108038
Janice (Oliver) Stinnett,@TheRealJanStin,2021-08-17T12:37:17.000Z,"Janice (Oliver) Stinnett
@TheRealJanStin
·
8월 17일","Revelation 4:10

The four and twenty elders fall down before him that sat on the throne, and worship him that liveth for ever and ever, and cast their crowns before the throne, saying,
1
1
7",🌸 🌹 🌼,1,1,7,[],https://twitter.com/TheRealJanStin/status/1427610484560252933
C.H.U.D.ley Do-Right,@cmonroe1993,2021-08-30T23:30:57.000Z,"C.H.U.D.ley Do-Right
@cmonroe1993
·
8월 31일","The Four and Twenty Elders included Snoop Dogg and Kevin Smith
William Blake
@artist_blake
Automated
 · 8월 31일
William Blake, The Four and Twenty Elders Casting their Crowns before the Divine Throne, 1803 http://tate.org.uk/art/artworks/blake-the-four-and-twenty-elders-casting-their-crowns-before-the-divine-throne-n05897… #museumarchive #williamblake",,,,,"['https://pbs.twimg.com/profile_images/852187093036023809/Y-MOJr-v_mini.jpg', 'https://pbs.twimg.com/semantic_core_img/1428827730364096519/4ZXpTBhS?format=png&name=orig', 'https://pbs.twimg.com/media/E-E1gUkWQAQaXYG?format=jpg&name=small']",https://twitter.com/cmonroe1993/status/1432486023712452615
Chad_404,@Chad_404,2021-08-01T20:53:14.000Z,"Chad_404
@Chad_404
·
8월 2일","So just close your eyes and Four and twenty blackbirds, oh, so high #itsmechad",,,,,[],https://twitter.com/Chad_404/status/1421937087989878786
𝕾.𝕴.𝕽.3 (𝕾𝖙𝖊𝖛𝖊𝖓 𝕽.),@therealSIR3,2021-08-13T12:33:50.000Z,"𝕾.𝕴.𝕽.3 (𝕾𝖙𝖊𝖛𝖊𝖓 𝕽.)
@therealSIR3
·
8월 13일","1/2
Sweet Dreams

I sing myself a nursery rhyme
For sleep I do despise
Four and twenty #blackbirds
Came pecking out my eyes

Now my sight has left me
The dark it feels so nice
The only friends to comfort me
Are these three blind mice
3
9",,3,,9,[],https://twitter.com/therealSIR3/status/1426160064948277251
