UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
유넌,@s2raph1x,2021-08-24T07:48:17.000Z,"유넌
@s2raph1x
·
Aug 24",우리 로이 다음카페 앱을 지운 걸까나?,,,,,['https://pbs.twimg.com/media/E9ilJsKVoAAsruA?format=jpg&name=small'],https://twitter.com/s2raph1x/status/1430074470568382467
달세뇨 지갑챙기기,@Endsn_033,2021-08-19T07:08:20.000Z,"달세뇨 지갑챙기기
@Endsn_033
·
Aug 19","로이 카페 놀러간 프멧
카페에 막시도 잇어서 막시가 뭐야 깡통 여기 왜 왔냐 하면
그거 듣고 막시 가만히 쳐다보다가 로이보고 쟤(막시)가 나 괴롭혀 ㅇㅈㄹ하는거 생각남
2
1",,,2,1,[],https://twitter.com/Endsn_033/status/1428252474633113602
달세뇨 지갑챙기기,@Endsn_033,2021-08-19T07:42:50.000Z,"달세뇨 지갑챙기기
@Endsn_033
·
Aug 19","로이 카페에 뭐 사러온 프멧이랑 카페에 있던 막시

-깡통 왜 왔냐
해사 줄 거 사러왔어. 로이 어딨어?
-잠시 나갔다
...(기다림)
-(저새끼왜안가지빨리보내야겠다) 걔가 뭐 좋아하는데.
...해사는 날 좋아해.
-니를 포장해버리기 전에 다시 대답해라
1
1",,,1,1,[],https://twitter.com/Endsn_033/status/1428261157182214148
이온,@Ion_47tz,2021-08-27T07:16:29.000Z,"이온
@Ion_47tz
·
Aug 27","날씨 좀더 쌀쌀해지면 로이두랑 콜이 목티 입어줬음 좋겠어... 주변 카페 들어가서 음료 먹는데 콜이 꽃받침하고 로이드 보는상상
5
11",,,5,11,[],https://twitter.com/Ion_47tz/status/1431153629004648450
지현아,@JHA19901541,2021-08-24T02:59:10.000Z,"지현아
@JHA19901541
·
Aug 23","로이스타코에서 너무 많이 먹어서
음식사진은 안올리겠음
얼마나 먹었는지는 비밀
밥먹고 갈만한 카페 찾아보다가
인천까지 갔는데 우리 스탈이 아니여서
사진만 찍고 다시 부천행ㅋㅋ
빛나네 가서 시간가는줄 모르고
새벽2시까지 수다수다떨다가 빠이빠이

#다음엔뭐먹을까
#자택알바
#웃음꽃만발
5",😂 🙊,,,5,"['https://pbs.twimg.com/media/E9hi41AUUAMHCUv?format=png&name=360x360', 'https://pbs.twimg.com/media/E9hi41CVEAE4JEt?format=png&name=360x360', 'https://pbs.twimg.com/media/E9hi41CVkBMCS4T?format=png&name=360x360']",https://twitter.com/JHA19901541/status/1430001709514854414
柳(やなぎ. 버들). ㅇㄷ.,@tos_klzl,2021-08-02T12:49:18.000Z,"柳(やなぎ. 버들). ㅇㄷ.
@tos_klzl
·
Aug 2","제로로이라면 패스트푸드점 가서 마주보고 앉아서 햄버거 먹고 수다떨고 그러고 크라로이는 조용한 카페 한적한 자리 잡아서 커피랑 음료시켜서 마시면서  조곤조곤 이야기 나누고 할거같다.
1",,,,1,[],https://twitter.com/tos_klzl/status/1422177690832887808
모로,@Moro4Wp__,2021-08-04T16:54:23.000Z,"모로
@Moro4Wp__
·
Aug 4","충격발언
사실 저 로이카페 이름 아직도 결정을 못함
후보는 몇개있는데 뭐로할지 와깐나이 (졸지에 이름없는 카페 됨)",,,,,[],https://twitter.com/Moro4Wp__/status/1422964143745691657
쇼걸영상,@Club665C,2021-08-04T17:31:33.000Z,"쇼걸영상
@Club665C
·
Aug 4","박준찬SY
건오hZ
과일사랑jl
영덕JF
카페스타그램yx
이혜인Jb
사우UR
박준휘kh
슈퍼스타셔츠룸be
로이스타그램EQ
레드벨벳VP
기장LD
지석My
리플맘xe
사끼bR
맛있다nK
검찰oJ
거울사진RM
귀여운딸ks
경주채팅만남eZ",,,,,[],https://twitter.com/Club665C/status/1422973496288714752
,@Angry_ToMaTo_V,2021-08-02T07:41:36.000Z,"
@Angry_ToMaTo_V
·
Aug 2","음~~~이로이로 자꾸 뭔가 오류가뜨는데 뭐가문제인지몰르겟군
카페가입신청받아줘요눈물흘림
1
1",🍅,1,,1,[],https://twitter.com/Angry_ToMaTo_V/status/1422100251876282370
장군이 오너 토마토,@tomato_jtm,2021-08-19T16:43:06.000Z,"장군이 오너 토마토
@tomato_jtm
·
Aug 19","카페에 사람 넘많아져서 막시 심란해하니까
귀신같이알아차리고 저랑같이살면 아무때나 단둘이 호두파이먹을수있는데 어떠냐고 꼬시는 로이 암튼 직진하는로이
1",,,,1,[],https://twitter.com/tomato_jtm/status/1428397119912570880
장군이 오너 토마토,@tomato_jtm,2021-08-19T17:37:25.000Z,"장군이 오너 토마토
@tomato_jtm
·
Aug 19","로이는 향수쓸것같단생각있음... 카페에서는 향수 안쓰는데 외출할때만. . 약간 파우더리한 비누향 쓸듯
2",,,,2,[],https://twitter.com/tomato_jtm/status/1428410789367488512
통감자(불타는중) 수능52일?,@DORI1080,2021-08-08T08:22:15.000Z,"통감자(불타는중) 수능52일?
@DORI1080
·
Aug 8","@ 폴리 사진기에 애들 반 로이 반 일텐데두

숨길수없는김감돌의광대... 카페에서 마스크로 간신히 사회적 체면을 지키는 중
1",,,,1,[],https://twitter.com/DORI1080/status/1424284812462854144
장군이 오너 토마토,@tomato_jtm,2021-08-19T17:19:23.000Z,"장군이 오너 토마토
@tomato_jtm
·
Aug 19",아 ㅋㅋ 요즘 살갑게 대화를 나누던 카페 손님들이 자꾸만 쫄아서 이상하게 여기는 로이...,,,,,[],https://twitter.com/tomato_jtm/status/1428406251843514371
쨥쨥이,@zzuav,2021-08-13T19:13:44.000Z,"쨥쨥이
@zzuav
·
Aug 13",아니근데진짜로이씨발ㅋㅋㅋ백신예약밀려서 이재현생일카페 못가게 생김 하 ㅋㅋㅋ ㅜ 아오 진짜 되는일에 하나도업노..ㅠ 아니근데나는 1차 괜찮앗으니까 2차도 거뜬히 이겨내겟지?제발요..느그들은모르겟지만 이세상에는 빠순질을 못하면 진짜로 죽는사람이있다고..,,,,,[],https://twitter.com/zzuav/status/1426260702155612162
javzong,@EwRiWdIoNw,2021-08-17T13:28:41.000Z,"javzong
@EwRiWdIoNw
·
Aug 17","강연금에서 로이잡을줄알았는데 나또취향개조당해서 스터디카페잡네
창궁2세같아서.........설레네.. . .. .. .",,,,,[],https://twitter.com/EwRiWdIoNw/status/1427623419546275843
꧁⍤⃝꧂ 이미 내게 충분해.,@smyc_commu_b2,2021-08-12T06:09:40.000Z,"꧁⍤⃝꧂ 이미 내게 충분해.
@smyc_commu_b2
·
Aug 11","카카페에서 본것중에
가장 최애상에 가까운건 나는 이집 아이< 나오는 로이 딜런인듯
눈에 흉터 생긴후도 내취향이긴함..........
1",🌊,1,,,[],https://twitter.com/smyc_commu_b2/status/1425700996764749828
