UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Xbox News for Koreans - 네이버 Xbox 정보 카페,@KoreaXboxnews,2021-08-19T17:51:29.000Z,"Xbox News for Koreans - 네이버 Xbox 정보 카페
@KoreaXboxnews
·
Aug 19","[게임 패스 등록 (PC)] 퀘이크 3 아레나 (Quake III Arena) (출처 : XBOX 정보 카페 | 네이버 카페) http://naver.me/FOvUgNPW 

PC판
https://microsoft.com/ko-kr/p/quake-iii-arena/9nwnls28zg37…
2
4",,,2,4,['https://pbs.twimg.com/media/E9K_O0CVoAQoKRh?format=jpg&name=small'],https://twitter.com/KoreaXboxnews/status/1428414330895175686
Xbox News for Koreans - 네이버 Xbox 정보 카페,@KoreaXboxnews,2021-08-20T05:09:48.000Z,"Xbox News for Koreans - 네이버 Xbox 정보 카페
@KoreaXboxnews
·
Aug 19","신작 출시

[PC] 퀘이크 3 아레나 (QUAKE III Arena) - 2021.08.20. (출처 : XBOX 정보 카페 | 네이버 카페) http://naver.me/xyUqpWyj 

Xbox Game Pass (PC)

https://microsoft.com/ko-kr/p/quake-iii-arena/9nwnls28zg37…
1",,,,1,['https://pbs.twimg.com/media/E9NabjvUcAgsvpy?format=jpg&name=360x360'],https://twitter.com/KoreaXboxnews/status/1428585031891517441
거래용,@abcdefff__,2021-08-30T01:17:13.000Z,"거래용
@abcdefff__
·
Aug 29","세븐틴 정한 포카 양도

Eng
사이타마 제시

ㅅㅊㅇ)에스쿱스 승철 정한 조슈아 지수 준 준휘 호시 순영 원우 우지 지훈 디에잇 명호 민규 도겸 석민 승관 버논 한솔 디노 찬
박수 폴플 행가래 위멬유 시계 카페 트레카 울싶아 캐럿반 윈터 사이타마 아레나 돔투어 베레모 히토리쟈나이
The following media includes potentially sensitive content. Change settings
View",❌,,,,[],https://twitter.com/abcdefff__/status/1432150379068747778
거래계,@nancaratiedang,2021-08-12T03:11:01.000Z,"거래계
@nancaratiedang
·
Aug 11","세븐틴 원우포카 양도합니다
일괄시 0.5 에눌해드려요

세븐틴 포카 양도 에스쿱스 전한 조슈아 준 호시 원우 우지 디에잇 민규 도겸 승관 버논 디노 투포아 박수 어쩌나 호프 베레모 럭드 일본트레카 헹가래 미공포 신나라 윈터카페 하루콘 오드콘 언오드 독 아레나 사이타마 에쳄비
1",,,1,,['https://pbs.twimg.com/media/E8jym3rVoAAVQfM?format=jpg&name=small'],https://twitter.com/nancaratiedang/status/1425656037483311112
Xbox News for Koreans - 네이버 Xbox 정보 카페,@KoreaXboxnews,2021-08-27T17:02:39.000Z,"Xbox News for Koreans - 네이버 Xbox 정보 카페
@KoreaXboxnews
·
Aug 27","신작 출시

탱크나로크 (Tanknarok) - 2021.08.28. (출처 : XBOX 정보 카페 | 네이버 카페) http://naver.me/5VekXxbm 

개발/퍼블리싱 Polyblock Studio 
@polyblockstudio
 

아레나 탱크 대전 파티 게임
한국어 지원

https://microsoft.com/ko-kr/p/tanknarok/9NXNJXGZVM9Q…
1",,1,,,['https://pbs.twimg.com/media/E90Aq4WVUAQTPya?format=jpg&name=small'],https://twitter.com/KoreaXboxnews/status/1431301142600769540
HISO @相互フォロバ 맞팔 F4F followback 100%,HISO @相互フォロバ 맞팔 F4F followback 100%,2021-08-22T04:12:52.000Z,"HISO @相互フォロバ 맞팔 F4F followback 100%
@cakewunuro
·
Aug 21","구미콩 당진상도역 청주셀프카페 광주동구마스크제조 초씩 애원 을미 함경 포름 호의 현탁 증산 판결 쓸게 가산동브라인더제작 석문면왕기초영어학원 무민 디오트 창문샷시 소량손수건 연어초밥맛집 아레나수영용품
광고관리
어플대행
블로그홍보
FOLLOW",,,,,[],https://twitter.com/cakewunuro/status/1429295483076366345
,@SCOUPS_CHANGE,2021-08-30T12:06:00.000Z,"@SCOUPS_CHANGE
·
Aug 30","세븐틴 에스쿱스 일본 포카 양도

승철 정한 조슈아 지수 준 준휘 호시 순영 원우 우지 지훈 디에잇 명호 민규 도겸 석민 승관 버논 한솔 디노 찬 카페 포토스페이스 모시모시카드 샐러리 윈터 치즈 아레나 아이디얼컷 하루 하나 오드투유 돔투어
@SCOUPS_CHANGE
 · Aug 15
세븐틴 에스쿱스 일본 포카 양도

승철 정한 조슈아 지수 준 준휘 호시 순영 원우 우지 지훈 디에잇 명호 민규 도겸 석민 승관 버논 한솔 디노 찬 카페 포토스페이스 모시모시카드 샐러리 윈터 치즈 아레나 아이디얼컷 하루 하나 오드투유 돔투어",🐌 🐌,,,,"['https://pbs.twimg.com/profile_images/1225558784744968192/Kjn3LD2t_mini.jpg', 'https://pbs.twimg.com/media/E845wtHUYAYBP14?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E845wtjUcAQjhOc?format=jpg&name=360x360']",https://twitter.com/SCOUPS_CHANGE/status/1432313653210992641
마메 ((계정언록~,@espresso_mame,2021-08-19T03:23:45.000Z,"마메 ((계정언록~
@espresso_mame
·
Aug 18","에슾 밀어주는건 조은데
노동시간 어마무시할거같아서 무서움
교수면 자기 논문 쓰고
학생 지도하고
커피마법도 개발 실험 해야하는데
와중에
카페서 알바도 해야하고
틱톡도 (자본주의) 찍어올려야하구
왕국에선 아레나뛰거나 길드전 뛸 때두있구
마들렌도 무시해야하는데
바빠서 어찌살아",✨,,,,[],https://twitter.com/espresso_mame/status/1428195955929587723
PIVE @相互フォロバ 맞팔 F4F followback 100%,PIVE @相互フォロバ 맞팔 F4F followback 100%,2021-08-26T03:52:57.000Z,"PIVE @相互フォロバ 맞팔 F4F followback 100%
@jeqikobove
·
Aug 25","광진넵킨 삼척아레나 광산포장회사 진해리프트제작 녕겸 넷의 보정 선검 문콕 뭐임 세오 발단 깜냥 됫박 성당못HTML제작 하계역전시디자인업체 프릴 vip 유행하는 전통주판매 카페로고제작 다이어트식배달
네이버카페광고
구글광고대행
언택트홍보
FOLLOWBACK",,,,,[],https://twitter.com/jeqikobove/status/1430740019585630210
nsj1364@naver.com,nsj1364@naver.com,2021-08-29T11:15:04.000Z,"nsj1364@naver.com
@koBay4all
·
Aug 29",2008/9 박용하 일본 아레나 투어 DVD 박스 세트 (출처 : 엘피하우스 | 네이버 카페) http://naver.me/5cTlwWqU,,,,,[],https://twitter.com/koBay4all/status/1431938444805115904
