UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
호쿤.. ˚⁎⁺˳✧༚,@keeho2001,2021-08-18T06:37:56.000Z,"호쿤.. ˚⁎⁺˳✧༚
@keeho2001
·
8월 18일","#오늘의소확행공유해봅시탁
#기호에따라먹어봐요

 건대 삼떡캠핑

캠핑장처럼 꾸며져 있어서 진짜 캠핑 온 것 같고 조하요  그리고 맛있음!!!!!!!
1
8",📌,,1,8,['https://pbs.twimg.com/media/E9DbfQBUYAMC7bi?format=jpg&name=small'],https://twitter.com/keeho2001/status/1427882436231188485
O=͟͟͞͞♡,@0s_520,2021-08-18T10:25:57.000Z,"O=͟͟͞͞♡
@0s_520
·
8월 18일","#너애게내밥상을줄게 
#예찬이짱짱맨 

 건대 삼떡캠핑

여기에 콘치즈도 먹었는데 콘치즈 양 짱 많았습니다... 배불러서 다 먹지도 못 랫는데... 볶음밥은 생각보다 별로엿어요 그치만 떡볶이는 킹맛있었습니다... 세트 말고 단품에 사이드 시키시면 양 괜찮을 거 같아요!!!",🍽,,,,['https://pbs.twimg.com/media/E9EPslxVUAIiB5a?format=jpg&name=small'],https://twitter.com/0s_520/status/1427939818802012160
안드,@AND_romedahulge,2021-08-21T03:48:36.000Z,"안드
@AND_romedahulge
·
8월 21일",삼떡이라고?,,,,,[],https://twitter.com/AND_romedahulge/status/1428926987100332032
투펭쿤,@ToPenKun_OWL,2021-08-13T11:29:32.000Z,"투펭쿤
@ToPenKun_OWL
·
8월 13일","광저우와 청두가 발리언트 삼떡낸다는 가정 하에 카운트다운 컵 경우의 수(광항전)

항저우 승리 - 뉴욕 진출
광저우 3:0, 3:1 승리 -  광저우 진출
광저우 3:2 승리 - 뉴욕 진출

간단하쥬?
2
5",,,2,5,[],https://twitter.com/ToPenKun_OWL/status/1426143882681585666
소화기보관소,@Mayo_dayo_,2021-08-28T12:12:06.000Z,"소화기보관소
@Mayo_dayo_
·
8월 28일","삼떡 아닌게 어디야
1",,,,1,[],https://twitter.com/Mayo_dayo_/status/1431590410850234379
최티니,@PletaTiny,2021-08-22T08:59:52.000Z,"최티니
@PletaTiny
·
8월 22일",삼떡나오겟다,,,,,[],https://twitter.com/PletaTiny/status/1429367706378149892
위이잉,@dhqclwnwjfdyd,2021-08-21T05:13:53.000Z,"위이잉
@dhqclwnwjfdyd
·
8월 21일",삼떡데이네....,,,,,[],https://twitter.com/dhqclwnwjfdyd/status/1428948448536006663
게나리,@my_taste_twt,2021-08-21T02:11:31.000Z,"게나리
@my_taste_twt
·
8월 21일",와 삼떡이야.....,,,,,[],https://twitter.com/my_taste_twt/status/1428902555917029384
푸른달,@ThePaleBlueMoon,2021-08-09T13:17:56.000Z,"푸른달
@ThePaleBlueMoon
·
8월 9일","하나만 가질 수 없다면 둘 다 가지고 삼떡을 치는겁니다
지친찍짹
@zzickzzeck
 · 8월 9일
웜멤메 시부럴 이러면 둘중에 누굴 골라야하는겨 난 못햐 이거
이 스레드 보기
1",🌝,,,1,['https://pbs.twimg.com/profile_images/1417356485844082692/BNm8Asqo_mini.jpg'],https://twitter.com/ThePaleBlueMoon/status/1424721608778813451
콩떡동해,@lovexheel,2021-08-07T11:03:33.000Z,"콩떡동해
@lovexheel
·
8월 7일",삼떡내도 토너먼트 자력진출이 안되는데 ...,,,,,[],https://twitter.com/lovexheel/status/1423963015066513410
ㄱㄹㄷ ㅈㅂㄷ,@glads_winnable,2021-08-21T05:35:55.000Z,"ㄱㄹㄷ ㅈㅂㄷ
@glads_winnable
·
8월 21일",삼떡의날이고..,,,,,[],https://twitter.com/glads_winnable/status/1428953993452167176
어흥,@seoul_goldul,2021-08-01T10:01:08.000Z,"어흥
@seoul_goldul
·
8월 1일",이겼는데...삼떡인데...찝찝;;..,🐯,,,,[],https://twitter.com/seoul_goldul/status/1421772978937733123
엔류,@EnRyu_A,2021-08-28T08:42:40.000Z,"엔류
@EnRyu_A
·
8월 28일",삼떡의 향기가 난다...,,,,,[],https://twitter.com/EnRyu_A/status/1431537706853568512
평온좌,@hasibarsibar,2021-08-21T03:59:22.000Z,"평온좌
@hasibarsibar
·
8월 21일","애틀님들
저 무릎 꿇고 보는 중인데
삼떡 해주세요
5",,,,5,[],https://twitter.com/hasibarsibar/status/1428929698013192203
Dona,@daoonaa,2021-08-22T08:55:46.000Z,"Dona
@daoonaa
·
8월 22일",삼떡나면 같이 죽자그냥,,,,,[],https://twitter.com/daoonaa/status/1429366676047339522
춘식,@chunsik_ba,2021-08-01T08:10:52.000Z,"춘식
@chunsik_ba
·
8월 1일",서울 경기 여섯시네 삼떡 가보좌,,,,,[],https://twitter.com/chunsik_ba/status/1421745230718455814
뉴해피,@NY_SU_SH_,2021-08-21T05:05:11.000Z,"뉴해피
@NY_SU_SH_
·
8월 21일","엥? 서울이 짐? 이게 머선 일이고 게다가 삼떡? 이게 머선일이고
1",,,,1,[],https://twitter.com/NY_SU_SH_/status/1428946258538864641
파란,@b1uemin9_,2021-08-01T23:13:13.000Z,"파란
@b1uemin9_
·
8월 2일","ㅋㅋ 삼떡이 눈앞에
이번스테 걍 버리는갑지",,,,,[],https://twitter.com/b1uemin9_/status/1421972316376866816
춘식,@chunsik_ba,2021-08-08T09:44:49.000Z,"춘식
@chunsik_ba
·
8월 8일",서울 걍 삼떡을 향해 나아가는 중,,,,,[],https://twitter.com/chunsik_ba/status/1424305591372029952
김희희,@Kimheehee__,2021-08-14T16:55:27.000Z,"김희희
@Kimheehee__
·
8월 15일",서부는 글래디가 휴스턴을 삼떡내면 댈러스가 올라가는거야? 근데 휴스턴이 삼떡이 날리가..,,,,,[],https://twitter.com/Kimheehee__/status/1426588288182149122
짖음¹⁵²⁰,@barking_Q,2021-08-28T10:16:26.000Z,"짖음¹⁵²⁰
@barking_Q
·
8월 28일","삼떡이뭐에요 삼회에서떡된다?
찾으니까 삼겹살 떡꼬치밖에 안나와",,,,,[],https://twitter.com/barking_Q/status/1431561302300712965
김희희,@Kimheehee__,2021-08-08T09:28:17.000Z,"김희희
@Kimheehee__
·
8월 8일",근데 퓨전이 이기는데 풀셋가서 이기는거는 의미 없어요 무조건 삼떡내야 서울 승점 0점됨…,,,,,[],https://twitter.com/Kimheehee__/status/1424301428835700737
꿀,@4KH2pyhVcPfmIOe,2021-08-01T12:43:32.000Z,"꿀
@4KH2pyhVcPfmIOe
·
8월 1일",담주의 상하이 삼떡 못내면 기도메타 택도 없음 이미 우리는 2패에 -4점임ㅋㅋㅋ,🍯,,,,[],https://twitter.com/4KH2pyhVcPfmIOe/status/1421813848001052672
