UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
SoapBake,@Dilaila1004,2010-07-26T12:53:05.000Z,"SoapBake
@Dilaila1004
·
2010년 7월 26일","목동 '옛날포차'에서 테이크아웃한 '멸치회무침'. 김에 싸서 막걸리와함께...크~ 참고로 2인분 10,000원^^   http://yfrog.com/mhywjmj http://yfrog.com/n8epij
1",,,,1,[],https://twitter.com/Dilaila1004/status/19571039514
추군의 태양,@junhochoo,2018-12-28T14:38:47.000Z,"추군의 태양
@junhochoo
·
2018년 12월 28일","구디 옛날포차

대방어 

오십세주

매운탕
1",,1,,,"['https://pbs.twimg.com/media/Dvgs7TCU0AAI4_a?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Dvgs8YPU8AYbiAV?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Dvgs71lVsAE0s3-?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Dvgs81zVsAAiQDi?format=jpg&name=360x360']",https://twitter.com/junhochoo/status/1078661544391540736
ejang 환자이장,@bestno666,2010-11-10T11:12:46.000Z,"ejang 환자이장
@bestno666
·
2010년 11월 10일","근데 왜 난 침이 넘어갈까나.. 흠냐.. -_-; RT 
@minaalee
: 목동역 옛날포차 ㅎ  근데 난 먹을게 별로 없어서.. 먼저 자리 뜸ㅋ http://yfrog.com/6bp8ngj",,,,,[],https://twitter.com/bestno666/status/2317736856256512
jeonju_instagram,@jeonjugram,2016-05-06T01:06:35.000Z,"jeonju_instagram
@jeonjugram
·
2016년 5월 6일","으리 기염둥이들
3개월만ㅇ에 만나니까 넘좋앙
이제 자야디><
.
.
.
전주#고3#고딩#98#19#고쓰리#어린이날#북대#신정문#옛날포차#소통#인친#선팔#팔로우#팔로미#follow#followme#셀카#셀피…",😍,,,,['https://pbs.twimg.com/media/ChvDRdIXAAE7x-T?format=jpg&name=small'],https://twitter.com/jeonjugram/status/728390469651181568
팅커벨,@omghoxy,2019-10-25T12:41:38.000Z,"팅커벨
@omghoxy
·
2019년 10월 25일","옛날 포차에선 
쏘주 잔술도 팔구 
쏘주 키핑도 되구 
담배도 하나씩 팔았다구우우우?? 
#컬쳐쇼크 #낭만 #포차조아
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
3
7
8",🧀,3,7,8,[],https://twitter.com/omghoxy/status/1187710812271472641
겸하리,@hey_dk_0218,2021-05-14T13:34:54.000Z,"겸하리
@hey_dk_0218
·
5월 14일","#겸이_배도_빵빵하리
오랜만에 옛날포차 저 이런곳 완전 좋아하자나여 다들 맛있는 저녁 드셨나염 전 이제 집갑니다!!!! 오늘 다들 뭐하셨어요!!!!!  
@verse0526
 @Shu_s_hu
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
6
1
18",🐰 ⚔ 😆 😉 😉 🌝,6,1,18,[],https://twitter.com/hey_dk_0218/status/1393198134331727882
Park Han Keun,@kihoo81,2019-01-05T14:52:03.000Z,"Park Han Keun
@kihoo81
·
2019년 1월 5일","참 행복은 작고 소소하며 가까운곳에 있나보다!!ㅎㅎ

드디어 찾았다!! 옛날 빨간포차!!!!ㅠㅠ
얼마나 오고싶었다구!!!!

베프랑 오니 더더욱 행복하구나!!!!

#옛날포차 #포장마차 #차병원사거리 #단골될듯
#내친구 #조은 #행복하구나
#국경없는포차가날이렇게만들다니
29
54",🤗 👍 👏,,29,54,"['https://pbs.twimg.com/media/DwJ8tSrUUAE2kpN?format=jpg&name=small', 'https://pbs.twimg.com/media/DwJ8tSpUUAE6vDf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/DwJ8tSoVsAAUqox?format=jpg&name=360x360']",https://twitter.com/kihoo81/status/1081563985932050434
상갈랜덤채팅 상갈미팅어플 상갈톡만남,@kopogelufe,2020-10-24T09:02:07.000Z,"상갈랜덤채팅 상갈미팅어플 상갈톡만남
@kopogelufe
·
2020년 10월 24일","#이상형 #왕십리즉석만남 #왕십리즉석만남강추 낙서수준 왕십리커뮤니티 #달산엔딩 #왕십리가족모텔 쏘울중고 왕십리화장대의자 임경환 왕십리십자수 시린지건 #고양덕양구 #미시동호회 #이성추천 작업발판 옛날포차




https://play.google.com/store/apps/details?id=ppya.zadac.lazzon.gcdab&referrer=%EB%82%A8%EC%82%AC%EC%B9%9C%EA%BC%AC%EC%8B%9C%EA%B8%B0…",🇸 🇵 🏟,,,,['https://pbs.twimg.com/media/ElFSvPwUcAIBM_f?format=jpg&name=small'],https://twitter.com/kopogelufe/status/1319927139328614400
SukWon OH,@S_W_OH,2012-03-05T16:58:22.000Z,"SukWon OH
@S_W_OH
·
2012년 3월 6일","판잣집에 빗소리. (@ 옛날포차) [pic]: http://4sq.com/zrVrYg
1",,1,,,[],https://twitter.com/S_W_OH/status/176713276011454464
bagus,@jamesljh,2010-11-03T00:58:06.000Z,"bagus
@jamesljh
·
2010년 11월 3일",#목동당_ 어제 옛날포차에서 먹은 매운탕이생각나는 아침!,,,,,[],https://twitter.com/jamesljh/status/29524448066
Triplek,@k3_triplek,2017-01-23T06:15:34.000Z,"Triplek
@k3_triplek
·
2017년 1월 23일",#목동 #목동사거리 #옛날포차 #멸치회 #청춘시대 #올만에 #너희들과 #함께 @ 목동역 옛날포차 https://instagram.com/p/BPmLIN0j-om3BiqM9A-L5EWOOJkP9ynptr5ntw0/…,,,,,[],https://twitter.com/k3_triplek/status/823413850766798849
Foodb0t,@foodb0t_tweets,2016-05-10T16:50:39.000Z,"Foodb0t
@foodb0t_tweets
·
2016년 5월 11일","#목동 #옛날포차 #스페셜 
이거 플러스 #멸치회무침 
#먹스타그램 #일상 #daily #foodporn #foodie",,,,,['https://pbs.twimg.com/media/CiHBtiSWkAAzpKR?format=jpg&name=small'],https://twitter.com/foodb0t_tweets/status/730077602929623040
하찌⁷,@hazzimam,2021-04-05T09:48:22.000Z,"하찌⁷
@hazzimam
·
4월 5일","나는 오리지널 옛날 포차 떡볶이!!!!!!
프차 시러해애애",🐻 💜,,,,[],https://twitter.com/hazzimam/status/1379007998241038337
테이스티울산,@tastyulsan,2017-10-24T07:31:39.000Z,"테이스티울산
@tastyulsan
·
2017년 10월 24일","실시간으로 비내리는 포차어게인

매장안에 분식집도 있고 
옛날 포차거리 그대로 재현되어있음

#삼산동 #롯데백화점_뒷편 http://fb.me/G2gY2Fpa",,,,,[],https://twitter.com/tastyulsan/status/922727269235331073
옥이,@kio8484,2011-06-15T14:18:55.000Z,"옥이
@kio8484
·
2011년 6월 15일","#dakkogi 친구생일 이라 옛날 포차 술집왔는데 옛날후라이드치킨먹는데 정말 어렸을때 엄마가 튀겨준것같다~맛있다ㅋㅋ
2",,2,,,[],https://twitter.com/kio8484/status/81002749604536321
