UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
sora,@happy_CSR_,2021-08-02T08:42:27.000Z,"sora
@happy_CSR_
·
8월 2일","전남도지사 이낙연의 약속과 업적

2016년 전국 일자리,대상 수상, 스마트 산단 구축, 공공산후조리원 개소, 100원 택시 등

""2017년 문재인 정부의 첫 국무총리로 내정되며 2년 11개월 동안의 도지사의 여정은 중단됐지만, 이낙연의 약속은 현재도 진행 중입니다""

https://youtu.be/M1hh3sSKJeo
209
191",,,209,191,['https://pbs.twimg.com/media/E7xekmhUcAQVtTs?format=jpg&name=small'],https://twitter.com/happy_CSR_/status/1422115569055137792
노루,@ru_noru,2021-08-06T05:17:14.000Z,"노루
@ru_noru
·
8월 6일","생토노레. 딴것두 먹어봐야 하는데 이거 좋아해서 또 사와버렸다 ㅜㅠ 꽃병은 8000원 주고 산건데 후회중....... 역시 꽃병은 길고 목 좁은게 최고다 그말입니다
1
8",,1,,8,['https://pbs.twimg.com/media/E8FV9IdVoAEO7SI?format=jpg&name=900x900'],https://twitter.com/ru_noru/status/1423513473695158274
커멸거래계,@zidzhd,2021-08-15T13:11:57.000Z,"커멸거래계
@zidzhd
·
8월 15일","귀멸의 칼날 오네무탄 5탄 미개봉 양도합니다!
산 것도 까먹었는데 배송왔어요...
일괄 2.0에 양도하고 개별은 0.4인데
쿄쥬로, 센쥬로 데려가시는 분은 탄지로, 젠이츠, 아카자 중에 1개 데려가주셔야 돼요!
반택 1800원 일반 편택 3200원 추가입니다
3
8
2",😂,3,8,2,"['https://pbs.twimg.com/media/E81Y6GfVoAYKLK_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E81Y6aEUYAA_zu6?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E81Y66zUYAYi5mA?format=jpg&name=360x360']",https://twitter.com/zidzhd/status/1426894429428731906
꼬꼬막 #4 NY,@seoas77,2021-08-05T08:23:52.000Z,"꼬꼬막 #4 NY
@seoas77
·
8월 5일","판사출신의 다선의원에
당대표, 법무장관등
막말로
대통령 빼곤 다 해봤는데
왜 그러십니까? 추먜야
돈 욕심
권력 욕심
강요
셋중 하나 겠지만 ?
보통 사람의 상식으론 이해 불가 올씨다
그것도 하필이면
아더메치의 본산 막산놈 쪽에,

삼가 명복을 빕니다 추먜야
2
8
7",,2,8,7,['https://pbs.twimg.com/media/E8A3FnJVUAI4K4W?format=jpg&name=small'],https://twitter.com/seoas77/status/1423198053889036291
MIRACLE,@alalumiere,2021-08-30T22:35:36.000Z,"MIRACLE
@alalumiere
·
8월 31일","경기도 산하 공공기관 노조, '이재명 낙하산 인사' 명단 작성 | 다음뉴스이 중에는 경찰 간부로 재직할 때 금품수수 혐의로 실형을 선고받고도 경기도시장상권진흥원 상임이사로 무리하게 채용됐다는 비판을 받은 A씨와 성남 출신으로 관련 자격이 없는데도 부정 채용됐다
경기도 산하 공공기관 노조, '이재명 낙하산 인사' 명단 작성
(수원=연합뉴스) 류수현 기자 = 경기도 산하 공공기관 노조 측이 이재명 지사의 보은 인사로 추정되는 '낙하산 인사 명단'을 작성한 것으로 30일 확인됐다. 노조가 최근 6개월간 작성한 '부정채용 경기도 공공기관 등' 자료에 따르면 명단에는 이 지사가 2010∼2018년 성남시장을 지낼 당시 산하 기관에서 함께 일했던 인물들과 2017년 대선 캠프 등에서
news.v.daum.net
1",🌱 👿 😡,,,1,['https://pbs.twimg.com/card_img/1434864310409261056/lCa4Blp-?format=jpg&name=small'],https://twitter.com/alalumiere/status/1432472094483255296
일해라 굴시키칸 보급상자 파밍해(찰싹) 사장님 이런회사라고안하셨잖아요우리본부부셔지잖아요,,2021-08-27T07:48:44.000Z,"일해라 굴시키칸 보급상자 파밍해(찰싹) 사장님 이런회사라고안하셨잖아요우리본부부셔지잖아요
·
8월 27일","총기덕후의 친구로산다는것 2

(생일선물로 에어건 살려는중) 어 3500원짜리 에어건있다
어 사서 너한테쏘기
너구리사냥 그만해!!!!!
4",,,,4,[],https://twitter.com/sakura_fly_sa/status/1431161743762354178
,@BakeSweetPotato,2021-08-08T03:37:54.000Z,"@BakeSweetPotato
·
8월 8일","원플원으로 산 죽 남은거 먹는중..
어제먹은 야채버섯죽은 괜찮았는데 통단팥죽은 달다...달아.. 반정도 남김",🍠,,,,[],https://twitter.com/BakeSweetPotato/status/1424213251240304652
fuzhu,@TFtheROCKSTAR,2021-08-16T11:57:08.000Z,"fuzhu
@TFtheROCKSTAR
·
8월 16일","니키 옷중에선 쿠팡에서 세장만사천구뱍원에 산 초록색 후드티가 제일 얘쁩니다
1",,,1,,[],https://twitter.com/TFtheROCKSTAR/status/1427237990875623428
24601멒스,@pavisaranghea02,2021-08-20T03:04:13.000Z,"24601멒스
@pavisaranghea02
·
8월 20일"," 레드훗에 입대한 당신은
──────────────────
멒스은/는 총사령관 산하 공무특수부대원들과의 전투 중 큰 부상을 입게 됩니다.
https://gaeyou.com/t/?260406

헐이게뭐야 .......좋다(
울애들한테 쳐맞기",🐤,,,,[],https://twitter.com/pavisaranghea02/status/1428553427626250246
선불폰팅 남성전용 19금 24시간 지역폰팅 원나잇 지역만남,@soselizace,2021-08-30T20:33:20.000Z,"선불폰팅 남성전용 19금 24시간 지역폰팅 원나잇 지역만남
@soselizace
·
8월 31일","게임빌 바매매 스카힐 정복술 적법 파티다 강순희 보고문 산기관 중개소 하는중 고찰 개짖는 류정희 숲체원 조재민 축도면 병과 가견적 박주연 스포텍 이유조 태우다 학꽁치 지오텔 후스 백설차 네오팜 사주합

 프로필 체크RNNU",📝,,,,[],https://twitter.com/soselizace/status/1432441325056577538
