UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
【메인트】 로그아웃,@S1LKCL0UD,2021-08-20T00:31:27.000Z,"【메인트】 로그아웃
@S1LKCL0UD
·
8월 20일","자컾으로 삼땡쓰 가용~
1
1
6",,1,1,6,['https://pbs.twimg.com/media/E9MaxugUcAAUyhg?format=jpg&name=small'],https://twitter.com/S1LKCL0UD/status/1428514986062598147
채챗,@chaebugiya,2021-08-12T16:30:59.000Z,"채챗
@chaebugiya
·
8월 13일",삼땡되면 칭구될 우리 자기즈,💛,,,,"['https://pbs.twimg.com/media/E8mptEcUYAQkxa7?format=jpg&name=small', 'https://pbs.twimg.com/media/E8mptVdVUAMW_MQ?format=jpg&name=small']",https://twitter.com/chaebugiya/status/1425857355208552453
,@Amarei_pic,2021-08-04T04:41:49.000Z,"@Amarei_pic
·
8월 4일",이번에 가는.. (달리고 있는...) 삼땡 티알인장...^^...,💕,,,,['https://pbs.twimg.com/media/E766q9-UUAMwbed?format=jpg&name=small'],https://twitter.com/Amarei_pic/status/1422779783889362944
몽나,@LemonYamYam,2021-08-15T06:16:08.000Z,"몽나
@LemonYamYam
·
8월 15일",삼땡스케피씨힐브린,,,,,[],https://twitter.com/LemonYamYam/status/1426789787097206786
솜,@somhrs,2021-08-12T10:54:09.000Z,"솜
@somhrs
·
8월 12일",삼땡 각 ㅋㅋㅌㅋㅋ,,,,,[],https://twitter.com/somhrs/status/1425772590425985025
삼구,@king__sung,2021-08-29T10:58:48.000Z,"삼구
@king__sung
·
8월 29일",삼땡 야구는 자해다 ××...,,,,,[],https://twitter.com/king__sung/status/1431934352816889863
,@ddsnk8,2021-08-17T14:35:52.000Z,"@ddsnk8
·
8월 17일","플립 콜라보 케이스 보고 있는데
벤자민 무어랑 삼땡 사자즈 
119REO 케즈 정도",🐍,,,,[],https://twitter.com/ddsnk8/status/1427640325850423314
,@whdusqls,2021-08-27T16:24:42.000Z,"@whdusqls
·
8월 28일",먼 ㅠ 삼땡은 대규모할때마다 2등아님 3등이야... 1등은아주오래오래오래어래전,🧊,,,,[],https://twitter.com/whdusqls/status/1431291594339074050
【】 햄석뽕빠뽕햄찌떡주물또부,@EjrdmfTjfdjfk58,2021-08-30T10:46:40.000Z,"【】 햄석뽕빠뽕햄찌떡주물또부
@EjrdmfTjfdjfk58
·
8월 30일","삼땡스가고싶다
진짜나힘들다얘들아힘내서하얗게불태우고나면누가나삼땡스몰아주라사실내가너네몰아주고싶다
TRPG 단안
@NYARUL0V3
 · 2019년 9월 24일
COC 팬메이드 타이만 시나리오 <잘 자요, 고마워요, 그리고 또 만나요.> 이하, 삼땡스를 배포합니다.
탐사자와 Kpc는 종말을 앞두고, 여행을 떠나기로합니다.

다시 만나길 희망하며 나는 당신 곁에서 잠에 듭니다.
http://posty.pe/3jpngf
이 스레드 보기",🌰 🔗,,,,"['https://pbs.twimg.com/profile_images/1378642046366277634/-JPAaOJx_mini.jpg', 'https://pbs.twimg.com/media/EFKGiEjVUAA1TzE?format=jpg&name=small']",https://twitter.com/EjrdmfTjfdjfk58/status/1432293685685669892
김복,@gim_bok,2021-08-02T14:12:21.000Z,"김복
@gim_bok
·
8월 2일",삼땡ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,,,[],https://twitter.com/gim_bok/status/1422198589703393280
땅이,@slowly__2,2021-08-24T07:19:01.000Z,"땅이
@slowly__2
·
8월 24일",근데 쟤가 먼저 삼땡살아니고 초3이었는데,,,,,[],https://twitter.com/slowly__2/status/1430067102153461762
아도,@c_AvA_c,2021-08-18T13:18:38.000Z,"아도
@c_AvA_c
·
8월 18일","안젤 삼땡스가고싶다
좀 개변해서 젤리를 안지가 직접 만들었다면 더 맛있지않을까
1",,1,,,[],https://twitter.com/c_AvA_c/status/1427983274786267143
아도,@c_AvA_c,2021-08-04T07:16:12.000Z,"아도
@c_AvA_c
·
8월 4일","안드로이드 하님가 생각났는데요
삼땡스가주세요 다들
켚씨가 감정결핍캐면 더 좋다
관계성에서 피씨가 켚씨에게 감정을 가르쳐준 그거면 더 좋다",,,,,[],https://twitter.com/c_AvA_c/status/1422818635827998723
힝촤,@doomdoomchwa,2021-08-12T10:48:45.000Z,"힝촤
@doomdoomchwa
·
8월 12일",난 아직 삼땡 넘어간 기사 없어 응애로드야,,,,,[],https://twitter.com/doomdoomchwa/status/1425771228606787585
【메인트】 로그아웃,@S1LKCL0UD,2021-08-19T01:34:43.000Z,"【메인트】 로그아웃
@S1LKCL0UD
·
8월 19일","오늘삼십케이
내일세네크리삼땡스
이틀연속실친과함께하는멋진캐자티알 
이미요는언제쯤잠저택가줄건데",,,,,[],https://twitter.com/S1LKCL0UD/status/1428168516482465794
너의 마티니 너는 내 우주 (구)에디,@Yeady_ziniMoon,2021-08-29T09:18:23.000Z,"너의 마티니 너는 내 우주 (구)에디
@Yeady_ziniMoon
·
8월 29일","슈가야 누나 서른 둘인데 어디쯤 오고있니 몇개월 뒤면 삼땡인데... 부모님 잔소리 듣기 힘들다... 차 많이 밀리면 누나가 가고
방탄소년단
@BTS_twt
 · 2014년 2월 13일
안녕 난 슈가 오늘부터 네번째 손가락 비워둬...^^
1
4",🐙 💜 🪐 😇,1,,4,['https://pbs.twimg.com/profile_images/1437401193332969472/A1F8waJg_mini.jpg'],https://twitter.com/Yeady_ziniMoon/status/1431909081736826880
푸른,@greenblue247,2021-08-25T13:16:16.000Z,"푸른
@greenblue247
·
8월 25일",백신 맞고 로제떡볶이 먹을건데 배땡 먹을지 삼땡먹을지 태땡 먹을지 고민임. 그리고 두류에 스쿨푸드 생겼더라 언제 나모르게 생긴거임?,,,,,[],https://twitter.com/greenblue247/status/1430519397471297538
