UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
I 장자,@UNION_USER_MK2,2021-08-30T13:04:32.000Z,"I 장자
@UNION_USER_MK2
·
8월 30일",시발....,♥,,,,['https://pbs.twimg.com/media/E-CnD9qUYAIsv1w?format=png&name=small'],https://twitter.com/UNION_USER_MK2/status/1432328381433991168
영덕,@gg_mk2,2021-08-30T14:11:06.000Z,"영덕
@gg_mk2
·
8월 30일","마리아 .. 맘에 드는 부분만 ㅎㅎ ㅠ
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
6
4",,,6,4,[],https://twitter.com/gg_mk2/status/1432345135778463747
Freyja,@s4_mk2,2021-08-30T11:15:35.000Z,"Freyja
@s4_mk2
·
8월 30일","고기 넣었다
1",,1,,,['https://pbs.twimg.com/media/E-COHmlVUAQIKoJ?format=jpg&name=small'],https://twitter.com/s4_mk2/status/1432300962849312770
I 장자,@UNION_USER_MK2,2021-08-30T13:43:14.000Z,"I 장자
@UNION_USER_MK2
·
8월 30일",뉴멜티 발매일날 대회ㅋㅋㅋㅋ,♥,,,,['https://pbs.twimg.com/media/E-Cv5oCVQAM7Fo0?format=jpg&name=small'],https://twitter.com/UNION_USER_MK2/status/1432338120012222467
tAMRIN,@tamrin_mk2,2021-08-30T10:54:13.000Z,"tAMRIN
@tamrin_mk2
·
8월 30일","아아 ㅜㅜ

슬픕니다
tAMRIN
@tamrin_mk2
 · 2019년 5월 10일
우식당우마이 카레 3연살

와 두접시는 겁나 아쉽더니
세접시는 진짜 만족감 쩐다

그리고 오늘 카레 여태 먹은거와 또 틀린거같 뭣보다 고기가 탱글탱글한게 쌀이 존맛
1
2",,1,,2,"['https://pbs.twimg.com/profile_images/1179964000798298113/llJLF4Ea_mini.jpg', 'https://pbs.twimg.com/media/D6LUVmtU8AAcx7T?format=jpg&name=360x360', 'https://pbs.twimg.com/media/D6LUX_DVUAEwiVd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/D6LUWqoUYAE08HR?format=jpg&name=360x360', 'https://pbs.twimg.com/media/D6LUZLkUUAclZhy?format=jpg&name=360x360']",https://twitter.com/tamrin_mk2/status/1432295586842116098
tAMRIN,@tamrin_mk2,2021-08-30T10:20:25.000Z,"tAMRIN
@tamrin_mk2
·
8월 30일","잠깐.....

해외배송?

무료배송??

ㅋㅋㅋㅋㅋ
대파에요
@DeeeepA_
 · 8월 30일
생각보다 싸다니까요  twitter.com/jakeunae/statu…
1
3",,1,,3,"['https://pbs.twimg.com/profile_images/1440209349607972872/rJ3WBj9d_mini.jpg', 'https://pbs.twimg.com/media/E-A2tXzVUAE2745?format=jpg&name=small']",https://twitter.com/tamrin_mk2/status/1432287083536654336
Mk2,@AE_MK2,2021-08-30T10:32:28.000Z,"Mk2
@AE_MK2
·
8월 30일","모두의 익명 질문을 모집 중!

Mk2 씨는 아직 대답 질문이 없습니다!
Mk2 씨의 기념해야 할 첫 번째 대답은 질문도! ?
#질문상자 #익명질문모집중
익명들을 버려!Mk2 질문 상자입니다
Kor/Eng Ok Usually drawing some weird things about the game Alter Ego. Main account(Destiny 2): @White_B00
peing.net",🦋,,,,['https://pbs.twimg.com/card_img/1439458678533500929/1cL7aW3h?format=jpg&name=small'],https://twitter.com/AE_MK2/status/1432290113992622089
영덕,@gg_mk2,2021-08-30T14:34:08.000Z,"영덕
@gg_mk2
·
8월 30일",야마무라가 하던 말들 교단에서 실제로 쓰던 말이려나 야수들 닥치는 대로 죽이고 달빛 아래에서 피 뒤집어쓴 채로 기도문 외우듯이 읊는 루드비히 보고 싶네 ^_^,,,,,[],https://twitter.com/gg_mk2/status/1432350932436541444
영덕,@gg_mk2,2021-08-30T11:05:30.000Z,"영덕
@gg_mk2
·
8월 30일",중년 너무 어렵다 ㅠㅠㅋㅋ수장 저는 힘냈어요,,,,,[],https://twitter.com/gg_mk2/status/1432298425605758979
Freyja,@s4_mk2,2021-08-30T14:22:55.000Z,"Freyja
@s4_mk2
·
8월 30일","근육조선? 이거 재밌나?
1",,1,,,[],https://twitter.com/s4_mk2/status/1432348107560210433
하룻비,@harun_mk2,2021-08-30T15:29:45.000Z,"하룻비
@harun_mk2
·
8월 31일","나는...탐라의 모든 존잘님들이...후원 계좌를 열었으면 좋겠어......

돈 없잖아요
......
빨리 취직부터 하고올게
7",,,,7,[],https://twitter.com/harun_mk2/status/1432364926329257987
