UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
생강,@inkivaariyksi,2021-08-29T04:34:27.000Z,"생강
@inkivaariyksi
·
Aug 28","집안 잡일을 해준 칭구에게 비빔면을 대접했다.
오이를 저러케 감자칼로 얇게 깎아서 같이 면과 같이 말아먹으믄 맛있음.
13
723
1.4K",,13,723,1.4K,['https://pbs.twimg.com/media/E97oulmUYAIsisJ?format=jpg&name=small'],https://twitter.com/inkivaariyksi/status/1431837627049598978
현토,@DiNo13_,2021-08-29T19:49:09.000Z,"현토
@DiNo13_
·
Aug 29","디노는 순간을 놓치지 않는 칭구라서 좋아. 전설의 이찬핑크 ㅋㅋㅋㅋㅋ 스냅슛을 처음 봤을 때 정말 순식간에 표정을 바꿔 활짝 웃는 것에 놀랐는데, 자신에게 카메라가 집중되는 그 짧은 순간에도 시선을 단번에 사로잡는 방법을 아는 사람 같았다.
GIF
1
287
679",,1,287,679,['https://pbs.twimg.com/tweet_video_thumb/E9-6EMVVIAILnwK.jpg'],https://twitter.com/DiNo13_/status/1432067820133576706
s김l앉o은w우◡̈,@sitdownwoo,2021-08-29T13:56:54.000Z,"s김l앉o은w우◡̈
@sitdownwoo
·
Aug 29","#더비구함
계옮해서 칭구가 없어용ㅠ 저랑 뎸하면서 친해져용 교복이상 와주세용 초반환영•••♡
1
5
297",,1,5,297,"['https://pbs.twimg.com/media/E99pcQoVEAABCaj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E99pcQmVEAM7erB?format=jpg&name=small']",https://twitter.com/sitdownwoo/status/1431979173921189895
저화질의 권은비,@kwoneb_capture,2021-08-30T09:12:54.000Z,"저화질의 권은비
@kwoneb_capture
·
Aug 30","나왜우러...비밀칭구 고마워
The following media includes potentially sensitive content. Change settings
View
171
251",🥺,,171,251,[],https://twitter.com/kwoneb_capture/status/1432270089974255618
SLOW호미,@da_naeggeu,2021-08-29T04:36:05.000Z,"SLOW호미
@da_naeggeu
·
Aug 28","#모아트친소
다섯명 다 하나도 빠짐없이 아끼는 나랑 친구하자요 거기 지나가는 칭구 귀엽운 호미랑 짱친하지 않을랭>< 친해지면 짱 재미씀 트친들 인알 부타케
12
33",😉 🤍 🤍,,12,33,"['https://pbs.twimg.com/media/E97pGt5UcAUYVnj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E97pGt3VEAYARG2?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E97pGt2VEAMuLUY?format=jpg&name=360x360']",https://twitter.com/da_naeggeu/status/1431838038217269253
SLOW 메인덕초반초 가연,@ww_bts_0613,2021-08-30T00:53:45.000Z,"SLOW 메인덕초반초 가연
@ww_bts_0613
·
Aug 29","#아미트친소 
트친한테 다 퍼주는 사람이랑 칭구 먹자
32
35",,,32,35,"['https://pbs.twimg.com/media/E9__zMwVEAAphq3?format=jpg&name=small', 'https://pbs.twimg.com/media/E9__zMwVEAE2Y91?format=jpg&name=360x360']",https://twitter.com/ww_bts_0613/status/1432144474918903810
깇,@bini_rabbit,2021-08-30T10:48:18.000Z,"깇
@bini_rabbit
·
Aug 30","칭구 줬어
1
4
64",🐶,1,4,64,['https://pbs.twimg.com/media/E-CH4fUVUAUoRyk?format=jpg&name=small'],https://twitter.com/bini_rabbit/status/1432294100150022147
&,@_loveandluv,2021-08-29T11:54:27.000Z,"&
@_loveandluv
·
Aug 29","칭구가 그려준 아기솜사탕 용복이
눈 초롱초롱한것부터 고양이 귀랑 꼬리까지... 진짜 너무 사랑스럽다요
40
100",🥺 🥺 💖 💖,,40,100,['https://pbs.twimg.com/media/E99NcH_VUAQetp-?format=jpg&name=small'],https://twitter.com/_loveandluv/status/1431948356469678090
갱얼 구선생,@5my9od,2021-08-28T07:21:48.000Z,"갱얼 구선생
@5my9od
·
Aug 28","옆방에 입양 전제로 임보온 칭구
석구 본하랑 평행산책 2시간 하구 집 와서 잔다
8살 공주 봄이 너무 귀여워
1
17
57",🐾,1,17,57,"['https://pbs.twimg.com/media/E93FbbGUUAYnHnG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E93FcMCVEAM4AdM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E93FbyVUYAA0PTK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E93FcnoVcAAL2_n?format=jpg&name=360x360']",https://twitter.com/5my9od/status/1431517355427844099
사이시옷,@Alphabeta10101,2021-08-29T11:40:08.000Z,"사이시옷
@Alphabeta10101
·
Aug 29","칭구가 뜨개질로 떠 줌 ••• 존나 정성 가득 
2
24",❤,2,,24,['https://pbs.twimg.com/media/E99KJmfVgAIRqI5?format=jpg&name=small'],https://twitter.com/Alphabeta10101/status/1431944755148062724
햇님,@lovely2girls,2021-08-30T09:20:42.000Z,"햇님
@lovely2girls
·
Aug 30","차타고 조금만 나가니 이런곳이.,
칭구랑 수다떠는게 제일 힐링이지~
오늘 무지 되~던 하루였지만 잘마무리~
6
12",💋,6,,12,"['https://pbs.twimg.com/media/E-BzyEqVEAAuoFn?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-Bz0GRVUAQwKzJ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-BzzTpUcAErBYX?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-Bz1ZEVgAYBrzt?format=jpg&name=360x360']",https://twitter.com/lovely2girls/status/1432272054825353219
ㅌㅊㅅ 정세울,@s_eul_0,2021-08-29T10:13:07.000Z,"ㅌㅊㅅ 정세울
@s_eul_0
·
Aug 29","#투디_트친소

얘보다 트이타 칭구 더 많아지고 시퍼요 
흔적 남기면 무멘팔 갈김.ᐟ.ᐟ
7
15",,,7,15,['https://pbs.twimg.com/media/E982PpFVEAEubP1?format=jpg&name=small'],https://twitter.com/s_eul_0/status/1431922855524986889
