UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
나이키,@cool_dog_hotdog,2021-08-29T13:51:17.000Z,"나이키
@cool_dog_hotdog
·
8월 29일","내년 상반기에 출시될 국산 오픈월드형 게임 ‘도깨비’ 너무 기대된다…현대배경에 적절한 판타지 한국풍이 가미된 설정 좋아하는 내 취향을 갈아만든 것 같음.. 단순히 한국풍 모양만 낸게 아니라 트레일러 영상에서 등불 띄우기, 연날리기같은
1
8.5천
4.8천",🏐,1,8.5천,4.8천,"['https://pbs.twimg.com/media/E99oLjrVQAgrirt?format=jpg&name=small', 'https://pbs.twimg.com/media/E99oLjqUcBIq6R7?format=jpg&name=small', 'https://pbs.twimg.com/media/E99oLjrUYAE9E5l?format=jpg&name=360x360']",https://twitter.com/cool_dog_hotdog/status/1431977761678102529
Mill : 헤밀,@Haikyuu_mill,2021-08-28T11:28:48.000Z,"Mill : 헤밀
@Haikyuu_mill
·
8월 28일","도깨비와 도깨비 #haikyuufanart
1
68
246",,1,68,246,"['https://pbs.twimg.com/media/E939-XaVEAAFijJ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E939-7SVQAI8CuV?format=jpg&name=360x360']",https://twitter.com/Haikyuu_mill/status/1431579516971806722
비공개,@dogforv,2021-08-28T15:22:53.000Z,"비공개
@dogforv
·
8월 29일","도깨비신부
4
173
862",,4,173,862,['https://pbs.twimg.com/media/E94zg9lVgAMTuGi?format=jpg&name=small'],https://twitter.com/dogforv/status/1431638424746790917
박스시험공부중,@Box_4321,2021-08-28T16:22:15.000Z,"박스시험공부중
@Box_4321
·
8월 29일","도깨비사냥꾼 모로와 도깨비로이드
도깨비로이드는 전에그린거에서 많이따옴
1
21
41",,1,21,41,"['https://pbs.twimg.com/media/E95A-kQVcAAhtr9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E95A_jbUUAQ7-8r?format=png&name=360x360']",https://twitter.com/Box_4321/status/1431653363951681538
페퍼,@___DrPepper,2021-08-29T09:21:30.000Z,"페퍼
@___DrPepper
·
8월 29일","RT)) 아무나 참여 가능 미남들이 대거 출몰하는 레진 코믹스 연재작 &lt;도깨비도 수풀이 있어야 모인다>의 공식 햇살남 서 산의 다가오는 생일을 기념하여 RT 추첨을 통해 한분께 도수풀 보시라고 문상 3만원권 쏴드립니다 아직 안 보신 분들도 이 기회에 도수풀 전설의 펠싫남 구경하러 가보쉴?
2
248
72",💛 💛,2,248,72,"['https://pbs.twimg.com/media/E98qbHsVUAIlq7H?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E98qbkwVEA4GcnE?format=jpg&name=360x360']",https://twitter.com/___DrPepper/status/1431909868575739909
제제,@J43J43__,2021-08-28T04:58:54.000Z,"제제
@J43J43__
·
8월 28일","아기도깨비가 도깨비왕이 되었네
9
31",🔥,,9,31,"['https://pbs.twimg.com/media/E92kvHxUUAITys9?format=jpg&name=small', 'https://pbs.twimg.com/media/E92kvHuVIAArK3p?format=jpg&name=360x360']",https://twitter.com/J43J43__/status/1431481392714579969
비스타즈 보세요,@miniberry_kr,2021-08-29T11:46:46.000Z,"비스타즈 보세요
@miniberry_kr
·
8월 29일","펄어비스 도깨비 공중파 진출ㄷㄷㄷ;ㄷㄷㄷ;;ㄷㄷ;ㄷ;ㄷ;ㄷ;ㄷ;;ㄷ;
1
14
3",,1,14,3,['https://pbs.twimg.com/media/E99LpQAVIAIYdjo?format=jpg&name=small'],https://twitter.com/miniberry_kr/status/1431946422316797953
티(반반동결),@Ehdamffldp1234,2021-08-30T09:03:25.000Z,"티(반반동결)
@Ehdamffldp1234
·
8월 30일","어느 섬에 갓을 쓴 도깨비가 살고 있다지?

헛소문이라기엔 글쎄,

도깨비를 본 아이들이 많아서 말이지.
1
7
39",❄,1,7,39,"['https://pbs.twimg.com/media/E-Bv4sMVQAYSIPn?format=jpg&name=small', 'https://pbs.twimg.com/media/E-Bv41BVQAItS4K?format=jpg&name=small']",https://twitter.com/Ehdamffldp1234/status/1432267705474686976
秦愛（はたのあい）,@beetie135,2021-08-30T13:24:49.000Z,"秦愛（はたのあい）
@beetie135
·
8월 30일","도깨비 트레일러에 등장한 줄불놀이.

참고로 함안 낙화놀이란 이름으로 실존하는 축제임.
조선시대부터 이어져와 현대에는 몇 마을에서만이 계승한 축제를 도깨비라는 게임을 통해 알리는 건, 
잊히기 직전의 문화를 발굴했다고 할 수 있고, 그러기에 더욱 가치있는 일임.

https://youtube.com/watch?v=iYT2i360G58…
3
58
56",,3,58,56,['https://pbs.twimg.com/media/E-CrC75VUAkFozG?format=png&name=small'],https://twitter.com/beetie135/status/1432333485306363912
키티깅 김시시,@K1MS1S1,2021-08-29T13:00:39.000Z,"키티깅 김시시
@K1MS1S1
·
8월 29일","#한국_요괴들의_잔치

한국의 대표적 요괴라고 할 수 있죠! 파란 도깨비 불을 모티브로 그려 본 도안입니다 
1
2
26",😝 ❤ ❤,1,2,26,['https://pbs.twimg.com/media/E99cl33VcAI_3mB?format=jpg&name=small'],https://twitter.com/K1MS1S1/status/1431965017667031047
𝔼ℕ𝔼,@DesertfoxIN2001,2021-08-29T11:05:01.000Z,"𝔼ℕ𝔼
@DesertfoxIN2001
·
8월 29일","아기도깨비 인생에 두번의 실수란 업따!!!
84
109",,,84,109,['https://pbs.twimg.com/ext_tw_video_thumb/1431935697267544069/pu/img/e_NCmf2aEH6lDdMH.jpg'],https://twitter.com/DesertfoxIN2001/status/1431935919351681025
별,@onlystar__s2,2021-08-28T13:19:29.000Z,"별
@onlystar__s2
·
8월 28일","도깨비 테라피

© 특대생님
1
2
18",💛,1,2,18,"['https://pbs.twimg.com/media/E94XT7rVkAwDDYl?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E94XURWUYAQ9eSA?format=jpg&name=360x360']",https://twitter.com/onlystar__s2/status/1431607370983956483
유시,@mi_ku,2021-08-29T14:22:38.000Z,"유시
@mi_ku
·
8월 29일","도깨비 코스 각 잡구싶은데 함께해줄사람...
1
2
5",☄ 🌟 ❄ ☄,1,2,5,['https://pbs.twimg.com/media/E99vUBhVUAol3bX?format=png&name=small'],https://twitter.com/mi_ku/status/1431985651226853379
마가렛,@MGRmagaret,2021-08-28T14:41:03.000Z,"마가렛
@MGRmagaret
·
8월 28일","우리집 도깨비 언니...
6",,,,6,['https://pbs.twimg.com/media/E94p_CHVUAMiAcC?format=jpg&name=small'],https://twitter.com/MGRmagaret/status/1431627896964009997
개강slow.제로,@Brookies0915,2021-08-28T07:35:28.000Z,"개강slow.제로
@Brookies0915
·
8월 28일","요정? 천사? 아기도깨비? 늑대?
2
1
14",,2,1,14,['https://pbs.twimg.com/media/E93IkhpVEAMOVE7?format=jpg&name=small'],https://twitter.com/Brookies0915/status/1431520794933223427
우무,@95881208,2021-08-30T20:13:04.000Z,"우무
@95881208
·
8월 31일","양말도깨비 믕이 인형
1
11",,,1,11,['https://pbs.twimg.com/media/E-EJJ8cUUAAAMh9?format=jpg&name=360x360'],https://twitter.com/95881208/status/1432436226699579398
ً ★ 𝗝𝗨𝗦 ╱ 𝟮 ! ❜ inviten a todo.,@JUS7TWT,2021-08-30T22:45:16.000Z,"ً ★ 𝗝𝗨𝗦 ╱ 𝟮 ! ❜ inviten a todo.
@JUS7TWT
·
8월 31일","⿻⠀ 𓈀⠀ focu̲s ⠀ ˗ˏˋ   ⠀ 𝗼𝗻 ㅤ〄ㅤ mᥱ⠀ ⠀:ㅤㅤwᥱ'rᥱㅤㅤㅤㅤhᥱrᥱㅤㅤ᭝ㅤ #𝖨𝖭𝖳𝖮𝖳𝗛𝗘도깨비𝗖𝖮𝖱𝖤⁩ ⁦#𝖩𝖮𝖨𝖭𝖳𝖧𝖤𝖦𝙃𝙊𝙏𝖨𝖢𝖦𝖠𝖭𝖦⁩

#BROOK: Volando llegue and #𝗚𝗛𝗢𝗧𝗜𝗖𝗦𝖠𝖱𝖤𝗛𝗘𝗥𝗘⁩ porque no podía perder el icónico regreso de 
@G_GANGTWT
.
1
2
61",📷,1,2,61,['https://pbs.twimg.com/media/E-Er_nxWUAMdGbv?format=jpg&name=small'],https://twitter.com/JUS7TWT/status/1432474531256541185
