UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
리하,@wordstheoutside,2021-08-07T10:43:56.000Z,"리하
@wordstheoutside
·
8월 7일","힘들어서 피자시켰오 
아까 가지로 가지덮밥 그거 해먹었는데 난 가지 싫어해서 맛없었어..  하지만 가지가 있어서 해먹었어
팽이버섯은 양념 타면 조금 긁어내는 용으로 흡수하라고
팽이도 싫어하는데 있어서.. 하..
5",,,,5,"['https://pbs.twimg.com/media/E8LqT7RVEAkMJTn?format=jpg&name=small', 'https://pbs.twimg.com/media/E8LqUUWVkAU_DP6?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8LqUxSVUAAxAdl?format=jpg&name=360x360']",https://twitter.com/wordstheoutside/status/1423958077716320256
요리왕 청룡,@Bab_care_Chung,2021-08-08T03:35:29.000Z,"요리왕 청룡
@Bab_care_Chung
·
8월 8일","어제 배달음식 먹을때 킵해둔 가쓰오 국물을 활용한 일식풍 목살덮밥
4",,,,4,['https://pbs.twimg.com/media/E8PR1jTVEAYJPN4?format=jpg&name=small'],https://twitter.com/Bab_care_Chung/status/1424212642386780166
썬지,@ssunjiii,2021-08-06T04:16:04.000Z,"썬지
@ssunjiii
·
8월 6일","저는 장어덮밥 먹으러 왔어요!! 다들 맛점하세요오
3
4",🌻 💗,3,,4,['https://pbs.twimg.com/media/E8FH9LoUYAEfRYM?format=jpg&name=small'],https://twitter.com/ssunjiii/status/1423498081375383554
Hyoung-Won Park,@dalcrose,2021-08-05T15:33:31.000Z,"Hyoung-Won Park
@dalcrose
·
8월 6일","두부 크럼블 덮밥소스 카파오 맛 드디어 먹어봤다!
1",,,,1,['https://pbs.twimg.com/media/E8CZYpDVcAAiabP?format=jpg&name=small'],https://twitter.com/dalcrose/status/1423306177627127811
k,@zayykiki,2021-08-03T19:10:41.000Z,"k
@zayykiki
·
8월 4일","전군이 박군친구 김군 싫어하는이유 안먹겠다고 몇번이나 말했는데 박군이 귀염둥이 마이무라고 핫도그떡볶이 라면 대패삼겹살덮밥 굳이굳이 시켜준건데 김군이 어슬렁어슬렁 자리에 앉으면서(심지어 승급전 같이갈기기로 해놓고 늦게옴) ㅈㄴ악의없는 표정으로 오 정구긴여기 식사하러온거야? 이래서
GIF
30
158",,,30,158,['https://pbs.twimg.com/tweet_video_thumb/E7436_uUUAMNjOS.jpg'],https://twitter.com/zayykiki/status/1422636054033567755
샤리,@sx_side_sun,2021-08-11T06:26:31.000Z,"샤리
@sx_side_sun
·
8월 11일","토비오쨩 형제덮밥 먹어줘
욤무
@YomYom__Yom
 · 8월 4일
미야카게미야가 맛잇습니다",,,,,"['https://pbs.twimg.com/profile_images/1267084797051985920/pjIyYKBJ_mini.jpg', 'https://pbs.twimg.com/media/E74Qs69UYAIQxSn?format=jpg&name=900x900']",https://twitter.com/sx_side_sun/status/1425342850187763716
mpm,@mypartymood,2021-08-01T15:50:36.000Z,"mpm
@mypartymood
·
8월 2일","오 , 징어덮밥이 너 무 먹고싶다 ,,",,,,,[],https://twitter.com/mypartymood/status/1421860927335399427
츠냥,@chuyang_16,2021-08-05T11:14:09.000Z,"츠냥
@chuyang_16
·
8월 5일","제육덮밥 만들고 오겟습니단
2
7",,2,,7,[],https://twitter.com/chuyang_16/status/1423240907587919885
감마,@gamma0420,2021-08-15T06:39:36.000Z,"감마
@gamma0420
·
8월 15일","오키긴 동인지 생각나네 이때부터 플러팅을 쳐오던 아기소고기덮밥
김참깨
@kimcchamkkae
 · 8월 12일
아놔 오키타 소고 1번대 대장이 이래도 되는거냐고 ㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
이 스레드 보기
2
2",,,2,2,"['https://pbs.twimg.com/profile_images/1435758921776463874/eurQnDZL_mini.jpg', 'https://pbs.twimg.com/media/E8jMXhlVgAco_06?format=jpg&name=small', 'https://pbs.twimg.com/media/E8jMXtFVEAE2LdL?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8jMX4JVoAMY-4W?format=jpg&name=360x360']",https://twitter.com/gamma0420/status/1426795692798873606
근본선,@KaynJhinJonasex,2021-08-03T03:22:49.000Z,"근본선
@KaynJhinJonasex
·
8월 3일","아보카도 덮밥 후기 : 
한입 - 오 맛있다
두입 - ...좀 느끼한데
세입 - 진매 먹고 싶다
네입 - 김치 꺼냄
6",,,,6,[],https://twitter.com/KaynJhinJonasex/status/1422397514670481411
하리,@hari0748,2021-08-08T18:41:40.000Z,"하리
@hari0748
·
8월 9일",오~~~ 이 시간에 목살 덮밥을 만들어 먹고 싶어졌는데~~ 참아...?,,,,,[],https://twitter.com/hari0748/status/1424440691380289541
사자,@r_is4weakminded,2021-08-02T06:38:02.000Z,"사자
@r_is4weakminded
·
8월 2일","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ어디든가줄순있지만 나락은싫은마이
정중한 거절의 표시로 케찹으로 no라고쓰인 오므라이쓰덮밥정식 해줌
1
1",,1,,1,[],https://twitter.com/r_is4weakminded/status/1422084255488778242
아scian 아nimo,@animo_sadam,2021-08-02T11:10:56.000Z,"아scian 아nimo
@animo_sadam
·
8월 2일",오...삼겹살 간장에 졸여서 덮밥 해먹으니까 세상맛있네 행벅,,,,,[],https://twitter.com/animo_sadam/status/1422152934620418055
Nekom,@Nec1002,2021-08-04T09:47:45.000Z,"Nekom
@Nec1002
·
8월 4일","오 핫도그 칠리로 덮밥 먹엇는디 먹을만함
1",,,,1,[],https://twitter.com/Nec1002/status/1422856776370647045
