UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
11 StarsUpdate,@WannaOneUpdate,2021-08-06T14:44:36.000Z,"11 StarsUpdate
@WannaOneUpdate
·
8월 6일","워너블은언제이자리에있어
#우리워너원_4주년에도_사랑해
힘들면기대도되고집도되어줄게
#FourYearsWithWannaOne
사랑해보고싶어워너원
15
113
79",🌟,15,113,79,[],https://twitter.com/WannaOneUpdate/status/1423656255717920768
해고,@azgAZq,2021-08-19T16:49:01.000Z,"해고
@azgAZq
·
8월 20일","아니근데까라마...내용남는게없음
당연함스메르아웃되고집중안함",,,,,[],https://twitter.com/azgAZq/status/1428398609251241989
퐁,@purinko10,2021-08-07T08:03:28.000Z,"퐁
@purinko10
·
8월 7일",아니 근데 만약내가ㅇㅅㄹㅍㅇㅅ하는사람이엇으면 이게무슨횡재냥 알아서가족이되고집이합쳐졋네,🐺 🐛,,,,[],https://twitter.com/purinko10/status/1423917694919737344
남친프사,@damu_amumal,2021-08-17T20:03:10.000Z,"남친프사
@damu_amumal
·
8월 18일","아니아놔
나이제자야지 하고콘센트에서코드빼는데
콘센트하단에금가잇던거완전히분리돼서
무슨
별안간전기통구이되고집에불낼뻔 ㅁㅊ
아빠깨워서치우다합선되고흐아앙
1",,1,,,[],https://twitter.com/damu_amumal/status/1427722694150090752
@you_sy__,@you_sy__,2021-08-03T05:16:39.000Z,"@you_sy__
@16MRFT24
·
8월 3일","노래방가고싶다물고기방이랑초밥뷔페랑고양이카페실내놀이터설빙정동진레일바이크롯데월드이마트딸기밭체험엽기떡볶이비행기도타고싶다숯불갈비먹으면서외식도하고싶고그냥걱정없이밖에나가서하루종일놀다녹초되고집오자마자기절잠자고싶다아침에깨서기념품정리도하고아조립도하고싶다주말엔게임도하고
1
1",,,1,1,[],https://twitter.com/16MRFT24/status/1422426163666821122
WANNA•ONE Support!,@WannaDebut_twt,2021-08-06T14:46:25.000Z,"WANNA•ONE Support!
@WannaDebut_twt
·
8월 6일","워너블은언제이자리에있어
#우리워너원_4주년에도_사랑해
힘들면기대도되고집도되어줄게
#FourYearsWithWannaOne
사랑해보고싶어워너원
3
80
83",,3,80,83,[],https://twitter.com/WannaDebut_twt/status/1423656714306396161
wanna0n3_mp4,@wanna0n3_mp4,2021-08-06T14:46:30.000Z,"wanna0n3_mp4
@wanna0n3_mp4
·
8월 6일","워너블은언제이자리에있어
#우리워너원_4주년에도_사랑해
힘들면기대도되고집도되어줄게
#FourYearsWithWannaOne
사랑해보고싶어워너원
55
51",,,55,51,[],https://twitter.com/wanna0n3_mp4/status/1423656733386285056
re,@zero_surfinyou,2021-08-06T14:59:17.000Z,"re
@zero_surfinyou
·
8월 6일","워너블은언제이자리에있어
#우리워너원_4주년에도_사랑해
힘들면기대도되고집도되어줄게
#FourYearsWithWannaOne
사랑해보고싶어워너원
13
7",🌱,,13,7,[],https://twitter.com/zero_surfinyou/status/1423659951810088960
아쿠아그레이,@ble_love_one,2021-08-06T14:43:52.000Z,"아쿠아그레이
@ble_love_one
·
8월 6일","워너블은언제이자리에있어
#우리워너원_4주년에도_사랑해
힘들면기대도되고집도되어줄게
#FourYearsWithWannaOne
사랑해보고싶어워너원
38
29",,,38,29,[],https://twitter.com/ble_love_one/status/1423656070384214026
Febri,@chocovals,2021-08-06T15:02:22.000Z,"Febri
@chocovals
·
8월 7일","ALL I WANNA DO WANNA ONE 
워너블은언제이자리에있어
#우리워너원_4주년에도_사랑해
힘들면기대도되고집도되어줄게
#FourYearsWithWannaOne
사랑해보고싶어워너원",🐧,,,,[],https://twitter.com/chocovals/status/1423660727902953473
baeror,@verororr,2021-08-06T15:04:36.000Z,"baeror
@verororr
·
8월 7일","trend 11 di korea!!
워너블은언제이자리에있어
#우리워너원_4주년에도_사랑해
힘들면기대도되고집도되어줄게
#FourYearsWithWannaOne
사랑해보고싶어워너원
11
11",,,11,11,[],https://twitter.com/verororr/status/1423661291005087751
baeror,@verororr,2021-08-06T14:51:46.000Z,"baeror
@verororr
·
8월 6일","trending 2 dan 6!!
워너블은언제이자리에있어
#우리워너원_4주년에도_사랑해
힘들면기대도되고집도되어줄게
#FourYearsWithWannaOne
사랑해보고싶어워너원
1
4
4",,1,4,4,[],https://twitter.com/verororr/status/1423658061965660164
mai,@sparrowoojiniee,2021-08-06T14:47:01.000Z,"mai
@sparrowoojiniee
·
8월 6일","워너블은언제이자리에있어
#우리워너원_4주년에도_사랑해
힘들면기대도되고집도되어줄게
#FourYearsWithWannaOne
사랑해보고싶어워너원
2
3",🍒,,2,3,[],https://twitter.com/sparrowoojiniee/status/1423656862772195334
