UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
。*ଘ극락천사 미즈킴໒꒱*॰,@miz_k_im,2021-08-02T04:48:54.000Z,"。*ଘ극락천사 미즈킴໒꒱*॰
@miz_k_im
·
Aug 1","한가한 동네카페에서 카야토스트와
바닐라라떼를 먹으며 키티 다이어리를 꾸몄어요…
여유롭고…재밌다!   \>ㅁ</
카메라-삼성 미러팝 mv800f
75
261",,,75,261,"['https://pbs.twimg.com/media/E7wpHF6VUAIz9I_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7wpHF6UcAArVmE?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7wpHF5VUAU0TZc?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7wpHF5VgAEeoZY?format=jpg&name=360x360']",https://twitter.com/miz_k_im/status/1422056790703833090
(SLOW)ⒷⓄⓇⒾ,@BBORI0423,2021-08-14T05:40:43.000Z,"(SLOW)ⒷⓄⓇⒾ
@BBORI0423
·
Aug 13","잼니 생카 못 가는 대신 집에서 홈카페라고 하긴 뭐 하지만 나름의 보리홈카페로 곰돌바닐라라떼
1
4",🐻,1,,4,['https://pbs.twimg.com/media/E8uoDa9VUAAvsHt?format=jpg&name=small'],https://twitter.com/BBORI0423/status/1426418488281681923
얄루,@yaaaaalroo,2021-08-22T07:48:25.000Z,"얄루
@yaaaaalroo
·
Aug 22","오랜만에 득펜! 
펠리칸 카페크림 F닙
디아민 잉크벤트 진저브레드
바닐라라떼, 아포가토, 아인슈페너 생각난다
5
9
52",✒ 🤎 ☕,5,9,52,['https://pbs.twimg.com/media/E9YR_jHVkAI_oHm?format=jpg&name=small'],https://twitter.com/yaaaaalroo/status/1429349724813807617
짜뭉,@ik0n940207,2021-08-13T10:49:17.000Z,"짜뭉
@ik0n940207
·
Aug 13","안국역 리틀버틀러

작고 예쁜 카페…아인슈페너 바닐라 크림…?이었나 메뉴 이름이 잘 기억 안나지만 암튼 커피가 진짜 맛있었어요 디저트도 굿
#지나니_이거맛나니
5
9",📍,,5,9,['https://pbs.twimg.com/media/E8qlFQdVoAEAMNh?format=jpg&name=small'],https://twitter.com/ik0n940207/status/1426133751159951367
아야 음식계,@S2jje_nyami,2021-08-26T16:25:24.000Z,"아야 음식계
@S2jje_nyami
·
Aug 26","올래국수, 카페 소신의 체리봉봉 & 바닐라 베리 무스
6
9",🍴,,6,9,"['https://pbs.twimg.com/media/E9uupJYVgAAX7eO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9uupJoVoAAFiAZ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9uupJiVgAQWYMW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9uupJoUcAQfdqO?format=jpg&name=360x360']",https://twitter.com/S2jje_nyami/status/1430929382986551297
,@h1innk,2021-08-10T05:39:37.000Z,"@h1innk
·
Aug 9","#몬베베가_몬베베에게_추천하는_맛집

잠실/석촌/송리단길 비건 카페 페퍼

비건이 아니어도 분위기도 좋고 디저트도 괜찮았어요
바닐라라떼가 완전 맛도리 바닐라빈이 씹힐 정도로 진해서
좋았고 라떼류는 오트밀크로 바꿀 수 있어서 더 좋아요!
50
38",🔗,,50,38,"['https://pbs.twimg.com/media/E8aBZUOVUAA5HuC?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8aBbB7VEAAkm0z?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8aBaOtVUAMYW3f?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8aBb2pUcAMD1HO?format=jpg&name=360x360']",https://twitter.com/h1innk/status/1424968657931624449
플,@pineandU,2021-08-19T13:04:33.000Z,"플
@pineandU
·
Aug 19","맛있었을수밖에,, 모닌 바닐라시럽 맛있자너,, 유준이 카페 알바 짬반가,,
4
10",,,4,10,"['https://pbs.twimg.com/media/E9J9lhsUYAMp2nw?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9J9lhqVIA8N3ti?format=jpg&name=360x360']",https://twitter.com/pineandU/status/1428342120574685184
c!!,@jjangnew26,2021-08-02T08:40:43.000Z,"c!!
@jjangnew26
·
Aug 2"," 구디너프 (good enough coffee)

바닐라 라떼가 타 카페와 다른 맛이 나서
신선하고 맛있었어요。。
건물이 3층이라 자리도 많고 루프탑도 있어서
경치 보는데 최고  ◠‿◠
2
4",📌,,2,4,"['https://pbs.twimg.com/media/E7xeKs7VgAAJNfn?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7xeKtEUUAA1zPk?format=jpg&name=360x360']",https://twitter.com/jjangnew26/status/1422115132876886018
구피,@sundxyseoul,2021-08-04T14:21:01.000Z,"구피
@sundxyseoul
·
Aug 4","바닐라시럽 영업합니다... 크레타마켓 시럽 비록 1분만에 품절되지만 홈카페에 딱
The following media includes potentially sensitive content. Change settings
View
1
6
66",,1,6,66,[],https://twitter.com/sundxyseoul/status/1422925547315732484
zizi,@b1ack02cat,2021-08-20T08:59:01.000Z,"zizi
@b1ack02cat
·
Aug 20"," 연남 are&am

분위기 좋은 카페 다녀옴  아.아랑 ""바닐라"" 라떼도 맛있고 예쁜 디저트도 엄청 많기로 유명한 카페!! 짱잇썸 팬들은 ""체리 허니 토~핑"" 디저트 먹었답니다 울 썸깅이들도 꼭 와보기  
@_mango_o2
 @Archive_HINA
 

#상아야_여기_맛집_맞지
#밥먹었나영
#히나모롤의_추천맛집
5
14",🥰,,5,14,['https://pbs.twimg.com/media/E9OO-jEUYAYgpdC?format=jpg&name=small'],https://twitter.com/b1ack02cat/status/1428642718163501058
계옮중/바이오확인)은,@MonBeBe_Eun,2021-08-22T03:56:23.000Z,"계옮중/바이오확인)은
@MonBeBe_Eun
·
Aug 21","카페 왔어요! 저는 아이스바닐라라떼!
6
9",🐳 🍞 😊 😊 😊 💙,6,,9,['https://pbs.twimg.com/media/E9Xc3ehUUAIl5fA?format=jpg&name=small'],https://twitter.com/MonBeBe_Eun/status/1429291332699230212
슷큐,@SQ_12221,2021-08-27T02:21:32.000Z,"슷큐
@SQ_12221
·
Aug 26","바닐라씌~ㅠㅠ퍼런색 액체님 닫종 카페...너무 마음에 들어요 짱귀여워 커피모티브에 환장하는데 완전 제 취향저격 종족아닌가요?!ㅠㅠㅠ흑흑 슈크림 라떼도 데려오고싶다....슈크림라떼 내 차애 커피
2
17",🍒 😭 🤎 🤎 🤎 😢 ❤ ❤ ❤,,2,17,['https://pbs.twimg.com/media/E9w22HrUUAEvrET?format=png&name=small'],https://twitter.com/SQ_12221/status/1431079401295269889
𝓕𝓓_뽀뽀,@FD_QhQh,2021-08-29T09:22:39.000Z,"𝓕𝓓_뽀뽀
@FD_QhQh
·
Aug 29","천안에 새로 생긴 신상 성인카페 TEAHOT 넘모 재밋자낭ㅋㅋㅋ 나랑 같이 놀러갈 사람?

#섹트 #펨돔 #펨섭 #멜돔 #멜섭 #에세머 #바닐라 #변바 #무즐라 #종변 #성인카페 #럽토이몰 #티핫카페 #천안 #두정동 #토이 #코스튬 #성인용품 #건오
29
4
191",💋,29,4,191,"['https://pbs.twimg.com/media/E98qr3SVEAEVJWH?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E98qr3cVUAAye4f?format=jpg&name=360x360']",https://twitter.com/FD_QhQh/status/1431910155474509830
콩,@mypuppyboi,2021-08-21T03:35:04.000Z,"콩
@mypuppyboi
·
Aug 20","샌디 비치 베이크 하우스 

- 바닐라 쉬폰 케이크
- 초코 크랙 쿠키
- 카페 라떼 (오트 밀크로 변경)

야외 좋아 루프탑 좋아 인간에게는 3층 건물 전부 테라스가 있어서 좋았던 카페!! 크랙쿠키 짱 맛있음!! 초초랑 지리는 데이뚜 했어요 
@sxngzicom
 

#손영재_콧구멍_커지겠지
#콩_다녀감_야호
1
6",🍃 🍰,1,,6,"['https://pbs.twimg.com/media/E9SOaWFVIAAjUwX?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9SOaYaVoAMjfeI?format=jpg&name=360x360']",https://twitter.com/mypuppyboi/status/1428923582281752577
우중,@lifegoesonjust,2021-08-17T11:57:43.000Z,"우중
@lifegoesonjust
·
Aug 17","카페에서 파는 바닐라아이스크림 올려주는 브라우니.. 그게 먹고싶다...
1
2",,,1,2,[],https://twitter.com/lifegoesonjust/status/1427600523939618816
아야,@ayyaaai,2021-08-27T15:48:14.000Z,"아야
@ayyaaai
·
Aug 27","지존 맛잇는 케이크 파는 카페가서 바닐라라떼랑 조지고싶다
6",,,,6,[],https://twitter.com/ayyaaai/status/1431282414651797504
냥똑,@Nyang_Dog,2021-08-09T03:53:44.000Z,"냥똑
@Nyang_Dog
·
Aug 8","내가 어느 카페를 가도 바닐라라떼만 시키긴 하는데
1
1",,,1,1,[],https://twitter.com/Nyang_Dog/status/1424579625766637569
꽁,@6zjzjzj,2021-08-18T14:17:00.000Z,"꽁
@6zjzjzj
·
Aug 18","점심시간마다 옥상 올라가서 전화하는 대리님
사실은 집앞 카페 장사장님 꼬시는 중........
저 오늘 끝나고 바로 가니까 바닐라라떼 한잔이랑 버노버노그쪽버노 포장이요 ~뭐 이딴,
4
9",,,4,9,['https://pbs.twimg.com/media/E9FElGnVcAchhS7?format=jpg&name=small'],https://twitter.com/6zjzjzj/status/1427997967135346690
시요,@siyo_0304,2021-08-24T05:12:13.000Z,"시요
@siyo_0304
·
Aug 23",헐 우리집 앞 카페 바닐라라떼 맛집 개존맛,,,,,[],https://twitter.com/siyo_0304/status/1430035195302846466
는우니마꿈쪼는되안금좍가다메2,@sbird_tkrb,2021-08-02T07:35:52.000Z,"는우니마꿈쪼는되안금좍가다메2
@sbird_tkrb
·
Aug 2","보통 카페에는 바닐라아이스크림만 안판다구요
@A__TKRB
 · Aug 2
그럼그냥 바닐라아이스크림아니에요????ㅋ
ㅋ
ㅋ
ㅋ
ㅋ
ㅋ
ㅋ twitter.com/sbird_tkrb/sta…",🍄 🍑 🦀 😔,,,,['https://pbs.twimg.com/profile_images/1442757131048980484/7QX7Azym_mini.jpg'],https://twitter.com/sbird_tkrb/status/1422098808851161090
설야 뒤 설늙은이한끝,@200819_01,2021-08-24T18:08:34.000Z,"설야 뒤 설늙은이한끝
@200819_01
·
Aug 24","요한이는 
어디야의 바닐라라떼 
카페 공용으로 복숭아 아이스티....
글러먹음 (𝑎𝑡𝑒 𝑎 𝑤𝑟𝑖𝑡𝑒𝑟)
@LeeDea21
 · Aug 24
녹차라떼 보니까 생각났어요
적림애들 원픽 음료 궁금하다
1
3",⬅ ❤,,1,3,['https://pbs.twimg.com/profile_images/1437453783508815875/3XNreyN-_mini.png'],https://twitter.com/200819_01/status/1430230570009726976
할머,@grandmother_CM,2021-08-27T04:42:24.000Z,"할머
@grandmother_CM
·
Aug 26",푸딩… 카페가서 바닐라시럽사서넣으세요,,,,,[],https://twitter.com/grandmother_CM/status/1431114853314228231
아하⁷,@ini09110911,2021-08-30T03:06:06.000Z,"아하⁷
@ini09110911
·
Aug 29","하단어느 골목에 잇던 카페바닐라808 정구기생일이벤트한다해서 다녀왓어요~ 여기도 사람이 많아 사진을 많이 못찍엇네요~~ 어디지어디지 두리번거리다 벽에 대형 사진보고 찾앗네요 #정국 #JUNGKOOK #정국이의_스물다섯번째_여름 #HAPPY_JK_DAY                                 
@MeltingJk
The following media includes potentially sensitive content. Change settings
View
4
10",,,4,10,[],https://twitter.com/ini09110911/status/1432177782402871297
