UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
KAIJONGIN,@kimraheon,2021-08-11T00:45:19.000Z,"KAIJONGIN
@kimraheon
·
Aug 10","KAI FACE SIZE.... 
#카이 #카이 #카이 #카이
1
7",🐻 😍,,1,7,['https://pbs.twimg.com/media/E8eHrBzVcAYkhWM?format=jpg&name=small'],https://twitter.com/kimraheon/status/1425256984111058951
æ vicky,@S2iMYEON,2021-08-30T23:39:28.000Z,"æ vicky
@S2iMYEON
·
Aug 30","What if

jongin y yo somos la pareja perfecta ustedes desean
엑소 카이 #카이 #KAI #EXO 
@weareoneEXO
exo dinámicas
@exodinamicas_
 · Aug 30
— RONDA 3 

w _  _ t  _ f
Show this thread",🌹,,,,['https://pbs.twimg.com/profile_images/1421285520576065536/2vVB64kU_mini.jpg'],https://twitter.com/S2iMYEON/status/1432488167022727170
마리,@ty10012932,2021-08-19T15:09:31.000Z,"마리
@ty10012932
·
Aug 19","카이카이키키
9
48",💚,,9,48,['https://pbs.twimg.com/media/E9KaMChVcAEuGdy?format=jpg&name=900x900'],https://twitter.com/ty10012932/status/1428373571215138821
츄,@chew0125,2021-08-18T06:18:28.000Z,"츄
@chew0125
·
Aug 17","카이카이 생일 축하해요!!!
7
7",,,7,7,['https://pbs.twimg.com/media/E9DXDPhVIAEe1mb?format=jpg&name=small'],https://twitter.com/chew0125/status/1427877537946869760
무리,@M_R1_7,2021-08-21T12:24:22.000Z,"무리
@M_R1_7
·
Aug 21","카이카이 재업
1
5
23",,1,5,23,['https://pbs.twimg.com/media/E9UHkfoUUAATL6G?format=jpg&name=small'],https://twitter.com/M_R1_7/status/1429056782479945736
하트식물,@njg_plant_,2021-08-17T13:08:45.000Z,"하트식물
@njg_plant_
·
Aug 17","이거 카이

카이: 어, 깜짝이야!
니야: 왜?!
카이: 잘생겨서
니야: 에휴..
4
4",,,4,4,"['https://pbs.twimg.com/media/E8_rXLpVkAMTqws?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8_rXkqVgAMkbpt?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8_rXZDVEAgsXHJ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8_rX0oVIA4dNRO?format=jpg&name=360x360']",https://twitter.com/njg_plant_/status/1427618403766788102
하트식물,@njg_plant_,2021-08-23T12:30:32.000Z,"하트식물
@njg_plant_
·
Aug 23","니야: 오빠 차에 독을 넣었어
카이: ?이 차에?
니야: 아니
니야: 오빠의 휘발유 블레이드 사이클에
니야: 경유를 넣었어
카이: 
카이: 야!!
1",,,,1,['https://pbs.twimg.com/media/E9ecJ82UUAYICoK?format=jpg&name=900x900'],https://twitter.com/njg_plant_/status/1429783112901226496
픱좌사리,@helloim5tk,2021-08-18T00:42:42.000Z,"픱좌사리
@helloim5tk
·
Aug 17",나 카이카이키키 걍 택 댕강쇼 햇는데,,,,,['https://pbs.twimg.com/media/E9CKMhRVoAQevgV?format=jpg&name=small'],https://twitter.com/helloim5tk/status/1427793038378606595
(죽어있음) 경만,@Stella_lkm,2021-08-08T13:19:34.000Z,"(죽어있음) 경만
@Stella_lkm
·
Aug 8",오랜만에 뮤지컬~~~ 아 왜 카이 카이 하시는지 알 것만 같은..ㅠㅠㅠㅠㅠ 내용 자체는 별 임펙트가 잇진 않은데... 다들 딕션도 너무 좋구요.. 연기 너무 잘하셔서 소름돋앗음...,,,,,['https://pbs.twimg.com/media/E8RXh67VkAY7dYi?format=jpg&name=small'],https://twitter.com/Stella_lkm/status/1424359632827346944
花,@pDceozgX9JHyMxO,2021-08-28T12:32:57.000Z,"花
@pDceozgX9JHyMxO
·
Aug 28",카이 카이카이...,,,,,[],https://twitter.com/pDceozgX9JHyMxO/status/1431595658541109252
