UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
흠!,@maddaramuddara,2021-08-03T14:48:49.000Z,"흠!
@maddaramuddara
·
Aug 3","용산 아이파크몰
센과 치히로의 행방불명 20주년 기념 카페

장점 : 지금까지 한국에서 갔던 콜라보 카페 중에서 가장 맛이 괜찮음. 화과자랑 앙버터도 귀엽고 도토리숲 바로 옆이라서 굿즈 보는 맛도 쏠쏠함.
단점 : 죄다 말차 메뉴임. 특히 음료는 말차 아닌 게 없음.
https://m.blog.naver.com/wll215gus/222456114684…
3
10.1K
2.9K",,3,10.1K,2.9K,"['https://pbs.twimg.com/media/E738AFUVEAYnzHP?format=jpg&name=small', 'https://pbs.twimg.com/media/E738BD8VUAQlslr?format=jpg&name=360x360']",https://twitter.com/maddaramuddara/status/1422570156023111689
박사님과 조수,@doctoral_degree,2021-08-23T12:20:23.000Z,"박사님과 조수
@doctoral_degree
·
Aug 23","우리 지역 길고양이 카페에 입양홍보 올라온 친구인데 저 앙큼한 매력점 때문에 지금 정신을 못 차리는 중…
1
455
459",,1,455,459,"['https://pbs.twimg.com/media/E9eZ1iaUcAkTC75?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9eZ1ifVIAw32Hw?format=jpg&name=360x360']",https://twitter.com/doctoral_degree/status/1429780556464627724
알토란,@Toran_ff14,2021-08-09T17:08:27.000Z,"알토란
@Toran_ff14
·
Aug 9","[상시개방] 
- 스터디 카페 크앙 -
모그리 라벤더 13구 백합 1동 7호실 
(스샷, 장기 잠수 O / 큰 소음 X)

스터디 카페 컨하가 없어서 만들어 버리고야 말았습니다. 
아파트 특성 상 공간이 협소하여 6자리 밖에 없습니다. 
게임에 접속하고 할일을 하시는 빛의 전사분들의 방문을 매우 환영합니다.
1
106
36",,1,106,36,"['https://pbs.twimg.com/media/E8XTzdkVkAExhkO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8XTzdlVIAUnE9t?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8XTzdjVIBMfDwe?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8XTzdmVgAAQe_x?format=jpg&name=360x360']",https://twitter.com/Toran_ff14/status/1424779622466523136
갱,@nam_gaeng,2021-08-02T12:31:14.000Z,"갱
@nam_gaeng
·
Aug 2","rt
또다시 돌아온 민 간 신 앙 (또륵

와글 럭드때 배로스 폴라 뽑으면 추첨해서 원하시는 카페 음료 깊티 드립니당

>>얻는 수만큼, 교환 포함<<

트친한정 연뮤덕한정
1
164
5",🌟 ❣ ❌ ⭕,1,164,5,['https://pbs.twimg.com/media/E7yS7V7UUAgW_RX?format=jpg&name=900x900'],https://twitter.com/nam_gaeng/status/1422173142886191111
꽃길,@flowerchaen,2021-08-29T05:11:17.000Z,"꽃길
@flowerchaen
·
Aug 28","투명포카 넘 귀여워요 와앙포카 가지려고 세트 구매한 나란 사람... 초록색 느낌 카페랑 잘 어울려서 넘 좋았어요~ 잘 보고 갑니당 

#원영이와_함께할_영원한_나날
26
51",,,26,51,"['https://pbs.twimg.com/media/E97xJsiUUAEiHQk?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E97xJsjVgAMwa7u?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E97xJsiVUAMNryz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E97xJslUUAQ2jxo?format=jpg&name=360x360']",https://twitter.com/flowerchaen/status/1431846898382503936
buonaserata,@buonaserata_,2021-08-13T15:48:03.000Z,"buonaserata
@buonaserata_
·
Aug 13","'승산 없는 전쟁터에선 포기도 기회입니다'

첫 카페센차, 희머니 구도 살앙해욥
GIF
2
11
72",🌿,2,11,72,['https://pbs.twimg.com/tweet_video_thumb/E8rpc2sUYA4qrN6.jpg'],https://twitter.com/buonaserata_/status/1426208939188781060
영조,@0hoon_9788,2021-08-07T08:42:13.000Z,"영조
@0hoon_9788
·
Aug 7","#영훈아생일축하해8ㅅ8

앙~버티꺼야 먹고 싶어서 갔는데 시간이 안 맞아서 못먹었지만 특전도 너무 예쁘고 카페도 너무 예뻐서 구경하느라 시간 가는줄 몰랐어요!
예쁜 카페 진행해 주셔서 감사합니다
1
6
15",😢 🥰,1,6,15,"['https://pbs.twimg.com/media/E8LOayyVgAA3lsn?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8LOcdNVgAEHuVK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8LObuDVcAYnoKe?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8LOdVwVoAQd-qz?format=jpg&name=360x360']",https://twitter.com/0hoon_9788/status/1423927446076760071
아람ᴮᵘᵗᵗᵉʳ,@choicovva,2021-08-17T11:34:39.000Z,"아람ᴮᵘᵗᵗᵉʳ
@choicovva
·
Aug 17","#돼람이의먹방
창원 반지동 읍천리382 이거 대구가 본점이래! 창원에 이제 막 생기구 있나 본데 반송점은 리뷰도 딱 1개 있는 갓신상카페
딸기밭라떼
미숫가루
치킨텐더 샌드위치 
앙버터 와플
딸기 요거트
와 전부다 마싯더 모야 간만에 외식(? 넘 조음 ㅠㅠㅠㅠ옴뇸뇸 즐거워
6
10
53",🌱 🍊 🐈 🧈 ✔ 🍓 ✔ ✔ 🥪 ✔ 🧈 ✔ 🍓 ♨,6,10,53,"['https://pbs.twimg.com/media/E8_VmcaUUA86Wzk?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8_VudoUcAMZWk3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8_Vn_gVoAwpdB1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8_Vz1VUYAAlT8k?format=jpg&name=360x360']",https://twitter.com/choicovva/status/1427594719106781189
유문/YM,@mym_onepiece,2021-08-08T00:52:00.000Z,"유문/YM
@mym_onepiece
·
Aug 7","엄빠가 아까 산책하면서 국밥사온다더니 급 크로플 사와서 모닝 당충전했어 아침 일찍부터 여는 가게가 새로 생겼대 반죽도 직접한대 와아앙 카페형으로 꽤 크대니 사태좀 나아지면 가봐야지
1
7",,1,,7,['https://pbs.twimg.com/media/E8Osb23VUAMAFlP?format=jpg&name=small'],https://twitter.com/mym_onepiece/status/1424171503755485186
네헹 (트친 소중),@nnnlllmll,2021-08-29T06:48:59.000Z,"네헹 (트친 소중)
@nnnlllmll
·
Aug 28","최애 생일카페 다녀옴 좋앙
6",🌷 🌷,,,6,['https://pbs.twimg.com/media/E98HhnTVIAI18ZT?format=jpg&name=small'],https://twitter.com/nnnlllmll/status/1431871486013304832
