UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
당도,@Ddan_do00,2021-08-09T10:04:36.000Z,"당도
@Ddan_do00
·
Aug 9","카페알바생윤산하
안녀하새요~
..머 머드실래요?

알바 이렇게 하면 짤려요 
#윤산하
47
108",,,47,108,['https://pbs.twimg.com/ext_tw_video_thumb/1424672862279913473/pu/img/aEnRgnXCWihuzIyC.jpg'],https://twitter.com/Ddan_do00/status/1424672957083754503
얍,@yhloveluv,2021-08-05T03:51:58.000Z,"얍
@yhloveluv
·
Aug 4","비오는 날 라이브카페 밖에서 윤 지켜보는 홍.. 홍 저런지 꽤 됐는데 윤이 그거 인지하고 있음. 어느날은 홍 오는 시간에 맞춰서 가게 밖에 나와있어가지고 마주치면 오늘은 들어왔다 가세요. 하는
5
10",,,5,10,"['https://pbs.twimg.com/media/E7_42jTUcAIm_5B?format=jpg&name=small', 'https://pbs.twimg.com/media/E7_42jTVgAQoA3l?format=jpg&name=small']",https://twitter.com/yhloveluv/status/1423129628613308430
밤의 측지선,@geodeticline,2021-08-16T17:39:07.000Z,"밤의 측지선
@geodeticline
·
Aug 16","홍보 2

내가 무언가 놓치지 않았을까?
너는 다 놓쳤지.

어디선가 속삭이는 대화가 들려왔다.

https://cafe.naver.com/geodeticlineofnight…

 02 글 카페 성인(4444) BL 수위지향
 도망자 서포트 회사 6일 윤·강간금지

 폭죽무덤, 김엄지 인용
1
66
13",,1,66,13,['https://pbs.twimg.com/media/E87fqWEVIBIVhdX?format=jpg&name=small'],https://twitter.com/geodeticline/status/1427324054227197968
공오일삼,@0513night,2021-08-25T13:02:29.000Z,"공오일삼
@0513night
·
Aug 25","빠지 옆 카페 사장 윤이랑
라이프가드 겸 같다 ..
1
7",,1,,7,"['https://pbs.twimg.com/media/E9o2fe5VcAUol0V?format=jpg&name=small', 'https://pbs.twimg.com/media/E9o2fe6UUAUXUIY?format=jpg&name=small']",https://twitter.com/0513night/status/1430515928324739084
캔디٩(⊙o⊙*)و,@YIBO_S2,2021-08-08T13:22:02.000Z,"캔디٩(⊙o⊙*)و
@YIBO_S2
·
Aug 8","윤이카페 

생카 투어의 마지막! 비가 주룩주룩 내려서 가느라 조금 힘들었지만 사진들이 넘 예뻐서 바로 풀렸어요 덕분에 즐거운 뽀생일 주간을 마무리할 수 있었습니다 

#이보와_함께하는_여름
#vroongvroong_day
1
9",🍭 😌 ✨ ☺ 💚,1,,9,"['https://pbs.twimg.com/media/E8RYFqaVcAM1jgj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8RYFqaVEAMp100?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8RYFqaUYAACN9b?format=jpg&name=360x360']",https://twitter.com/YIBO_S2/status/1424360254767128577
구사,@cute6unny,2021-08-22T01:35:02.000Z,"구사
@cute6unny
·
Aug 21","윤드럼 생일 파티~
선릉역 카페 봄

#영화같은_도운이의_찬란한_생일 
#Dowoon_in_a_movie
The following media includes potentially sensitive content. Change settings
View
1
3
12",💖 📍,1,3,12,[],https://twitter.com/cute6unny/status/1429255762778288130
솜,@Dungyoon_809,2021-08-07T11:32:37.000Z,"솜
@Dungyoon_809
·
Aug 7","재윤이 생카투어                                       카페앞에있는재윤이통천배너와엑스배너가너무예뻤던카페내부는작지만예쁜재윤이가한갇득이라서들어가자마자행복함이우다다다다몰아쳤다ㅠㅠㅠㅠㅠㅠ      #fallin_all_in_jaeyoo
#재윤이라는_별에_빠져
The following media includes potentially sensitive content. Change settings
View
1
1
5",💙 💙 💚 💚,1,1,5,[],https://twitter.com/Dungyoon_809/status/1423970328305225729
외계인 양도,@treasureyangdoo,2021-08-23T00:35:17.000Z,"외계인 양도
@treasureyangdoo
·
Aug 22","트레저 포카 양도합니다

Eng  PayPal 

트레저 100일 카페 교환 양도 분철 마녀공장 초도한정 챕1 챕2 챕3 포토카드 현석 지훈 요시 준규 마시호 윤재혁 아사히 방예담 김도영 하루토 박정우 소정환 인사동 더세임 특전 트레저월드 시그 시즌그린팅 썸머캠프 트루즈 본본이 루루 로미
6",👽 ⭕ ❌,,,6,['https://pbs.twimg.com/media/E9b4c4WVgAg64C2?format=jpg&name=900x900'],https://twitter.com/treasureyangdoo/status/1429603112809996292
도롱,@pyeonsikham,2021-08-26T08:15:35.000Z,"도롱
@pyeonsikham
·
Aug 26","홍윤 흉부외과 홍 신경외과 윤
홍이 윤한테 뮤지컬 보자고 했다가 까여서 카페에서 못 일어나는중...
1
2
27",,1,2,27,['https://pbs.twimg.com/media/E9s-lHkVgAclQEL?format=jpg&name=small'],https://twitter.com/pyeonsikham/status/1430806116028403715
여어서도,@yeoeoseodo,2021-08-26T08:08:50.000Z,"여어서도
@yeoeoseodo
·
Aug 26","#홍윤
미쿡에서 온 갓물주 홍 × 카페사장 윤

할아버지가 선물로 준 건물 확인하러 왔다가 그 건물 1층에서 카페 하고 있는 윤 보고 첫눈에 반해 고백하는 홍

""저랑 연애하는거 어떠세요?""

""싫어요""

""왜요?""

""저희 오늘 처음봤잖아요.""

그게 뭐 어떻냐고 더 의아해 하는 홍은 미쿡인이였음
1
1
6",,1,1,6,"['https://pbs.twimg.com/media/E9s9B87VUAQO9Z1?format=jpg&name=small', 'https://pbs.twimg.com/media/E9s9CIBUUAEWsd0?format=jpg&name=360x360']",https://twitter.com/yeoeoseodo/status/1430804415313707013
