UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
메인이벵))94_0912jun,@KNJ94912_613,2021-08-27T09:17:19.000Z,"메인이벵))94_0912jun
@KNJ94912_613
·
8월 27일","이거 마이 돈짤임.. 알하고 가 세뱃돈 받은거에서 30쓰고 70남음.
10
7.9천
1.5천",,10,7.9천,1.5천,['https://pbs.twimg.com/media/E9yWSqNVcAItqwc?format=jpg&name=small'],https://twitter.com/KNJ94912_613/status/1431184039411535873
녹챠밍,@nogchya,2021-08-28T14:48:03.000Z,"녹챠밍
@nogchya
·
8월 28일","마이. 돈.
너무 많아서 제한 뚫어버림
5",,,,5,['https://pbs.twimg.com/media/E94rll4VkAYd967?format=jpg&name=small'],https://twitter.com/nogchya/status/1431629658680791051
ONE,@ONE_ANOTHER_,2021-08-08T02:01:00.000Z,"ONE
@ONE_ANOTHER_
·
8월 8일","마이 돈짤
1
7",,1,7,,['https://pbs.twimg.com/media/E8O8OhhVUAEfN0O?format=jpg&name=small'],https://twitter.com/ONE_ANOTHER_/status/1424188868174114817
초코라떼 ♡,@chocoooulatte,2021-08-27T06:03:48.000Z,"초코라떼 ♡
@chocoooulatte
·
8월 27일",세이브 마이 돈..,,,,,['https://pbs.twimg.com/media/E9xqAO5VcAEYSLP?format=jpg&name=medium'],https://twitter.com/chocoooulatte/status/1431135339142213633
추씨,@iamchussi,2021-08-06T12:13:11.000Z,"추씨
@iamchussi
·
8월 6일","돈마이 돈마이·̫
1",🚰 🚰,,,1,[],https://twitter.com/iamchussi/status/1423618150067687425
깨송편,@songpyeon_yum,2021-08-03T15:33:08.000Z,"깨송편
@songpyeon_yum
·
8월 4일",돈마이 돈마이 ~,🧆,,,,[],https://twitter.com/songpyeon_yum/status/1422581308631384067
에드윈 사랑하는 청량,@CHEONGLYANG__,2021-08-17T04:00:24.000Z,"에드윈 사랑하는 청량
@CHEONGLYANG__
·
8월 17일","ㅇㄴㅋㅋㅋ괜찮아요 돈마이 돈마이(?)
2",💙 ❤ ❤ 💙,,,2,[],https://twitter.com/CHEONGLYANG__/status/1427480402894098433
とも/감자,@thisisoooooimo,2021-08-04T02:27:14.000Z,"とも/감자
@thisisoooooimo
·
8월 4일",돈마이돈마이!!,,,,,[],https://twitter.com/thisisoooooimo/status/1422745918122598401
æ-용용,@__yong_yong38,2021-08-12T08:59:49.000Z,"æ-용용
@__yong_yong38
·
8월 12일","돈마이돈마이다이죠부
1",,,,1,[],https://twitter.com/__yong_yong38/status/1425743816565297157
(대운:B1)얀고𝙃𝙌(っ'-')╮=͟͟͞͞,@yango_day,2021-08-08T00:15:11.000Z,"(대운:B1)얀고𝙃𝙌(っ'-')╮=͟͟͞͞
@yango_day
·
8월 8일","돈마이 돈마이~!!!
1",🌊 🏐 💥 😎 😎 😻 😻 😻,,,1,[],https://twitter.com/yango_day/status/1424162236436606978
우주,@imyour_space,2021-08-03T02:00:08.000Z,"우주
@imyour_space
·
8월 3일",돈마이돈마이,,,,,[],https://twitter.com/imyour_space/status/1422376710041788422
아니야나그런데,@butmemyself,2021-08-04T01:05:12.000Z,"아니야나그런데
@butmemyself
·
8월 4일",돈마이 돈마이,🎂 🥳 🍰,,,,[],https://twitter.com/butmemyself/status/1422725270822264835
우주,@imyour_space,2021-08-06T12:29:37.000Z,"우주
@imyour_space
·
8월 6일",돈마이 ! 돈마이 !,,,,,[],https://twitter.com/imyour_space/status/1423622289023651847
누룽지,@ghghgh507,2021-08-16T12:27:22.000Z,"누룽지
@ghghgh507
·
8월 16일","영마이돈많겟지
1",,,,1,[],https://twitter.com/ghghgh507/status/1427245600748175364
✟ 𝖕𝖊𝖒𝖇𝖊 ✟,@pembe_S2,2021-08-06T12:07:55.000Z,"✟ 𝖕𝖊𝖒𝖇𝖊 ✟
@pembe_S2
·
8월 6일",돈마이돈마이!!!,,,,,[],https://twitter.com/pembe_S2/status/1423616824315285509
(대운:B1)얀고𝙃𝙌(っ'-')╮=͟͟͞͞,@yango_day,2021-08-06T12:03:56.000Z,"(대운:B1)얀고𝙃𝙌(っ'-')╮=͟͟͞͞
@yango_day
·
8월 6일",돈마이돈마이~~~~~!~!~!!,🌊 🏐 💥,,,,[],https://twitter.com/yango_day/status/1423615825114656769
투구꽃,@negativeomi,2021-08-08T00:15:00.000Z,"투구꽃
@negativeomi
·
8월 8일",돈마이!!!!! 돈마이!!!!! 가보자고!!!!!!,,,,,[],https://twitter.com/negativeomi/status/1424162189120720900
녹음,@okvS2v8CiHHBJWL,2021-08-06T12:30:18.000Z,"녹음
@okvS2v8CiHHBJWL
·
8월 6일","배구는 2세트부터지 ^ㅅ^
돈마이 ~ 돈마이 ~
1",,,,1,[],https://twitter.com/okvS2v8CiHHBJWL/status/1423622460105101318
그림초짜Xem,@KGaxem_Mo4,2021-08-09T22:52:02.000Z,"그림초짜Xem
@KGaxem_Mo4
·
8월 10일","스테이지 1: 7턴 
2: 7턴
3: 23턴

아이템 적극 활용&마이돈런치
이 짓을 15 번 더 해야 한다니.........
그림초짜Xem
@KGaxem_Mo4
 · 8월 10일
스코어는 됐고
깼다는거 나에게 더 중요해
이 스레드 보기",,,,,"['https://pbs.twimg.com/media/E8YkJxHWYAYB_HB?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1438154545172041741/e_-6794g_mini.jpg', 'https://pbs.twimg.com/media/E8XH4XaXoAYJZMw?format=jpg&name=240x240']",https://twitter.com/KGaxem_Mo4/status/1424866085564715009
울새,@Robin_TRPG,2021-08-24T08:07:27.000Z,"울새
@Robin_TRPG
·
8월 24일","저 이 주식 살게용 (마이 돈다발 들고옴)
잡식성 벨티
@very_TRPG
 · 8월 24일
성물 암시장에 팔아넘기고 bdsm 클럽다니는 신부님이었는데 로키사이언으로 각성한 울집 피터 보세요 여러분(오열 twitter.com/PumPum_trpg/st…
2",,,,2,['https://pbs.twimg.com/profile_images/1320047955001290754/eVwp1r2M_mini.jpg'],https://twitter.com/Robin_TRPG/status/1430079292231229446
