UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
정뿌비,@s_k_b_b_0101,2021-08-28T09:33:50.000Z,"정뿌비
@s_k_b_b_0101
·
8월 28일","#RT 시즈니 한정 O트친 한정 X
버블 30일 이상♡ 당발은 등교하는 주에
반택비 본인 부담
1
42
2",💚 💚 💓 💓,1,42,2,"['https://pbs.twimg.com/media/E93jijYVEAIiGqR?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E93jixPVQAAdlPL?format=jpg&name=360x360']",https://twitter.com/s_k_b_b_0101/status/1431550583102578689
나무꾼,@boodak6,2021-08-23T12:04:06.000Z,"나무꾼
@boodak6
·
8월 23일","자연은
두렵지가 않다
순리를 따르니

다만 

인간만이 자연이 두렵다
순리를 따르지 않으니

강가에 부는 바람
떨어지는 비에 파문이 일고
숨통을 틔어 주는지

자연에 감사 할뿌니이다.
1
4
21",,1,4,21,['https://pbs.twimg.com/media/E9eWF1oVoAQRsY-?format=jpg&name=900x900'],https://twitter.com/boodak6/status/1429776457480359941
도롱이,@comeback2medasi,2021-08-24T09:18:52.000Z,"도롱이
@comeback2medasi
·
8월 24일","아니  본인은 왼쪽상태이면서 혀디니 저거 그려주년서 미안하다고 한 거임? 시발 본인에 비하명 혀진이 그냥 스노우 뷰티 필터잔ㄹ음
71
62",,,71,62,"['https://pbs.twimg.com/media/E9i54MDVEAQkpM6?format=jpg&name=small', 'https://pbs.twimg.com/media/E9i54MDUcAQU2PY?format=jpg&name=360x360']",https://twitter.com/comeback2medasi/status/1430097264228257795
maumdoc,@maum_doc,2021-08-29T11:23:56.000Z,"maumdoc
@maum_doc
·
8월 29일","오전에 비가 오더니 촉촉해진 정원이 좋네요.
2
20",,,2,20,"['https://pbs.twimg.com/media/E99GaqAVEAs6TOX?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E99GcVbVQAQ7OY1?format=jpg&name=small', 'https://pbs.twimg.com/media/E99GbUlVEAI6zhi?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E99GdL0VkAcxFQN?format=jpg&name=360x360']",https://twitter.com/maum_doc/status/1431940677617602569
MTRT 갲지,@gj__0910,2021-08-23T07:11:49.000Z,"MTRT 갲지
@gj__0910
·
8월 23일","씨발 니새끼 때문에 비오는 날에 왕복 2.6km를 왓다 갓다 햇어 ㅅㅂ
MTRT 갲지
@gj__0910
 · 8월 23일
우리 집 막내 혈육 개웃김 걔가 오늘 생일인데 엄마한테 엄마 나 깜짝 생일 파티해 줘 이래서 우리 가족회의하고 있었음ㅋㄱㅋㄱㅋㄱㅋㄱ큐ㅠㅠㅠ 그러고 나중에 막내 혈육이 엄마 나 학원 5시에 가면 되지? 이러고 있음
1
4",,1,,4,"['https://pbs.twimg.com/media/E9dTMzfUYAABPww?format=jpg&name=small', 'https://pbs.twimg.com/media/E9dTMzbVoAYCjb2?format=jpg&name=360x360', 'https://pbs.twimg.com/profile_images/1430164920411250691/SNMHz1Ph_mini.jpg']",https://twitter.com/gj__0910/status/1429702905137831942
이무배,@LMB_ExtremeJob,2021-08-24T02:32:40.000Z,"이무배
@LMB_ExtremeJob
·
8월 24일","비 맞았니? 물에 담군 생쥐같다, 너. 어우, 털고 들어와아~ 물 떨어지잖아.
1
10",,,1,10,['https://pbs.twimg.com/media/E9hc6TmVUAAS85u?format=jpg&name=small'],https://twitter.com/LMB_ExtremeJob/status/1429995040336531456
BSTO,@bloom_entity,2021-08-28T12:28:29.000Z,"BSTO
@bloom_entity
·
8월 28일","예전에는 배달이 공짜였다 ← 배달부가 가게에 직고용돼서 따로 배달비를 매길 필요가 없었기 때문이랍니다~
5.3천
2.1천",🌹 ☂,,5.3천,2.1천,[],https://twitter.com/bloom_entity/status/1431594534509498368
黄노랑,@sameas_323,2021-08-24T14:19:40.000Z,"黄노랑
@sameas_323
·
8월 24일","#rt 드림 5주년 기념 이벤트++ 

준등기비 부담하실 수 있는 분에 한하여 추첨 한 분께 런쥔 포토매틱과 잼런•마크 인화사진을 보내드립니당 

 멘션으로 스밍인증 해주시면 2번 넣어서 추첨 돌려요

시즈니한정 팔로워한정
14
90
5",💛 ⭕ ❌,14,90,5,"['https://pbs.twimg.com/media/E9j-uWLWQA8F6SJ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9j-uTlXMBAtv0Z?format=jpg&name=small', 'https://pbs.twimg.com/media/E9j-uTnXsAEnp-v?format=jpg&name=small', 'https://pbs.twimg.com/media/E9j-uTvXsBQVZuZ?format=jpg&name=360x360']",https://twitter.com/sameas_323/status/1430172963911966732
미즈,@R1NG0_M0R1,2021-08-30T11:00:10.000Z,"미즈
@R1NG0_M0R1
·
8월 30일","#신지모리 데이트하기 좋은 날씨에 짠하고 올리려고 했었는데 지금 확인해보니 이번 주에 비 소식이 너무 많기도 하고... 또 이제 진짜 금방! 쌀쌀해질 거 같아서 스리슬쩍 올려보는 신몰의 공원 데이트랍니다... (˘̩̩̩ε˘̩ƪ)

Ⓒ 메라진 님
1
3
23",,1,3,23,['https://pbs.twimg.com/media/E-CKm8uUUAQs6Il?format=jpg&name=small'],https://twitter.com/R1NG0_M0R1/status/1432297086603517957
SKS,@iamtheonesks,2021-08-28T01:06:59.000Z,"SKS
@iamtheonesks
·
8월 28일","어제 퇴근길 내리던 비가 그치고 해가 비추더니 하늘에 무지개가 드리웠다.운전을 하고 가는 길에 계속 내 앞에 길을 안내하는듯 떠 있었다.집에 거의 다 왔을때에 무지개가 흐미해지기 시작 했다.신호 대기중에 사진을 찍어 딸들에게 창을 열어 무지개를 보라고 알렸다.이렇게 헤어지면 언제볼지 몰라
3
16
75",,3,16,75,['https://pbs.twimg.com/media/E91vqPOVQAU8A7J?format=jpg&name=small'],https://twitter.com/iamtheonesks/status/1431423030329102336
송편,@_song_pyeon_,2021-08-28T04:30:55.000Z,"송편
@_song_pyeon_
·
8월 28일","RT이벤트
저희 고모가 불광역 1번 출구에 ""마리올라"" 빵집을 여셨어요~! 코로나로 장사가 잘 안되어 홍보합니닷!

이 비건빵 으로 샌드위치 만들면 건강하게 하루 한 끼 해결!

알티 3분께는 집에서 샌드위치 만들어 드시라고 플레인 치아바타 보내드릴게요! 추첨은 9월쯤
https://smartstore.naver.com/mariola_bulgwang/search?q=%EB%A7%88%EB%A6%AC%EC%98%AC%EB%9D%BC%EB%B3%B8%EC%A0%90…
1
369
54",🔥,1,369,54,"['https://pbs.twimg.com/media/E92eMudVIAUWYlw?format=png&name=360x360', 'https://pbs.twimg.com/media/E92eQuMVgAAkPBL?format=jpg&name=small']",https://twitter.com/_song_pyeon_/status/1431474352130650112
leia,@luckygirl_leia,2021-08-25T04:54:37.000Z,"leia
@luckygirl_leia
·
8월 25일","고객님이 궁금했던 라꽁비에트 가염 주셔서 먹어봤는데 진짜 맛있네
집에 남은 페이장 브레통 다 먹으면 좀 사야지 아니다 페이장은 요리할 때도 막 넣는데 이 라꽁비에트는 요리에 넣을 용도는 아니니 조만간 구입해 봐야지
개인적 프랑스 버터 취향 에쉬레=라꽁비에트>> 페이장브레통>>>>>이즈니
1
5",,1,,5,['https://pbs.twimg.com/media/E9nG-7nVgAEdAer?format=jpg&name=small'],https://twitter.com/luckygirl_leia/status/1430393151861055490
연근이샷다,@lotusroot108,2021-08-23T08:09:22.000Z,"연근이샷다
@lotusroot108
·
8월 23일","이상하게 돈이 바닥을 치려해서 동생에게 ""점이라도 봐야하나...돈이 드럽게 읎음""했다가. ""니 원고료 들어오는거 다 어따씀??""이래서 순간 깨달음

""""""아, 지난 달에 3주치 원고비가 안 나왔다!!!""""""

어쩐지.....ㅠㅠㅠ
2
12",,,2,12,['https://pbs.twimg.com/media/E9dgYvZVIAIgwmJ?format=jpg&name=small'],https://twitter.com/lotusroot108/status/1429717387104854019
댕,@Applefuck33,2021-08-24T10:16:26.000Z,"댕
@Applefuck33
·
8월 24일","여기에 비인한 인간들 다 뒤져 최애가 비인기멤이던말던 니들이 뭔 상관인데 비인을해 정신좀 차려
유쟈
@0w_wi
 · 8월 23일
nct127 정규 3집 sticker 스티커 앨범 포카 미리 교환 구해요

저: 쟈니 유타 외 모든 멤버
: 쟈니 유타

쟈니 유타 구해요

NCT 127 NCT127 엔시티 일이칠 스티커 sticker 정규3집 예판 공구 교환 태일 쟈니 유타 태용 도영 재현 정우 마크 해찬
이 스레드 보기
4
2
11",🌙 🌻 💚,4,2,11,['https://pbs.twimg.com/profile_images/1439586232472768521/JxwwPFMR_mini.jpg'],https://twitter.com/Applefuck33/status/1430111750200848384
