UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
마음을 훔친 남캐 홍보봇,@IloveMChara,2021-08-19T16:24:13.000Z,"마음을 훔친 남캐 홍보봇
@IloveMChara
·
8월 20일","42. 둥굴레차! - 백건

건아 기다리고 있다... 꼭 돌아와 알겠지
133
83",,,133,83,"['https://pbs.twimg.com/media/E9KrR-4VIAMpnn_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9KrSTkVgAQLy6_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9KrSKgVEAYvrS0?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9KrScAVcAg15fU?format=jpg&name=360x360']",https://twitter.com/IloveMChara/status/1428392366876987397
솦(식물구입금지),@soapforest,2021-08-28T14:02:08.000Z,"솦(식물구입금지)
@soapforest
·
8월 28일","조화처럼 자라고 있는 무늬각시둥굴레 유성
다들 좋은 밤 되세요
1
1
32",✨ 💚,1,1,32,['https://pbs.twimg.com/media/E94hEfkVIAsbxdO?format=jpg&name=900x900'],https://twitter.com/soapforest/status/1431618101263560711
후노보리매미등푸른생선야비한새끼 히스이,@soft__as,2021-08-03T21:37:19.000Z,"후노보리매미등푸른생선야비한새끼 히스이
@soft__as
·
8월 4일","둥굴레차으악
1",,,,1,['https://pbs.twimg.com/media/E75ZhBIUUAQZxGL?format=jpg&name=360x360'],https://twitter.com/soft__as/status/1422672957894107137
정흠,@tennysideup,2021-08-21T14:50:25.000Z,"정흠
@tennysideup
·
8월 21일","아 둥굴레차 카페인 있구나 나는 물 대용 가능한 줄 알았음 .. 졸라 달여마시니까 탈이 나지
1
7
6",,1,7,6,['https://pbs.twimg.com/media/E9Uo_0AVIAcIJjq?format=jpg&name=small'],https://twitter.com/tennysideup/status/1429093538013188098
삼촌,@imo11_imo11,2021-08-07T11:37:04.000Z,"삼촌
@imo11_imo11
·
8월 7일","둥굴레차 모르는 조율자만큼
귀여운 건 또 없을 거에요
1
1",,,1,1,"['https://pbs.twimg.com/media/E8L2fHhVIAQZMP7?format=jpg&name=small', 'https://pbs.twimg.com/media/E8L2fRjVkAI3-Zb?format=jpg&name=360x360']",https://twitter.com/imo11_imo11/status/1423971451208495109
전광판,@pandamoja,2021-08-22T03:47:07.000Z,"전광판
@pandamoja
·
8월 22일","둥굴레 10연 가챠의 결과입니다!

SR[모래성]둥굴레
UR[마법사]둥굴레
SSR[웃으며 뒤돌아보는]둥굴레
UR[부끄럽지 않은걸]둥굴레
R[경례!]둥굴레
SUR[아이돌]둥굴레
SR[소꿉친구]둥굴레
N[미소]둥굴레
SSR[직접 만든 초콜릿]둥굴레
R[어서 와]…
#shindanmaker #애캐가챠
당신의 애캐로 10연 가챠를 뽑아보았다.
당신의 자캐/애캐/앤캐 로 10연 가챠를 뽑아보았습니다. 애캐의 이름(가능하면 풀네임이 아닌 짧은 호칭)을 넣어주세요! 이 진단으로 연성 후, 괜찮다면 진단 태그로 진단을 많이 많이 홍보해주세요!레어도는 낮은 것부터 N/R/SR/SSR/UR/SUR 입니다.
kr.shindanmaker.com
2",,,,2,['https://pbs.twimg.com/card_img/1439985701081448448/HzoQhyEo?format=jpg&name=small'],https://twitter.com/pandamoja/status/1429288999596683268
life,@cc146146,2021-08-15T01:48:38.000Z,"life
@cc146146
·
8월 15일","비오는날 우중 바닷가풍경 동네한바퀴 걷기 코로나때문에 해수욕장도 임시폐장 거리두기4단계 (출처 : 둥굴레T | 네이버 포스트)
비오는날 우중 바닷가풍경 동네한바퀴 걷기 코로나때문에 해수욕장도 임시폐장 거리두기4단계
[BY 둥굴레T] 코로나때문에 조용한 바닷가 해수욕장 22일 까지 임시폐장 바닷가 파도타기 서퍼들만 많이...
m.post.naver.com
1
4
3",,1,4,3,['https://pbs.twimg.com/card_img/1440435889038319616/-hjfDk6b?format=jpg&name=240x240'],https://twitter.com/cc146146/status/1426722469679751171
홍참,@hongcharming,2021-08-03T07:31:56.000Z,"홍참
@hongcharming
·
8월 3일","둥굴레
1",,,1,,[],https://twitter.com/hongcharming/status/1422460207699927169
love bird,@goa611387,2021-08-15T12:26:35.000Z,"love bird
@goa611387
·
8월 15일","부산바다여행 부산해수욕장 호텔 호캉스 가볼만한곳 광안대교 광안리해수욕장 해운대해수욕장 (출처 : 둥굴레T | 네이버 포스트)
부산바다여행 부산해수욕장 호텔 호캉스 가볼만한곳 광안대교 광안리해수욕장 해운대해수욕장
[BY 둥굴레T] 비대면 휴가 호캉스 광안대교 광안리해수욕장 2021-8-2#광안대교광안리해수욕장#광안리해...
m.post.naver.com",,,,,['https://pbs.twimg.com/card_img/1440704452516745218/e7ehMJiC?format=jpg&name=240x240'],https://twitter.com/goa611387/status/1426883016190619653
춘애,@keemtsune,2021-08-05T07:30:15.000Z,"춘애
@keemtsune
·
8월 5일","둥굴레둥굴레 짝!
5",,,,5,[],https://twitter.com/keemtsune/status/1423184560699830274
