UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
양도 계정,@bbb95800199,2021-08-12T08:24:54.000Z,"양도 계정
@bbb95800199
·
8월 12일","오꾸닭 싸인컵 사용X
미운포 2.0

#b1a4 #싸인컵",,,,,['https://pbs.twimg.com/media/E8k6ci2VEAAbjp1?format=jpg&name=small'],https://twitter.com/bbb95800199/status/1425735028579831808
식빵,@sikbbang030,2021-08-01T18:38:50.000Z,"식빵
@sikbbang030
·
8월 2일","푸라닭 블랙 알리오
오꾸닭 크런치
제로공부해진짜다
@owing_owing2
 · 8월 1일
9. 가장 좋아하는 치킨은?
이 스레드 보기",,,,,['https://pbs.twimg.com/profile_images/1422688400344109058/L_sg61zV_mini.jpg'],https://twitter.com/sikbbang030/status/1421903262752542722
안내문?,@ahnnaemoon,2021-08-10T12:58:20.000Z,"안내문?
@ahnnaemoon
·
8월 10일","내가 듣기론 부산인가 쌍도에서 먼저 오꾸닭 생기고 친척이 서울에 차린게 오빠닭이라 들엇늠..
1",,,1,,[],https://twitter.com/ahnnaemoon/status/1425079066890162177
돌,@ettoool,2021-08-15T10:42:49.000Z,"돌
@ettoool
·
8월 15일","오꾸닭 오자마자 득점….?
앞으로 야구볼 땐 오꾸닭이다
1",,,,1,[],https://twitter.com/ettoool/status/1426856901946462212
돌,@ettoool,2021-08-15T10:25:26.000Z,"돌
@ettoool
·
8월 15일","너넨 좆구해 난 오꾸닭 먹을거임 시발 또 점수났네 ㅋ
1",,,,1,[],https://twitter.com/ettoool/status/1426852525307678727
DreameR,@DreameR_509,2021-08-08T08:25:25.000Z,"DreameR
@DreameR_509
·
8월 8일",이 동네 오꾸닭 있었네 간만에 먹어볼까,✨ ✨,,,,[],https://twitter.com/DreameR_509/status/1424285606025203719
초파,@chanchan_915,2021-08-11T15:19:00.000Z,"초파
@chanchan_915
·
8월 12일",앜 오꾸닭 먹고싶군,😃,,,,[],https://twitter.com/chanchan_915/status/1425476852844429313
H유진,@xxghng,2021-08-04T11:19:15.000Z,"H유진
@xxghng
·
8월 4일","오늘은 차돌떡볶이 먹고
후식 베라먹고
블랙 위도우 보고
오꾸닭 먹으면서
야구 좀 보다가
코노 땡기고 집에 간다ㅋ
3",,,,3,[],https://twitter.com/xxghng/status/1422879804148248582
윤겔라(ユンゲラー),@Yoongellra,2021-08-21T08:18:43.000Z,"윤겔라(ユンゲラー)
@Yoongellra
·
8월 21일","간만에 오꾸닭
2",,,,2,['https://pbs.twimg.com/media/E9TPV5FVIAYT45R?format=jpg&name=small'],https://twitter.com/Yoongellra/status/1428994964361383940
선불폰팅 상황극하기 24시간 지역폰팅 원나잇 지역만남,@hagaxaniku,2021-08-25T10:13:02.000Z,"선불폰팅 상황극하기 24시간 지역폰팅 원나잇 지역만남
@hagaxaniku
·
8월 25일","꿀호떡 두정역 살리기 제대기 덕혜 흔들기 너이트 분포지 오꾸닭 정발산 페달링 법륜 꿀비누 롤코드 수성펜 전갑길 흔들이 피다 급정지 말티재 약사암 이상래 쿠엔틴 홍콩썰 융비술 닛블 복지법 김처선 아듀뜻

 프로필 체크EBVI",🍞,,,,[],https://twitter.com/hagaxaniku/status/1430473282726285318
jin2forever,@jin2forever1,2021-08-21T21:03:59.000Z,"jin2forever
@jin2forever1
·
8월 22일","오꾸닭 vs 코리안 숯불 바베큐 vs 지코바 vs 굽네 

혼자 구운닭 이상형 월드컵 하면서
또 스트레스 받는 중 ...",,,,,[],https://twitter.com/jin2forever1/status/1429187548807516163
선불폰팅 남성전용 19금 24시간 지역폰팅 원나잇 지역만남,@soselizace,2021-08-25T19:53:26.000Z,"선불폰팅 남성전용 19금 24시간 지역폰팅 원나잇 지역만남
@soselizace
·
8월 26일","대형홀 드렁크 야한섹 지공예 지오 최프로 금사철 민어전 사역마 요석궁 트웬티 트릿 놀랍다 문양이 여자고 조덕배 청담바 응사 구몬초 박은숙 숭인문 임기택 필독서 충남대 을지대 대관 만수대 공카드 오꾸닭

 프로필 확인BMOZ",👮,,,,[],https://twitter.com/soselizace/status/1430619346066358281
선불폰팅O5O4-O965-O965 폰팅 번개팅 대화 섹파 조건만남 선불폰팅,,2021-08-16T13:43:16.000Z,"선불폰팅O5O4-O965-O965 폰팅 번개팅 대화 섹파 조건만남 선불폰팅
·
8월 16일","폰팅 구로선불폰팅 부산연애 남양주여자 철원대화방 포천엘프 정읍섹파찾기 응암역폰섹 상인역만남톡 서울시송파독일생활 강하면수입등산 목공 빠글 더모풋 비타씨 수차례 자누시 핫세일 에코 간체자 봉황기 오꾸닭 임경완 통계표

 프로필 참조",🪛 🪛 🟥,,,,[],https://twitter.com/silayegitu/status/1427264699435999234
