UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
𝑱𝒂𝒘𝒔𝒃𝒂𝒓,@Jaws_sBar,2021-08-24T08:17:50.000Z,"𝑱𝒂𝒘𝒔𝒃𝒂𝒓
@Jaws_sBar
·
8월 24일","이만큼 가까이, 정세랑
1
1
3",,1,1,3,['https://pbs.twimg.com/media/E9ir6IoVcAAqIpG?format=jpg&name=small'],https://twitter.com/Jaws_sBar/status/1430081904762523656
𝑱𝒂𝒘𝒔𝒃𝒂𝒓,@Jaws_sBar,2021-08-25T14:19:30.000Z,"𝑱𝒂𝒘𝒔𝒃𝒂𝒓
@Jaws_sBar
·
8월 25일","대박 사퍼 왜케 캐 많아졌어 뉴비둥절
1",,1,,,['https://pbs.twimg.com/media/E9pILCfVoAUHNf1?format=png&name=small'],https://twitter.com/Jaws_sBar/status/1430535308068626432
𝑱𝒂𝒘𝒔𝒃𝒂𝒓,@Jaws_sBar,2021-08-26T07:08:06.000Z,"𝑱𝒂𝒘𝒔𝒃𝒂𝒓
@Jaws_sBar
·
8월 26일","도랐다
곧시험|가림
@_dalgarim_
 · 8월 26일
제임스딘이랑 코난 도일이 같은 잉크라는 소식
https://instagram.com/p/CS_09V6r9YR/?utm_medium=share_sheet…",🌙,,,,"['https://pbs.twimg.com/profile_images/1420217530480840705/PORH08QH_mini.jpg', 'https://pbs.twimg.com/media/E9rThFZWEAU22LS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9rThVZXEAIo-Vx?format=jpg&name=360x360']",https://twitter.com/Jaws_sBar/status/1430789131815165955
디자인 커미션 박엔세 3.0,@N_SAIDs_,2021-08-16T13:16:59.000Z,"디자인 커미션 박엔세 3.0
@N_SAIDs_
·
8월 16일","근데 이건 사실..... RN-레지나 의사들끼리는 구구절절 상태 설명(SBAR 형식을 쓰지만? 나는 신규라 구구절절이죠?)하고 옵저할까요? / 약 뭐 줄까요? 하긴 해서...... 아예 이해가 안 되는 건 아닌..... 1년차인갑다
약 pharm
@pharmacy_record
 · 8월 16일
언젠가 레지던트가 전화해서 구구절절 이야기를 한적이 있음

선생님 안녕하세요 xx과 n년차 김뫄뫄입니다.. 저희 xx병동에 36호실 셋째 ㅇㅇㅇ님이라고 ~~~한 증상으로 입원을 하셔서 저희가 약을 쓰고 있는데 %%%하신게 너무 심해가지고 @@약을 쓰고 싶은데요.. 혹시 자가약 식별 부탁드려도 될까요?
이 스레드 보기
1",💊 💊,,1,,['https://pbs.twimg.com/profile_images/1162691403555540992/Z7P7NxRy_mini.jpg'],https://twitter.com/N_SAIDs_/status/1427258087543615488
Amanda_AQuA RN HV MSc QN,@MCR_Nurse,2021-08-29T06:08:50.000Z,"Amanda_AQuA RN HV MSc QN
@MCR_Nurse
·
8월 29일","Nice handy on call SBAR based tool for waking up the on call supervisor 
1
4",💙 👍,,1,4,['https://pbs.twimg.com/media/E97-VdIWUAMXspQ?format=jpg&name=900x900'],https://twitter.com/MCR_Nurse/status/1431861380110553088
作家 山田夏蜜 BOO-FOO-WOO＆猫丸山田商店 店主,@crystalcatscafe,2021-08-24T10:48:32.000Z,"作家 山田夏蜜 BOO-FOO-WOO＆猫丸山田商店 店主
@crystalcatscafe
·
8월 24일","『月織和装写真集』
に、参加します。
今日はすすきのを、札幌を盛り上げようと活動されている「おはようぐんまちゃん’ｓBAR」店主様の写真を撮りました。和装をもっと楽しく面白く。
Style:御燈（月織堂副店主）
Model:ぐんまちゃん店主
Photo:山田夏蜜
#札幌Twitter会 
#写真好きな人と繋がりたい
1
7
54",,1,7,54,['https://pbs.twimg.com/media/E9jNxdYUUAIyVS7?format=jpg&name=900x900'],https://twitter.com/crystalcatscafe/status/1430119831710224390
ちゅおnurse,@change_nursing,2021-08-26T11:21:33.000Z,"ちゅおnurse
@change_nursing
·
8월 26일","視聴期限まで残り1週間切ったところで終わった！！！めちゃめちゃよい。SBAR使った報告の仕方とか、コールする基準、フィジカルアセスメントまで繋げて解説されてて、看護師が講師をすることの意味を実感した、、みすほわさん感謝中級編もやるぞい　#看護rooセミナー
5
65",🙏 🙏,,5,65,['https://pbs.twimg.com/media/E9tpI79VoAARZsd?format=jpg&name=small'],https://twitter.com/change_nursing/status/1430852912788369409
Luvityfess,@luvityfess,2021-08-19T00:56:33.000Z,"Luvityfess
@luvityfess
·
8월 19일","D-DAY !! Aaaa g sbar banget jam 4 nnti , Ayo sukseskan bersama comeback mereka ya , semangat streaming sambil mleyot luvity! 
7
42",😆 👍,,7,42,['https://pbs.twimg.com/media/E9HW81UUUAITwUr?format=jpg&name=small'],https://twitter.com/luvityfess/status/1428158914600734721
えのあいまいなオッ三銃士②,@gamma0427,2021-08-15T11:09:45.000Z,"えのあいまいなオッ三銃士②
@gamma0427
·
8월 15일","続きの続きの続きJ'sBarさん
17",🥃,,,17,"['https://pbs.twimg.com/media/E8086TnUUAM4dgK?format=jpg&name=small', 'https://pbs.twimg.com/media/E8087szUcAQL69w?format=jpg&name=small', 'https://pbs.twimg.com/media/E8086-PVcBE5c5x?format=jpg&name=small', 'https://pbs.twimg.com/media/E8088eHVUAU12lz?format=jpg&name=small']",https://twitter.com/gamma0427/status/1426863676863094789
内田稔,@mimisan0917,2021-08-14T12:11:40.000Z,"内田稔
@mimisan0917
·
8월 14일","M'sBAR 終了！会場の皆様も配信の皆様も本当にありがとうございました。

セトリも流れもMCも、すごく良いライブで(自分で言うのもなんだけど) なんだか終始楽しくって仕方なかったなぁー

あと玄関先に忘れちゃって着れなかった衣装のアロハ、来たかったな…(猛省)

供養で載せときます
#MsBAR
4
7
52",💦,4,7,52,['https://pbs.twimg.com/media/E8wBiDxVUAENfje?format=jpg&name=small'],https://twitter.com/mimisan0917/status/1426516874611675141
