UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Connor,@mmofallout,2021-08-09T16:48:04.000Z,"Connor
@mmofallout
·
8월 10일","https://mmofallout.com/hotcakes-is-astellia-shutting-down/…
@AstelliaOnline
 and Astellia Royal appear to be shutting down. Both games very quietly retired from Steam over the weekend with no comment by Studio8 or Way2Bit.
2",,,,2,['https://pbs.twimg.com/media/E8XQx7mWUAgnp5-?format=jpg&name=small'],https://twitter.com/mmofallout/status/1424774492253941762
Connor,@mmofallout,2021-08-10T12:48:00.000Z,"Connor
@mmofallout
·
8월 10일","https://mmofallout.com/astellia-says-yes-it-is-shutting-down/…

Yes, 
@AstelliaOnline
 is shutting down. Studio8 announces servers to go offline October 29.
1
1",,,1,1,['https://pbs.twimg.com/media/E8bjZxxXoAIMv19?format=jpg&name=small'],https://twitter.com/mmofallout/status/1425076464660238342
BOUTS,@gimmebouts,2021-08-10T21:36:28.000Z,"BOUTS
@gimmebouts
·
8월 11일","Tune in to 
@talldanhegarty
 now for a repeat of our 2019 
@RTE2fm
 live #Studio8  session. Thanks to 
@fanningsessions
 for the tip off.
RTÉ 2fm
rte.ie
1
5",,,1,5,['https://pbs.twimg.com/card_img/1442458730101030922/GUCYENBG?format=png&name=900x900'],https://twitter.com/gimmebouts/status/1425209458653900809
Connor,@mmofallout,2021-08-09T17:00:25.000Z,"Connor
@mmofallout
·
8월 10일","It would be well within the scope of Studio8's general refusal to take responsibility if Astellia/Astellia Royal shut down without as much as an announcement.
1",,,,1,[],https://twitter.com/mmofallout/status/1424777599193079812
KaTZ Reb3l #91 UYTT,@katzworld,2021-08-23T00:55:38.000Z,"KaTZ Reb3l #91 UYTT
@katzworld
·
8월 23일","@nf_token_club 
@mz
.studio8  #fortunedragon #pizzaparty https://instagram.com/p/CS5cav4L4qk/?utm_medium=twitter…",😺 🐲 🍕 🤖 🤑 💰,,,,[],https://twitter.com/katzworld/status/1429608235925913605
Juls,@missbarkel,2021-08-05T09:51:53.000Z,"Juls
@missbarkel
·
8월 5일","gotcha 11-1 
@PrimordialRadio
 with bloodstock bands, a bonkers killer cover and a cheeky pre release of the brand new 
@PreHappiness
  #studio8 baby!  #GoAberdeen
Prescription Happiness
@PreHappiness
 · 8월 1일
VITRIOL. The title track off our new EP will be released Friday August 6th.

Pre-save available now https://ffm.to/vitriol.otw",🖤,,,,"['https://pbs.twimg.com/profile_images/1151986099641704448/8X3lr9c8_mini.jpg', 'https://pbs.twimg.com/media/E7pLUYRWUAsDM2K?format=jpg&name=small']",https://twitter.com/missbarkel/status/1423220203459076099
PLUS Culture｜プラス*カルチャー,@PLUS_CULTURE_,2021-08-07T09:06:15.000Z,"PLUS Culture｜プラス*カルチャー
@PLUS_CULTURE_
·
8월 7일",プラスカルチャー -Studio8-に写真を投稿しましたhttps://instagram.com/p/CSRH2C-l77F/?utm_medium=twitter…,,,,,[],https://twitter.com/PLUS_CULTURE_/status/1423933494527410176
THREE ARROWSSS Info,@ThreeArrowsss,2021-08-02T14:26:10.000Z,"THREE ARROWSSS Info
@ThreeArrowsss
·
8월 2일","こちらのわがままにお付き合いいただきありがとうございました

ugaさん、studio8の生徒の皆さんのおかげで素晴らしい動画が完成
↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓
uga
@uga0420
 · 8월 2일
是非是非観てほしい
鈍ってみたーーーーーーー twitter.com/ThreeArrowsss/…
3
5",🥺 💜,,3,5,['https://pbs.twimg.com/profile_images/1386302113374896129/LRAgjx0H_mini.jpg'],https://twitter.com/ThreeArrowsss/status/1422202066278096899
uga,@uga0420,2021-08-02T03:42:50.000Z,"uga
@uga0420
·
8월 2일","鈍ってみたで話題の
@ThreeArrowsss
 さんと
studio8 のコラボ動画が本日19:00配信‼︎
是非是非観てください
2
7",💜,,2,7,['https://pbs.twimg.com/ext_tw_video_thumb/1422039815587962883/pu/img/bjzb7pF0i281n_ve.jpg'],https://twitter.com/uga0420/status/1422040166940569607
Sostav.ru,@sostav_news,2021-08-18T13:30:44.000Z,"Sostav.ru
@sostav_news
·
8월 18일","Телеканал Paramount Comedy обновил визуальный стиль. Совместно с продакшн-студией Studio8 команда канала решила отказаться от 3D-графики в дизайне логотипа, а также пересмотрела цветовую палитру
Телеканал Paramount Comedy обновил логотип и визуальный стиль
Компания отказалась от 3D-графики и добавила ярких красок
sostav.ru",,,,,['https://pbs.twimg.com/card_img/1442267664068587520/av0q5JSI?format=jpg&name=small'],https://twitter.com/sostav_news/status/1427986319830044675
,@onyourb__eg,2021-08-22T15:51:29.000Z,"@onyourb__eg
·
8월 23일","มีคนเดมมาถามทวิตนี้เยอะมาก5555555555 ก่อนอื่นขอบคุณนะคะที่หาทวิตเจอ จนตอนนี้ยังมีทักมา55555555 ตอนนี้เราเรียน studio8 คอร์สดรออิ้งออนไลน์ค่ะ ทำงานแล้วก็ถ่ายรูปส่ง ตรวจงานทางไลน์ อยากถามเพิ่มเดมได้ตลอดคับ 
@onyourb__eg
 · 2020년 10월 25일
ใครมีที่เรียนดรออิ้งแนะนำมั้ยคะ 
이 스레드 보기
1",🥳 😭,1,,,['https://pbs.twimg.com/profile_images/1442511799589367813/rc2imIsj_mini.jpg'],https://twitter.com/onyourb__eg/status/1429471293754134535
