UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
간다달로,@to_the_tymoon,2021-08-14T05:30:42.000Z,"간다달로
@to_the_tymoon
·
8월 14일","[티저] 반려견이 함께라면 어디든.. '개'취 존중 여행 배틀 〈펫키지〉 8/26(목) 밤 10시 30분 첫 방송
https://youtu.be/Bzl80AkUTQ0
http://naver.me/5bXS7hQ8
7
12",🌙 ♥,,7,12,['https://pbs.twimg.com/media/E8ulwt9VIAYJKRX?format=jpg&name=small'],https://twitter.com/to_the_tymoon/status/1426415965617668097
홍,@FREEB0BBY,2021-08-18T06:08:58.000Z,"홍
@FREEB0BBY
·
8월 18일","let’s reach 100k views for the iKON’S TYPE teaser please  and don’t forget to leave a like!

[SUB] 아이콘의 취.향.저.격. 힐링 예능 #취향의아이콘 MainTeaser | One Summer Night https://youtu.be/kQe65Jycvg0 via 
@YouTube
#iKON #아이콘 
@YG_iKONIC
14
15",💘 😎,,14,15,['https://pbs.twimg.com/media/E9DU3neUcAMKcSj?format=jpg&name=small'],https://twitter.com/FREEB0BBY/status/1427875146262454273
WITH_HENRY,@With__henry,2021-08-21T03:50:00.000Z,"WITH_HENRY
@With__henry
·
8월 21일","https://youtu.be/4g0hFblfRyY

#StreetDanceoChinaS4 
Captain #HenryLau has a unique temperament and everything about him says a great model! Here is the shooting BTS video of Captain Henry Lau 's 1st look. 

오늘 9시 유쿠 유투브에서 저취시가무 2회가 방송됩니다 
#헨리
Henry刘宪华队长侧拍大公开，少年感世界一“刘” | 这！就是街舞 第四季 Street Dance of China S4 |...
【这！就是街舞 第四季】《这！就是街舞》 第四季燃炸回归！“明星导师+专业舞者真人秀”的全新赛制，颠覆所有传统舞蹈节目模式，借街舞的内核重新定义年轻人的潮流文化，第四季全新升级为中外对抗，邀请全世界的知名舞者共同参与，同时将中国街舞文化反输出到全世界，为爱而战，Battle for peace！更新时间：每周六2...
youtube.com
9
35",,,9,35,['https://pbs.twimg.com/card_img/1441652345528459270/FgwvLa0e?format=jpg&name=240x240'],https://twitter.com/With__henry/status/1428927337756721158
z,@iKONlDA,2021-08-17T08:55:15.000Z,"z
@iKONlDA
·
8월 17일","watch the teaser here

[SUB] 아이콘의 취.향.저.격. 힐링 예능 #취향의아이콘 #MainTeaser | One Summer Night https://youtu.be/kQe65Jycvg0 via 
@YouTube
[SUB] 아이콘의 취.향.저.격. 힐링 예능 #취향의아이콘 #MainTeaser | One Summer Night
Get Ready? Show Time!정신없이 달렸지 여름이 된지 모르고...무더운 여름 시원~하게 보낼 코닉이들 모여라
youtube.com
3
3",💘 😎 💘 😎 🏄 🔊 🔊 🤗 🌊,,3,3,[],https://twitter.com/iKONlDA/status/1427554605248831488
𝐇𝐔𝐍𝐀 || 𝐢𝐊𝐎𝐍 𝐄𝐗𝐈𝐓 𝐄𝐑𝐀,@just1huna,2021-08-17T03:59:52.000Z,"𝐇𝐔𝐍𝐀 || 𝐢𝐊𝐎𝐍 𝐄𝐗𝐈𝐓 𝐄𝐑𝐀
@just1huna
·
8월 17일","Who else is ready for iKON’s TYPE?! Check out the teaser :) 

아이콘의 취.향.저.격. 힐링 예능 #취향의아이콘 #MainTeaser | One Summer Night https://youtu.be/kQe65Jycvg0

iKON TYPE TEASER
#iKON #아이콘 
@YG_iKONIC
[SUB] 아이콘의 취.향.저.격. 힐링 예능 #취향의아이콘 #MainTeaser | One Summer Night
Get Ready? Show Time!정신없이 달렸지 여름이 된지 모르고...무더운 여름 시원~하게 보낼 코닉이들 모여라
youtube.com
1",💘 😎 💘 😎 🏄 🔊 🔊 🤗 🌊,,,1,[],https://twitter.com/just1huna/status/1427480272803549184
Letmebeme,@notmejustangel,2021-08-23T14:30:50.000Z,"Letmebeme
@notmejustangel
·
8월 23일","[MCND-LOG 10] 휘준에게 ㉯는 또 밤ㅅH 취ㅎh..간다..~ https://youtu.be/q9Ugl-T-5v0 via 
@YouTube
My fav vlog from huijun
THE EARTH TRACK LIST
#엠씨엔디 #MCND
SECRET MISSION TRACK LIST
#SECRET_MISSION
MCND TRACK LIST
@McndOfficial_
[MCND-LOG 10] 휘준에게 ㉯는 또 밤ㅅH 취ㅎh..간다..~
[MCND-LOG 10] 휘준에게 ㉯는 또 밤ㅅH 취ㅎh..간다..~#MCND #엠씨엔디 #휘준MCND Official Twitter | https://twitter.com/McndOfficial_MCND Official Facebook | https://www.facebook.c...
youtube.com",,,,,['https://pbs.twimg.com/card_img/1442212133010227200/f41ICLsI?format=jpg&name=240x240'],https://twitter.com/notmejustangel/status/1429813386091503621
D,@d_the_bi,2021-08-18T05:09:33.000Z,"D
@d_the_bi
·
8월 18일",유흥업소 무전취식 1억이라니 룸중독남....,,,,,[],https://twitter.com/d_the_bi/status/1427860194889900040
펭덕,@The_B426,2021-08-07T15:40:10.000Z,"펭덕
@The_B426
·
8월 8일",아이러브유소머취베리베리알고있지항상옆에있어줄게 #영훈아_생일축하해_해랑사,🐧,,,,[],https://twitter.com/The_B426/status/1424032628848558084
항해사,@bee_the_WAY,2021-08-16T16:44:05.000Z,"항해사
@bee_the_WAY
·
8월 17일","근형동수가 어쩌다가 고래별 씨피로 떠오르게 된건지 그 경위가 궁금하다...
(취ㅈ아니어요 진짜 순수하게 궁금함
2",🐳 ⭐ 💙,,,2,[],https://twitter.com/bee_the_WAY/status/1427310205407092736
한밤중,@THE_DEAD_HOURS,2021-08-28T19:28:27.000Z,"한밤중
@THE_DEAD_HOURS
·
8월 29일","쿠욱밥. 김취찌개. 푸우른 하눌.... 으은하수. Milky way. 은하수우. 특히 이 단어가 아주 마음에 들어.

-O, A에게 한국어 지도를 받으며.",,,,,[],https://twitter.com/THE_DEAD_HOURS/status/1431700224846692353
지금은 대 캠핑시대!,@THE_CAMPING_NOW,2021-08-20T03:13:11.000Z,"지금은 대 캠핑시대!
@THE_CAMPING_NOW
·
8월 20일"," 8/21(토) ~ 8/22(일) <렛츠 배틀 로얄!
~이라는 이름의 즐거운 로얄 운동회~> 참여인원 수요 조사

운동회 일정은 
(토) pm 8~10
수박깨기 (40시간)
비치발리볼 대회 (1시간)

(일) pm 8~9
뭘다네취 게임(1시간)
으로 예정되어 있습니다.

참여 가능한 인원은 해당 트윗에 멘션을 남겨주세요.
12
2
5",🏕 🍉 ⚽ 🎲,12,2,5,[],https://twitter.com/THE_CAMPING_NOW/status/1428555684015009795
soozoeun #1 LUOFEI,@soeunsocks,2021-08-02T11:07:57.000Z,"soozoeun #1 LUOFEI
@soeunsocks
·
8월 2일","who the fuck decided to romanise 취 as choi. WHY*@*#&×&
1
1",😭 😭 😭 😭 😭 😭 😭 😭 😭,1,,1,[],https://twitter.com/soeunsocks/status/1422152182128943104
Sara,@soooiKONIC,2021-08-17T08:28:32.000Z,"Sara
@soooiKONIC
·
8월 17일","KONICLand watch the teaser&give lot of love  lets make the views higher so SM will be happy to iKON 
iKON TYPE TEASER
@YG_iKONIC
 #iKON #아이콘

(SUB] 아이콘의 취.향.저.격. 힐링 예능 #취향의아이콘 #MainTeaser | One Summer Night https://youtu.be/kQe65Jycvg0 via 
@YouTube
[SUB] 아이콘의 취.향.저.격. 힐링 예능 #취향의아이콘 #MainTeaser | One Summer Night
Get Ready? Show Time!정신없이 달렸지 여름이 된지 모르고...무더운 여름 시원~하게 보낼 코닉이들 모여라
youtube.com
1
2",💕 😅 😅 🤣 💘 😎 💘 😎 🏄 🔊 🔊 🤗 🌊,,1,2,[],https://twitter.com/soooiKONIC/status/1427547882622623744
"박종상(JONGSANG, PARK)",@My2H7OGT5HRiiMu,2021-08-04T20:22:56.000Z,"박종상(JONGSANG, PARK)
@My2H7OGT5HRiiMu
·
8월 5일","■SGI,Buddha's Word of the Day
이번에 법화경(法華經)에 신심(信心)을 가질 것이뇨.신(信)이 없이 이를 경(經)을 행하는 것은 손 없이 보산(寶山)에 들어가고 발 없이  천리(千里) 길을 가려고 함과 같으니라.다만 가까운 현증(現證)을 인용(引用)해서 먼 신(信)을 취(取)할지어다.(호렌초1045쪽)",,,,,[],https://twitter.com/My2H7OGT5HRiiMu/status/1423016624416718849
DM,@meihchan,2021-08-17T02:29:03.000Z,"DM
@meihchan
·
8월 17일","Here's the teaser guys, let's watch it. ♡

[SUB] 아이콘의 취.향.저.격. 힐링 예능 #취향의아이콘#MainTeaser | One Summer Night

https://youtu.be/kQe65Jycvg0

iKON TYPE TEASER
#iKON #아이콘 
@YG_iKONIC
[SUB] 아이콘의 취.향.저.격. 힐링 예능 #취향의아이콘 #MainTeaser | One Summer Night
Get Ready? Show Time!정신없이 달렸지 여름이 된지 모르고...무더운 여름 시원~하게 보낼 코닉이들 모여라
youtube.com
1",🥳 💘 😎 🔗 💘 😎 🏄 🔊 🔊 🤗 🌊,,1,,['https://pbs.twimg.com/card_img/1440137765753028608/rv0Axd1x?format=jpg&name=240x240'],https://twitter.com/meihchan/status/1427457417315459107
