UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
J,@J9980115,2021-08-26T13:58:08.000Z,"J
@J9980115
·
8월 26일","빵야                                                 앟
560
603",,,560,603,"['https://pbs.twimg.com/media/E9uM-kNUUAc4M7w?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9uM-kPUYAcu0NZ?format=jpg&name=360x360']",https://twitter.com/J9980115/status/1430892319125827591
시옷이응,@softlittlefox_,2021-08-26T13:09:06.000Z,"시옷이응
@softlittlefox_
·
8월 26일","공격력 빵퍼센트 바부팅야 ♡ ♡ ♡
538
816",,,538,816,['https://pbs.twimg.com/ext_tw_video_thumb/1430879884390191114/pu/img/v9OI2UoxGYstncTG.jpg'],https://twitter.com/softlittlefox_/status/1430879982423658501
이함놈,@2hnmj,2021-08-26T05:14:21.000Z,"이함놈
@2hnmj
·
8월 26일","커플은 없냐니까 은광선배가 ""아니야 말해도 돼 자기야."" 해서 현재 빵터짐ㅅㅂㅋㅋㅋㅋㅋㅋㅋ
4
3.3천
2.2천",,4,3.3천,2.2천,['https://pbs.twimg.com/media/E9sVFQbUUAIR1ey?format=jpg&name=small'],https://twitter.com/2hnmj/status/1430760506843795465
ever,@0913ever,2021-08-29T08:36:38.000Z,"ever
@0913ever
·
8월 29일","빵야
GIF
1
108
271",❤,1,108,271,['https://pbs.twimg.com/tweet_video_thumb/E98gGp4VcAAV761.jpg'],https://twitter.com/0913ever/status/1431898575286325250
삡씨,@mrBEEP_ssi,2021-08-30T03:51:33.000Z,"삡씨
@mrBEEP_ssi
·
8월 30일","#zardysmaze

빵야
8
25",,,8,25,"['https://pbs.twimg.com/media/E-AoekKVgAQoyba?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-AoekaUUAgUzKQ?format=jpg&name=small']",https://twitter.com/mrBEEP_ssi/status/1432189218348961792
말쑥,@malsooki_ki,2021-08-30T02:34:21.000Z,"말쑥
@malsooki_ki
·
8월 30일","그치만.... 내가 제일 좋아하는 드라마라마는.....
애쉬도 아니고 드롭 이어링도 아니고....
“빵야티비” 다............
GIF
94
160",,,94,160,['https://pbs.twimg.com/tweet_video_thumb/EsWCM6dUUAE44r2.jpg'],https://twitter.com/malsooki_ki/status/1432169790248927232
이헌,@sunny_h0,2021-08-29T13:58:16.000Z,"이헌
@sunny_h0
·
8월 29일","빵야
2
10",🔆,,2,10,['https://pbs.twimg.com/media/E99pwzeVkAk9gEy?format=jpg&name=small'],https://twitter.com/sunny_h0/status/1431979515987726336
𝑭𝒂𝒏𝒄𝒚,@fancygif,2021-08-28T08:20:37.000Z,"𝑭𝒂𝒏𝒄𝒚
@fancygif
·
8월 28일","210828 빵야♡ 
#더보이즈 #주연

https://bit.ly/3ymKjHd
GIF
121
154",,,121,154,[],https://twitter.com/fancygif/status/1431532158833750016
봄봄,@RxJXE8dPQPReFFm,2021-08-28T09:24:31.000Z,"봄봄
@RxJXE8dPQPReFFm
·
8월 28일","빵야빵야
GIF
3
10",🥦,,3,10,['https://pbs.twimg.com/tweet_video_thumb/E93hgFWVgAM10pD.jpg'],https://twitter.com/RxJXE8dPQPReFFm/status/1431548237459034114
리나카 일렉트릭엔젤,@Linaka6635,2021-08-27T13:53:35.000Z,"리나카 일렉트릭엔젤
@Linaka6635
·
8월 27일","빵야!
GIF
1
9",☪ ⚡,1,,9,['https://pbs.twimg.com/tweet_video_thumb/E9zVg95VkAoLdaO.jpg'],https://twitter.com/Linaka6635/status/1431253561573265410
