UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
윳아:오잉왜귀가간지럽지호앙앙,@yhc_mania,2021-08-27T13:30:36.000Z,"윳아:오잉왜귀가간지럽지호앙앙
@yhc_mania
·
Aug 27","스스로를 놀량패라 말하며 끊임없이 비하하고 일부러 애비에게 바치기위한 춘화를 남김으로써 가문의 수치로 전락하고마는게 윤승호의 저항&생존 방식인듯.
춘화는 진정으로 윤승호가 원해서 그리는게 아님 야화 가사를 보면 알수있음

'그려내고 그려내도 끝이 나지않는 어둠'
1
18
50",,1,18,50,['https://pbs.twimg.com/media/E9zQRPmUcAEBIo7?format=jpg&name=small'],https://twitter.com/yhc_mania/status/1431247778697527296
호드,@Scarface_A0,2021-08-27T04:43:31.000Z,"호드
@Scarface_A0
·
Aug 26","아..ㅋㅋㄱㄱ개웃기다  이 책을 샀는데 출판산지? 어디서 전화와서 책 사줘서 고맙다고 근데 이 책 사신분들 한국의 춘화집도 많이 사는데 같이 사실 생각없냐고 전화옴ㅋㅋ
4
5
26",,4,5,26,['https://pbs.twimg.com/media/E9xXoPkVcAItCJi?format=jpg&name=small'],https://twitter.com/Scarface_A0/status/1431115132902404098
송진,@songjin_yang,2021-08-29T11:34:57.000Z,"송진
@songjin_yang
·
Aug 29","나 이 춘화사진 처음봐 옆에 갈반소두 잇ㅅ어 봉화류금어디쯤이니..。
4",,,,4,['https://pbs.twimg.com/media/E99I-SYVUAE2wSh?format=jpg&name=small'],https://twitter.com/songjin_yang/status/1431943451881340935
하비샴(야화첩도라방쓰),@_Havishamm,2021-08-30T13:22:57.000Z,"하비샴(야화첩도라방쓰)
@_Havishamm
·
Aug 30","솔직히 정인헌 찾아간게 춘화때문도 있겠지만 자존심 오지게 상하고 빡쳐서 간듯
어떤 놈인지 얼마나 잘났나 보자
3
6
118",,3,6,118,['https://pbs.twimg.com/media/E-CrR8uUcAIfCch?format=jpg&name=900x900'],https://twitter.com/_Havishamm/status/1432333016341245962
윤애,@homelesbian,2021-08-03T16:00:26.000Z,"윤애
@homelesbian
·
Aug 3","작년에 잠깐 잡았던거 써니 영화.. 춘화에 진심이었음
3",,,,3,['https://pbs.twimg.com/media/E74MaGpVEAEFIh_?format=jpg&name=small'],https://twitter.com/homelesbian/status/1422588176703524868
맴맴,@____method,2021-08-27T13:42:25.000Z,"맴맴
@____method
·
Aug 27","아니 근데 야화첩 오늘화 보고 작품소개 다시 읽으니까
좀 과몰입하게 된다. . .
승호네 집이 어릴때부터 그지랄로피테쿠스 났었는데
처음 나겸이가 그린 춘화집을 봤을때 얼마나 큰 해방감을 느꼈을까 싶고
나겸이도 그나마 일상에서 그림이 유일하게 자기 표현이 가능한 탈출구였을 것 같고
1
3
13",,1,3,13,['https://pbs.twimg.com/media/E9zS9yNVIAIiV1r?format=jpg&name=small'],https://twitter.com/____method/status/1431250751523680260
@moking/수라쨩(여성향)게임팬아트모드,@moking/수라쨩,2021-08-14T13:26:34.000Z,"@moking/수라쨩(여성향)게임팬아트모드
@moking999
·
Aug 14","이거 갤럭시탭에 저장해둔거 발견한 문어 x수라쨩 만화인데 대체 무슨 생각으로 그렸던건지 모르겠다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 문어춘화 그리겠다고 이런것까지 그릴 필요가 있었나 ㅋㅋㅋㅋㅋ
1
9",🔞,,1,9,['https://pbs.twimg.com/media/E8wSrQtVUAU7E8l?format=jpg&name=small'],https://twitter.com/moking999/status/1426535719892262913
,@Zorosa1109,2021-08-28T14:20:26.000Z,"@Zorosa1109
·
Aug 28","춘화추월 : 천생의 연인 보는 타래 ˚₊·—̳͟͞͞♡
The following media includes potentially sensitive content. Change settings
View
1
1
17",🌊,1,1,17,[],https://twitter.com/Zorosa1109/status/1431622708777795589
마리모트친,@nine___hundred,2021-08-04T10:08:27.000Z,"마리모트친
@nine___hundred
·
Aug 4","아니 춘화야
1",,,,1,['https://pbs.twimg.com/media/E78FbwvUcAIqkao?format=jpg&name=small'],https://twitter.com/nine___hundred/status/1422861984211644419
기절초풍 효성진,@yjin_L22,2021-08-25T08:22:13.000Z,"기절초풍 효성진
@yjin_L22
·
Aug 25","곱다.. 춘화야 언제와....
지양이가 춘호ㅏ연기하는 거 보다가 나 쓰러질 수도 있음
1
3",,,1,3,['https://pbs.twimg.com/media/E9n2gj2UUAIRJWC?format=jpg&name=900x900'],https://twitter.com/yjin_L22/status/1430445397810454535
파도,@pongdangswim,2021-08-17T13:16:39.000Z,"파도
@pongdangswim
·
Aug 17","춘화추월 보는 타래...
1
1
13",,1,1,13,['https://pbs.twimg.com/media/E8_tGdUUUAIXd6Z?format=jpg&name=small'],https://twitter.com/pongdangswim/status/1427620389870473216
(발닦)개나리,@NOT_DOG_LORD,2021-08-09T08:16:57.000Z,"(발닦)개나리
@NOT_DOG_LORD
·
Aug 9","첫만남일러... 이렇게 장면 이러지는 삭제씬 같은 느낌이다ㅋㅋㅋ 나겸이 데려오고 나를 위한 춘화를 그려달라하고 술 한 잔 하면서 뭘 해야하는지 알려주는 장면ㅠㅠ
2
17",,,2,17,"['https://pbs.twimg.com/media/E8Vb3M_UcAIvqtt?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Vb3VRVgAMcVMY?format=jpg&name=360x360']",https://twitter.com/NOT_DOG_LORD/status/1424645864899809284
토끼,@erurirure,2021-08-16T06:48:42.000Z,"토끼
@erurirure
·
Aug 15","춘화보고 에구머니나.. 하며 앞발로 눈을 폭 가린뒤에 얼마가지않아 훌쩍훌쩍 울기 시작하는 엘빈 (도대체 누구예요)
4",,,,4,['https://pbs.twimg.com/media/E85KyeBVEAIhsKy?format=jpg&name=small'],https://twitter.com/erurirure/status/1427160369559085059
청운,@_Cheongun,2021-08-19T12:08:40.000Z,"청운
@_Cheongun
·
Aug 19","갑자기 써니 시절 솔지완, 빛나비 보고싶다...

춘화 역 홀리               나미 역 서아
수지 역 소희               진희 역 혜지
청운
@_Cheongun
 · Aug 19
써니 맴버 같은 서아깅... 나미 역할 하면 딱일 듯ㅠㅠㅠ
2
24",,,2,24,"['https://pbs.twimg.com/media/E9Jwy81VgAoW0Gx?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Jwy81UYAQ1eK5?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Jwy79VIAs5omb?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Jwy85VIAEMHSF?format=jpg&name=360x360', 'https://pbs.twimg.com/profile_images/1423846738083807232/kbrchg9o_mini.jpg', 'https://pbs.twimg.com/media/E9JusxHUUAIqo7S?format=jpg&name=120x120', 'https://pbs.twimg.com/media/E9JusxQUcBI00dT?format=jpg&name=120x120']",https://twitter.com/_Cheongun/status/1428328057555750913
건,@Salmonahan,2021-08-05T14:09:39.000Z,"건
@Salmonahan
·
Aug 5","존잘님의 형락쓰 춘화여
호 윤 湖 奫
@hoyun_hujikou
 · Aug 5
걍 내가 꼴려서 올리는 임형락 꾸금 선화 
1
2
4",🧃 👑 👑 🤭,1,2,4,"['https://pbs.twimg.com/profile_images/1438112662219464709/wd4l4sed_mini.jpg', 'https://pbs.twimg.com/media/E8B9KHMVcAYBzcr?format=jpg&name=small']",https://twitter.com/Salmonahan/status/1423285073051193357
참치 게임계(메인트확인),@ckacl_ff14_,2021-08-08T15:30:03.000Z,"참치 게임계(메인트확인)
@ckacl_ff14_
·
Aug 8","새벽에 춘화가 찍어준 갓.스샷 가져왔다.. 이런거 혼자먹으면 대머리 된다길래 트친 여러분께만 노나드립니다
2",,,,2,['https://pbs.twimg.com/media/E8R1Zu1VoAEoDDd?format=jpg&name=900x900'],https://twitter.com/ckacl_ff14_/status/1424392470280896513
BDZ,@Bbbbulldozer,2021-08-03T09:35:52.000Z,"BDZ
@Bbbbulldozer
·
Aug 3","20대 여자들의 춘화집
1
5",,,1,5,[],https://twitter.com/Bbbbulldozer/status/1422491396833832961
치자,@nin_kaizoku,2021-08-15T12:21:27.000Z,"치자
@nin_kaizoku
·
Aug 15","요시마루 춘화집<너무 놀라운 단어의 조합이라 기억 다 날아갔어요
5",,,,5,[],https://twitter.com/nin_kaizoku/status/1426881722747031553
웡,@k_ggi_k_ggi,2021-08-09T11:43:53.000Z,"웡
@k_ggi_k_ggi
·
Aug 9","ㅋㅋㅋㅋㅋㅋ원소의 황제, 상복, 춘화 옐로
1",,,,1,[],https://twitter.com/k_ggi_k_ggi/status/1424697942003249156
응애,@mummumwalwal,2021-08-06T05:20:32.000Z,"응애
@mummumwalwal
·
Aug 5","에메춘화근황:뜨밤보내는중
1
3",,1,,3,[],https://twitter.com/mummumwalwal/status/1423514303970172933
Homo Aestheticus,@Lilt_u,2021-08-17T18:58:39.000Z,"Homo Aestheticus
@Lilt_u
·
Aug 17","다카서기 고급스러운 춘화집 먼저 읽고 띨도 사서 연습해보고 긴터키랑 햇을거 같은데 긴터키는 일단 해보고 나서 탐구햇을거 같은ㅋㅋ
1
2",,,1,2,[],https://twitter.com/Lilt_u/status/1427706457332482051
도라마코리아,@doramakr,2021-08-02T10:00:01.000Z,"도라마코리아
@doramakr
·
Aug 2","#무사스턴트아이사카군! 1화가 공개되었습니다

#하마다타카히로 주연 에도시대의 무사이자 춘화 작가인 주인공이 현시대로 타임슬립하여 펼쳐지는 조금 독특한 코미디를 지금 #도라마코리아 에서 만나보세요!
https://dorama.kr/watch/15810
21
10",✨ 🥰 🔗,,21,10,[],https://twitter.com/doramakr/status/1422135085990486016
변덕/ByeonDuck/,@ByeonDuck_,2021-08-24T21:05:28.000Z,"변덕/ByeonDuck/
@ByeonDuck_
·
Aug 24","애니메이트에 있는 춘화?는 제가 그린 게 아닙니다ㅋㅋ 다들 이상한 추측들을...ㅋㅋㅋ
저도 그림보고 수염남은 김씨인가요? 하고 물어봤어요ㅋㅋ
179
1.8K",,,179,1.8K,[],https://twitter.com/ByeonDuck_/status/1430275084522983431
호롱불,@ADG899,2021-08-04T01:31:30.000Z,"호롱불
@ADG899
·
Aug 3","실제 정사는 그다지 흥미가 없지만 꾸금 콘텐츠에는 오히려 빙형보다 더 열광하는 심구.....

방에 춘화집 산처럼 쌓아놓고 뒹굴거리며 읽기..... 한량의 삶......

B: 꺄아악!!! 이게 뭐에요 남사스럽게!!!!!
9: (어이 가출)남...., 뭐?
B: 이건 또 뭡니까?!?!! 윤간?!?!! 수간?!?!?!!
1
26
107",,1,26,107,[],https://twitter.com/ADG899/status/1422731890893549576
송진,@songjin_yang,2021-08-22T11:31:44.000Z,"송진
@songjin_yang
·
Aug 22","지양이 춘화 너무너무너무너무 기대된다 눈썹 얇은거 너무 예뻐
7",,,,7,[],https://twitter.com/songjin_yang/status/1429405927417868289
동동쨩,@ehdehddlxn,2021-08-21T15:18:58.000Z,"동동쨩
@ehdehddlxn
·
Aug 21","춘화추월 .. 하니까 생각나는 거
전 ... 1화 보거 안 밧어요
1
1",,,1,1,[],https://twitter.com/ehdehddlxn/status/1429100721266298881
다다茶茶,@chacha_tealover,2021-08-18T15:06:12.000Z,"다다茶茶
@chacha_tealover
·
Aug 18","칭다오 춘화루 탕수육이 탐라 보다보니 문득 생각나네
3",🫖 🌿,,,3,[],https://twitter.com/chacha_tealover/status/1428010346619363328
ઇଓ 혜성,@Hxing_xing,2021-08-13T14:53:39.000Z,"ઇଓ 혜성
@Hxing_xing
·
Aug 13","나 어서 춘화 보고싶은데 뭔 얘기가 안나오네
어디까지 진행됐는지 알려줘
1
2",,,1,2,[],https://twitter.com/Hxing_xing/status/1426195247898398727
0급ᴴˢᴷ,@HSK0level,2021-08-30T03:16:34.000Z,"0급ᴴˢᴷ
@HSK0level
·
Aug 29","진짜 춘화추실은 진짜 짱이야. 눈같은 금멱이랑 불같은 욱봉이가 만나서 사랑을 해요..
0급ᴴˢᴷ
@HSK0level
 · Jul 15, 2020
춘화추실은 왜 봄가을만 있냐고 여름과 겨울도 갖고싶다니까 금멱이 하는 말 좀 보세요... 진짜.. 하.
""당신은 여름날의 태양 같은 화신이고 난 겨울의 서리꽃이니까 사계절은 이미 완벽하잖아.""!!!!!!!!!!!!!!!
이게 지금 운단이 다 안깨질때 하는 말이라고요.... 도대체 어떡할라구 그래?ㅠㅠㅠㅠ
Show this thread
2",,,,2,"['https://pbs.twimg.com/profile_images/1431120297160163330/ZZm5otSE_mini.jpg', 'https://pbs.twimg.com/media/Ec-tl0fUYAAWTVe?format=png&name=360x360', 'https://pbs.twimg.com/media/Ec-tm72VcAAvmtz?format=png&name=360x360', 'https://pbs.twimg.com/media/Ec-tlZjUYAEpOsd?format=png&name=360x360', 'https://pbs.twimg.com/media/Ec-tniWUEAAEcp6?format=png&name=360x360']",https://twitter.com/HSK0level/status/1432180416891404291
slow뉴이(린옌준콩알아),@neweee_teeth,2021-08-03T14:40:41.000Z,"slow뉴이(린옌준콩알아)
@neweee_teeth
·
Aug 3","춘화추월 마지막장면 또 재탕했구요 백발 추월거거 미쳤어요.. 전 이제 다시 동궁보러..
1
2",,,1,2,[],https://twitter.com/neweee_teeth/status/1422568107780894720
윤,@wxhn85,2021-08-20T14:00:12.000Z,"윤
@wxhn85
·
Aug 20","창구2세가 제일 좋아하는 시간
장경 아빠가 목마 태워줄 때
고윤 아빠가 현철영 얘기 해줄 때
반소 춘화 삼촌이랑 장터 놀러나갈 때
심역 삼촌네 놀러가거 언이랑 놀 때

제일 싫어하는 시간
고윤 아빠가 피리 불 때
장경 아빠가 공부 알려줄 때
춘화 삼촌이 끼부릴 때
1
6",,,1,6,[],https://twitter.com/wxhn85/status/1428718512952930305
