UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
엘티,@d_judge_,2021-08-12T03:01:31.000Z,"엘티
@d_judge_
·
8월 12일","강요한계략으로
김가온집태우죠
　　　　　　　　　　　　잠시만ㅇ
잠자는숲속의
공주님
　　　　　　　　　　　　잠시ㅁ
암사자무리
새끼사슴
　　　　　　　　　　　　잠ㅅ
강요한판사님의
강아지
　　　　　　　　　　　　저기요
85
91",,,85,91,"['https://pbs.twimg.com/media/E8jvnc8VEAAxYnh?format=png&name=360x360', 'https://pbs.twimg.com/media/E8jvx54VcAgei90?format=jpg&name=small']",https://twitter.com/d_judge_/status/1425653648936169473
덕일,@DUCK1__,2021-08-09T11:55:13.000Z,"덕일
@DUCK1__
·
8월 9일","또 이꼴날게 뻔한, 수상해도 일단 집에 들이고보는 아저씨나 속이고 집에 들어가는 사람도 그닥 무서운 짓 하러간거 아니고 골동품 구경온 사슴이나 소금판매원임

아니 근데 집도 똑같은곳 같네 미의 항아리 전용 자택
5
16",,,5,16,"['https://pbs.twimg.com/media/E8WN0S0VEAAokDW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8WN0S0UUAMKPGn?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8WN0S1UYAEZSlK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8WN0SxVEAYw1jn?format=jpg&name=360x360']",https://twitter.com/DUCK1__/status/1424700791852466181
부리,@buryburimon,2021-08-22T12:25:07.000Z,"부리
@buryburimon
·
8월 22일","안녕하세요 지나가는
사슴인데 물 좀 주실수 있을까요 
                              아무리봐도
.                             사람이신데여
그런 소리 많이 들어요 ㅎㅎ
혹시 실례가 안된다면 
댁의 집에 묵고 싶은데 
                              .....예 ?
1
1",,,1,1,"['https://pbs.twimg.com/media/E9ZRVJEVgAUeHmm?format=jpg&name=small', 'https://pbs.twimg.com/media/E9ZRVRdVcAgMXq-?format=jpg&name=360x360']",https://twitter.com/buryburimon/status/1429419359349313543
리젤,@lysel_TR,2021-08-08T11:29:21.000Z,"리젤
@lysel_TR
·
8월 8일","https://youtu.be/VyvhvlYvRnc

우리집(아님) 맛난사슴이랑 야쿠자사자아저씨의 갓ㅡ관 노래 들어줘
요아소비의 갓 목소리와...
맛잇는피븨도잇어...
YOASOBI「優しい彗星」Official Music Video　(YOASOBI - Comet)
Download＆Streaming配信中:https://orcd.co/cometTVアニメ『BEASTARS』第二期エンディングテーマ『BEASTARS』原作者・板垣巴瑠先生がこの楽曲の原作小説として書き下ろした「獅子座流星群のままに」はTVアニメBEASTARS公式HP[MUSIC]タブにて公開中！htt...
youtube.com
1",,,,1,['https://pbs.twimg.com/card_img/1440513332273098753/22VhLCmu?format=jpg&name=240x240'],https://twitter.com/lysel_TR/status/1424331894901002244
여자호랑이 (구 심술통),@yokandaforever,2021-08-07T15:53:11.000Z,"여자호랑이 (구 심술통)
@yokandaforever
·
8월 8일","나 ㅇㅣ 계정 홈랜드때매 팔로하게됏는데(아랍사슴녀랑 그녀의 집과 문화 존나 아름다워서 ㅋㅋㅋ) 너무 아랍나라 아름다운 모습만 보여줘서 지하드 세력이 운영하는거 아닌가 의심들어
Arab world
@Arabbeau
 · 8월 8일
Morocco
1
1
4",,1,1,4,"['https://pbs.twimg.com/profile_images/1347583731884826624/pgBZ8t2H_mini.jpg', 'https://pbs.twimg.com/media/E8MwyzkXsAA6c01?format=jpg&name=900x900']",https://twitter.com/yokandaforever/status/1424035905614934016
씁씁후후,@nan_mobsi_angry,2021-08-27T12:26:43.000Z,"씁씁후후
@nan_mobsi_angry
·
8월 27일","그런데 인간적으로 관우 죽을 때는 막 비장하고 유령도 나오고 그랬으면서
우리 승상님 돌아가시는데 숲에서 사슴들이 슬피 울고 하늘에서 새들이 학우선 모양으로 날고 전국의 만두집 찜기가 고장나고 이런 장면 왜 안 보여줬냐
씁씁후후
@nan_mobsi_angry
 · 8월 26일
가지마 ㅠㅠㅠㅠㅠㅠ승상님 가지마 ㅠㅠㅠㅠ
이 스레드 보기
5
4",,,5,4,"['https://pbs.twimg.com/profile_images/1378329072808325122/Iwvlyx13_mini.jpg', 'https://pbs.twimg.com/media/E9s-htVVEAErC75?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9s-htVVEAILOFu?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9s-htRUUAI5Arg?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9s-htVUcAIvhtD?format=jpg&name=360x360']",https://twitter.com/nan_mobsi_angry/status/1431231700533592071
ACY,@kapkanlove,2021-08-04T10:21:31.000Z,"ACY
@kapkanlove
·
8월 4일","막심이 원하는 이상적인 미래의 은퇴후 생활...
눈 내린 산에서 거대한 사슴을 잡아서 집까지 가져와 당당하게 내려두고 ""오늘은 이거나 좀 먹읍시다.""하고 사샤한테 말해서 사샤가 눈에 젖은 막심 외투 받아 옷걸이에 걸고 ""그래, 그럼 스튜로 할까.""하는 삶
1
4",,1,,4,[],https://twitter.com/kapkanlove/status/1422865275922251780
사랑아미인해,@mydeuteragonist,2021-08-01T04:58:33.000Z,"사랑아미인해
@mydeuteragonist
·
8월 1일","어머니께서 ""네가 좋아하는 애들은 항상 눈이 좀 슬퍼. 집에 우환이 없지는 않아 보여.""라고 하셨는데...! 아니, 그게 미인의 필수조건 아닌가요?! 우수에 찬 사슴같은 눈망울! 그걸 장착하고 있지 않다면 미인이라는 전제가 성립하기 어려울 텐데!
1",,,1,,[],https://twitter.com/mydeuteragonist/status/1421696831675793412
데칼,@becomesdecolor,2021-08-27T12:31:20.000Z,"데칼
@becomesdecolor
·
8월 27일","007 스카이폴은 진짜 레잔드영와
최고의영화츄ㅜ천합니다ㅜ
오프닝에서 기선제압하고 ost로 멱살잡음 글고 영화도 재밌고 모든것에 의미부여하게 만드는 오타쿠를 위한 최고의 빌드업영화라고생각함 본드상징인 숫사슴부터 추락이라고 생각한 곳이 집이고 그게 불타면서 다시 부활한것까지 꺅",,,,,[],https://twitter.com/becomesdecolor/status/1431232865862176768
쿠쿠이,@kookkuui,2021-08-10T04:46:37.000Z,"쿠쿠이
@kookkuui
·
8월 10일","윤기 피셜 무뚝뚝하다던 아버지가 그것도 남의 집 자식을 보며 평소 순둥이라고 부르신다는 게...
솔직히 생각해보면 윤기 어릴적엔 애칭으로 평소 송월이라고 부르셨다는데 그런 막내 아들보다 4살 어리고
울망거리는 사슴 눈망울 깅이가 아버님 눈엔 얼마나 귀여우셧슬까 싶어",🥺,,,,[],https://twitter.com/kookkuui/status/1424955318841212929
셀로,@sucresnack,2021-08-10T16:10:23.000Z,"셀로
@sucresnack
·
8월 11일","솜황... 반려 잃은 늑대랑 그 늑대 지독하게 짝사랑하는 사슴 이런 거 재밌을 거 같지 않나요... 아닌가... 늑대는 평생 단 하나의 배우자만 사랑하는 습성이 있기도 하고 솜 집…

다음은 질문 상자에
셀로의 질문함입니다
질문/답변은 여기
peing.net
1
3",,,1,3,['https://pbs.twimg.com/card_img/1441682967466688513/agjDXb_k?format=jpg&name=small'],https://twitter.com/sucresnack/status/1425127397007912966
