UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
박준영,@parkjun_zero,2021-08-15T13:48:01.000Z,"박준영
@parkjun_zero
·
8월 15일","그래 뭐, 오늘 자살할거라고? 알겠어요. 그건 내 알 바 아니니까 알아서 하고, 거기 철근 좀 똑바로 세워야될 것 같네? 정신 좀 차립시다, 여기가 뭐 하루일과 계획세우는 데도 아니고. 예?
GIF
1
18",,,1,18,[],https://twitter.com/parkjun_zero/status/1426903506628317187
선이,@Neseoni,2021-08-06T10:46:10.000Z,"선이
@Neseoni
·
8월 6일","문가영... 아무리 생각해도 미친 거 같어.. 쇄골.... 거기다 흰 셔츠............ 여기가 극락인가..?
1
9",,,1,9,['https://pbs.twimg.com/ext_tw_video_thumb/1423593130301935620/pu/img/narrRHCKWcGc8jpM.jpg'],https://twitter.com/Neseoni/status/1423596254223769600
99,@earth_99_,2021-08-05T09:45:27.000Z,"99
@earth_99_
·
8월 5일","같이밥하고 김치찌개끓여먹고  한사람은 피아노쳐주고 다른사람은 거기맞춰서 노래부르다 냅다누워잠 ..
내호모의끝이다여기가,,,,,
2
5",🍦,,2,5,"['https://pbs.twimg.com/media/E8BJvCKVkAQVIhU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8BJv_FVkAET1aG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8BJvf9VUAMjsJw?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8BJwVwVEAEQlDI?format=jpg&name=360x360']",https://twitter.com/earth_99_/status/1423218583778172933
면이,@MC_Myeon2,2021-08-11T05:49:55.000Z,"면이
@MC_Myeon2
·
8월 11일","홀 결승전 롤파크 아닌 다른 곳에서 하는구나 여기가 쇼미 결승전 하고 그랬던 거기 맞나 ㅇ0ㅇ
3
6
14",,3,6,14,['https://pbs.twimg.com/media/E8fNTzGVcAIMGHT?format=png&name=small'],https://twitter.com/MC_Myeon2/status/1425333638162354177
왕주먹랄프,@_ralph_iam,2021-08-04T22:52:24.000Z,"왕주먹랄프
@_ralph_iam
·
8월 5일","요새는 여기가 맘에드나봄 귀여운놈
거기 누나 책상이 임마
1
22",,,1,22,"['https://pbs.twimg.com/media/E7-0SWoVEAEO5ek?format=jpg&name=small', 'https://pbs.twimg.com/media/E7-0SXYVoAIujnq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7-0SYWUYAIspBL?format=jpg&name=360x360']",https://twitter.com/_ralph_iam/status/1423054240897921025
독고버섯,@naked_dokgo,2021-08-02T05:24:05.000Z,"독고버섯
@naked_dokgo
·
8월 2일","https://yummy-xq.postype.com/post/10424128
나 진짜 눈물 난다....글 읽는데 너무 덥고 뜨겁고 습하고 끈적거리고 현실 여름 같은 더위가 확 끼치는데 또 그걸 뛰어넘는 어떤 환상 속의 여름이야. 우리 삶이 통째 계절이라면 누군가를 사랑하는 감정으로 펄펄 끓어오르는 그때를 여름이라 할텐데. 여기가 바로 거기야.
맴맴 下
재현은 여름이 싫었다. 여름의 좋은 점 같은 걸 생각해보는 것도 아까울 정도였다. 햇볕 아래 있으면 온 몸이 따가운 것 같고, 그늘로 가도 습한 공기에 땀이 나긴 마찬가지여서 여름엔 외출도 최소한으로 줄였다. 나가서 누굴 만나봤자 썩 쾌청한 마음이 들지 않아서. 물론 재현에게도 예외는 있었다. 그 예외 때문에, 재현은 그렇게 싫어하는 여름을 기다렸다....
yummy-xq.postype.com
1
8
15",,1,8,15,['https://pbs.twimg.com/card_img/1438847014511460359/6Nhyb7r6?format=jpg&name=small'],https://twitter.com/naked_dokgo/status/1422065644732747779
없말,@Atsu_rolling,2021-08-07T12:31:54.000Z,"없말
@Atsu_rolling
·
8월 7일","여기가..블루밍포레스트쪽 거기인가
1",,,,1,['https://pbs.twimg.com/media/E8MC_s3VUAgKZn2?format=jpg&name=small'],https://twitter.com/Atsu_rolling/status/1423985248291880964
36.5MHz,@gain_sesang,2021-08-10T02:59:41.000Z,"36.5MHz
@gain_sesang
·
8월 10일","여기가 거기인 줄도 모르고 천국을 갈구하는 사람들 속에서
단박에 꽃인 줄 알아 본 너와 나

서로 다른 별에서 왔을 우리가
마주 선 꽃인 동안
사랑해, 사랑해, 사랑해

| 이선식, 꽃 피기 위해 오는 별
10
25",,,10,25,[],https://twitter.com/gain_sesang/status/1424928411860934666
여백,@yeobaek_bl,2021-08-14T02:23:39.000Z,"여백
@yeobaek_bl
·
8월 14일","네 여기가 거기에요....ㅜㅜㅜㅜㅜㅜㅜㅜ
도건
@dogun__00
 · 8월 14일
미친...
이 스레드 보기
1",🐬,,,1,"['https://pbs.twimg.com/profile_images/1440312506279350293/fpe9-OFB_mini.jpg', 'https://pbs.twimg.com/media/E8t6DovUUAU-IbQ?format=png&name=small']",https://twitter.com/yeobaek_bl/status/1426368892465778688
미니미,@minimiLUV_1,2021-08-12T01:30:51.000Z,"미니미
@minimiLUV_1
·
8월 12일","근데..븨엠에이에스..여기가 거기죠?

베스트 그룹 올해엔 뺀다고 했다가
몇시간도 안되어 
아냐아냐..넣을께 넣을께..했던

작년에도 ㅋㅔㅇㅣ팝 카테고리 신설해서
거기다 넣어버린...
그래서 작년에 우리끼리 시상식하고 안봤잖아여..

우리가 다 까먹을줄 알았냐? 
잘해라..지켜보고있다구!!!
2
9
31",💕 👁 👁,2,9,31,[],https://twitter.com/minimiLUV_1/status/1425630830823575552
러힌,@rehin_v,2021-08-07T15:07:31.000Z,"러힌
@rehin_v
·
8월 8일","여기가...음파음파 그 도로랑 관련될 일은 없겠지? ...그냥 뜬금없이 음파음파 뮤비생각나서... 거기다가 거북이도 있었고..쩝....
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
1",,,,1,[],https://twitter.com/rehin_v/status/1424024409728110594
페리,@peri_md,2021-08-07T15:21:14.000Z,"페리
@peri_md
·
8월 8일","작가님 일단 냅다 사귀는거 아니고 
당장은 이 감정이 혼란스럽지만 좋아한다는 지완이의 마음과
윤솔 고백까지 한 장면에 다 보여줬음
거기에 본체들 연기까지 더해지니 여기가 극락
이게 한드라니...여기까지 오는데 얼마나 힘들었나
10
22",😇,,10,22,[],https://twitter.com/peri_md/status/1424027865612357637
어쩔뽀먼,@thisthatofjije,2021-08-04T07:20:52.000Z,"어쩔뽀먼
@thisthatofjije
·
8월 4일","재노 혼자 영화관에 앉아있는데 팔척햄스터 다가와서
옆자리에 앉아도 되나요? 

뒤에서 그거 보던 나.. 뭐야... 여기가 강의실이야 뭐야.. 자기가 산 자리에 앉아야지 뭐야...

아뇨 거기 앉을 사람 있거든요?
딱 제 자리 같은데요?
제 애인 자리라고요
그러니까 제 자리잖아요
웅
1
4
19",,1,4,19,[],https://twitter.com/thisthatofjije/status/1422819811709448194
사삼공,@sasamgong2,2021-08-12T06:32:04.000Z,"사삼공
@sasamgong2
·
8월 12일","장우영취향인진 모르겠지만 예전에 애들 압구갤러리가 6층 밀탑빙수 엄청 먹었는데... 거기서 자주 목격도 되고 ㅋㅋㅋ 는.. 박진영이 좋아하긴하는데 ㅋㅋㅋㅋㅋㅋ 여기가 설빙이 나오기전에 우유빙수로 유명한곳 ㅋㅋㅋ 달달 ㅋㅋㅋ
리
@pilejang
 · 8월 12일
장우영 무슨 빙수 좋아할까? 
새콤한건 못먹던데
6
14",,,6,14,['https://pbs.twimg.com/profile_images/1409136469084577798/vBECgVYQ_mini.jpg'],https://twitter.com/sasamgong2/status/1425706633162752000
예삥,@ppretty_ggyu,2021-08-01T10:37:50.000Z,"예삥
@ppretty_ggyu
·
8월 1일","홀 여기가 거기였구나
TOMORROW X TOGETHER
@TXT_members
 · 8월 1일
투두 찍을 때 찍었던 셀카들~

#TOMORROW_X_TOGETHER #수빈 #SOOBIN",,,,,"['https://pbs.twimg.com/profile_images/1416774860219424768/xQsvSdC-_mini.jpg', 'https://pbs.twimg.com/media/E7su65jVkAEexTJ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7su8NJVgAQcSt4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7su7dbUUAM3O9k?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7su8y5UcAgx88K?format=jpg&name=360x360']",https://twitter.com/ppretty_ggyu/status/1421782215445213185
수셈,@scrubber0,2021-08-09T17:06:22.000Z,"수셈
@scrubber0
·
8월 10일","여기가 거...머다냐 거기 거 머슐랭그 맛집이라죠?
삼빵
@geolhonhejuseo
 · 8월 10일
@scrubber0 @nugu_maumdelo 
이걸진짜하네
여전히맘에안차는프롤로그 twitter.com/geolhonhejuseo…
1
1",🧊,,1,1,['https://pbs.twimg.com/profile_images/1437824138584858629/my6wqXPf_mini.jpg'],https://twitter.com/scrubber0/status/1424779097712914432
여니'ㅅ',@hyuniii56112,2021-08-14T13:14:14.000Z,"여니'ㅅ'
@hyuniii56112
·
8월 14일","미슐랭 쓰리스타 어쩌구 거기 왜 가요 여기가 맛집인데
금귤
@golden_tangerin
 · 8월 14일
“이, 이런 거 반칙이에요.”
“언제든 어떤 방식으로든 마음껏 꼬셔보라며. 도 변, 한 입으로 두 말하기 있어?”
“으악!”

도가 워낙 튕기니까 백이 나도 힘들다 그래서 놀란 도가 미안하며 그럼 원하는대로 해보라고 했고, 덕분에 백 대놓고 꼬시는 중. 사실 힘들다 한 거 도를 꼬시는 계략 중 하나였음.
이 스레드 보기
1
1",✨,1,,1,['https://pbs.twimg.com/profile_images/1436976913617022986/bqfMgwV__mini.jpg'],https://twitter.com/hyuniii56112/status/1426532619823374347
지박소년 하나코군 대사봇,@hanako_Lines,2021-08-05T04:00:10.000Z,"지박소년 하나코군 대사봇
@hanako_Lines
·
8월 5일",알겠어. 여기가 그렇게 싫다면.. 거기로 가 봐.,,,,,[],https://twitter.com/hanako_Lines/status/1423131691321749512
달곰탱,@moon_cloud,2021-08-05T10:25:00.000Z,"달곰탱
@moon_cloud
·
8월 5일","사진에 대한 것은…
유명한 곳에 가더라도
다른 시선으로 촬영하는 것을 선호합니다
여기가 거기였어 라는 감탄사를 들을 정도로요

자주 갔어도
다른 시선으로 볼 수가 있지요
이 건 큰 힘이라고 볼 수 있습니다
전 화려한 사진 보다는 상황에 맞는 사진을 촬영하는 것을 좋아해요
1
12",,1,,12,[],https://twitter.com/moon_cloud/status/1423228539218784259
둔,@dreamletdream,2021-08-14T04:32:09.000Z,"둔
@dreamletdream
·
8월 14일",아까 거기보다 여기가 조명도 예쁜 거 가태,,,,,[],https://twitter.com/dreamletdream/status/1426401231942033418
빙정난류술,@HY0SHO_RANRYU,2021-08-15T15:17:49.000Z,"빙정난류술
@HY0SHO_RANRYU
·
8월 16일","다들 맛 맛있는 썰을 풀어주시면 거기에 마음만 박게 된다구요..................... 대박이다 여기가 극락,,,
1",,,,1,[],https://twitter.com/HY0SHO_RANRYU/status/1426926107245256709
(메인연공계) 한지원,@GRG_Han_G,2021-08-15T12:04:38.000Z,"(메인연공계) 한지원
@GRG_Han_G
·
8월 15일",여기 가사실에서 급식실이 보이니 거기를 살펴봐도 괜찮지 않을까요?,,,,,[],https://twitter.com/GRG_Han_G/status/1426877489662464009
호랭,@HoraengSanjung,2021-08-04T13:27:28.000Z,"호랭
@HoraengSanjung
·
8월 4일","베테랑이면 거기서 멘탈관리를 했어야지
신인도 아니고 거기서 멘탈터지면 어캄ㅋㅋ
여기가 크보임?
4",,,,4,[],https://twitter.com/HoraengSanjung/status/1422912069523759104
"아이비, 페론 뒤 유디",@yd07822,2021-08-10T08:57:40.000Z,"아이비, 페론 뒤 유디
@yd07822
·
8월 10일",아니 근데 시험특강은 거기보다 여기가 훨씬 잘한다고 시발 근데 그냥 수업은,,,,,[],https://twitter.com/yd07822/status/1425018500976840707
삼촌,@DiAce_uxxle,2021-08-09T06:43:32.000Z,"삼촌
@DiAce_uxxle
·
8월 9일","사와무라 결혼식날, 단체 사진 찍을 때 최대한 구석에 서는 카네마루 보고 싶다. 사와무라가 왜 거기 있냐고 자기 뒤로 오라고 하는데도 카네마루 고개 저으면서 자긴 여기가 좋대.
저 멀리서 행복하게 웃는 사와무라를 흘깃 보곤 쓴표정을 지우지 못한 채 정면 카메라에 찍힌 카네마루.
1
2
9",,1,2,9,[],https://twitter.com/DiAce_uxxle/status/1424622355268079616
밤톨,@10Bird_Bamtol,2021-08-10T04:09:19.000Z,"밤톨
@10Bird_Bamtol
·
8월 10일","거기서 이딴멘트를 왜 시키는거지 ㅋㅋㅋㅋ 

북한이냐 여기가 

빨갱이 새끼들이 너무많아
쨈콩이
@ynk226k
 · 8월 9일
먼 답변이요. 방금 했잖아요. 감사하다고요. 감사합니다.
2",,2,,,"['https://pbs.twimg.com/profile_images/1426193817397432321/FmV7SxFo_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1424712494271004678/pu/img/jPtrJ_ud81tevZsP.jpg']",https://twitter.com/10Bird_Bamtol/status/1424945932349579264
유 희,@Yu_hyii22,2021-08-08T11:40:06.000Z,"유 희
@Yu_hyii22
·
8월 8일","리디 유튜브에서 사반 광고를 한 30번정도 본것 같은데(?왜지)...
거기 댓글이 
여기가 잘 못하면 목이 따이고 잘하면 뒤가 따이는 곳인가요? 였는게 너무ㅋㅋㅋ 욱ㄱ김ㅋㅋㅋ 외전도 못보는 내 신세...5개월을 지금 조져버리고 싶지만... 풀리자마자 단행본에 외전까지 바로결제해버릴테다..ㅋ..
1",,,,1,[],https://twitter.com/Yu_hyii22/status/1424334600772358152
태준기,@4xVfim,2021-08-10T15:24:34.000Z,"태준기
@4xVfim
·
8월 11일","여기가 내전도 일어나고, 반동분자들도 일어서지마는 기래도 평소에는 참 평화로운 곳이야. 거기 있는 아들이랑 친해지려고 바닷가에서 축구도 하고, 같이 그림도 그리고, 공부도 갈켜주고 기랬는데. 많이 챙겨주지는 못 했지만서도 정도 많이 들었서.
1
23",,1,,23,[],https://twitter.com/4xVfim/status/1425115864353820674
