UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
로짱,@carozzang,2021-08-04T11:25:30.000Z,"로짱
@carozzang
·
8월 4일","야마모토와 황재균...
도쿄엔 원근법이 존재하지 않는걸까..?",💘,,,,['https://pbs.twimg.com/media/E78XEdiVgAMruQt?format=jpg&name=small'],https://twitter.com/carozzang/status/1422881375489695744
개인,@bullsh_tarchive,2021-08-04T12:35:40.000Z,"개인
@bullsh_tarchive
·
8월 4일","플텍햇으니까 꼭 다시 가고픈 맛집 올릴랭
도쿄 엔보카
정말 로컬들의 맛집임 주택가 구석에 숨겨져 있음
반죽이 미친놈임 감동적인 맛임
1
5",,1,,5,"['https://pbs.twimg.com/media/E78nGrhVUAYF8ke?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E78nHVwVoAANmdW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E78nH-HVEAgpZqd?format=jpg&name=360x360']",https://twitter.com/bullsh_tarchive/status/1422899035841601541
Tetusa in Tokyo,@coreanjw,2021-08-24T23:36:18.000Z,"Tetusa in Tokyo
@coreanjw
·
8월 25일","한국이 일본의 시스템을 배웠으면 하는 것
1. 사람만 이동할수 있는 길이 한국에 비해 매우 많음
강남 4차선 도로처럼 차가 많이 다니는 길은 도쿄엔 없음
서울은 정말 차를 위해 만들어진 도시
초등학생들이 걸어서 등교
눙
@worldlight89
 · 8월 24일
어떻게 생각하시나요?  전 모르겠습니다.

인구감소 심각도 맞고, 왜 남의 세금으로 남의자삭 등록금 주는지 도 맞고...

[속보]정부, 다자녀 가구 셋째 이상 대학 등록금 전액 지원
출처 : 파이낸셜뉴스 | 네이버 
2
2
17",,2,2,17,"['https://pbs.twimg.com/media/E9l-IMmUUAILi2Q?format=jpg&name=small', 'https://pbs.twimg.com/media/E9l-IMnVcAA6trS?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1440907166202753025/JojhOHGJ_mini.jpg']",https://twitter.com/coreanjw/status/1430313045784371201
그 네모눈에 도취된것같아 (ルアン),@Lee_ranchan,2021-08-09T11:09:07.000Z,"그 네모눈에 도취된것같아 (ルアン)
@Lee_ranchan
·
8월 9일","그성별들아
니네 좆같은거 이제 그만 알려주면 안되냐?
이미 알고있는데
더 알필요는 없잖아
어케 가만히 있어도 ㅅㅂㅋㅋㅋㅋ
도쿄엔 행복해 보여서 죽이고
14살한테 엉덩이 강조포즈하고
그게 정상이니?
10",,,,10,[],https://twitter.com/Lee_ranchan/status/1424689191057723394
옹야,@hapbyforme,2021-08-03T13:21:10.000Z,"옹야
@hapbyforme
·
8월 3일","저 미친속도가 4위라니 지금 도쿄엔 스파이더맨이 소니 마블보다 많네요
이승
@maybe_kiatigers
 · 8월 3일
스포츠 클라이밍 한대서 봤는데 진짜 내가 뭘 본 거지...? 싶을 정도로 엄청 빠르고 대단함 ,,, 천종원 선수 현재 예선 4위로 6초 21 기록
이 스레드 보기
1
3",,,1,3,"['https://pbs.twimg.com/profile_images/1424007550341505033/govI9s1O_mini.png', 'https://pbs.twimg.com/ext_tw_video_thumb/1422473101250502662/pu/img/EuuETXS3m-zvq-Rz.jpg']",https://twitter.com/hapbyforme/status/1422548096970493956
우사 うさ,@cotton_ss_usa,2021-08-03T07:33:21.000Z,"우사 うさ
@cotton_ss_usa
·
8월 3일","이렇게나 더운데 아직 도쿄엔 더위 피크가 안 왔대.. 다다음 주쯤에 올 예정이라고.. 여기서 더 더워지다니 얼음이나 냉동실에 꽝꽝 얼려 놔야겠다..
3",😇,,,3,[],https://twitter.com/cotton_ss_usa/status/1422460564303847427
도쿄 엔카운트 대사봇,@TokyoEncount_kr,2021-08-28T01:32:43.000Z,"도쿄 엔카운트 대사봇
@TokyoEncount_kr
·
8월 28일","(1기 9화)
나카무라 : 올해 토리코 주연, 축! <도쿄 엔카운트> 출연. 축하하는 게 이상하잖아?! 게다가 게임업계 2010년에 <도쿄 엔카운트> 방영개시라니, 사소한 일일텐데
스기타 : 이걸 얼른 말하려고 생략한 듯한
나카무라 : 19년 생략?!",,,,,[],https://twitter.com/TokyoEncount_kr/status/1431429504690364419
みさき,@misaki_HKS,2021-08-30T03:38:28.000Z,"みさき
@misaki_HKS
·
8월 30일",도쿄엔카운트에 ㅋㅋㅋㅋ 하루냥이? ㅋㅋㅋㅋㅋㅋㅋㅋ,,,,,[],https://twitter.com/misaki_HKS/status/1432185925778358274
도쿄 엔카운트 대사봇,@TokyoEncount_kr,2021-08-19T04:03:39.000Z,"도쿄 엔카운트 대사봇
@TokyoEncount_kr
·
8월 19일","(특별편)
스기타 : 아까 (쿠와시마 호우코의) 영상 어떻게 입수하지?
나카무라 : 주지 않을까?
스기타 : <도쿄 엔카운트>나 어딘가의 서버에 올라가있으면 그걸 해킹해서..
나카무라 : 말하면 주는 거 아냐?
스기타 : 그러려나?",,,,,[],https://twitter.com/TokyoEncount_kr/status/1428205997592432641
S,@aime_nike,2021-08-20T12:21:07.000Z,"S
@aime_nike
·
8월 20일","도쿄에는 유명한 라이브클럽 모여 있는 동네 어디냐고 물어보니까 도쿄엔 그런 동네 너무 많대 그런데 사실이라서 매번 공연 보러 클럽 다른 동네로 감 하루는 시부야 하루는 다이칸야마 하루는 오다이바
1
1",😳,1,,1,[],https://twitter.com/aime_nike/status/1428693577446526982
