UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
MPD(엠피디),@M2MPD,2021-08-09T13:55:12.000Z,"MPD(엠피디)
@M2MPD
·
8월 9일","퇴근길에 너무 눈이 부셔 고개를 들었더니 울아엑이 있네요.. 내일 저녁 7시 Mnet 방송! 8시 M2 유튜브! #6백만불의CIX 마지막회(...)가 방송되니 잊지 말고 꼭 보러 오세요••
GIF
65
1.2천
4.1천",🥲 😭,65,1.2천,4.1천,[],https://twitter.com/M2MPD/status/1424730989733978117
the,@nevertheele,2021-08-21T07:04:34.000Z,"the
@nevertheele
·
8월 21일","마지막회 본방이벤트 
48
122",💜 💚,,48,122,['https://pbs.twimg.com/media/E9S-X3oVgAQLL_8?format=jpg&name=small'],https://twitter.com/nevertheele/status/1428976303424741381
솔지완파려고만든계정,@solji1708,2021-08-23T15:48:04.000Z,"솔지완파려고만든계정
@solji1708
·
8월 24일","마지막회 울애들 분량 싹싹 긁어주셨는데 넘 달달해서 기분이 좋구만유 ㅠㅠㅠㅠㅠㅠㅠ 
https://youtu.be/2bLyjGiPX24
84
254",,,84,254,['https://pbs.twimg.com/media/E9fJXwMVoAAKPtS?format=jpg&name=small'],https://twitter.com/solji1708/status/1429832822169034756
ᵗᵘˡ,@truel0ve_04,2021-08-20T07:32:03.000Z,"ᵗᵘˡ
@truel0ve_04
·
8월 20일","우왕.. 마지막회 대본 지린다
4
31
121",,4,31,121,['https://pbs.twimg.com/media/E9N7EvMUUAATEqu?format=jpg&name=small'],https://twitter.com/truel0ve_04/status/1428620830397767681
미아,@hoodiegroovyy,2021-08-22T07:32:26.000Z,"미아
@hoodiegroovyy
·
8월 22일","스카이캐슬 마지막회 하는 날이라 시간 겹치면 다들 현습실 안 볼까봐 방송 일찍 킨 현이 너무 귀여워서 울고싶어 ·̫
51
103",🍀 🚰 🚰,,51,103,['https://pbs.twimg.com/ext_tw_video_thumb/1429345368907468803/pu/img/eTKAcnFY_YhQWFXi.jpg'],https://twitter.com/hoodiegroovyy/status/1429345704867024901
혼잣말의달인처럼떠들기,@_joonjul,2021-08-18T08:06:08.000Z,"혼잣말의달인처럼떠들기
@_joonjul
·
8월 18일","장르물 마지막회에 기깔나게 입고 멜로 만들기 전문
7
15",,,7,15,"['https://pbs.twimg.com/media/E9DvsUgVUAMilBu?format=jpg&name=small', 'https://pbs.twimg.com/media/E9Dvsh4VUAIixpV?format=jpg&name=small']",https://twitter.com/_joonjul/status/1427904632693530630
이준기 아카이브,@krJ7I,2021-08-14T06:47:15.000Z,"이준기 아카이브
@krJ7I
·
8월 14일","막방을 시청하지 않을 거예여ㅡㅡ.
보면 가슴이 아플 거 같애서
제 인생에 마이걸 마지막 회는 없습니다
#이준기
0:10
406 조회수
9
42",,,9,42,[],https://twitter.com/krJ7I/status/1426435230680842241
,@hyojin_today,2021-08-24T09:26:50.000Z,"@hyojin_today
·
8월 24일","금요일에 마지막회 실화냐고 거짓말이지
107
65",📎,,107,65,['https://pbs.twimg.com/ext_tw_video_thumb/1430099140810211329/pu/img/1yi7LRFNfq_e1ImB.jpg'],https://twitter.com/hyojin_today/status/1430099271471099906
이준기 아카이브,@krJ7I,2021-08-14T06:55:15.000Z,"이준기 아카이브
@krJ7I
·
8월 14일","뽀쟉이의 바쁜 일상
1. 제인생에 마이걸마지막회는 없어여ㅡㅡ
2. 촬영현장에가져갈 케이크 사러감
3. 케이크 손에쥐고 잠듦
4. 16부작이라 초16개라고 설명중
#이준기
9
26",,,9,26,"['https://pbs.twimg.com/media/E8u5G55VIAEAWHG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8u5G76VoAMGyuE?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8u5G60UYAAQxzE?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8u5G8wVIAspM4s?format=jpg&name=360x360']",https://twitter.com/krJ7I/status/1426437245557379072
❺❾,@GGSMrtTeam,2021-08-20T14:59:52.000Z,"❺❾
@GGSMrtTeam
·
8월 20일","예? 뭘 했다고 마지막회인데요
거짓말 하지마ㅠㅠ
7
10",,,7,10,['https://pbs.twimg.com/media/E9PhkdaVcAstlYs?format=jpg&name=small'],https://twitter.com/GGSMrtTeam/status/1428733529475620864
