UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
요미햄,@shws0717,2021-08-06T05:49:13.000Z,"요미햄
@shws0717
·
Aug 5"," 8월 22~25
광주 저기카페

#요드림_아름다운_시간만_쌓자

NCT DREAM의 데뷔 5주년을 맞이하여
카페 이벤트를 진행합니다.
자세한 사항은 공지 및 타래 참고 
부탁드립니다.

리트윗 해주신 2분께
전체특전+랜덤특전+카페꾸밈 나눔
4
562
184",💚 🗓 📍 💚 💚,4,562,184,['https://pbs.twimg.com/media/E8FdRPbUcAAMUx9?format=jpg&name=medium'],https://twitter.com/shws0717/status/1423521524221300736
블루밍부케,@blooming_bq,2021-08-03T13:22:45.000Z,"블루밍부케
@blooming_bq
·
Aug 3","<우리 집에 왜 왔니>가 옹뇨님의 아름다운 작화로 카카페 기다무 웹툰에 <아빠만 찾으려 했는데>로 오픈했습니다! 

루이제가 사랑 속에서 자라고, 다시 받은 사랑을 주위에 나눠주기까지 부디 함께해 주세요 (ง ᵕᴗᵕ)ว

리트윗 해주신 한분께 카카페 만원권을 드립니다! 잘 부탁드려요!
5
573
168",💕,5,573,168,"['https://pbs.twimg.com/media/E73oUIGVgAEBJ7T?format=jpg&name=small', 'https://pbs.twimg.com/media/E73oUUgXoAAqB9C?format=jpg&name=360x360']",https://twitter.com/blooming_bq/status/1422548496406749194
우까,@ukkayoutoo,2021-08-07T08:50:52.000Z,"우까
@ukkayoutoo
·
Aug 7","아름다운 카페에 멘탈나가리된 정신분열자 여인네(조현끼의심)
1
3",,1,,3,['https://pbs.twimg.com/media/E8LQcOUUYAcZz8p?format=jpg&name=900x900'],https://twitter.com/ukkayoutoo/status/1423929625684578305
남색,@namsaek2823,2021-08-07T07:52:49.000Z,"남색
@namsaek2823
·
Aug 7","그린카페...... 아름다운곳
2
46",,,2,46,['https://pbs.twimg.com/media/E8LDJ8ZVUAAb5bx?format=jpg&name=small'],https://twitter.com/namsaek2823/status/1423915013908033540
멍아라,@codms1002_,2021-08-28T05:24:15.000Z,"멍아라
@codms1002_
·
Aug 27","아이오쓰리 2호점에서 만난 아름다운 정국이
@IDAREU_JK
 
#HBD_우리정구기 
#오래오래들려줘_행복한정국이의노래 
#JUNGKOOK 
#JK
#정국아생일축하해 
#카페_아이오쓰리2호점
1
51
232",😍,1,51,232,"['https://pbs.twimg.com/media/E92qgLRVcAIQxIU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E92qhq5UYAUfnPo?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E92qhCuVUAMLS0W?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E92qiZ1VgAgFenC?format=jpg&name=360x360']",https://twitter.com/codms1002_/status/1431487774134128643
§löw 𝐃𝐚𝐧𝐛𝐞𝐞,@yo0o0ou1238,2021-08-25T09:34:39.000Z,"§löw 𝐃𝐚𝐧𝐛𝐞𝐞
@yo0o0ou1238
·
Aug 25","드림날 드림카페
#드림오주년_아름다운_시간만_쌓자
#WeAre5tillDREAMing
1
10",💚,1,,10,"['https://pbs.twimg.com/media/E9oHC3UVUAoi-j6?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9oHEXiVIAknjY6?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9oHDnWUUAQR_52?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9oHFJtVIAIiZNe?format=jpg&name=360x360']",https://twitter.com/yo0o0ou1238/status/1430463625701957632
雲,@WeSendYouLove,2021-08-16T07:06:02.000Z,"雲
@WeSendYouLove
·
Aug 16","자연을 닮아 아름다운 카페
6",🌿,,,6,['https://pbs.twimg.com/media/E85OwXxVgAAnGGN?format=jpg&name=medium'],https://twitter.com/WeSendYouLove/status/1427164733937881089
몽쉘,@kshworld_17,2021-08-07T12:48:55.000Z,"몽쉘
@kshworld_17
·
Aug 7","#한여름의_푸르름_나의_청춘_승철이
#My_Eternal_Twilight_Coups 
들어가는 입구부터 정말 애정이 가득 묻어나는 카페였어요ㅎㅎㅎ 내부도 완전 이쁘고 아름다운 승철이로 가득 차서 행복했습니다ㅎㅎㅎ 승철이의 생일을 축하해 줄 수 있는 자리를 만들어 주셔서 감사합니다
1
8
8",😍,1,8,8,"['https://pbs.twimg.com/media/E8MG6aZVIAA08FA?format=jpg&name=small', 'https://pbs.twimg.com/media/E8MG7QbVcAMhs7a?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8MG616VgAAjtx2?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8MG7m3VcAY96GN?format=jpg&name=360x360']",https://twitter.com/kshworld_17/status/1423989531011809281
졔,@myR0ckstar,2021-08-24T14:05:27.000Z,"졔
@myR0ckstar
·
Aug 24","그만 귀여워
    ↳ 그게 뭔데 . 
그만 귀여우라고
    ↳ 그거 어떻게 하는건데 .

지구상에서 젤 큐티한 카페 .. 포스터가 넘 예쁘고 아름다운 최고의 카페 .. ₍ᐢ ɞ̴̶̷  ̫ ɞ̴̶̷ ᐢ₎ 

#기다렸어_어서와_드림_5주년
#dream_on_5th
2
10",,,2,10,"['https://pbs.twimg.com/media/E9j7dguXIAwhutx?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9j7dgyXsAwEU5y?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9j7dgqXoA0K0Ks?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9j7dgwXMBIwsiQ?format=jpg&name=360x360']",https://twitter.com/myR0ckstar/status/1430169386749415438
( っ ´͈ ᗜ `͈ )╮=͟͟͞͞민,@MD_mmin,2021-08-15T13:06:55.000Z,"( っ ´͈ ᗜ `͈ )╮=͟͟͞͞민
@MD_mmin
·
Aug 15","아 맞당 카페 다녀옴!
#HAPPY_JUNHWI_2000DAYS
#준휘의_눈_그_안에서
#말로는_그릴_수_없어_아름다운_준휘_모습
4",🌻 🎗,,,4,['https://pbs.twimg.com/media/E81XvaQUUAUHvxU?format=jpg&name=small'],https://twitter.com/MD_mmin/status/1426893164187504643
