UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Yoru,@yoru_cell,2021-08-01T12:25:16.000Z,"Yoru
@yoru_cell
·
Aug 1","그려본적 없는거 같아서 그려본 칠공주네 둘째
3
2",🌱 🌱,,3,2,['https://pbs.twimg.com/media/E7tH7VeVIAAVYwp?format=jpg&name=small'],https://twitter.com/yoru_cell/status/1421809251018678283
김히포,@Kimhee_4,2021-08-29T08:54:17.000Z,"김히포
@Kimhee_4
·
Aug 29","샘님들 칠공주 러브송 다 아시겠죠?
9
7",,9,,7,['https://pbs.twimg.com/media/E98kNOsUcAYt6iK?format=jpg&name=small'],https://twitter.com/Kimhee_4/status/1431903019524714496
다다,@dada_day32,2021-08-26T05:14:22.000Z,"다다
@dada_day32
·
Aug 25","어렸을 때 소문난 칠공주 후반에 아역배우로 출연했었어요

She was a child actress.
#KIMDAYEON #김다연 #GirlsPlanet999 #걸스플래닛
GIF
2
25
41",🐿,2,25,41,['https://pbs.twimg.com/tweet_video_thumb/E9sVDCdVUAQtPFk.jpg'],https://twitter.com/dada_day32/status/1430760510408957953
블산,@new_bbma,2021-08-17T15:02:20.000Z,"블산
@new_bbma
·
Aug 17","꺄아
맘매님(@ Cm_mamest)이 그려주셨어요~!
나의 칠공주><
1
3
4",✨ ✨,1,3,4,['https://pbs.twimg.com/media/E9AFXMmWUAIFFNn?format=jpg&name=small'],https://twitter.com/new_bbma/status/1427646985855713293
ㅍ1네,@fine12ek,2021-08-24T14:42:59.000Z,"ㅍ1네
@fine12ek
·
Aug 24","얘 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 칠공주 모르나봨ㅋㅋㅋㅋㅋㅋ,,, 시바 어케 나이차이 ㅠ,,,",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1430178808825536512/pu/img/7YM9S_kZ_jWQsv4P.jpg'],https://twitter.com/fine12ek/status/1430178833035141125
에델린2호선영웅,@Seacalfumme,2021-08-20T15:55:37.000Z,"에델린2호선영웅
@Seacalfumme
·
Aug 20","#칠선커_아이돌AU

칠공주 막내라인
1
12",⛓ 🔗,1,,12,[],https://twitter.com/Seacalfumme/status/1428747557790883845
별진녀,@iiiKnowiiizawa,2021-08-03T12:53:39.000Z,"별진녀
@iiiKnowiiizawa
·
Aug 3","칠공주도아니고
칠고추
3
3",❄ ❄,,3,3,[],https://twitter.com/iiiKnowiiizawa/status/1422541172702998536
다,@gooddagooddaa,2021-08-13T17:00:50.000Z,"다
@gooddagooddaa
·
Aug 13","내친구 칠공주임 지금
1
2",,,1,2,[],https://twitter.com/gooddagooddaa/status/1426227254321848329
깡깡,@Bannny_01,2021-08-23T15:39:56.000Z,"깡깡
@Bannny_01
·
Aug 23","닌타마엔 일곱명의 칠공주가잇다
6학년 타치바나공주
5학년쿠쿠치공주
4학년 타무라공주
3학년 이가사키공주
2학년 카와니시공주
1학년 카미노시마 공주
그리고
타소가레도키 잣 토 공 주
1
5
20",✨,1,5,20,[],https://twitter.com/Bannny_01/status/1429830774224658440
아좌좍,@f_0f6,2021-08-12T07:34:59.000Z,"아좌좍
@f_0f6
·
Aug 12","칠공주 러브송
ㄹㄹ
@KimYoonHaBoom
 · Aug 11
'겨울'하면 생각나는 노래
Show this thread",,,,,['https://pbs.twimg.com/profile_images/1432667477511532544/zjqPJa9F_mini.jpg'],https://twitter.com/f_0f6/status/1425722465578143745
라이카,@LAIKA_18_18,2021-08-15T18:25:00.000Z,"라이카
@LAIKA_18_18
·
Aug 15","머애 꺼칠공주 모르핀?
에미야리나짱구
@irina_KMG2
 · Aug 15
1
2",🐾 🐾,,1,2,"['https://pbs.twimg.com/profile_images/1434952653910413313/_a6JT_em_mini.jpg', 'https://pbs.twimg.com/media/E82gaKcVIAIrmKS?format=jpg&name=small']",https://twitter.com/LAIKA_18_18/status/1426973213486063617
로닝(๑ゝω･)ﾉ♡,@fivesun28,2021-08-20T15:18:03.000Z,"로닝(๑ゝω･)ﾉ♡
@fivesun28
·
Aug 20","슈가맨 칠공주 이후에 나를 또 울리게 하는구나..
뚝
@yuxu0814
 · Aug 18
얘들아(0명) 어떡하니...어릴 때 만난 아저씨들 시간 지나서 또 만났네
Show this thread",,,,,"['https://pbs.twimg.com/profile_images/1398230008259252224/7RpGd0th_mini.jpg', 'https://pbs.twimg.com/media/E9IgBhqUcAYXDEX?format=jpg&name=small', 'https://pbs.twimg.com/media/E9IgB1aUUAQ4WI1?format=jpg&name=small']",https://twitter.com/fivesun28/status/1428738106727927809
해외노리타 소요-알렉산더,@lolita_soyo,2021-08-04T07:01:37.000Z,"해외노리타 소요-알렉산더
@lolita_soyo
·
Aug 4","레몬 싹이 또 올라와서 지금 칠공주파 됐다. 식물 키우기에 재능있나?
1",,1,,,[],https://twitter.com/lolita_soyo/status/1422814966239797248
얌마...,@mygastay2,2021-08-18T03:26:36.000Z,"얌마...
@mygastay2
·
Aug 17","하...희진씨 그트윗사진잇는사람...
싸이퍼탈락한 래퍼의얼굴로 칠공주목소리내는 제이비, 청룡영화제의얼굴로 하드캐리 추는진영, 아기의얼굴로 힛더스 우승한 유겸
그리고 진짜아기.뱀뱀
2
4",,,2,4,[],https://twitter.com/mygastay2/status/1427834286019780612
얌마...,@mygastay2,2021-08-23T05:56:50.000Z,"얌마...
@mygastay2
·
Aug 22","아니겟쿨에서 현진이뭔가본격적으로랩하는거ㅋㅋㅋ웃겨ㅠㅠ
그래서 닮은꼴형제이비가 더웃긴거야 싸이퍼탈락한 메인래퍼의 얼굴로 칠공주목소리내는 메인보컬 제이비씨가그래서 웃긴거야(갑자기...
1
3",,,1,3,[],https://twitter.com/mygastay2/status/1429684033760292865
오람눈이,@GGoGGo_ram,2021-08-04T04:58:33.000Z,"오람눈이
@GGoGGo_ram
·
Aug 3","40대라길래 난 뭐 대학가요제 세대인 줄 알았더니..속았다...칠공주 러브송이잖아
1",,,1,,[],https://twitter.com/GGoGGo_ram/status/1422783997927559171
