UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
혜윤,@hyeyun2321,2021-08-03T10:26:58.000Z,"혜윤
@hyeyun2321
·
Aug 3","경기도 언론홍보비 내역
출장부페 인원.명단.비용
100만원 미만 전과기록
공개하시라.
1
156
185",,1,156,185,[],https://twitter.com/hyeyun2321/status/1422504257266192385
걸어다니는 알람시계들,@78youandme,2021-08-05T04:42:58.000Z,"걸어다니는 알람시계들
@78youandme
·
Aug 4","경기도 이재명은 공개 안하는게 왜그리 많음?

경기도 언론홍보비
100만원 이하 전과기록
굿모닝하우스 관사 출장부페 명단
이재명 연차일수 주유비
7
446
357",,7,446,357,[],https://twitter.com/78youandme/status/1423142461455552513
화가,@hwaga_story,2021-08-10T04:07:49.000Z,"화가
@hwaga_story
·
Aug 9","출장부페 초청자 왜 공개 못하냐?

혹~시~
이번에 검거 구속된 3명???

의혹이 소문되기 전에 빨리 공개해라.
1
241
201",,1,241,201,[],https://twitter.com/hwaga_story/status/1424945558364426241
기억해(랑해요 이낙연),@dareto_tell_oo,2021-08-26T23:41:08.000Z,"기억해(랑해요 이낙연)
@dareto_tell_oo
·
Aug 26","이재명은 50만원 출장부페를 쳐먹으면서 변호사 비용은 무료?
꽁짜 인생이냐?
17
21",🌱,,17,21,[],https://twitter.com/dareto_tell_oo/status/1431039038534799360
나라,@623rd5,2021-08-30T04:22:13.000Z,"나라
@623rd5
·
Aug 29","얘들아 무슨일?? 출장부페 불러드려
1
8",,,1,8,['https://pbs.twimg.com/media/E-AvhZKVQAkK_sV?format=jpg&name=small'],https://twitter.com/623rd5/status/1432196937088786434
기억해(랑해요 이낙연),@dareto_tell_oo,2021-08-28T22:51:33.000Z,"기억해(랑해요 이낙연)
@dareto_tell_oo
·
Aug 28","출장부페도 세금으로 쳐먹었지?
토해내 새끼야.
니돈으로 내.
4
9",🌱,,4,9,[],https://twitter.com/dareto_tell_oo/status/1431751334382866433
michelle,@michellemoon000,2021-08-10T22:21:18.000Z,"michelle
@michellemoon000
·
Aug 10","연차 내역도 공개 못해.
홍보비 내역도 공개 못해.
공관에서 출장부페 쳐먹은 사람 명단 공개도 못해.
뭐가 그렇게 구려서 공개를 못해?
너만 공개 못하잖아.
5
5",,,5,5,[],https://twitter.com/michellemoon000/status/1425220742333931525
카르텔v2.0,@_jbdjljm__,2021-08-26T04:37:53.000Z,"카르텔v2.0
@_jbdjljm__
·
Aug 25","출장부페 지자체장도 공개한다고 했는데 아직도 공개안한게 바로 이 새끼.

이런 새끼 빨아재끼는 늬들이 문제인거다.

 최진봉 현근택 이탄희 남인순 최민희 권인숙 우언식 늬들 말이다.
이재명 '연차 내역 비공개(?)' 지적에 ""하면 되죠""
(서울=뉴스1) 이철 기자,권구용 기자 = 이재명 경기도지사는 26일 본인의 연차사용일수 내역 공개 여부에 대해 ""(공개)하면 된다""고 밝혔다. 이재명 지사는 이날 오전 국회에서 열린 정기국회 대비 민주당 국회의원 워크숍에 참석하기 전 기자들과 만나 ""실무부서의 기본적인 업무처리니 제가 한번 확인해보겠다""며 이같이 말했다. 전날(25일) 한 매체는 국회
news.v.daum.net
4
3",,,4,3,[],https://twitter.com/_jbdjljm__/status/1430751330365181954
Tumen Kim,@mdmonaco,2021-08-03T09:51:35.000Z,"Tumen Kim
@mdmonaco
·
Aug 3","사퇴하고 출장부페나 시켜먹고 살아. 술은 집에서 처먹고.
꼬꼬막 #4 NY
@seoas77
 · Aug 2
경기도청 5급 사무관 배소현은 합니다
김혜경의 가방모찌를.....
1",,,1,,"['https://pbs.twimg.com/profile_images/1434656637311066117/jnKssnSN_mini.jpg', 'https://pbs.twimg.com/media/E7zzkjUUUAE3Jo_?format=jpg&name=small', 'https://pbs.twimg.com/media/E7zzk2lVEAgr71W?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7zzlJzVEAkiL3y?format=jpg&name=360x360']",https://twitter.com/mdmonaco/status/1422495354159652864
열은정,@xkrogwxi087,2021-08-25T04:45:07.000Z,"열은정
@xkrogwxi087
·
Aug 24","봄, 가을 시즌 결혼식 김학도 출장부페 제격",,,,,[],https://twitter.com/xkrogwxi087/status/1430390763163029506
