UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
민규 비디오,@mingyuvideo_,2021-08-02T10:26:57.000Z,"민규 비디오
@mingyuvideo_
·
8월 2일","인간 여서도 생존키트 김민규

 괜찮아 나는 솔직히 걱정 안 되는 게 민규가 있어 민규가 집 지어주고 음식 해주고 장작 패주고 낚시하고 다 해줄거야 
 저는 사람이 아닌가요?!

이래놓고 집 짓는 거 빼고 다 함
0:17
6천 조회수
296
498",🍒 🐶,,296,498,[],https://twitter.com/mingyuvideo_/status/1422141866322006016
이유,@171OO4_,2021-08-02T15:22:53.000Z,"이유
@171OO4_
·
8월 3일","여서도 정하니 완전 말랑뽀둥갓기 
2
7",🤍,,2,7,"['https://pbs.twimg.com/media/E7y6NqRVoAE6TFa?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7y6OBhUYAQLf3L?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7y6Nz-VEAAhn7F?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7y6OPBUcAI8kab?format=jpg&name=360x360']",https://twitter.com/171OO4_/status/1422216338794106880
지미니즘,@jiminism_hi,2021-08-09T14:19:45.000Z,"지미니즘
@jiminism_hi
·
8월 9일","이게 너무 개발리는게,, 연예인 입장에서 딴 건 몰라도 팬 사랑 고백이니까 내가 참는다는 의미여서도 그렇지만,,, 형아 입장에서 우리 애들이 하는 거니까 잠 깨고 말아야지 도 이써서 따블로 지짜 미치게써ㅜㅜㅜ 
우리 석지니 형아미ㅜㅜㅜㅜㅜㅜ
TJ
 님의
2
177
564",🐥 🐥 🐰,2,177,564,['https://pbs.twimg.com/ext_tw_video_thumb/1424726589800009744/pu/img/m3QPxWJBhYy3bwg7.jpg'],https://twitter.com/jiminism_hi/status/1424737165037039619
ミユ,@luv9yuever,2021-08-08T03:41:16.000Z,"ミユ
@luv9yuever
·
8월 8일","여서도 어게인은 아니지
18
12",,,18,12,['https://pbs.twimg.com/media/E8PTLMrVcAAr89a?format=jpg&name=small'],https://twitter.com/luv9yuever/status/1424214100750475269
Mr. crowtit,@crowtit9597,2021-08-03T05:05:06.000Z,"Mr. crowtit
@crowtit9597
·
8월 3일","그니까 이 아기시절부터 꼬물거리면서 요리했단거잔아 보통 생선이나 닭손질은 칼쓴다구 위험하니까 애기들 잘안시킬텐데 엄마하는거 보고ㅈ여서도가서 다한거아냐 똑똑해 밍구리
3",,,,3,"['https://pbs.twimg.com/media/E712aR7UUAYdY2W?format=jpg&name=small', 'https://pbs.twimg.com/media/E712agjUcAALQMm?format=jpg&name=small']",https://twitter.com/crowtit9597/status/1422423257471324163
소순,@sosun_6_15,2021-08-08T05:06:19.000Z,"소순
@sosun_6_15
·
8월 8일","럭셔리 여서돜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
고식
@D218B116
 · 8월 8일
세븐틴이 밥도 해먹는거야? 럭셔리 여서도 같네
1",,,,1,['https://pbs.twimg.com/profile_images/1423118694524145671/YI7bDaQY_mini.jpg'],https://twitter.com/sosun_6_15/status/1424235500890583046
영희(6세),@imkickmyhead,2021-08-09T13:45:00.000Z,"영희(6세)
@imkickmyhead
·
8월 9일","히발 난 이게
입소해서도 아니고 머리가 깎여서도 아니고
첫끼가 >생선가스<라서 욕이나온다는게
미치겟음 진챠
8",,,,8,['https://pbs.twimg.com/media/E8Wm8jjVcAMCFS1?format=jpg&name=small'],https://twitter.com/imkickmyhead/status/1424728422547218445
,@Squirrelhani,2021-08-12T17:31:40.000Z,"@Squirrelhani
·
8월 13일","여서도 겸한은 진심너무햇다...
1",💌,,,1,[],https://twitter.com/Squirrelhani/status/1425872627055222785
toff,@toffdead,2021-08-11T14:23:35.000Z,"toff
@toffdead
·
8월 11일","뭐야 다름 주 여서도 감?
델루지
@red__index
 · 8월 11일
떠나요~대학엠티~~~~~~~ 갑자기 올모스트패러다이스
0:02
5.7천 조회수",,,,,['https://pbs.twimg.com/profile_images/1417161448925450241/38pxpwI0_mini.jpg'],https://twitter.com/toffdead/status/1425462908016730112
깨찰빵,@Kkaechalbbang,2021-08-03T13:02:27.000Z,"깨찰빵
@Kkaechalbbang
·
8월 3일","예전에 일본여행에서 사왔던건데 
매운음식 먹을때 주먹밥용으로 먹거나, 심심한 도시락에 곁들여서도 잘 먹었던 재료였다.
주먹밥 맛은 좀 별로인데.. 그 외에 대부분 생선맛은 다 맛있었음 
1
3",😋,1,,3,['https://pbs.twimg.com/media/E73joe3VIAA3ZhC?format=jpg&name=small'],https://twitter.com/Kkaechalbbang/status/1422543385269706760
