UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
와니,@ChuNieJi,2021-08-01T05:27:57.000Z,"와니
@ChuNieJi
·
Jul 31","Yeah we are fully vaccinated!! 2nd dose process was really fast!! And here we also flexx our charms shirt  
@jibijii
 @CUBE_PTG
 @CUBE_PTG_JAPAN
 #CHARMS #참스
0:21
91 views
2
1
9",🌌 🍋 🌻 😝 😝 😝,2,1,9,['https://pbs.twimg.com/ext_tw_video_thumb/1421704152619487236/pu/img/CcOs0pThjOdoC7JF.jpg'],https://twitter.com/ChuNieJi/status/1421704230004428802
크림티,@zmflaxl,2021-08-01T06:48:43.000Z,"크림티
@zmflaxl
·
Jul 31","참스 잠옷이 왔어요
#진호 #유토 #펜타곤
68
152",🌙 ✨ ✨,,68,152,"['https://pbs.twimg.com/media/E7r6Oh7VEAI6Hza?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7r6QNKUYAULeVD?format=jpg&name=360x360']",https://twitter.com/zmflaxl/status/1421724555320578049
aina ᥫ᭡ ¦ 𝗣𝗜𝗡𝗚 𝗣𝗢𝗡𝗚,@softyanwin,2021-08-01T18:40:47.000Z,"aina ᥫ᭡ ¦ 𝗣𝗜𝗡𝗚 𝗣𝗢𝗡𝗚
@softyanwin
·
Aug 1","𝗖𝗛𝗔𝗥𝗠'𝗦 𝗫 𝗣𝗘𝗡𝗧𝗔𝗚𝗢𝗡 ＜3

#펜타곤 #PENTAGON #PTG #참스 #CHARMSXPENTAGON #CHARMS
1",🏓,,,1,"['https://pbs.twimg.com/media/E7ud6c3XEAMhMSO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7ud7bSXsAAV3Ku?format=jpg&name=360x360']",https://twitter.com/softyanwin/status/1421903755524595716
짜단장,@unizzangbus,2021-08-01T10:47:58.000Z,"짜단장
@unizzangbus
·
Aug 1","참스 파자마 이제야 뜯어봤는데
포카 넘 이쁘잖아ㅠㅠ
포카를 샀더니 잠옷까지 주는 참스 쵝오,,
2
7",💜,2,,7,['https://pbs.twimg.com/media/E7sxtQKVgAIHJBE?format=jpg&name=small'],https://twitter.com/unizzangbus/status/1421784765858914316
펜타곤 양도,@HohoIsas,2021-08-21T00:22:11.000Z,"펜타곤 양도
@HohoIsas
·
Aug 20","펜타곤 참스 파자마 포카 양도
키노 여원 유토 일괄 2.0

하드 슬리브에 담아서 드려요 디엠주세요
1",🥰,1,,,['https://pbs.twimg.com/media/E9RiRldVgAM5WTB?format=jpg&name=small'],https://twitter.com/HohoIsas/status/1428875039118483458
거래계정,@dm_haejuseyo,2021-08-29T15:53:53.000Z,"거래계정
@dm_haejuseyo
·
Aug 29","펜타곤 참스 파자마 포카 양도

각 0.6 일괄 1.6

펜타곤 진호 후이 홍석 신원 여원 옌안 유토 키노 우석 PENTAGON 참스 파자마 양도 참스포카 파자마포카
The following media includes potentially sensitive content. Change settings
View
1
1",,,1,1,[],https://twitter.com/dm_haejuseyo/status/1432008611924889604
.,@ptgbtob_S2,2021-08-20T15:26:36.000Z,".
@ptgbtob_S2
·
Aug 20","펜타곤 참스 티셔츠 포카 파자마 포카 양도합니다 디엠으로 제시 주세요 !

ㅅㅊㅇ) 펜타곤 조진호 후이 키노 우석 유토 홍석 옌안 신원 여원 양도 교환 분철 참스 티셔츠 양도 참스 파자마 양도 분철
1",,,,1,['https://pbs.twimg.com/media/E9PnrpFVgAg3iCZ?format=jpg&name=small'],https://twitter.com/ptgbtob_S2/status/1428740254509330435
양도,@dodori8527,2021-08-23T10:28:56.000Z,"양도
@dodori8527
·
Aug 23","펜타곤 참스 파자마 포카 양도

우석

준등포 0.8

옾카 들어와주세요
http://open.kakao.com/o/sbw9IR3c",,,,,['https://pbs.twimg.com/media/E9eAUxoUYAA7QUx?format=jpg&name=900x900'],https://twitter.com/dodori8527/status/1429752509082439686
거래계,@nonono___fire,2021-08-11T02:51:34.000Z,"거래계
@nonono___fire
·
Aug 10","옌안 참스 파자마 포카 양도합니다
디엠이나 옵챗주세요
펜타곤 pentagon ptg photocard pc 조진호 이회택 후이 양홍석 고신원 여창구 김옌안 아다치 유토 강형구 키노 정우석
1",,,1,,['https://pbs.twimg.com/media/E8ekkULVgAIlNlg?format=jpg&name=small'],https://twitter.com/nonono___fire/status/1425288753715707908
,@aldjqodjsw,2021-08-15T03:56:47.000Z,"@aldjqodjsw
·
Aug 14","펜타곤 신원 참스 포카 양도 디엠으로 제시 해주세요

펜타곤 포카 펜타곤 양도 진호 후이 홍석 신원 여원 옌안 유토 키노 우석 참스 포카
1",👏,1,,,['https://pbs.twimg.com/media/E8zZtT4VgAYou_L?format=jpg&name=900x900'],https://twitter.com/aldjqodjsw/status/1426754719691669507
