UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
솜,@seungmo_som,2021-08-02T12:43:27.000Z,"솜
@seungmo_som
·
8월 2일"," 홍대 온달집

닭고깃살 간장마요밥에 심야우동까지 먹었엉용
배가 엄청 부르지만 꼬옥 사이드 하나씩 다 시켜서 드시는 거 추천...♡
#이_식당은_진심으로_하늘이에요 
#여기맛있승민
7
6",💛,,7,6,['https://pbs.twimg.com/media/E7yVuhnVIAQiDNE?format=jpg&name=small'],https://twitter.com/seungmo_som/status/1422176216711237639
곰랑이 뷰뷔뷰뷔,@codykobe_taetan,2021-08-17T13:32:55.000Z,"곰랑이 뷰뷔뷰뷔
@codykobe_taetan
·
8월 17일","냥이랑 5분 이야기 했다는 태 너무 좋아
예전에 손 흔들며
안녕 소 야
안녕 닭 아
하던 태가 기억났엉
1
4",🐻 🐯 💜 🐈 🐄 🐓,,1,4,['https://pbs.twimg.com/ext_tw_video_thumb/1427624373528277000/pu/img/e3BYQvXrZ_qKYfXG.jpg'],https://twitter.com/codykobe_taetan/status/1427624483070697476
젤리,@jelly_len,2021-08-22T10:35:18.000Z,"젤리
@jelly_len
·
8월 22일",집가서 닭곰탕 먹을거야 엉ㅇ엉 너무 배고파,🏖,,,,[],https://twitter.com/jelly_len/status/1429391726041387010
♟_젠,@zen_obo,2021-08-24T00:37:57.000Z,"♟_젠
@zen_obo
·
8월 24일","고기가 없었엉.
닭가슴살 오늘 시켰으니 밤에는 먹을 수 있을 것 같아요",,,,,[],https://twitter.com/zen_obo/status/1429966173169348650
노전직,@mamevuzzo,2021-08-27T15:20:16.000Z,"노전직
@mamevuzzo
·
8월 28일","근데 닭은 옛날에 많이 길럿던거앝애 나도 할아버지집가면은 그 뒤에 가면은 닭장 잇고 닭몇마리 풀러져 잇고 그랫던 기억인데 뭔가 어디서 본거랑 착각하는간가 할아버지한테 물어봐야지 닭 키웟엉냐고
2",,,,2,[],https://twitter.com/mamevuzzo/status/1431275379356954629
닌(고고즈),@snow_owl_garden,2021-08-17T15:51:56.000Z,"닌(고고즈)
@snow_owl_garden
·
8월 18일","내가 하숙개 오늘 밤산책 못간 거 마음 풀어주느라 닭가슴살 삶아서 사료 비벼줬단 말이야. 근데 닭가슴살만 골라 먹을까봐 진짜 엄청 잘게 잘게 찢었단 말이야. 근데 얘는 혀에 손톱이 달렸는지 그걸 막 또 닭가슴살만 골라서 먹어.. 그게 어케 되냐 엉겹결에 사료 한두알 씹을 수 있는 거 아니냐
2
9",🦉 🐈 🐈 🐈,2,,9,[],https://twitter.com/snow_owl_garden/status/1427659466225307649
황제부부만만세!! 영영,@naki01345,2021-08-02T04:20:01.000Z,"황제부부만만세!! 영영
@naki01345
·
8월 2일","여홍철 해설자님 정말... 투철한 직업정신이다. 나같으면 ""우리 딸~~~!!!!!!!ㅠㅠㅠ흐어어어엉 ㅇ우ㅠㅠㅠㅠ 쟤가 내 새끼입니다 흐어엉엉 ㅠㅠㅠ 집에 가서 푸라닭 먹자ㅠㅠㅠㅠ"" 이랬을 거 같음.
1",,,,1,[],https://twitter.com/naki01345/status/1422049523514298369
죅금 덜 행복한 누더기,@Zenzero_planet,2021-08-27T03:22:50.000Z,"죅금 덜 행복한 누더기
@Zenzero_planet
·
8월 27일",귀곡의문 개를낳았다 닭위대 이 세개는 꾸준히 쿠키구워서 보고있는데 약간 그... 아 쿠키 잇다고요 뒤에 더 보여주세요 쾅쾅쾅 지갑 가져가고 뒷내용 주세요 하는 마음이 됨 쿠키가 남아잇는데 안 본 최신화가 없어 근데 궁금해 먼데먼데 허엉 ㅠ,,,,,[],https://twitter.com/Zenzero_planet/status/1431094830818488322
진호,@ONLYLOVEIZONE,2021-08-10T00:49:45.000Z,"진호
@ONLYLOVEIZONE
·
8월 10일","40도?  더위 진짜 조심해야겠네 
닭갈비 먹고싶긴하네... 친구들하고 갈까 고민중 
난 닭을 가장 자주 뜯는거 같엉 
다만 삼겹살도 맛에서는 밀리지 않는다구 생각해 소는 자주먹는편은 아니구..
스테이크가 제일 좋은듯 #히짱메일 #wizonemail",🍀 😲 🥵,,,,[],https://twitter.com/ONLYLOVEIZONE/status/1424895712563585026
RU RN,@ruah0119,2021-08-12T14:51:14.000Z,"RU RN
@ruah0119
·
8월 12일","딸 키워도 소용이 없드아..
둘다 꾹쭙이만 하고 휙~ 도망 쪼르르르~~~ 

와 너무해... 흐어어어어엉

그나저나 둘째 루니 무늬가 점점 더 진해지고, 이뻐지네 
근데 너무 말랐어~
닭가슴살 사서 먹여야하나.. 고민고민.. ",🐒 🐵 🐒 🐒 🐒 🙈 🙈 🙊 ❤ 🐵,,,,[],https://twitter.com/ruah0119/status/1425832252500365319
니킥을주로쓴다요,@rinrenrinren,2021-08-25T09:47:21.000Z,"니킥을주로쓴다요
@rinrenrinren
·
8월 25일","무설탕 카야잼진짜존맛....ㅠ
오늘의저녁 파바 그대로토스트식빵 1장을 구워서 무설탕카야잼 발라가지구 닭가슴살+방울토마토까지 얹어먹었다....배부른데 또먹고싶어 ㅠㅠㅠㅠ....
나름 탄수화물줄이는중인데...맛있엉...",,,,,[],https://twitter.com/rinrenrinren/status/1430466822751408132
