UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
아이료,@IRYO_K,2021-08-21T15:54:00.000Z,"아이료
@IRYO_K
·
8월 22일","서면 Feb Coffee Bar
1",,1,,,"['https://pbs.twimg.com/media/E9U3jIeVoAo22f5?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9U3jIjUUAITxjh?format=jpg&name=small', 'https://pbs.twimg.com/media/E9U3jIeUUBEdeyL?format=jpg&name=small', 'https://pbs.twimg.com/media/E9U3jIkVEAIBFjd?format=jpg&name=small']",https://twitter.com/IRYO_K/status/1429109540037873669
Seo Rock,@Haejackdream,2021-08-25T20:07:48.000Z,"Seo Rock
@Haejackdream
·
8월 26일","완전대박  카처 고압세척기 K3 120bar1EA 고압세척기 정품
완전대박 카처 고압세척기 K3 120bar1EA 고압세척기 정품 - 자비스맨
이번에 소개 하는 제품은, 고압세척기 중에서 인터넷과 SNS에서 가장 유명한 카처 고압세척기 K3 120bar_(1EA) 입니다. 제가 추천하는 제품들은 가성비좋은 상품들 중 좋은가격에 구매할 수 있는 상품만 찾아 소개 해드려요. 에어팟프로 주변소음 없애주는 노이즈캔슬링 마법 내일도착 로켓배송!! ▼ 소개합니다 상품을~ 카처 고압세척기 K3...
javisman.com",,,,,[],https://twitter.com/Haejackdream/status/1430622962680352770
핸,@bar_hjen_ca,2021-08-29T15:28:03.000Z,"핸
@bar_hjen_ca
·
8월 30일","나왔다 라리가의 4k 중계 화면과 카메라 자랑
1
1",,,1,1,[],https://twitter.com/bar_hjen_ca/status/1432002112167108614
иαиα ̮ 𝚂𝙷𝙸𝙽𝚎𝚎 Key BAD LOVE ♡ ~ 442↓,@K_Nana7761,2021-08-24T18:18:59.000Z,"иαиα ̮ 𝚂𝙷𝙸𝙽𝚎𝚎 Key BAD LOVE ♡ ~ 442↓
@K_Nana7761
·
8월 25일","[BAR라던 뮤비] 온유(ONEW)&이수현(Lee Suhyun) (with '멜로망스' 정동환&자이로) - '깊은 밤을 날아서'♬ https://youtu.be/esGEykSF-pw via 
@YouTube
[BAR라던 뮤비] 온유(ONEW)&이수현(Lee Suhyun) (with '멜로망스' 정동환&자이로) - '깊은 밤을...
〈바라던 바다〉 2회 하이라이트 장면과 함께 보는'바라던 바다' 속 힐링 뮤직비디오EP.2 온유(ONEW)&이수현(Lee Suhyun) - 깊은 밤을 날아서#바라던바다 #온유 #수현 #깊은밤을날아서
youtube.com",,,,,['https://pbs.twimg.com/card_img/1441355491528019968/SHWyYIsg?format=jpg&name=240x240'],https://twitter.com/K_Nana7761/status/1430233188165689354
상어맛 아이스크림,@Jaw_S_bar,2021-08-26T14:28:09.000Z,"상어맛 아이스크림
@Jaw_S_bar
·
8월 26일","이름 선택가능하면 벡 그대로 가고 한국식이면 좀 더 고민해보려거요... 체리에스 K패치 넘 힘들어요
1",,,,1,[],https://twitter.com/Jaw_S_bar/status/1430899872278798339
Zorawar Singh Jamwal,@ZorawarJamwal,2021-08-30T06:25:07.000Z,"Zorawar Singh Jamwal
@ZorawarJamwal
·
8월 30일","Congratulations to Young and Dynamic Surjeet Andotra for being elected as Secretary General J&K High Court Bar Association, Jammu.
Lots of Hopes from New Team.
#BESTWISHES.
1
2
34",,1,2,34,['https://pbs.twimg.com/media/E-BLp3nUYAQPKsk?format=jpg&name=small'],https://twitter.com/ZorawarJamwal/status/1432227868101124099
Today In Star Trek History,@TodayinStarTrek,2021-08-28T13:11:47.000Z,"Today In Star Trek History
@TodayinStarTrek
·
8월 28일","28 August 1996: Odo looks for Arne Darvin as the K-7 bar scenes are filmed for the 30th anniversary Deep Space Nine episode Trials and Tribble-ations.
1
8
38",,1,8,38,['https://pbs.twimg.com/media/E94VilwWUAUgyQ7?format=jpg&name=small'],https://twitter.com/TodayinStarTrek/status/1431605433282744326
LestWeForgetIndia,@LestWeForgetIN,2021-08-26T06:30:25.000Z,"LestWeForgetIndia
@LestWeForgetIN
·
8월 26일","Exceptional valour in the face of heavy odds.

#LestWeForgetIndia Lance Naik Patey Tassuk, #SenaMedal and Bar (P) of 17 GUARDS / 21 #RashtriyaRifles

The gallant #IndianBrave made the supreme sacrifice neutralising terrorists at Kupwara, J&amp;K, #OnThisDay 26 August in 2011.
75
259
950",,75,259,950,['https://pbs.twimg.com/media/E9smgaQUUAMRJw9?format=jpg&name=small'],https://twitter.com/LestWeForgetIN/status/1430779648120475652
Bob Stewart’s Spirit Grocer,@bobstewarts1620,2021-08-28T12:01:53.000Z,"Bob Stewart’s Spirit Grocer
@bobstewarts1620
·
8월 28일","Well the big news…….!

The front bar…..a.k.a. the Lych Bar is back . From Monday our public bar will now open 7 days a week as a bar…. a proper bar.
1
2
7",👍,1,2,7,[],https://twitter.com/bobstewarts1620/status/1431587839670734850
atul # CSK,@SharmaAtul717,2021-08-23T04:24:01.000Z,"atul # CSK
@SharmaAtul717
·
8월 23일","Me : ""See a little girl crying near  kabr in  kbarishtan .

Me : Wat's wrong  ?

Little girl : ""no one came to my kbar"".. 

Me :
1
48
72",💛 😢,1,48,72,['https://pbs.twimg.com/media/E9cszeZUYAUt6GK?format=jpg&name=small'],https://twitter.com/SharmaAtul717/status/1429660674305576960
Ipswich Wanderers FC,@_IWFC,2021-08-27T09:16:18.000Z,"Ipswich Wanderers FC
@_IWFC
·
8월 27일","Pitch double cut this morning and all ready for 
@Cops_FC
 vs 
@FcRansomes
 tomorrow in 
@SILHQ
 
2.30 k.o, bar open, free entry. Cracking local derby
3
17",👊,,3,17,['https://pbs.twimg.com/media/E9yVjn5X0AU8SZa?format=jpg&name=small'],https://twitter.com/_IWFC/status/1431183781013118977
Laziestkiran,@laziestkiran,2021-08-26T08:38:27.000Z,"Laziestkiran
@laziestkiran
·
8월 26일","""Fridge"" 0r ""Facebook"" me kuch nae hota ...... Phir bhe din me 10 bar... Khol k dekhte hain hum
7
1
30",🦋 🖤 🤭 👀 😁,7,1,30,[],https://twitter.com/laziestkiran/status/1430811868051001347
Randall,@Randy_1220,2021-08-23T16:26:13.000Z,"Randall
@Randy_1220
·
8월 24일","Kanye know his mental health fragile idk why he playing this game. He one Kim K bar away from losing his marbles lol
1
4",,1,,4,[],https://twitter.com/Randy_1220/status/1429842421374935049
نمرہ میمن,@NimrahMemon,2021-08-29T14:32:43.000Z,"نمرہ میمن
@NimrahMemon
·
8월 29일","In brown households you can't say dost se milney ja rhi hun, you have to explain k pehli bar wo dost kab bani phir us k maa baap ka nam se ley kr pura khandan sub batao
3
9",,3,,9,[],https://twitter.com/NimrahMemon/status/1431988188801757195
Mohd Shahnawaz Choudhary,@Shahnawaz_JK,2021-08-30T14:35:11.000Z,"Mohd Shahnawaz Choudhary
@Shahnawaz_JK
·
8월 30일","Heartiest congratulations to Senior most Advocate Sh. M. K. Bhardwaj sb on being elected as President, of Prestigious J&K High Court Bar Association. He is a great and humble Person.
Wishing him a grand successful tenure.
3
22",,,3,22,['https://pbs.twimg.com/media/E-C70ilUYAA_Ga_?format=jpg&name=small'],https://twitter.com/Shahnawaz_JK/status/1432351195415281665
Ipswich Wanderers FC,@_IWFC,2021-08-26T07:36:17.000Z,"Ipswich Wanderers FC
@_IWFC
·
8월 26일","Get down to The Doucy tonight to watch the next generation of Wanderers, as our U18s start their league campaign at home to Stow Town. 
@IpsWanderersU18
 look a very talented bunch. Cheer them on. K.o 7.45 PM. Bar open.
Adults £3, concessions £2.
4
17",,,4,17,['https://pbs.twimg.com/media/E9s1eq9XIAAEeDA?format=jpg&name=small'],https://twitter.com/_IWFC/status/1430796224794333184
