UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
늠뉴 님 외 66명,@ioioio_jj,2021-08-19T15:15:41.000Z,"늠뉴 님 외 66명
@ioioio_jj
·
8월 20일","오늘 제 생일!!! 
햅비버스데이 투 미
24
3
40",❤ ❤ ❤ ❤ ✨ ✨ 🎂 🎂,24,3,40,['https://pbs.twimg.com/media/E9KbmjaVcAcAPMj?format=jpg&name=small'],https://twitter.com/ioioio_jj/status/1428375121564037129
곰대문명,@ancientelecFF14,2021-08-21T04:40:36.000Z,"곰대문명
@ancientelecFF14
·
8월 21일","고딩때 엄청 폭우가 쏟아지던 날이었는데 우산 대신 골프장용 양산을 들고간적이 있었음 1분간은 이상함을 느끼지 못했는데 우산에서 비가 쏟아지는거임 (?) 버스 정류장에서 기다리는데 우산을 쓰고 있으면서도 엄청난 비를 맞고있는 나를 사람들이 이상하게 쳐다봤음
3
16
48",,3,16,48,['https://pbs.twimg.com/media/E9SdZ5AVoAMRM6v?format=png&name=small'],https://twitter.com/ancientelecFF14/status/1428940072447971336
웨밀,@wemil_wm,2021-08-26T14:59:56.000Z,"웨밀
@wemil_wm
·
8월 26일","켱샹동보고시퍼서.비베레리버스말릔다… 나이버네너무… 만족을못해서
1
5",,1,,5,['https://pbs.twimg.com/media/E9ubIHcVIAAwhKE?format=jpg&name=900x900'],https://twitter.com/wemil_wm/status/1430907874394341386
행운,@A_bel__,2021-08-25T13:59:26.000Z,"행운
@A_bel__
·
8월 25일","어제 봤던 고양이.. 비맞으며ㄴ서 덜덜 떨고 있길래 버스 타기 전까지 우산 같이 썼다.....
1
5
34",☘ 🍀,1,5,34,['https://pbs.twimg.com/media/E9pDrwhVEAg_Zg2?format=jpg&name=small'],https://twitter.com/A_bel__/status/1430530258915139585
소윤,@LQVE_SE0KJIN,2021-08-28T08:59:09.000Z,"소윤
@LQVE_SE0KJIN
·
8월 28일","#rt 추첨 덕자 4.0 드려요
방탄 포카 양도합니다 제시해주세용

ㅅㅊㅇ 방탄소년단 석진 남준 윤기 호석 지민 태형 정국 포토카드 미니포카 비이 디아이콘 메모리즈 매직샵 앨범 맵솔 티어 앤써 승허 윙즈 화양연화 아미밤 비월 스에 페르소나 버터 에센셜 위버스 특전 머오터 머사터 단체
13
606
71",,13,606,71,"['https://pbs.twimg.com/media/E93burcVIAgCCIO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E93burbVIAEJIu-?format=jpg&name=small', 'https://pbs.twimg.com/media/E93burdVgAA36ES?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E93burdUUAE3G1f?format=jpg&name=360x360']",https://twitter.com/LQVE_SE0KJIN/status/1431541856442015751
Happy소나무,@happypine899,2021-08-24T12:34:11.000Z,"Happy소나무
@happypine899
·
8월 24일","비가 내리는 날 버스에서 바라본 롯데월드타워
1
10
39",,1,10,39,"['https://pbs.twimg.com/media/E9jmlOQUYAoOBrh?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9jmlOPUcAEMFKD?format=jpg&name=small']",https://twitter.com/happypine899/status/1430146415955628040
여름이랑 Claire,@onceihadafarm,2021-08-22T03:11:31.000Z,"여름이랑 Claire
@onceihadafarm
·
8월 22일","비가 내릴 것 같은 하늘이었지만 산책 다녀왔다 아참 한 음절로만 말하던 여름이가 드디어 두 음절을 말할 수 있게 되었다 뻐-쯔(버스), 포-쯔(포도) 등. 기타 따라하기 어려운 단어는 부뤠롱 하고 혀를 내민다
3
1
23",,3,1,23,['https://pbs.twimg.com/media/E9XSnaWUcAElHdI?format=jpg&name=900x900'],https://twitter.com/onceihadafarm/status/1429280041637015554
태장,@aegineoguri,2021-08-29T12:24:45.000Z,"태장
@aegineoguri
·
8월 29일","원댱이 신발 하이/로우 둘 다 짱 예쁨.... 컨버스 주제에 비오면 방수도 됨
올해 가장 잘 산 손민수템
2
6",,2,,6,"['https://pbs.twimg.com/media/E99UXioVUAMkkqz?format=jpg&name=small', 'https://pbs.twimg.com/media/E99UX6IUYAIyFoC?format=jpg&name=360x360']",https://twitter.com/aegineoguri/status/1431955981659873280
씨발,@ssibaljaegis,2021-08-23T23:19:12.000Z,"씨발
@ssibaljaegis
·
8월 24일","뻬이비,! 햎1비버스대이 ",😛,,,,['https://pbs.twimg.com/media/E9gwoU5UcAIXT7e?format=jpg&name=small'],https://twitter.com/ssibaljaegis/status/1429946355133292546
,@Liebliiiings_,2021-08-21T04:38:18.000Z,"@Liebliiiings_
·
8월 21일","210821 마돈크

버스가... 비를 헤치고 한강을 건널 땐.._~
1
4",✨ 🎵,1,,4,['https://pbs.twimg.com/media/E9Sc4_lVkAQ26Jf?format=jpg&name=small'],https://twitter.com/Liebliiiings_/status/1428939496209281024
