UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
밀｜ミル,@miruwheat,2021-08-15T08:31:22.000Z,"밀｜ミル
@miruwheat
·
8월 15일","나마즈오가 된 나마즈오
1
41
43",,1,41,43,['https://pbs.twimg.com/media/E80Yp4nVIAIturg?format=png&name=small'],https://twitter.com/miruwheat/status/1426823820367720456
"리별, 마감하지 않아도 안돼",@LovelyTobot,2021-08-14T17:20:30.000Z,"리별, 마감하지 않아도 안돼
@LovelyTobot
·
8월 15일","제가 옛날에 커미션 신청한 것데 갓아트라서 다시 꺼내보기
@척애님
태오가 잘 못 쉬어서 자는거 그려달라고 했었어요.
12
29",,,12,29,"['https://pbs.twimg.com/media/E8xIOLdUcAEi-2b?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8xIOULVkAALsGF?format=jpg&name=360x360']",https://twitter.com/LovelyTobot/status/1426594594532126723
츄시긔,@Dear_Uand,2021-08-14T14:04:30.000Z,"츄시긔
@Dear_Uand
·
8월 14일","쟌탤 동거 중에 갑자기 영오가 그러는 거,,

- 행님아 저 고백할 게 있어여...
- 뭔데? 또 그릇 깼어?
- 아녀... 저 사실 고양이예여
- 그렇구나 ㅎ... 알겠어, 일단 옷장에서 내려와 볼까?
- 무서워서 못 내려가게쪄
- ... 119가 몇 번이더라?
- 국번없이 일일구염
- 오키오키 기다려~
- 넹
16
20",🌻 🌙,,16,20,"['https://pbs.twimg.com/media/E8wbWqvVIB8iHns?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8wbWqvVcAkqYK1?format=jpg&name=small']",https://twitter.com/Dear_Uand/status/1426545267541565444
염가,@anti_babypille,2021-08-15T11:26:25.000Z,"염가
@anti_babypille
·
8월 15일","오가타 수염이랑 흉터 지운 짤 주웠는데 오가타가 아니라 젊은 코지로같다...
14
24",,,14,24,['https://pbs.twimg.com/media/E81AxRUUUAkDY9K?format=jpg&name=900x900'],https://twitter.com/anti_babypille/status/1426867874543529985
시묘일,@ggugguc,2021-08-14T12:37:42.000Z,"시묘일
@ggugguc
·
8월 14일","훌쩍....훌쩍훌쩍.... 앤오가...훌짝...나나라라 뉴짤...
GIF
1
15",😷 🎗,,1,15,['https://pbs.twimg.com/tweet_video_thumb/E8wHcrjVkAMcJJr.jpg'],https://twitter.com/ggugguc/status/1426523423069507590
홍로칠,@honghongno7,2021-08-15T08:30:46.000Z,"홍로칠
@honghongno7
·
8월 15일","마다오 트친소라니.......마다오끼리 모여서..거대마다오가 되는것 말고,,머가잇냐고요.........
6
5",,,6,5,['https://pbs.twimg.com/media/E80YjwFVUAMm9lA?format=png&name=small'],https://twitter.com/honghongno7/status/1426823667778871299
라퓨,@Lafew_,2021-08-14T11:36:01.000Z,"라퓨
@Lafew_
·
8월 14일","충신X폭군 너무 좋아요... 일단 영오가 폭군이 되어버린 쟤연이에게 간언하는 것부터 좋거든요. 피의 군주라 불리지만 서영오의 말 만큼은 귀담아 듣는 정쟤연. 서영오의 칼날은 정쟤연을 지키기 위해 만들어졌기에 먼 훗날 미쳐버린 쟤연을 위해 그에게 위협인 저 스스로의 목을 베는 용도 쓰이는...
1
3
22",,1,3,22,"['https://pbs.twimg.com/media/E8v5X-LVgAAbB_7?format=jpg&name=small', 'https://pbs.twimg.com/media/E8v5X-MVEAcsIUu?format=jpg&name=360x360']",https://twitter.com/Lafew_/status/1426507902257295375
머핀,@clatte320,2021-08-14T04:07:14.000Z,"머핀
@clatte320
·
8월 14일","근대 1권 오가타 청설모 닮았어 귀여움 난 1권 오가타 좋았는데 쟤가 오가타인줄은 몰랐고 그냥 지나가는 병사1인줄..
1
5",,1,,5,"['https://pbs.twimg.com/media/E8uSqAEVIAMfR2t?format=jpg&name=small', 'https://pbs.twimg.com/media/E8uSqAEVIAYg2xh?format=jpg&name=small']",https://twitter.com/clatte320/status/1426394961881165827
투명라면,@00ramyeon,2021-08-12T16:42:37.000Z,"투명라면
@00ramyeon
·
8월 13일","사토타카 타카오가 잡혀가서 사토가 구하러 가는 거
[사토타카] 타카오 잡혀가서 구하러 가는 사토
[죄송해요 도망가주세요]게임 화면 위로 문자 메세지의 내용이 떴다가 화면 위쪽으로 사라졌음. 아직 게임이 끝나지 않았기 때문에 우선 스코어를 올리는 것에 집중하며 손가락을 움직이던 사토가 어제 건물 앞을 서성거리던 경찰들을 떠올렸음. 사복 경찰이었으나 귀에 꽂힌 인이어나 주변을 경계하는 몸짓이 딱 경찰의 그것이었기 때문에 의심할 여지가 없었음. 얼마 전...
tu-ra00.postype.com
24
25",,,24,25,['https://pbs.twimg.com/card_img/1439977994852864006/elY0zJXS?format=jpg&name=small'],https://twitter.com/00ramyeon/status/1425860285772963841
우바,@uvamilk1,2021-08-15T14:38:31.000Z,"우바
@uvamilk1
·
8월 15일","그래서 건오가 건전오랄이야?
4
7
27",,4,7,27,[],https://twitter.com/uvamilk1/status/1426916217915265028
