UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
*,@EunJagnes,2021-08-15T00:43:28.000Z,"*
@EunJagnes
·
8월 15일","사노라면 
이런 날..
동트는 
하늘을 마중하며..
4
12",,,4,12,"['https://pbs.twimg.com/media/E8ytmGjVkAM8uHV?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ytmimUcAAxqvM?format=jpg&name=360x360']",https://twitter.com/EunJagnes/status/1426706069401731072
"(슴부, 眉泉江",@micheangang,2021-08-29T13:54:12.000Z,"(슴부, 眉泉江
@micheangang
·
8월 29일","바닷가에 매어둔
작은 고깃배
날마다 출렁거린다
풍랑에 뒤집힐 때도 있다
화사한 날을 기다리고 있다
머얼리 노을 저어 나가서
헤잉웨이 바다와 노인이 되어서
중얼거리려고

살아온 기적이 살아갈 기적이 된다고
사노라면
많은 기쁨이 있다고

김종삼   <어부
4",,,,4,['https://pbs.twimg.com/ext_tw_video_thumb/1431978469303324673/pu/img/jLvh0rJi43CwTnQ5.jpg'],https://twitter.com/micheangang/status/1431978494678867978
둠 비다래,@vcsdrt,2021-08-03T06:59:59.000Z,"둠 비다래
@vcsdrt
·
8월 3일","그냥 사노라면 언젠가는 수준으로...
1",,,,1,[],https://twitter.com/vcsdrt/status/1422452166648733701
믿을 수 있는! 전남오픈마켓,@jnopen,2021-08-12T01:45:36.000Z,"믿을 수 있는! 전남오픈마켓
@jnopen
·
8월 12일","즐거운 라이브 소식입니다~~^^

-다수 홈쇼핑 매진기록!

-6시 내고향, 생생정보, 좋은아침 
 mbn사노라면 등 다수 tv방영제품

 -100%국내산 재료

-전통방식 그대로 유지

-3년 숙성시킨 깊은맛

일시 : 2021-08-12(오후3시)

쇼핑라이브 : https://view.shoppinglive.naver.com/lives/216099
  
#된장 #강진된장 #간장
1",,,,1,['https://pbs.twimg.com/media/E8jfDNcVgAUYZhC?format=png&name=small'],https://twitter.com/jnopen/status/1425634540853161992
최도도,@hA6PCaAYG6DnLqW,2021-08-18T06:16:48.000Z,"최도도
@hA6PCaAYG6DnLqW
·
8월 18일","울탁깅이 이러고 춤출때가 엇그제 같은데 넘 사랑스럽고 귀여워 

@daer0127 by @easy_repost_app
----------------------------------------
#귀욤탁 
#영탁
#영탁#영탁사노라면#영탁이불
#영탁불쑥tv https://instagram.com/p/CStJLt9lHcx/?utm_medium=twitter…
1",❤,,,1,[],https://twitter.com/hA6PCaAYG6DnLqW/status/1427877119061905417
PEACEFUL,@joyraon486,2021-08-24T05:42:13.000Z,"PEACEFUL
@joyraon486
·
8월 24일","#좋은글

사노라면 무수히
크고 작은 #파도를 만납니다.

이럴 때 우리는 분노와 슬픔,
좌절, 아픔, 배신감으로 
주체할 수 없도록 치를 떨게도 합니다.

“그럴 수 있나?...”끓어오르는 분노와 미움, 
그리고 배신감으로 치를 떨게 됩니다.

혈압이 오르고 얼굴은 붉어지고
1
15",,1,,15,[],https://twitter.com/joyraon486/status/1430042742579625984
닌쟈혜성은온다,@MONGMONGAD,2021-08-13T05:54:17.000Z,"닌쟈혜성은온다
@MONGMONGAD
·
8월 13일","아
시발 
어ㅠㅠ
내 플리에 있는 노래 너무 좋길래 어 이게뭐지 하고 봤는데
제목이 사노라면 이고
가수 이름이 우효임
사노라면-우효
이런거임
나도모르게
사노라면 우효www
ㅇㅈㄹ함 아휴또라이",,,,,[],https://twitter.com/MONGMONGAD/status/1426059515179388929
내맘대로한구절봇,@ILoveUOlympe_,2021-08-26T07:20:59.000Z,"내맘대로한구절봇
@ILoveUOlympe_
·
8월 26일","사는 것이 사람의 본뜻이면
오오 그러면 내 몸에는
다시는 애쓸 일도 더 없어라
사노라면 사람은 죽는 것을.
- 사노라면 사람은 죽는 것을, 김소월",,,,,[],https://twitter.com/ILoveUOlympe_/status/1430792374045712391
Jiminsea ⁷ ᴹʸᵁⁿᶦᵛᵉʳˢᵉ,@designpower1234,2021-08-18T13:16:04.000Z,"Jiminsea ⁷ ᴹʸᵁⁿᶦᵛᵉʳˢᵉ
@designpower1234
·
8월 18일","뜨거운한낮을지나제법선선해진바람등을가볍게떠미는이밤
한숨쉬어갈수있기를
어디든상관없이함께인지금마음을맞잡고둥글게둥글게걸어가볼까살아온기적이살아갈기적이되는것처럼
사노라면많은기쁨이있을테니
무언가시작하기좋은날들도가득하길
@BTS_twt
당신의오늘도안녕하길바라요
1",🌌 😗 😊 ✨ 🥰 🌱 💚 🤍 ❣ 😊 👋,,,1,"['https://pbs.twimg.com/media/E9E2oIyVIAMQ8c0?format=jpg&name=small', 'https://pbs.twimg.com/media/E9E2oIvVkAAWu2U?format=jpg&name=small']",https://twitter.com/designpower1234/status/1427982630448889856
젊은 mia,@trueseon,2021-08-25T16:17:23.000Z,"젊은 mia
@trueseon
·
8월 26일","사노라면 언젠가는
밝은 날도 오겠지
흐린 날도 날이 새면
해가 뜨지 않더냐
~~~~
쩨쩨하게 굴지 말고 가슴을 쫙 펴라
내일은 해가 뜬다
내일은 해가 뜬다.

새파랗게 젊지 않아 밑천이 떨어졌네. 
잘라내기.
2",,,,2,[],https://twitter.com/trueseon/status/1430564977266487297
arttak,@8adTdEEwd3AWShb,2021-08-16T09:32:06.000Z,"arttak
@8adTdEEwd3AWShb
·
8월 16일","사노라면 (내일은 해가 뜬다) 감상 인증했어요!

 http://kko.to/uo60Lc4fj
by 멜론아지톡",,,,,['https://pbs.twimg.com/media/E85wMWbUUAI3Neg?format=jpg&name=small'],https://twitter.com/8adTdEEwd3AWShb/status/1427201490431594497
April,@shlove47,2021-08-04T11:44:59.000Z,"April
@shlove47
·
8월 4일","사노라면 언젠가는
밝은날도 오겠지",,,,,[],https://twitter.com/shlove47/status/1422886278769496065
김종삼,@Jongsam_bot,2021-08-25T06:09:02.000Z,"김종삼
@Jongsam_bot
·
8월 25일",바닷가에 매어 둔/ 작은 고깃배/ (...)/ 풍랑에 뒤집힐 때도 있다/ 화사한 날을 기다리고 있다/ 머얼리 노를 저어 나가서/ 헤밍웨이의 바다와 노인이 되어서/ 중얼거리려고// 살아온 기적이 살아갈 기적이 된다고/ 사노라면/ 많은 기쁨이 있다고,,,,,[],https://twitter.com/Jongsam_bot/status/1430411880468680704
외로워봇,@sabishi_bot,2021-08-01T18:45:10.000Z,"외로워봇
@sabishi_bot
·
8월 2일","못 잊어 생각이 나겠지요/그런대로 한 세상 지내시구려/사노라면 잊힐 날 있으리다//못 잊어 생각이 나겠지요/그런대로 세월만 가라시구려/못 잊어도 더러는 잊히오리다 - 김소월, '못잊어'
1",,,,1,[],https://twitter.com/sabishi_bot/status/1421904856906801152
