UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
유이,@Tsuya94,2021-08-14T09:10:17.000Z,"유이
@Tsuya94
·
Aug 14","주술회전 카페 아크릴 스탠드 팔아요

일괄로 사시면 판다는 덤으로 드려요..
미개봉입니다 뭐 나왔는지 확인만했어요
!메구미랑 교환 가능합니다!
배송비 포함입니다

토게 이누마키토게 판다 마히토 주술회전 양도 아크릴 주술회전 카페 아크릴 스탠드 제발 사주세요
2
2",❤ ❤,2,2,,['https://pbs.twimg.com/media/E8vYBHqUYAcT0AW?format=jpg&name=small'],https://twitter.com/Tsuya94/status/1426471226873024513
거래계,@01IjrXqysMosOU7,2021-08-12T06:43:00.000Z,"거래계
@01IjrXqysMosOU7
·
Aug 11","주술회전 팝퍼블 카페
트레이딩 아크릴 스탠드 교환/양도 합니다~
*교환*
저: 이타도리 / 마히토 / 판다 / 후시구로
: 이누마키 / 고죠 / 이바라 / 마키
일부 교환 가능합니다. 1대1 교환만 가능합니다.

양도 원하신다면 개당 0.8에 가능합니다. 
디엠 부탁드립니다.
7
1
1",🙏,7,1,1,"['https://pbs.twimg.com/media/E8kjGxWVUAUUkL2?format=jpg&name=small', 'https://pbs.twimg.com/media/E8kjHqBVUAQGU6B?format=jpg&name=360x360']",https://twitter.com/01IjrXqysMosOU7/status/1425709386391953409
,@acidification__,2021-08-06T09:24:37.000Z,"@acidification__
·
Aug 6","#우리배는_식도로만_가
#박성화_세입컷챌린지

홍대 자유인들 카페
홍대 정문 셋길에 숨겨진 분위기 왕 좋은 카페이다! 칵테일 맥주 등도 판다 (여기 칵테일 맛있다)근데 너무 구석이라 사람이 늘 많진 않다 가격이 분위기 좋은 카페 치고 싸다 그리고 공부하기 좋음!
1
2
11",🧇 😇,1,2,11,"['https://pbs.twimg.com/media/E8GOg4OUcAMCOEO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8GOjeCUUAM-pr4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8GOiEfVkAE4uMv?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8GOlSZVEAkekhM?format=jpg&name=360x360']",https://twitter.com/acidification__/status/1423575731896872965
블쟈 물갈이 원하는 레인유리,@RainYuri0907,2021-08-02T08:31:56.000Z,"블쟈 물갈이 원하는 레인유리
@RainYuri0907
·
Aug 2","카페판다
Sell cafe
1",,,1,,['https://pbs.twimg.com/media/E7xcJm0VkAQEO1B?format=jpg&name=small'],https://twitter.com/RainYuri0907/status/1422112919102246915
롱롱롱,@amamaki1230,2021-08-26T05:49:32.000Z,"롱롱롱
@amamaki1230
·
Aug 25",주술회전 카페… 판다다음엔 쥬고…. 다시는 랜덤안한다…,,,,,['https://pbs.twimg.com/media/E9sdJQ9VgAE4K-X?format=jpg&name=small'],https://twitter.com/amamaki1230/status/1430769360474230791
루트,@dekinaii_ko,2021-08-10T14:19:23.000Z,"루트
@dekinaii_ko
·
Aug 10","건대가고싶다 건대판다카페에서 수플레팬케이크 먹고싶어
1",,,,1,[],https://twitter.com/dekinaii_ko/status/1425099462028976137
선이,@sunrain_02,2021-08-12T16:57:07.000Z,"선이
@sunrain_02
·
Aug 12","아 오빠가 엔딩음악 판다고 침카페에 글 올린거 짤착맨에 영상으로 올라왔네ㅋㅋㅋㅋㅋㅋㅋ
들린다 들려
이 클립이 나온 영상: https://youtu.be/2Jo8yrrVCbE【짧은 클립, 짤착맨】 재생목록: https://youtube.com/playlist?list=PLrTC7IMrpfqKB1TQeWySxM4H7U6BSTb9R
youtube.com",▶ ▶ ▶ ▶,,,,[],https://twitter.com/sunrain_02/status/1425863931529027584
0nly,@tYpUcGj6kgq4qVX,2021-08-27T08:24:12.000Z,"0nly
@tYpUcGj6kgq4qVX
·
Aug 27",주술회전 카페  미쳤다 미쳤어 두명이서 나란히 판다뽑은거 실화냐,,,,,['https://pbs.twimg.com/media/E9yKIXxVgAIzyEZ?format=jpg&name=small'],https://twitter.com/tYpUcGj6kgq4qVX/status/1431170670218473479
𖤐 히에루 𖤐,@Hi_e_ru,2021-08-15T07:38:15.000Z,"𖤐 히에루 𖤐
@Hi_e_ru
·
Aug 15",술집말고 pc카페에서도 판다네,,,,,[],https://twitter.com/Hi_e_ru/status/1426810452516823044
akira,@seakiras,2021-08-07T09:33:02.000Z,"akira
@seakiras
·
Aug 7","진짜 오랜만에 절친 만나서 카페...♡ 집 앞 카페인데 빵도 맛있구 브런치도 판다 다음 주에 혼자 공부할 거 챙겨와서 브런치 먹어봐야지
The following media includes potentially sensitive content. Change settings
View
9",,,,9,[],https://twitter.com/seakiras/status/1423940235637837824
거래계,@dandelion9711,2021-08-20T03:58:38.000Z,"거래계
@dandelion9711
·
Aug 19","주술회전 카페 굿즈 팝니다(준미포)
주술회전 카페 팝퍼블 책갈피 스페셜 특전
노바라 마히토 게토 죠고 마키 이누마키 판다
1
1",,1,,1,"['https://pbs.twimg.com/media/E9NKNO8VgAUpNMn?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9NKNO-VkAIh0UD?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9NKNO7VoAIfh7n?format=jpg&name=360x360']",https://twitter.com/dandelion9711/status/1428567123631116288
거래계,@annsuta_oh,2021-08-02T13:02:41.000Z,"거래계
@annsuta_oh
·
Aug 2","주술회전 굿즈 판매, 주술회전 팝버블 콜라보카페 굿즈 판매. 나나미 코롯타, 판다, 노바라, 마히토 코스터. 고죠 음료텍(?) 일괄 6000원.
1
1",,1,1,,['https://pbs.twimg.com/media/E7yaIhxUYA4sXRA?format=jpg&name=small'],https://twitter.com/annsuta_oh/status/1422181056740945921
