UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
크와앙,@kwaang_71,2021-08-29T09:03:43.000Z,"크와앙
@kwaang_71
·
8월 29일","툥이와 툥프들의 비밀공간
2
181
291",✈,2,181,291,"['https://pbs.twimg.com/media/E98mXNaVIAA4yYY?format=jpg&name=small', 'https://pbs.twimg.com/media/E98mXNaVUAEXK3L?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E98mXNbUYAIV0Fa?format=jpg&name=360x360']",https://twitter.com/kwaang_71/status/1431905392775208972
김뽀삐,@_Ppopi,2021-08-07T07:10:58.000Z,"김뽀삐
@_Ppopi
·
8월 7일","얀쟝의 비밀공간

#MDD #MDDはいいぞ
6
64",,,6,64,['https://pbs.twimg.com/media/E8K5k7xVcAAow-L?format=jpg&name=small'],https://twitter.com/_Ppopi/status/1423904482409123850
0급ᴴˢᴷ,@HSK0level,2021-08-18T03:27:46.000Z,"0급ᴴˢᴷ
@HSK0level
·
8월 18일","채널A 월드 드라마 스페셜 마천대루 시청 
'인간은 인간관계를 통해 비로소 인간이 될 수 있지만 표면적일 뿐. 저마다 장막 뒤에 비밀 공간을 숨기고 있다.'
16부작으로 텅쉰작품이고 5월에 채널A 방영 후 왓챠와 티빙에서 시청가능하며 왓챠에서 시청할 경우 못생긴 로고가 없다는 장점이 있습니다.
1
16
40",,1,16,40,['https://pbs.twimg.com/media/E9Cv3Q0VgAQpRoD?format=jpg&name=small'],https://twitter.com/HSK0level/status/1427834581705576448
머랭,@0_PURELILY_0,2021-08-20T06:49:09.000Z,"머랭
@0_PURELILY_0
·
8월 20일","저랑 같이 이 미친 망사랑 헤테로 해주세요세기의 천재이자 영웅인 두 쿠키의 망사랑 이야기를... 어릴 적엔 둘만의 비밀공간에서 마법 연구를 하다가 커서는 서로가 서로에게 1순위가 아니어서 사이가 비틀어졌고 결국에는 적이 되어버린 이루어질 수 없는 사랑.
3
7",,,3,7,"['https://pbs.twimg.com/media/E9NxQOkUcAE6z9v?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9NxQOnVkAAdn2e?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9NxQOjUUAgky3l?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9NxQOmVUAMtOdb?format=jpg&name=360x360']",https://twitter.com/0_PURELILY_0/status/1428610037606354950
mot,@mukmot_zzang,2021-08-23T08:06:56.000Z,"mot
@mukmot_zzang
·
8월 23일","동명동 카페 일다
빈티지한 인테리어, 주택 건물 곳곳에 비밀 공간처럼 위치한 좌석 테이블들. 
광주 여행을 오는 이들에게 추천하고 싶은 카페.
케이크나 음료 맛은 그저 그랬음
1
5
1",,1,5,1,"['https://pbs.twimg.com/media/E9df0wxVoAMq8T2?format=jpg&name=small', 'https://pbs.twimg.com/media/E9df0wwVcAQqFOR?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9df0wxVkAQQLEc?format=jpg&name=small', 'https://pbs.twimg.com/media/E9df0wyVIKYufCv?format=jpg&name=small']",https://twitter.com/mukmot_zzang/status/1429716775382380551
자유로운베라쓰,@ABC910205,2021-08-03T13:30:11.000Z,"자유로운베라쓰
@ABC910205
·
8월 3일","물고기 보고 멍때리기
불멍보다 물멍이 좋더라

나만 아는 비밀공간들
#로망트 #비밀",😉,,,,"['https://pbs.twimg.com/media/E73qAo3WEAUxo_H?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E73qAodVkAIaC3J?format=jpg&name=360x360']",https://twitter.com/ABC910205/status/1422550365380116481
인정,@_admit__,2021-08-10T16:44:02.000Z,"인정
@_admit__
·
8월 11일",산타비밀공간 트랙마스터는 땄는데 고급기술 쓰는게 너무 어렵다,,,,,['https://pbs.twimg.com/media/E8cZgyIUYAMs752?format=jpg&name=small'],https://twitter.com/_admit__/status/1425135866565914633
새우칩,@shrimpchip_art,2021-08-03T06:09:33.000Z,"새우칩
@shrimpchip_art
·
8월 3일","연인 로건리의 차를 폭파시킨 뒤 위중한 상태의 그를 집 비밀공간에 감금시킨 심수련... 재미있네
4
23",🌸 😇,,4,23,[],https://twitter.com/shrimpchip_art/status/1422439476765224964
,@FF14_TC,2021-08-03T12:02:30.000Z,"@FF14_TC
·
8월 3일","오랜만의 하우징 커미션 결과물과 함께 트윗합니다! 흰색에 우드계열 가구를 동원한 가정집으로 진행하였으며, 다락방 같은 비밀공간 추가를 원하셔서 곳곳에 특별한 공간들을 넣었습니다! 신청해주셔서 감사합니다!
[메인 : 하얀 눈색 / 포인트 : 과수원 흙색 ]
1:40
412 조회수
1
2
1",🏠 🏡,1,2,1,[],https://twitter.com/FF14_TC/status/1422528297225768964
리샘,@Liseam_peace,2021-08-17T17:53:37.000Z,"리샘
@Liseam_peace
·
8월 18일","은사반지 들어잇던 비밀공간까지도 만들어놧엇는데..
3",🎐,,,3,[],https://twitter.com/Liseam_peace/status/1427690090365480960
Hit_Hit,@1207_1110,2021-08-24T12:50:09.000Z,"Hit_Hit
@1207_1110
·
8월 24일","그리고 이 공간 뭔가 둘만의 비밀공간 같고 그러네~ 옥상도 아니고 건물 중간에 나있는 문이라 사람 아무도 안오는 그런 공간같고 그러네~ 좁아보여서 둘 이상 못들어갈거 같네~ 연습하다가 눈빛 교환하고 시간차로 나가서 여기서 만날거같네~
6",,,,6,['https://pbs.twimg.com/media/E9jqNYsVUA4dYeJ?format=jpg&name=small'],https://twitter.com/1207_1110/status/1430150437173284871
지은호,@Eunho_Ji23,2021-08-13T12:08:25.000Z,"지은호
@Eunho_Ji23
·
8월 13일","아마 그럼 간 곳이 Authorized Service Center였을 가능성이 농후하네요. 애플 공식은 아이폰이나 애플 기기로 책상 비밀공간을 열거나 결제를 받거나 다 해서 갤럭시워치를 찰 수 있을 리가 없을뿐더러 애플에서 싸게 주는 걸로 알고 있음….
겸둥이tv
@5MYL0V3
 · 8월 12일
어이없었던 점
애플워치 고장나서 애플 서비스센터 갔는데
직원들 다 갤럭시워치 차고 있었음..
얼탱
이 스레드 보기
11
4",,,11,4,['https://pbs.twimg.com/profile_images/1438493546294636549/_b4kv5xl_mini.jpg'],https://twitter.com/Eunho_Ji23/status/1426153666487021570
혁부,@0724DW,2021-08-01T13:51:59.000Z,"혁부
@0724DW
·
8월 1일",오 비밀공간,,,,,[],https://twitter.com/0724DW/status/1421831077232975878
점잖은 고양이,@saramimeonjeoda,2021-08-03T06:53:43.000Z,"점잖은 고양이
@saramimeonjeoda
·
8월 3일","책장 뒤 문 열자 비밀공간에 남녀 11명 다닥다닥 숨어
 https://news.v.daum.net/v/20210803154527675…
고양 덕양구, 유흥주점 심야 불법영업 단속..13명 적발
책장 뒤 문 열자 비밀공간에 남녀 11명 다닥다닥 숨어
(고양=연합뉴스) 노승혁 기자 = ""빨리 나와요. 한 사람씩 나오세요."" 경기 고양시 덕양구에서 집합 금지 명령을 위반하고 심야 불법영업을 하던 유흥주점 업주와 손님, 종업원이 현장에서 적발됐다. 3일 덕양구에 따르면 구의 이번 특별 점검은 지난달 30일 오후 10시께 이뤄졌다. 수도권 거리두기 방역지침에 따라 운영을 중단해야 할 유흥주점이 문을 닫은 채
news.v.daum.net",,,,,[],https://twitter.com/saramimeonjeoda/status/1422450589854617602
샛별 티비,@wUqfsalNcSZsVTn,2021-08-07T15:55:59.000Z,"샛별 티비
@wUqfsalNcSZsVTn
·
8월 8일","#스포주의
저두 괜히 생각나서 집에 비밀공간 잇을지 망상 중이에요…
그향 | D-day
@geuhyang
 · 8월 8일
#스포주의
#스포주의
아 이제 뜰님 오늘영상 다 봤는데
은근 무서워서
밤에본걸 후회하는 중이에요
쳇 내일 아침에 볼걸
이 스레드 보기
1
1",,1,,1,['https://pbs.twimg.com/profile_images/1442075980139413505/ft-1X3-e_mini.jpg'],https://twitter.com/wUqfsalNcSZsVTn/status/1424036608118976517
𝑀𝑜𝑘𝑟𝑦𝑢𝑛 ,@mokryun_,2021-08-03T03:18:22.000Z,"𝑀𝑜𝑘𝑟𝑦𝑢𝑛 
@mokryun_
·
8월 3일","태주화연 모음 - 비밀공간 https://posty.pe/e6e8t0  #postype
태주화연 모음
floweryeonforhr.postype.com",,,,,['https://pbs.twimg.com/card_img/1439977994852864006/ysjDfxLs?format=jpg&name=small'],https://twitter.com/mokryun_/status/1422396396779446276
나나,@menuna_nana,2021-08-28T04:06:12.000Z,"나나
@menuna_nana
·
8월 28일","인터뷰어 진격의 비덕ㅋㅋㅋㅋㅋㅋㅋ
Q : 미실 사당에 비밀 공간이 있어서 시위부령 알천의 눈을 피해 덕만과 비담이 초야를 치르는 게 아니고, 십 년 동안 손만 잡은 거네요.
Q : 그럼 왜 비담은 폐하의 침실에 불쑥불쑥 들어가는 거예요? 거 참 웃긴 놈일세.
Q : 9년 동안 정말 아무 일도 없었나요?
나나
@menuna_nana
 · 8월 28일
 덕만과 비담은 정말 손만 잡았나?

Q : (취조하듯) 결국 덕만이는 지병으로 죽는 거네요. 임신이 아니고.
朴 : 예, 임신 아닙니다!
Q : 미실 사당에 비밀 공간이 있어서 시위부령 알천의 눈을 피해 덕만과 비담이 초야를 치르는 게 아니고, 십 년 동안 손만 잡은 거네요.
이 스레드 보기
1
4",🥀 🥀 ▶,1,,4,['https://pbs.twimg.com/profile_images/1433829656793272321/v3cgtDHk_mini.jpg'],https://twitter.com/menuna_nana/status/1431468129050238976
