UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
헤로인,@Miq_900,2021-08-04T03:45:18.000Z,"헤로인
@Miq_900
·
8월 4일","실컷 만지게 놔두고서 말리는척하지마라 킹받으니가
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
딴사람이엇음 팔 뻗는 순간 지랄햇을거면서.... 개킹받어
GIF
30
88",,,30,88,[],https://twitter.com/Miq_900/status/1422765563751780352
slow민초𝐵𝒜𝒟 𝐿𝒪𝒱𝐸,@5HINEE_OJKMT_25,2021-08-28T15:21:56.000Z,"slow민초𝐵𝒜𝒟 𝐿𝒪𝒱𝐸
@5HINEE_OJKMT_25
·
8월 29일","이번 컨셉 진짜뭐야? 우주선그런거야?
버튼은 뭘까 버튼누르고나서 머리를 부여잡은걸보면 좋지않은상황을 뜻하는건가? 이게순한맛이면 마라맛은 기절킹이겠는데∩( ´∀` )∩
1
5",💫 💝,1,,5,"['https://pbs.twimg.com/media/E94zVSIVIAIKsbL?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E94zVr7VcAQ_7Jx?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E94zVhvVQAo9cAN?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E94zV2uUcAA6Slf?format=jpg&name=360x360']",https://twitter.com/5HINEE_OJKMT_25/status/1431638183838502912
훠궈,@orange_pangpang,2021-08-15T18:16:53.000Z,"훠궈
@orange_pangpang
·
8월 16일","형원아 잘자ㅜㅜ((너는 너무너무 귀여워 ㅜㅡㅜ 
날씨야 오늘  눈치껏 덥지마라 아가 킹받는다ㅎ
GIF
1",,,,1,['https://pbs.twimg.com/tweet_video_thumb/E82el6MVUAACdNU.jpg'],https://twitter.com/orange_pangpang/status/1426971170692210693
보리땅,@bites_veri,2021-08-11T08:35:58.000Z,"보리땅
@bites_veri
·
8월 11일","고삼을 얕보지 마라
오늘도 킹받은 강미니
3",,,,3,['https://pbs.twimg.com/ext_tw_video_thumb/1425375294966304771/pu/img/ABNnUZDxHYaZwyvi.jpg'],https://twitter.com/bites_veri/status/1425375428269678594
이도하,@narang_ei_hon,2021-08-12T13:44:37.000Z,"이도하
@narang_ei_hon
·
8월 12일","니 진짜 돌았냐??? 봐도봐도 안 믿기네… ㅁ개빡처 쳥려야……..니 진짜 코는 또 왜 붉으스름한건데 진짜 개빡치게……..아 손목 힘줄 뭔데 꽁꽁 싸매놓고 목 손목 이딴 데만 살 보이는 거 뭔데 니 진짜 사람 킹받게 하지 마라……..
1
1",,1,1,,['https://pbs.twimg.com/media/E8mDn0HUYAIvPah?format=jpg&name=900x900'],https://twitter.com/narang_ei_hon/status/1425815486499938320
탕오이,@CucumberRamen,2021-08-13T12:42:37.000Z,"탕오이
@CucumberRamen
·
8월 13일","킹받게하지마라
2",🍮 🍮,,,2,['https://pbs.twimg.com/media/E8q_B_KUcAkGS5y?format=jpg&name=medium'],https://twitter.com/CucumberRamen/status/1426162275317010432
채땅콩,@6W00_6,2021-08-12T04:56:34.000Z,"채땅콩
@6W00_6
·
8월 12일","김민준 인스타 보고있는데 이 사람들 왤케 귀엽냐 킹받게 하지 마라 ㅜㅜ ㅜㅜ ㅜㅜㅜ
1
10",,1,,10,['https://pbs.twimg.com/media/E8kKxBxVkBEejwK?format=jpg&name=small'],https://twitter.com/6W00_6/status/1425682599427461122
백수정,@gauze_62045,2021-08-18T02:47:34.000Z,"백수정
@gauze_62045
·
8월 18일","아무거나 맛있었던 거 

서울 (강남지역 전혀 모름)
한성대_명문막국수 
안국_노티드 
동대문_베트남쌀국수 포항, 룸비니, 동묘가라지, 사마르칸트
신설동_킹수제만두/마라훠궈, 학술적연구소, 로터리식탁, 버터룸
성신여대_ 애정마라훠궈/샹궈, 블루페퍼
1
24
81",🥊,1,24,81,[],https://twitter.com/gauze_62045/status/1427824465702838274
백수정,@gauze_62045,2021-08-18T02:16:18.000Z,"백수정
@gauze_62045
·
8월 18일","신설동 킹수제만두에서 마파두부 드세요
마라마파두부 굳
2
63
78",🥊,2,63,78,[],https://twitter.com/gauze_62045/status/1427816596538421255
겜하는 츠루넬,@game_syshin97,2021-08-20T15:01:41.000Z,"겜하는 츠루넬
@game_syshin97
·
8월 21일","마라... 진짜... 하 데1 테이큰킹에서 그 마라 시네마틱 보면 마라 과몰입러되는데
1
5",,1,,5,[],https://twitter.com/game_syshin97/status/1428733985694253058
