UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
문송보는별리,@sorryiammoongua,2021-08-04T08:15:15.000Z,"문송보는별리
@sorryiammoongua
·
Aug 4","음.... 대령으로 나온건 대위랑 소령이랑 짬뽕의 결과인지 아니면 작가님이 얘를 대령까지 꼽겠다고 생각을 해놓으신건지..... 모르겠다......
2",,,,2,[],https://twitter.com/sorryiammoongua/status/1422833499606700034
신정애,@suhak1101,2021-08-25T09:56:05.000Z,"신정애
@suhak1101
·
Aug 25","노포의 영업비밀 - 인천 신성루 74년 힙포 중식집 자춘걸, 짬뽕 (출처 : 세콰노의 .. | 블로그)
노포의 영업비밀 - 인천 신성루 74년 힙포 중식집 자춘걸, 짬뽕
#노포의영업비밀 #인천신성루 #인천중식집 #자춘걸 노포의 영업비밀 74년 인천 중식집 신성루 그제 저녁 첫...
m.blog.naver.com",,,,,[],https://twitter.com/suhak1101/status/1430469017072848897
The 가사번약봇,@gasabunyuk_bot,2021-08-02T20:09:41.000Z,"The 가사번약봇
@gasabunyuk_bot
·
Aug 2","http://youtu.be/uxgYCPTsgY4
식목일, 사막옹달샘, 트래비스, 비행대장장이들이 부른 노래 짬뽕 리믹스입니다! 신박해요. 비슷한 예로는 열반과 뽀샵효과의 리믹스 Smells like Song 2가 있죠",,,,,[],https://twitter.com/gasabunyuk_bot/status/1422288513437896704
잉,@Odak9_,2021-08-02T05:28:36.000Z,"잉
@Odak9_
·
Aug 1","세상이 나를 속이는 것 갓다
이거대한 하나의 바지른 동인지...
근데내취향 짬뽕님이만드신것같애
도리벤제대로 보기전에 짬뽕님 신바지연성부터 봐버려서...
1",,,,1,"['https://pbs.twimg.com/media/E7wyM1-VcAEflxv?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7wyM19UcAII4Bw?format=jpg&name=360x360']",https://twitter.com/Odak9_/status/1422066783121408009
my인생 개선프로젝트,@yanadooooooooo,2021-08-15T12:40:08.000Z,"my인생 개선프로젝트
@yanadooooooooo
·
Aug 15","21.08.15 
오늘은 광복절. 오늘의 대한민국이 있기까지 희생하시고 힘써주신 모든 분들께 감사드립니다. 그리고 오늘은 치팅데이~짬뽕밥인데 건더기 위주로 먹고 흑돼지 삼겹살까지 조져줬다 역시 고기짱이야 매운거 짱이야오늘의 발견 보석바 상큼하니 개존맛 꼬북칩 초코는 내마음속 0순위",😋 👍 ❤,,,,"['https://pbs.twimg.com/media/E81RoXKVUAYBeie?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E81RoXLVUAEAqW6?format=jpg&name=360x360']",https://twitter.com/yanadooooooooo/status/1426886424050077699
진님_,@Jinbaby_cos,2021-08-08T16:25:30.000Z,"진님_
@Jinbaby_cos
·
Aug 8","[나는 무슨 신(神)일까?]
진님님은 
항상 배고픈 ""허기의 신(神)""입니다.
http://goo.gl/WwlvAa

짬뽕 시킨거..티나나
3",🐥 🐥,,,3,[],https://twitter.com/Jinbaby_cos/status/1424406426441551878
,@x_exs_es,2021-08-06T15:39:32.000Z,"@x_exs_es
·
Aug 6","커뮤같이열사람 구함요 무논막현대퓨전동양축제 4일  현대짬뽕 사극물 비스무리한게 보고싶지않은가?  사당으로 아.아 먹으면서 싱싱이타고 출근하는 신 이거나 오니거나 요괴거나....암튼 님 캐 가 부괄로 올 수 있는 절호의 기회
2
4",❌,2,,4,[],https://twitter.com/x_exs_es/status/1423670079208652801
일렌,@Ilen_elhinora,2021-08-12T08:14:04.000Z,"일렌
@Ilen_elhinora
·
Aug 12","모두의 익명 질문을 모집 중!

최근 답변한 질문
● 젤드의 어떤면이 좋으신가요?…
● 젤리의 사랑스러운 면들을 5…
● 젤리를 처음 본날이 언제인가…
● 짬뽕vs짜장면…
#질문상자 #익명질문모집중
익명들을 버려!일렌 질문 상자입니다
일곱개의 대죄 과타구/그림러
peing.net",,,,,['https://pbs.twimg.com/card_img/1439378850295672833/tM8OjUEA?format=jpg&name=small'],https://twitter.com/Ilen_elhinora/status/1425732302068277249
애송이..,@horriblesunday,2021-08-18T13:51:01.000Z,"애송이..
@horriblesunday
·
Aug 18","곡 쓰는 남자들은 짬뽕충이어야 함
왜냐면
새벽에 작업실 소파에 구겨져서
담요 덮고 자는 여친 등지고 신디 찍엇으면
다음날 아침 삼선짬뽕2+미니탕슈육
세트 시켜서 먹고 택시태워보내는게
하나의 패키지이기 때문
13
4",,,13,4,[],https://twitter.com/horriblesunday/status/1427991426797772804
기매유,@gimaeyu309,2021-08-04T16:06:31.000Z,"기매유
@gimaeyu309
·
Aug 4","[ㅇㄷㅅㄹㅅㄹㅇㅋㅇㅍㄹㄷ] 방탄 노래 가사 맞추기
단체곡 혹은 3~4명 정도의 유닛곡 (솔로곡)
제이홉, 뷔 파트 아닌 거 같다함
스킷 X
곡 짬뽕 X
Be 앨범 X
신나는 곡 분위기
다마, 병, 마시티, 라고온, 쏘왓, 뱁새, 세이브미 아님
인더숲 주제가 X
일본어곡 X
영어가사 있지만 영어곡 X
1
2",❌,1,,2,[],https://twitter.com/gimaeyu309/status/1422952095062188037
리아나,@lianaira_f,2021-08-03T03:50:33.000Z,"리아나
@lianaira_f
·
Aug 2","내가 원신을 싫어하는 이유중 하나가 친구놈이 원신하길래 그거의 원본인 갓겜 젤다하자고 했더니(스위치 빌려준다고했음) 원신은 여러가지 짬뽕해서 젤다도 들어있는거니까 굳이 할필요 없을거같다고 말해서 어이털리는줄
1",🥇 🥇 🥇,,,1,[],https://twitter.com/lianaira_f/status/1422404494441074695
틈만나면 사고치는 애 뒷사람,@cxsvagAq,2021-08-28T15:58:41.000Z,"틈만나면 사고치는 애 뒷사람
@cxsvagAq
·
Aug 28","아무것도 안썼네
사실 쓸 말이 생각 안났어요

~코드의 설정과 티엠아 그외 이것저것
러닝후기~ 

짬뽕한 무언가를 써보겠습니다.
비프에도 안 써있는 이친구 과거가 궁금하지 않으신가요? 아니면 뭐 그렇군요
1
4",,1,,4,[],https://twitter.com/cxsvagAq/status/1431647433470054401
지금 이 순Gan 지금 여기,@v3rt3bra,2021-08-29T13:02:28.000Z,"지금 이 순Gan 지금 여기
@v3rt3bra
·
Aug 29",우리집 와기들은 연구소 썸띵에서 들락날락하는 생명의신(히포)도 있고 어느 행성의 전쟁을 들먹이는 존재(벡실롬&디뷔누스)도 잠깐 쉬고 가고 재앙이가 가끔 산책하러 악마들이랑 오기도 하고 망토랑 라바콘은 안애서 살고잇어요 다 보고싶어서 짬뽕 때려놓고 신나게 돌봐주는중 응응,,,,,[],https://twitter.com/v3rt3bra/status/1431965476813373441
