UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
|종료| 2021 아오미네 생일 컵홀더,@Happy_Daiki_Day,2021-08-27T11:14:53.000Z,"|종료| 2021 아오미네 생일 컵홀더
@Happy_Daiki_Day
·
Aug 27","현재 카페 내부 디스플레이를 모두 마쳤습니다! 내일 정식 이벤트 오픈 전 그 일부를 선공개합니다

사진엔 안담긴 아오미네로 이루어진 더 많은 전시 공간이 여러분을 기다리고 있사오니, 많은 기대바랍니다~!

#영원토록_푸르게_빛날_기적의_에이스
149
150",🥳,,149,150,"['https://pbs.twimg.com/media/E9yxM1IUUAMLaGN?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9yxM1KVEAUy4pt?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9yxM1HVQAQbErK?format=jpg&name=360x360']",https://twitter.com/Happy_Daiki_Day/status/1431213623540469766
Jasmine_705,@705_jasmine,2021-08-28T13:23:46.000Z,"Jasmine_705
@705_jasmine
·
Aug 28","#LOVE_JKDAY
@LUVSIGNAL901
 
오늘 일마치고 카페 그라운드27 다녀왔어용ㅎㅎ 왜 포카는 안찍었지ㅜㅜ친구랑 같이 가서 컵 두개 다 겟해서 좋았고 취소됐던 작년 부산 전시회 이렇게나마 볼수 있어서 좋았어용ㅠㅠ
1
5
17",🥰 🥰,1,5,17,"['https://pbs.twimg.com/media/E94YSDTUUA8RT3M?format=jpg&name=small', 'https://pbs.twimg.com/media/E94YSf6VkAckaaS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E94YS4qVkAM5mNH?format=jpg&name=360x360']",https://twitter.com/705_jasmine/status/1431608446948761600
윤슬,@jj_yunseul,2021-08-01T04:17:55.000Z,"윤슬
@jj_yunseul
·
Jul 31","어제 와인들, 특히 샹그리아와 스콘을 함께 파는 카페에 갔는데 창밖으로는 비가 쏟아졌고 카페 안에는 좋아하는 노래가 나오고 낮부터 분위기에 취하면서 아주 행복하게 7월 마무리했다.
2
2
50",,2,2,50,"['https://pbs.twimg.com/media/E7rYbVLVUAY52di?format=jpg&name=small', 'https://pbs.twimg.com/media/E7rYbVLVgAgAI7y?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7rYbVKVcAcVd-4?format=jpg&name=360x360']",https://twitter.com/jj_yunseul/status/1421686606222675968
 깅,@Yousa_ging,2021-08-18T13:06:50.000Z," 깅
@Yousa_ging
·
Aug 18","죽어도 카페는 같이 안 가주는 아저씨가 웬일로 같이 가자고 했더니 선뜻 수락하곤 카페까지 알아보고 말해준다. 그런데 그 모든 이유가 전 처 때문이었으면. 사실 민저씨가 먼저 찾아둔 그 카페, 전 처 직장이거든. 한동안 카페에 안 간 이유도 카페만 가면 전 처가 생각나서겠지.
GIF
6
5
52",,6,5,52,['https://pbs.twimg.com/tweet_video_thumb/E9E0eJQVUAEaNix.jpg'],https://twitter.com/Yousa_ging/status/1427980308511543297
저팔개,@I_am_8gae,2021-08-09T15:33:39.000Z,"저팔개
@I_am_8gae
·
Aug 9","빵이 맛있는 카페가 있어? 그러면 카페가아니라 배이커리를 해야하는거 아닌가? 직장동료에게 빵이 맛있는 카페가 있다는 얘기를 들은 서군... 커피를 사러 우연히 들른 그 카페의 주인이 본인의 완벽한 이상형이라는것을 깨닫기까지 3초도 안걸리는데! ...더보기
2
7",,,2,7,['https://pbs.twimg.com/media/E8W_0SOUYAgEvSD?format=jpg&name=small'],https://twitter.com/I_am_8gae/status/1424755763751256067
엠삐,@kim_actorfan,2021-08-15T10:50:44.000Z,"엠삐
@kim_actorfan
·
Aug 15","울 슬의 엔제리너스 협찬받았었나????
병원 안에 있는 카페가 그건가...?
1
2
16",,1,2,16,['https://pbs.twimg.com/media/E804mTCVgAEk-PJ?format=jpg&name=small'],https://twitter.com/kim_actorfan/status/1426858890990264335
데이,@loveinjp,2021-08-02T12:02:58.000Z,"데이
@loveinjp
·
Aug 2","카페 알바 언핋이 좋아서 그 카페만 맨날 가는 대딩 밝 보고 싶다 맨날 딸기 스무디만 먹다가 언핋이가 좋아하는 카페라떼 시키니까 그제서야 말 걸어주는 언핋이 

왜 오늘은 딸기 스무디 안 마셔요?

계속 딸기 스무디를 시켜야 했나 싶은.. 귀여운 밝이 보고 싶다
1
9",,,1,9,"['https://pbs.twimg.com/media/E7yMdnDVoAAJzvt?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7yMdnDVoAEJuXQ?format=jpg&name=small']",https://twitter.com/loveinjp/status/1422166030621630467
매실킹,@shilla_king,2021-08-01T06:36:36.000Z,"매실킹
@shilla_king
·
Jul 31","비 오는 날 홍대 스타벅스를 갔는데 그쪽의 온갖 카페를 가느라 정작 스벅은 안갔던 것 같아서 재밌었어..
30분만 대화하다가 헤어져도 꽤나 재밌는 친구랑 나오니까 비가 그쳤고
서점에 들렀다가 집에 오는 길에 엄마 마실 것을 사서 왔어 집앞에선 이 고양이를 만났어! 오랜만의 외출 끝~~
20",,,,20,['https://pbs.twimg.com/media/E7r4LKVVgAMH3lG?format=jpg&name=small'],https://twitter.com/shilla_king/status/1421721507919630336
비상,@mcu_bky,2021-08-30T08:06:44.000Z,"비상
@mcu_bky
·
Aug 30","한국에서 스파이더맨 해봤자
활동개시 하자마자 온갖 커뮤, 뉴스에 박제 싸불당함
신상 순식간에 털려서 동네에서 얼굴 들고다니기x
맘카페 상황
그 스파이더맨인가 고딩이라면서요?
ㄴ유명한 과학고 나왔다는데 공부 잘 하나봐요~
본인은 입 까딱 안 했는데 인터넷에는
""스파이더맨 공부법"" 돌아다님
1
83
86",,1,83,86,[],https://twitter.com/mcu_bky/status/1432253439262683137
SLLSLL,@uhle9ara,2021-08-20T12:42:33.000Z,"SLLSLL
@uhle9ara
·
Aug 20","싱글대디 cyj 숩준 하자
프리랜서 작가님인데 딸래미가 자꾸
아빠는 회사 안 가? 아빠는 나 유치원가면 모해?
라고 말해서... 애기한테 프리랜서를 이해 시키기는 어렵고
딸 유치원 보낼 때 같이 나와서 출근하는척 카페 가는 cyj..ㅋㅋㅋ
그리고 그 카페 알바생 csb이어야 함
2
33",,,2,33,['https://pbs.twimg.com/media/E9PCJJ0VcAEE3YL?format=jpg&name=small'],https://twitter.com/uhle9ara/status/1428698973934559237
