UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
인디드,@indeed0810,2021-08-07T10:16:14.000Z,"인디드
@indeed0810
·
8월 7일","드디어 가본 루비 떡볶이 ! 루비세트 ! 
옛날 떡볶이 맛에 튀김도 맛있고 사장님들이 너무 친절하심 
#호영씨_아아아아 
#허나아_밥먹자아
1
3
31",😄,1,3,31,['https://pbs.twimg.com/media/E8Lj-30VgAAwY1_?format=jpg&name=small'],https://twitter.com/indeed0810/status/1423951107991097345
로우니,@song_ssssssi,2021-08-12T23:23:33.000Z,"로우니
@song_ssssssi
·
8월 13일","남동공단떡볶이><
지난번의 실패를 토대로 다시 만들었다니 맛도 훨씬 나아졌다*^^* 간만에 먹은 옛날 떡볶이st 넘 방갑
5
9",😭 😭 😭,,5,9,"['https://pbs.twimg.com/media/E8oIIf7VgAA7JgE?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8oIIf_VoAQyRe-?format=jpg&name=360x360']",https://twitter.com/song_ssssssi/status/1425961183828275204
반연월;ㅌㅊㅅ,@yeonwol0526,2021-08-06T19:00:31.000Z,"반연월;ㅌㅊㅅ
@yeonwol0526
·
8월 7일","옛날떡볶이
문답계
@question_inyong
 · 2020년 12월 28일
203. 요즘 떡볶이(청다, 응떡, 엽떡) vs 옛날 떡볶이(포장마차, 분식집)
이 스레드 보기",🌙,,,,['https://pbs.twimg.com/profile_images/1343049587875958785/ZNiQaYgL_mini.jpg'],https://twitter.com/yeonwol0526/status/1423720660388388864
라이카,@LAIKA_18_18,2021-08-04T19:27:44.000Z,"라이카
@LAIKA_18_18
·
8월 5일","옛날 떡볶이 멸종됨
1
2",🐾 🐾,1,,2,[],https://twitter.com/LAIKA_18_18/status/1423002735389986816
밍 무티아나,@talk_ur_sxxt,2021-08-15T06:24:38.000Z,"밍 무티아나
@talk_ur_sxxt
·
8월 15일","…………..
…….
옛날 떡볶이 먹고 싶어요
……
2",❄,,,2,[],https://twitter.com/talk_ur_sxxt/status/1426791926896857089
허우룩,@HEOULUG_9795,2021-08-10T10:30:03.000Z,"허우룩
@HEOULUG_9795
·
8월 10일","옛날 떡볶이
문답계
@question_inyong
 · 2020년 12월 28일
203. 요즘 떡볶이(청다, 응떡, 엽떡) vs 옛날 떡볶이(포장마차, 분식집)
이 스레드 보기",,,,,['https://pbs.twimg.com/profile_images/1343049587875958785/ZNiQaYgL_mini.jpg'],https://twitter.com/HEOULUG_9795/status/1425041748288425986
예화,@JinYehwa,2021-08-01T20:54:57.000Z,"예화
@JinYehwa
·
8월 2일","조와요 엽떡 말고,,, 옛날 떡볶이 사먹어야지
1
2",,1,,2,[],https://twitter.com/JinYehwa/status/1421937520070168584
권일진 캐디 어디쯤? 위뚱글,@id_0905,2021-08-04T11:52:09.000Z,"권일진 캐디 어디쯤? 위뚱글
@id_0905
·
8월 4일","옛날떡볶이 파는 체인점없냐??????????
왜????????
1",,,,1,[],https://twitter.com/id_0905/status/1422888080546045954
{저 갓캐입니다),@BaeksuzoDonzo,2021-08-05T04:00:04.000Z,"{저 갓캐입니다)
@BaeksuzoDonzo
·
8월 5일","으아 옛날 떡볶이 먹고싶다
1",,,,1,[],https://twitter.com/BaeksuzoDonzo/status/1423131667762352130
구동범,@iwillldiesubal,2021-08-07T04:58:46.000Z,"구동범
@iwillldiesubal
·
8월 7일",하옛날떡볶이에오뎅국물,,,,,[],https://twitter.com/iwillldiesubal/status/1423871212837502978
ꕤ블루문,@bn_mono,2021-08-11T04:50:17.000Z,"ꕤ블루문
@bn_mono
·
8월 11일","미락 참.김 진짜진짜 맛있어요 떡볶이도 옛날 떡볶이 느낌이라 최고
1",,,,1,[],https://twitter.com/bn_mono/status/1425318630808424452
떡볶이팡인리제,@Lixe818,2021-08-05T09:59:15.000Z,"떡볶이팡인리제
@Lixe818
·
8월 5일","옛날 떡볶이 먹고 싶당... 학교앞서 100원 300원 500원에 팔던 컵볶이...
너무 먹고 싶은데 파는데가 없어ㅠㅜ
1
1",🐟 🦑,1,,1,[],https://twitter.com/Lixe818/status/1423222059769810949
완드콩,@Wand_been,2021-08-08T05:34:47.000Z,"완드콩
@Wand_been
·
8월 8일","옛날떡볶이 시켜먹는데 진짜 그 특유의 옛날 떡볶이맛 난다! 넘ㆍ맛잇어~~~~~
2",,,,2,[],https://twitter.com/Wand_been/status/1424242665504215044
다 롱,@_moondae,2021-08-10T11:53:56.000Z,"다 롱
@_moondae
·
8월 10일",연세로 옛날 떡볶이 여기 진짜 맛잇어,,,,,[],https://twitter.com/_moondae/status/1425062860162408451
하나,@ikhiiofl__L0v2,2021-08-14T14:52:32.000Z,"하나
@ikhiiofl__L0v2
·
8월 14일","저 오늘 오랜만에 분식 먹고 싶어서… 옛날떡볶이 사고 김치볶음밥 완전 쪼금 해서 같이 먹었답니당 ㅎㅎ 
하나의 질문함입니다
질문/답변은 여기
peing.net",👍 👍,,,,[],https://twitter.com/ikhiiofl__L0v2/status/1426557355190218754
마우,@bbbbbpppppa,2021-08-14T20:00:51.000Z,"마우
@bbbbbpppppa
·
8월 15일","옛날떡볶이 먹고싶다.. 초딩때먹던거 ㅠㅠㅠ 집앞이 떡볶이 집이라서 진짜 많이 먹었는데
1",👽 🔫,1,,,[],https://twitter.com/bbbbbpppppa/status/1426634947230527489
독팅이,@cey078,2021-08-11T10:28:06.000Z,"독팅이
@cey078
·
8월 11일","삼년만에 발견한 옛날 떡볶이랑 순대 파는 가게… 오늘 너무 먹고싶어 일찍 문닫고 찾아왔는데… 없어졌네…..
한달쯤 전에 왔던거 같은데…..
난 이제 떡볶이랑 순대 어디서 먹나 ㅠㅠㅠㅠㅠㅠ",,,,,[],https://twitter.com/cey078/status/1425403646758375431
바밤바,@po_0823,2021-08-12T06:33:33.000Z,"바밤바
@po_0823
·
8월 12일","나 원래 떡볶이 시키면 남은거 담날 손 안대는데(사유: 맛없음) 떡참은 진짜 맛있다..
기본에 충실한 옛날 떡볶이 그 맛이라 깔끔해서 좋아
1",🌰,,,1,[],https://twitter.com/po_0823/status/1425707008401891333
