UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
박치욱,@chiw00k,2021-08-22T05:42:35.000Z,"박치욱
@chiw00k
·
8월 22일","스토킹하던 전남친이 빈집에 들어와 강아지를 납치해 죽이고 유기해 경찰에 신고했더니 “남녀끼리 싸우다가 애완동물 없어진 것 가지고 신고하냐”고 했다고. 제발 이 경찰 누구인지 찾아 징계하세요. 도대체 저게 강아지를 잃은 피해자에게 할 소리냐…
스토킹이 범죄가 아닌 나라 - BBC News 코리아
스토커가 사랑이라고 생각했던 행동은 피해자에게 씻을 수 없는 상처와 두려움을 남겼다.
bbc.com
10
1.3만
3.5천",,10,1.3만,3.5천,['https://pbs.twimg.com/card_img/1441951446535073801/w9DVLQC_?format=jpg&name=small'],https://twitter.com/chiw00k/status/1429318059186028544
김성규ing[],@ange_kyu89,2021-08-27T14:36:17.000Z,"김성규ing[]
@ange_kyu89
·
8월 27일","210827 광화문연가 커튼콜 #성규

김성규! 내 기억속 빈집을 채워줘서 고마워
182
307",🍓 🤍,,182,307,['https://pbs.twimg.com/media/E9zfTC_VUAI97YJ?format=jpg&name=900x900'],https://twitter.com/ange_kyu89/status/1431264308822896644
Luna,@lalapesto,2021-08-09T03:24:44.000Z,"Luna
@lalapesto
·
8월 9일","2005년 열린우리당을 접수하자 

김병량 찍어내고 빈집털이 하려다 실패하고 경기동부랑 단일화로 기어이 성공

2017년 더민주를 점령하라

경선 끝난 직 후 손가혁들에게
""여러분 더 큰 전쟁이 기다리고 있습니다""

뻐꾸기가 당 먹고 이제 대통한다 설치고 
경기동부에 온갖 양아치들이 풀발기 중
125
94",🌕,,125,94,"['https://pbs.twimg.com/media/E8UY9maVIAMF8SJ?format=jpg&name=small', 'https://pbs.twimg.com/media/E8UY9mcVkAobDfL?format=jpg&name=small']",https://twitter.com/lalapesto/status/1424572327501590531
하하하삼색이주접계,@hahahafan07,2021-08-09T11:58:15.000Z,"하하하삼색이주접계
@hahahafan07
·
8월 9일","헐 저번 영상 속 아깽이가 빈집이 딸이 낳은 애기구나... 아직 4마리 다 무사한 것 같은데 모두 건강하게 자랐으면 좋겠다
1
48
85",🙏,1,48,85,"['https://pbs.twimg.com/media/E8WOgPbVcAQc_9P?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8WOgqvVEAYMJ_p?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8WOgclVIAEMaR8?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8WOg4nVoAMfrLV?format=jpg&name=360x360']",https://twitter.com/hahahafan07/status/1424701555035426819
Slow)라니지니 ᴹʸ ᵁⁿᶦᵛᵉʳˢᵉ⁷( 본계는 언제..ㅜ),@jyl03106377,2021-08-04T13:46:43.000Z,"Slow)라니지니 ᴹʸ ᵁⁿᶦᵛᵉʳˢᵉ⁷( 본계는 언제..ㅜ)
@jyl03106377
·
8월 4일","오늘Tmi) 오전 11시~오후 3시까지 일어난일..
오전에 드뎌 1년반만에 집나가고 ㅜ.ㅜ
점심먹고 바로 집보러 다니고~
빈집이라 빨리 이사 가능하다해서
후딱 잡아서 계약하고 

진짜 집은 생각치도 못할때 나가고
구해지는 ㅋㅋㅋ

#MTVHottest BTS
@BTS_twt
13
15",💜 🤣 🤣 🤣,,13,15,['https://pbs.twimg.com/media/E783ZJmVEAERMF9?format=jpg&name=small'],https://twitter.com/jyl03106377/status/1422916914695733254
無別事,@ilikesomeday,2021-08-13T23:22:32.000Z,"無別事
@ilikesomeday
·
8월 14일","동네 골목길 산책하다가. 길가 조그만 땅, 허물고 공사하는 빈집, 아스팔트 사이로 난 풀들로 만든 리스. 8월의 크리스마스.
26",,,,26,['https://pbs.twimg.com/media/E8tRfHpVgAQifQ2?format=jpg&name=small'],https://twitter.com/ilikesomeday/status/1426323314096492550
퍼즐,@slrzns,2021-08-06T13:05:11.000Z,"퍼즐
@slrzns
·
8월 6일","아 쿤땡이 한국드라마매니안데 한국여행와서 경복궁인가고 정교빈집간거 ㅋㅋㅋㅋㅋㅋㅋ너무귀엽다ㅜㅜ 띵동띵동눌러보고 교빈씨~교빈씨 이러는것도 귀엽고 마지막에 정교빈네집 확실해!! <-이거 너무귀여움 ㅠㅠㅠㅠㅠㅠㅠㅠ
0:13
318 조회수
11
35",,,11,35,[],https://twitter.com/slrzns/status/1423631238103846925
gksmfco,@meae0805,2021-08-28T04:55:14.000Z,"gksmfco
@meae0805
·
8월 28일","210821_pm 2:00_광화문연가

잘 있거라, 짧았던 밤들아
창밖을 떠돌던 겨울 안개들아
아무것도 모르던 촛불들아, 잘 있거라
.
.
잘 있거라 내 것이 아닌 열망들아

장님처럼 나 이제 더듬거리며 
문을 잠그네
가엾은 내 사랑 빈집에 갇혔네

빈집 - 기형도

차요정 페어막
9",😭,,,9,['https://pbs.twimg.com/media/E92j44oVEAQLAe-?format=jpg&name=small'],https://twitter.com/meae0805/status/1431480470626209794
쫑~~ 진상규명 망국오사 검사판사의사변호사언론사,@twin010937,2021-08-27T03:18:01.000Z,"쫑~~ 진상규명 망국오사 검사판사의사변호사언론사
@twin010937
·
8월 27일","핵발전소 (원전) 안전하다는
자들은 원전 옆에 빈집 많다
이주하고 입떼라

방사능 피폭 등 원전 인근 주민 피해 심각…대책은?
방사능 피폭 등 원전 인근 주민 피해 심각…대책은?
-원전 인근 주민들, 방사능 누출로 내부피폭돼 -핵발전소 근처, 갑상선암 발병률 2.5배 높아 -원전 인근에서 이주 대책 요구한 지 만 7년째 -월성 원전 이주 대책, 비용이 많이 들어 안돼 -한수원, ""누출된 방사능은..
m.nocutnews.co.kr
1
6
5",🎗,1,6,5,['https://pbs.twimg.com/card_img/1441300223456808963/aLAVvklL?format=jpg&name=small'],https://twitter.com/twin010937/status/1431093619100766210
石蘭,@bdecem52,2021-08-05T09:26:47.000Z,"石蘭
@bdecem52
·
8월 5일","'빈집 입당' 尹, 또 이준석 회의 불참…""주도권 싸움 시작됐다""
https://news.joins.com/article/24122134?cloc=joongang-home-newslistleft…
완장찬 유승민 아바타 아니냐
유승민과 같이 박근혜가 뽑았는데
두 넘이 동시에 뒷다마를 깠다
유승민고 같이 탈당해서 당을 만들어 호의호식 하다가
기어 들어와 문재인 2중대 노릇만 했다 
윤석렬 가지고 논다
""대표 X무시한다"" 당내서도 경고…윤석열·이준석 심상찮다
두 사람 사이가 예사롭지 않다.
joongang.co.kr
1
14
9",,1,14,9,['https://pbs.twimg.com/card_img/1440005851075448837/TY2ieRVY?format=jpg&name=small'],https://twitter.com/bdecem52/status/1423213887726317568
