UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
가온규,@kyu880203_SJ,2021-08-09T02:56:54.000Z,"가온규
@kyu880203_SJ
·
8월 9일","동삼동불짬뽕
2단계 불짜장이랑 불짬뽕이랑 매워......
나는 맵찔이었든가..... 속쓰려...ㅋㅋㅋ
그래도 또 하나 짠내투어 도장깨기 성공!!ㅋㅋ
1
10",⭐,1,,10,"['https://pbs.twimg.com/media/E8USlspUcAEMWM_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8USmWDVoAM91XA?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8USnEhUcAkvoNl?format=jpg&name=360x360']",https://twitter.com/kyu880203_SJ/status/1424565322586095619
지니 ت,@jini_gyu,2021-08-07T10:26:29.000Z,"지니 ت
@jini_gyu
·
8월 7일","짠내투어보고 불짬뽕 먹고싶어서..,

대신 매운짜장    모두들 맛저!
2
3",,2,,3,"['https://pbs.twimg.com/media/E8LmUkoVgAI2qGX?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8LmUksUUAkJvfp?format=jpg&name=360x360']",https://twitter.com/jini_gyu/status/1423953687223824386
,@_ansayo,2021-08-27T01:33:43.000Z,"@_ansayo
·
8월 27일","짜장 짬뽕 깐풍기 세트가 55불이라니!
1",🐶,1,,,['https://pbs.twimg.com/media/E9wsLX3VIAQLSLn?format=jpg&name=small'],https://twitter.com/_ansayo/status/1431067370882158594
사경을헤맴 ..,@tkrusdl,2021-08-28T15:25:56.000Z,"사경을헤맴 ..
@tkrusdl
·
8월 29일","#당신의_취향
카레vs커리 : 둘다
김치전vs파전 : 김치
쌀떡볶이vs밀떡볶이 : 밀떡
당면사리vs라면사리 : 라면
흐물감튀vs바삭감튀 : 둘 다 각자의 매력 잇어
토마토vs크림vs로제 : 토마토
후라이드vs양념 : 반반으로 먹지 누가 하나만 먹냐
녹차vs초코 : 초코
짜장vs짬뽕 : 불짜장
물냉vs비냉 : 물냉
1
3",,,1,3,[],https://twitter.com/tkrusdl/status/1431639192803569669
커뮤청서마감-낙서한개-컴션마감,@BL4NKKET,2021-08-06T06:47:31.000Z,"커뮤청서마감-낙서한개-컴션마감
@BL4NKKET
·
8월 6일","짜장짬뽕은 왤케 분량이 많을까…
불지만 않으면 3끼내내 먹는간디",,,,,[],https://twitter.com/BL4NKKET/status/1423536195653439490
ㅅㅇ,@c_h__2_,2021-08-20T06:38:57.000Z,"ㅅㅇ
@c_h__2_
·
8월 20일",아침에 일어나자마자 빈속에 불짜장이랑 짬뽕 먹었더니 죽을거같음 속쓰려,,,,,[],https://twitter.com/c_h__2_/status/1428607469715001346
김챠니,@ChaniChyani,2021-08-29T10:55:06.000Z,"김챠니
@ChaniChyani
·
8월 29일","#음식취향

짜장vs짬뽕: 짬
반숙vs완숙: 반
부먹vs찍먹: 부
후라이드vs양념: 냠냠냠
불은면vs꼬들면: 불
콜라vs사이다: 콜
순대vs간: 허파
피자vs치킨vs햄버거: 치
밀떡vs쌀떡: 쌀
초콜릿vs젤리 : 초
소고기vs돼지고기: 냠냠냠
붕어빵vs호떡: 냠냠냠
1",,,,1,[],https://twitter.com/ChaniChyani/status/1431933421912133637
정촠너굴,@chocochoip,2021-08-28T17:42:25.000Z,"정촠너굴
@chocochoip
·
8월 29일","#당신의_취향 
카레 vs 커리: 커리
김치전 vs 파전: 전 안 좋아함
쌀떡 vs 밀떡: 쌀
당면 사리 vs 라면 사리: 그닥
흐물 감튀 vs 바삭 감튀: 감튀에 배놔라 감놔라 ㄴ
토마토 vs 크림 vs 로제: 셋다 그닥
후라이드 vs 양념: 치킨 불호
녹차 vs 초코: 초코
짜장 vs 짬뽕: 짬
물냉 vs 비냉: 불",🐋 👉 🍪 🦝,,,,[],https://twitter.com/chocochoip/status/1431673538193227777
르기연뮤!,@iridescentberry,2021-08-28T16:07:39.000Z,"르기연뮤!
@iridescentberry
·
8월 29일","와 먹고싶은거 개많아

열라면
간짬뽕
콰트로치즈불닭
사천짜파게티
매운불짜장
닭강정
족발인데 이제 냄새만큼 맛도 좋은
초밥
수아당, 물김
꼬마김밥(선릉)
인도네시아 음식(연남)
만두(연남
새우토핑 엄청 많이 올라간 피자
뿌링클
고추바사삭
낙곱새
부리또볼
아경면선
클로티드 크림에 스콘
텐동
2",🍓 🍓,,,2,[],https://twitter.com/iridescentberry/status/1431649689695232004
김카노,@knmg2323,2021-08-14T01:38:39.000Z,"김카노
@knmg2323
·
8월 14일","친구중에ㅋㅋㅋㅋㅋ
호박고구마+불은라면+짜장<<이렇게 나랑 취향 정반대인 애 있는데 지금생각하니 웃기다
난 무조건 밤고구마+꼬들라면+짬뽕",,,,,[],https://twitter.com/knmg2323/status/1426357570176917505
나모네모,@nemonemo_nh,2021-08-28T10:38:56.000Z,"나모네모
@nemonemo_nh
·
8월 28일","#당신의_취향 
카레vs커리 : 둘다
김치전vs파전 : 부추전
쌀떡볶이vs밀떡볶이 :  불은 밀떡
당면사리vs라면사리 : 당면
흐물감튀vs바삭감튀 : 둘다
토마토vs크림vs로제 : 크림 로제
후라이드vs양념 : 간장
녹차vs초코 : 녹차
짜장vs짬뽕 : 짬뽕
물냉vs비냉 : 물냉",,,,,[],https://twitter.com/nemonemo_nh/status/1431566965361893376
