UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
할가,@dhqjfpsmstkfkd,2021-08-27T10:07:01.000Z,"할가
@dhqjfpsmstkfkd
·
Aug 27"," 겐타로 신간 나오면 다이스 서점가서 직원분한테 얘 내 친구야 하고 자랑할것 같고 겐타로 우연히 목격해서 엄청 기쁘고 좋아죽는 그런 상황
414
929",📚 🎲,,414,929,"['https://pbs.twimg.com/media/E9ygIz_UcAAsFg7?format=jpg&name=small', 'https://pbs.twimg.com/media/E9ygKG4VkAAJHdE?format=jpg&name=small']",https://twitter.com/dhqjfpsmstkfkd/status/1431196547107078147
싯포,@tltvh_jy,2021-08-29T12:05:45.000Z,"싯포
@tltvh_jy
·
Aug 29","친구야 너는 염색을 맨날 해?
640
544",,,640,544,['https://pbs.twimg.com/ext_tw_video_thumb/1431951107949928454/pu/img/aodElpvsIzXOVWmO.jpg'],https://twitter.com/tltvh_jy/status/1431951203500318722
고사리집사,@fern_sitter,2021-08-29T03:35:05.000Z,"고사리집사
@fern_sitter
·
Aug 28","아디안텀 안녕! 
이름 잊어버렸어 보글보글한 친구야
11
38",🌿,,11,38,['https://pbs.twimg.com/media/E97bIuOVIAQBgk5?format=jpg&name=small'],https://twitter.com/fern_sitter/status/1431822689254006784
토깽이(반동결),@tokkenginjpn,2021-08-28T06:50:06.000Z,"토깽이(반동결)
@tokkenginjpn
·
Aug 27","실친한테 유카타 입은 투아 보고싶어서 맡긴 커미션 완성됐다
두 버전 너무 좋아서 그냥 행복해 지금 극락 와 있음
핫대디 투아 진짜 너무 좋음
친구야 진짜 고마워 사랑해
1
17
54",🐰 ❄ 😭 ♥ ♥ ♥,1,17,54,"['https://pbs.twimg.com/media/E929n5JUYAQHjR9?format=jpg&name=small', 'https://pbs.twimg.com/media/E929o8YUYAIv15g?format=jpg&name=small']",https://twitter.com/tokkenginjpn/status/1431509379107352578
𝒉𝒆𝒆𝒉𝒆𝒆,@Heehee214,2021-08-27T08:00:22.000Z,"𝒉𝒆𝒆𝒉𝒆𝒆
@Heehee214
·
Aug 27","애들아 인사해 새로운 친구야 
1
20",🤗 💕,1,,20,['https://pbs.twimg.com/media/E9yEr9JVIAATAiz?format=jpg&name=small'],https://twitter.com/Heehee214/status/1431164674783862786
쩜원,@jjeom_won,2021-08-29T12:05:31.000Z,"쩜원
@jjeom_won
·
Aug 29","사랑한다 친구야
생일선물로 카니발앨범 사줌..
3
1
14",,3,1,14,['https://pbs.twimg.com/media/E99P3rPUYAILVKM?format=jpg&name=small'],https://twitter.com/jjeom_won/status/1431951144461373443
☦︎︎ 𝕊 𝕊 𝕆 ☦︎︎ or가sa ②⑥,@fika_paus_nu,2021-08-29T11:14:56.000Z,"☦︎︎ 𝕊 𝕊 𝕆 ☦︎︎ or가sa ②⑥
@fika_paus_nu
·
Aug 29","8.29 #인질 (자셋)
친구야 같이 봐 줘서 고마오..
1
1
10",🥺,1,1,10,['https://pbs.twimg.com/media/E99EY9iUUAksgzV?format=jpg&name=small'],https://twitter.com/fika_paus_nu/status/1431938412659970048
지지,@Xcanine,2021-08-28T10:08:07.000Z,"지지
@Xcanine
·
Aug 28","친구야 진정해......... 내 애플워치 링 압도적 1위....
1
7",✨ ✨,1,,7,['https://pbs.twimg.com/media/E93rg40VcAE3Z_Y?format=jpg&name=small'],https://twitter.com/Xcanine/status/1431559212077752321
김쇅,@kykhejjj,2021-08-29T15:40:23.000Z,"김쇅
@kykhejjj
·
Aug 29","내기준 젤 유사 마려운사진

친구가불러서 술집이나 노래방이나 그런곳 갔는데 내가 모르는 친구지인이 친구옆에 앉아있고 뭐야 나만부른게 아니엇네 하고있다가 마주친 키면경의 흥미로워하는 듯한 눈.. 

쟨 누구야ㅡ? 너 친구야? 이리와봐
1
10",,,1,10,['https://pbs.twimg.com/media/E9-BJ-jVIAMV_k6?format=jpg&name=900x900'],https://twitter.com/kykhejjj/status/1432005217961209857
한청 뒤 (감염1) 분홍연어,@Fish03203,2021-08-29T04:04:11.000Z,"한청 뒤 (감염1) 분홍연어
@Fish03203
·
Aug 28","꺄악 친구야 오랜만에 본다
1
4",💮 💮,1,,4,['https://pbs.twimg.com/media/E97hzlWVEAklI3O?format=jpg&name=small'],https://twitter.com/Fish03203/status/1431830010948505604
유키,@Ukeeee_01,2021-08-28T07:53:56.000Z,"유키
@Ukeeee_01
·
Aug 28","너무 귀여워....휘혈나비... 
임티이름도 나비는 내친구야 ㅠㅠㅠㅠㅠ
2
5",,2,,5,['https://pbs.twimg.com/media/E93MzR3VUAQdAin?format=jpg&name=900x900'],https://twitter.com/Ukeeee_01/status/1431525441676840960
밎제댁,@corncorn_MJJ,2021-08-28T06:08:34.000Z,"밎제댁
@corncorn_MJJ
·
Aug 27","나는 행~복 합~니다~~!!!!!!!!!!!!!!!!! 친구야 싸랑해 너도 콘이 되는거야!!!!!!!
2",🌊 🍿 🥝,,,2,['https://pbs.twimg.com/media/E920sBCUUAMiRMj?format=jpg&name=medium'],https://twitter.com/corncorn_MJJ/status/1431498926478151692
【■■■■8】,@ejqmfzmfhtmgkwk,2021-08-30T05:03:03.000Z,"【■■■■8】
@ejqmfzmfhtmgkwk
·
Aug 29","이상하다 분명 아워프렌드십포에버의 줄임말이라
우린영원히 친구야 라는 답변인걸텐데도
왜인지 차인기분이 드는건
7",☢,,,7,['https://pbs.twimg.com/media/E-A4xZHVgAAOToY?format=png&name=small'],https://twitter.com/ejqmfzmfhtmgkwk/status/1432207212735205381
ZZIN,@zzinpro,2021-08-28T02:31:38.000Z,"ZZIN
@zzinpro
·
Aug 27","이 재미없고 착한 친구야 ㅠㅠ!!
18",,,,18,['https://pbs.twimg.com/ext_tw_video_thumb/1431444271312211969/pu/img/hKR0Y-6Csz--D-Fs.jpg'],https://twitter.com/zzinpro/status/1431444333857697793
보리,@bori_108,2021-08-30T07:13:55.000Z,"보리
@bori_108
·
Aug 30","드라마 일견경심
민국로맨스라고 하던데..내 취향아니지만..지금 그게 문제냐 싶고  적당히 안볼건 넘기고 서광요씨만 보기로 함 ..어차피 유쿠 영자막 떠도 이해 불가능한거 서광요씨 보는 걸로 만족할 예정임
이흔택 배우 여기서도 보게되서 넘 반가웠다궁 ^^
(내겐 아직 당신은 녕결이 친구야)
2
2
12",😔 😔,2,2,12,"['https://pbs.twimg.com/media/E-BWzX2VUAAUUDg?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-BW0NEVQAQuiFl?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-BWzv5VkAA9qAy?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-BW0i_VQAAiDC_?format=jpg&name=360x360']",https://twitter.com/bori_108/status/1432240147743997966
Elena,@Elena400862831,2021-08-28T03:13:35.000Z,"Elena
@Elena400862831
·
Aug 27","친구한테 선물을 받았어요  
고속도로에 탈 때는 절대로 데려가지 않을게요 
친구야 ~고마워요 
0:07
166 views
5
1
23",💕 😭 💋,5,1,23,[],https://twitter.com/Elena400862831/status/1431454888106491904
유니콘이와 미고가 바로 이탐라에 존못,@silverlemon3,2021-08-28T12:25:40.000Z,"유니콘이와 미고가 바로 이탐라에 존못
@silverlemon3
·
Aug 28","와와 마리모샀다 와 21000원짜리 와 죽으면 안된다 친구야
The following media includes potentially sensitive content. Change settings
View
6",,,,6,[],https://twitter.com/silverlemon3/status/1431593826037026818
여름,@yeoreum_____,2021-08-27T03:49:32.000Z,"여름
@yeoreum_____
·
Aug 26","비행기 너무 오랜만에 타서 긴장된다고 했더니 친구가 요새 코로나로 룰이 바뀌어서 신발 벗고 타야 된다고 해서 빵터짐… 친구야.. 고딩이니..
4
1
42",🎗,4,1,42,[],https://twitter.com/yeoreum_____/status/1431101550529712129
장안동불주먹 레오,@leo_zip,2021-08-28T10:43:49.000Z,"장안동불주먹 레오
@leo_zip
·
Aug 28","루소 도도시크할 줄 알았는데 걍 친구야 왜구래 헤헤멈이자나..
군산시 유기동물 보호센터
@Gunsan_DogCat
 · Aug 28
Replying to @Thomas_theDog
안녕하세요~ 오해가 있는듯 하여 간만에 이 계정으로 인사드립니다. 아이는 몇개월 전 담당 직원이였던 제가 다시 견사로 데리고 왔으며 친구들과 똑같이 투닥투닥거리면서 건강히 잘 지내고 있습니다^^ 지금 보호소는 사회성을 이유로 아이를 묶어두는 행위는 하지 않습니다^^
7
5",😭 😭 🖤,,7,5,"['https://pbs.twimg.com/profile_images/1256928353682026496/qKozLEkl_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1431536463162658817/pu/img/ZUbb6gDyJsR3UtLK.jpg']",https://twitter.com/leo_zip/status/1431568195404513281
기오리,@worlorworl,2021-08-28T10:59:50.000Z,"기오리
@worlorworl
·
Aug 28","야친구야아홉시에뭐하니?할게없다고?
#김현우_연기정복_준비완료
당장티비를키고티비엔에들어가
#국민첫사랑_인우야_어서와
김현우김백승을감상을해환상이죠?
7
9",,,7,9,[],https://twitter.com/worlorworl/status/1431572224285175809
새벽별 구오,@Guo_Mabi,2021-08-28T09:24:28.000Z,"새벽별 구오
@Guo_Mabi
·
Aug 28","◎◇◎))...... 플레이머 3단... 가능한... 것인가... 손가락아 협조해줘 친구야...
7",,,,7,[],https://twitter.com/Guo_Mabi/status/1431548225228468226
e. 김준완,@YULJE_KJW,2021-08-26T16:08:19.000Z,"e. 김준완
@YULJE_KJW
·
Aug 26","인친이... 인스타 친구야? 난 또, 인간 친구인 줄.
7
8",,7,,8,[],https://twitter.com/YULJE_KJW/status/1430925082201755651
피의 3라 연합원 달띠,@dalddi000,2021-08-30T15:50:24.000Z,"피의 3라 연합원 달띠
@dalddi000
·
Aug 30","일반적인 상황의 우리 아직도 친구야?->친구에서 연인되기 5초전

앞모의 우리 아직도 친구야?->니가 지금 나때문에 뒤지게 생겼는데 이래도 날 친구라고 불러줄거야?
1
5",,,1,5,[],https://twitter.com/dalddi000/status/1432370125991206914
