UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
SASH,@taecnicality,2021-08-29T14:26:16.000Z,"SASH
@taecnicality
·
Aug 29","taecyeon picking a question to make wooyoung do Sexy Lady and wooyoung hit back immediately w a question about 찢 taecyeon (that taec answered without hesitation because taec is taec hello) 
1
4
5",🤣,1,4,5,[],https://twitter.com/taecnicality/status/1431986565811556356
𝐜𝐚𝐧𝐝𝐲,@cotton_QANDY,2021-08-30T15:58:37.000Z,"𝐜𝐚𝐧𝐝𝐲
@cotton_QANDY
·
Aug 30","공항 4대장 금발로 박박 찢음
789
1K",,,789,1K,"['https://pbs.twimg.com/media/E-DO6lGVkAEESyh?format=jpg&name=small', 'https://pbs.twimg.com/media/E-DO6lEVgAEIAFw?format=jpg&name=small', 'https://pbs.twimg.com/media/E-DO6lEVcAILttP?format=jpg&name=small', 'https://pbs.twimg.com/media/E-DO6lFUcAcFqjj?format=jpg&name=small']",https://twitter.com/cotton_QANDY/status/1432372194147901442
물냄새,@watersmell_,2021-08-29T12:49:33.000Z,"물냄새
@watersmell_
·
Aug 29","하의는 석진이 애착 청바지로
석진아 저 찢청 안 버렸지???
#JIN #김석진 
@BTS_twt
53
5.8K
27.1K",💛 💙 🥺,53,5.8K,27.1K,"['https://pbs.twimg.com/media/E99aDQKUUAYa209?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E99aDQGVQAMsB4a?format=jpg&name=360x360']",https://twitter.com/watersmell_/status/1431962225917378565
santahohoho,@fafafafire1,2021-08-30T15:10:06.000Z,"santahohoho
@fafafafire1
·
Aug 30","이거 밝혀질까봐, 김욕민하고 이딸딸이가 그  개 ㅈㄹ를 했던거구나, 역시 찢파리 ㅅㄲ들, ㅋ
1
99
71",,1,99,71,['https://pbs.twimg.com/media/E-DDzNUXsAc1TOQ?format=png&name=small'],https://twitter.com/fafafafire1/status/1432359984294203397
Dark,@aacacc666,2021-08-30T07:39:21.000Z,"Dark
@aacacc666
·
Aug 30","김경수 지사 사법 살인의 전초를 제공한 <찢묻은 테이블>
2
178
122",🌒,2,178,122,['https://pbs.twimg.com/media/E-BclanUYAMgHvY?format=jpg&name=small'],https://twitter.com/aacacc666/status/1432246547031363590
찬우물 번 이낙연 랑해요,@pmgag,2021-08-30T00:27:02.000Z,"찬우물 번 이낙연 랑해요
@pmgag
·
Aug 29","윤떡 이나 찢떡 이두놈 국방 관련해 워딩 하나 하나 봐라.이래서 미필은 안되는거.좋아 몸이 불편해 안간거 인정.대선에서 빠지라고.
12
18",,,12,18,['https://pbs.twimg.com/media/E9_5slrVEAYveMC?format=jpg&name=medium'],https://twitter.com/pmgag/status/1432137753152528393
𝙞𝙙𝙚𝙣: 𝙉𝙔 𝙩𝙝𝙚 𝙩𝙝,@Vigilante_Aiden,2021-08-30T02:46:41.000Z,"𝙞𝙙𝙚𝙣: 𝙉𝙔 𝙩𝙝𝙚 𝙩𝙝
@Vigilante_Aiden
·
Aug 29","이수진도 이번에 확실하게 찢밍아웃. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1
72
107",,1,72,107,[],https://twitter.com/Vigilante_Aiden/status/1432172894872764420
끌레,@clefjy,2021-08-30T13:02:58.000Z,"끌레
@clefjy
·
Aug 30","종합해보면 이재명이 송두환에게 전화해 사생활(?) 변론을 부탁했고 송두환은 사건 내용도 모르면서(?) 변호인단에 이름을 올렸고 수임계를 썼다는데 서류가 없고 비용은 무료였고 찢쉴더들은 통진당 멀리하라 조언한 형을 정신병원에 가두려 한 일을 부림사건에 빗대며 민변의 오래된 관행이라 변명?
7
686
564",,7,686,564,[],https://twitter.com/clefjy/status/1432327990591950851
내 삶을 지켜주는 나라_이니여니,@jyjwlee,2021-08-30T04:23:55.000Z,"내 삶을 지켜주는 나라_이니여니
@jyjwlee
·
Aug 29","인권위원장 여당쪽 청문위원  전원이 찢계네
기대 1도 없다 

국짐당도 적극적으로 무료변론 깔 생각이 없는듯 
본선에서 더 확실히 까면 바로 무너뜨릴 소재이니 
민주당 지지자들아 정신 차리자

mb처럼 ? 최소 민주당 계열은 불가하단다
3
61
65",,3,61,65,[],https://twitter.com/jyjwlee/status/1432197363330732033
1g의희망_좋은람_이낙연,@5migarden,2021-08-30T06:36:03.000Z,"1g의희망_좋은람_이낙연
@5migarden
·
Aug 29","청문회를 본 결과,, 국찜당의원들은 찢에 대하여 모든 것을 아니 상황에 따라 우리보다 많은 것을 알고 있다는 느낌이 팍!! 팍!!나의 머리를 강타하더라,,그럴 일이 절대 없겠지만 만약에 본선이라면 낚지는 바로 아지랑이 올라오는 아스팔트 차바퀴에 눌린 개구락지 꼬라지가 될 것이다, 섬찟하다
1
80
86",,1,80,86,[],https://twitter.com/5migarden/status/1432230616297140228
수영과동주,@poppinbw,2021-08-30T10:13:03.000Z,"수영과동주
@poppinbw
·
Aug 30","그니까 이재명이 공익이다 뭐 그런거네.
존나 찢천지 최고 존엄의 위용보소ㅋㅋㅋㅋ

이재명 측 ""공익 사건 무료 변론·명단 등록은 민변 전통.. 이익 제공 아냐"" | 다음 뉴스
이재명 측 ""공익 사건 무료 변론·명단 등록은 민변 전통.. 이익 제공 아냐""
30일 이재명 경기도지사의 대선 캠프(열린캠프)는 이 지사에 대한 '무료 변론' 의혹에 ""민주사회를 위한 변호사모임의 전통으로 이익 제공으로 보기 힘들다""고 반박했다. 사진은 이 지사가 30일 서울 송파구 송파노인요양센터에서 '5대 돌봄 국가책임제' 정책 공약을 발표하고 있는 모습. /사진=뉴스1이재명 경기도지사의 대선 캠프(열린캠프)는 30일 이 지사에
news.v.daum.net
1
22
16",,1,22,16,['https://pbs.twimg.com/card_img/1440252466302681088/vCa6Q3or?format=jpg&name=small'],https://twitter.com/poppinbw/status/1432285227712270336
소금,@spurs_msg,2021-08-29T14:08:29.000Z,"소금
@spurs_msg
·
Aug 29","이 착장 그대로 입고 사진 올려라 한번만 더 그 짜증나게 생긴 발렌시아가 티셔츠에 구찌 벨트 차고 회색 찢청에 조던 신으면 진짜 신고한다 ㅋㅋ
4
20",,,4,20,['https://pbs.twimg.com/media/E99sHjpVgAgs5Ym?format=jpg&name=small'],https://twitter.com/spurs_msg/status/1431982088442441740
칼 융,@Carl_Jung66,2021-08-30T12:58:11.000Z,"칼 융
@Carl_Jung66
·
Aug 30","한변이라는 보수단체에서 찢떡 이재명과 송두환을 김영란법등으로 검찰에 고발했다지ㅎ

김영란법은 되게 단순해!

이건 도지사와 전관예우 변호사가 개입한 대법 최종심이거던!

재판 사이즈가 커서50만원 운운하며 수임료 가치를 희롱할짓은 아닌데!

검찰이 이걸로 정치하면 공수처한테 조되는각!
1
125
105",,1,125,105,[],https://twitter.com/Carl_Jung66/status/1432326783391522818
