UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
나비,@sglove_93,2021-08-23T12:02:11.000Z,"나비
@sglove_93
·
Aug 23","𝓗𝓪𝓹𝓹𝔂 𝓳𝓴 𝓭𝓪𝔂

정국이의 25번째 생일을 축하하기 위해서 컵홀더 이벤트를 준비하였습니다

 21.08.28~21.09.01
 대구 카페 퐁당 

#정국이를_향해_한_걸음씩_걸어갈래요

모든 문의는 디엠 부탁드립니다
2
169
249",📌 🐰,2,169,249,['https://pbs.twimg.com/media/E9eVq-nUUAI2w6S?format=jpg&name=900x900'],https://twitter.com/sglove_93/status/1429775978524405769
쥬스규,@souss_kyu,2021-08-19T12:09:09.000Z,"쥬스규
@souss_kyu
·
Aug 19","˗ˋˏ 해삐준규데이 ˎˊ˗ 

트레저 준규의 22번째 생일을 맞이하여
대구에서도 카페 이벤트를 진행합니다 દ ᵕ̈ ૩ 

✦ ᴄᴀғᴇ 퐁당
✧ 2021.09.08 ~ 09.09

#짜잔_준규선생님_생일이다요  .ᐟ 

 자세한 내용은 공지를 참고해주세요 
21
300
411",💞,21,300,411,"['https://pbs.twimg.com/media/E9Jw5lYUUAUYmea?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Jw5lYUYAIak6B?format=jpg&name=360x360']",https://twitter.com/souss_kyu/status/1428328177739333640
kiki,@knkndew,2021-08-28T06:47:27.000Z,"kiki
@knkndew
·
Aug 27","우리 순둥이 정구기 생일축하해

건강문제로  작년 6월 이후  첨 간 카페투어ㅠㅠ 
딱 한군데만 가기로 하고 카페 퐁당으루!
이쁜 정구기로 카페가 너무 빛나
@cafe_fondant
 카페사장님께도 감사드리고 이쁘게 꾸며주신
@sglove_93
 나비님 감사합니다! 
#정국이를_향해_한_걸음씩_걸어갈래요
1
3
2",💗 💗 🥰,1,3,2,"['https://pbs.twimg.com/media/E929kGaVUAAp92t?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E929k-ZVEAMDXh3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E929kh3VQAEF3Fx?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E929lgHUUAQrleB?format=jpg&name=360x360']",https://twitter.com/knkndew/status/1431508711613235202
햇,@5kwajang,2021-08-09T06:45:25.000Z,"햇
@5kwajang
·
Aug 8","돌아온 햇카페 

좀 살벌한 비쥬얼이지만 오늘 메뉴는 딸기에이드ԅ( ˘ω˘ԅ) 퐁당~

단 거 조아하니까 다음엔 사이다로 할거야... 엄므앙... 탄산수 앙대...
12",☀ ☀ 🍓 ❣,,,12,['https://pbs.twimg.com/media/E8VG6eoVcAc3a8-?format=jpg&name=small'],https://twitter.com/5kwajang/status/1424622831673937923
증중。,@ShiniDie7,2021-08-26T20:09:46.000Z,"증중。
@ShiniDie7
·
Aug 26","퐁당쇼콜라 좋아한대요.,,. 코라보카페 정보...^^
3
5",,,3,5,[],https://twitter.com/ShiniDie7/status/1430985845717098497
Hyosin,@designer_hyosin,2021-08-28T05:16:48.000Z,"Hyosin
@designer_hyosin
·
Aug 27","#hyosin_cafetour 대구 동인동 프라마

나름 제가 주기적으로 가는 카페.
넓은 공간에 동인동 골목사이 카페라
특정날(가끔 사람 많은 날 있음)제외 조용하게
혼자서라도 커피를 즐기기에 좋아요

곰돌이 퐁당음료가 유명한데 지난번에
친구랑 먹어본 후기...왕 귀여움 

오늘은 밀크티 ㅠ^ㅠ
3
21",,,3,21,"['https://pbs.twimg.com/media/E92o048UYAM-R2B?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E92o043VkAIHN0R?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E92o043UUAAPH-v?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E92o047VQAQ0uVy?format=jpg&name=360x360']",https://twitter.com/designer_hyosin/status/1431485897866809344
병따개,@openly__6,2021-08-27T04:09:45.000Z,"병따개
@openly__6
·
Aug 26","나중에 카페 창업하면 가게 이름 퐁당이라고 짓고싶어 너무 귀엽지
1
2",,1,,2,[],https://twitter.com/openly__6/status/1431106637780054016
땡큐,@tkfkdzkdl,2021-08-09T12:20:27.000Z,"땡큐
@tkfkdzkdl
·
Aug 9","고딩청게세종
축제때 벌칙으로 메이드복입고 카페서빙하는 종... 전교에 카페에 존잘메이드있다는 소문다퍼지고............ 세 구경갔다가 종보고 퐁당빠져서  축제끝나고도 맨날 쫒아다닐듯
3",,,,3,[],https://twitter.com/tkfkdzkdl/status/1424707145400872961
나비,@sglove_93,2021-08-29T06:32:48.000Z,"나비
@sglove_93
·
Aug 28",오늘 7시..?? 8시 쯤에 카페 퐁당 갈껀데.. 가시는분 . . . 계실까여.. 눈물,,,,,[],https://twitter.com/sglove_93/status/1431867411842539526
(싸코C4/D2)병약미소녀 보슈 영애,@bosue_oqo,2021-08-12T14:42:29.000Z,"(싸코C4/D2)병약미소녀 보슈 영애
@bosue_oqo
·
Aug 12","전 처음 완독한 로판이 신곱키요
그때 카카페 깐 이유
...룬아 재연재 때문에 (ㅅㅂ)
그러다가 무료로 보여준대서 좀 읽다가 그냥 다 결제해서 읽고
이야호 하고 로판의 세계로 퐁당 들어감",,,,,[],https://twitter.com/bosue_oqo/status/1425830052114038789
