UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
달땡,@xlsx464,2021-08-06T08:43:53.000Z,"달땡
@xlsx464
·
8월 6일","어???  삼진어묵 공식???
1
8
3",,1,8,3,"['https://pbs.twimg.com/media/E8GFPM0UUAQ9Wek?format=jpg&name=small', 'https://pbs.twimg.com/media/E8GFQAkVoAAToc7?format=jpg&name=small']",https://twitter.com/xlsx464/status/1423565480753713152
Audrey Hepburn,@AudreyH34988664,2021-08-27T12:45:16.000Z,"Audrey Hepburn
@AudreyH34988664
·
8월 27일","막내가 어제 
백신을 맞고 왔고
나는 오늘 맞았다
선생님이 가서
쉬라고 했는데
내가 일을 벌렸다
떡볶이 할머니께
배운 솜씨를 부렸다
멸치육수에
삼진어묵 떡 양배추
양파 파 다시다
설탕 고추장 
고추가루 넣고
만들었다 
맛좀 볼래?
1
4
23",,1,4,23,['https://pbs.twimg.com/ext_tw_video_thumb/1431236227957608448/pu/img/3o6GMW95YxaHJy4o.jpg'],https://twitter.com/AudreyH34988664/status/1431236372208095241
다인의 편의점이것저것_채다인,@totheno1,2021-08-10T14:47:10.000Z,"다인의 편의점이것저것_채다인
@totheno1
·
8월 10일","삼진어묵 우리가족 깐깐한 감자볼. 으깬 감자가 들어 있는 어묵볼 쫀득탱글한 어묵과 포실포실 따끈한 으깬 감자 조합이 맛없을 리 없는 조합 에프에 바삭하게 데워서 칠리소스 촥촥 뿌려 먹으면 훌륭한 맥주안주임 
http://totheno1.egloos.com/4200313
38
34",,,38,34,"['https://pbs.twimg.com/media/E8b-bLEWUAYvjDS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8b-cqCXsAAa4yy?format=jpg&name=360x360']",https://twitter.com/totheno1/status/1425106454286110731
부꾸미,@siwarong,2021-08-23T15:35:30.000Z,"부꾸미
@siwarong
·
8월 24일","또 다리 저려 빈속에 진통제 먹으면 안 되니까 고추튀김 먹고 먹을까 고추튀김이 먹고 싶어서 이러는건 아니야 삼진어묵 고추튀김 정말 맛있지만
1
6",,1,,6,[],https://twitter.com/siwarong/status/1429829658497880067
랆밂,@ramii_blblbl,2021-08-08T02:39:23.000Z,"랆밂
@ramii_blblbl
·
8월 8일","삼진어묵 몽떡말이. 오랜만에 먹으니까 엄청 맛있네. 고추말이도 맛있어ㅠ
2",,,,2,[],https://twitter.com/ramii_blblbl/status/1424198523692589060
유시연!! (소다영 앓이계),@a1ways_y0u__,2021-08-12T18:18:21.000Z,"유시연!! (소다영 앓이계)
@a1ways_y0u__
·
8월 13일","나 부산 여행갔을때 삼진어묵? 거기 진짜진짜 맛있어서 아직도 배달 시켜먹어 어묵 맛있더라
4",🤤,,,4,[],https://twitter.com/a1ways_y0u__/status/1425884375707570178
김민경,@aSdgQg44MZdlfzX,2021-08-07T08:36:21.000Z,"김민경
@aSdgQg44MZdlfzX
·
8월 7일","New post (삼진어묵 캠핑 어묵탕 매운맛, 371g, 1개 합리적 추천 많은 내용) has been published on 정보마스터 - http://telrb.xyz/%ec%82%bc%ec%a7%84%ec%96%b4%eb%ac%b5-%ec%ba%a0%ed%95%91-%ec%96%b4%eb%ac%b5%ed%83%95-%eb%a7%a4%ec%9a%b4%eb%a7%9b-371g-1%ea%b0%9c-%ed%95%a9%eb%a6%ac%ec%a0%81-%ec%b6%94%ec%b2%9c-%eb%a7%8e%ec%9d%80/…",,,,,['https://pbs.twimg.com/media/E8LNIA1UcAER_xf?format=jpg&name=small'],https://twitter.com/aSdgQg44MZdlfzX/status/1423925972038873090
잠라이,@jamsil_dorai,2021-08-29T08:39:07.000Z,"잠라이
@jamsil_dorai
·
8월 29일",삼진어묵~,,,,,[],https://twitter.com/jamsil_dorai/status/1431899202527764483
김은주(金銀珠),@kimeunjue,2021-08-25T12:16:26.000Z,"김은주(金銀珠)
@kimeunjue
·
8월 25일","어묵은

삼진어묵.
2
2",,,2,2,[],https://twitter.com/kimeunjue/status/1430504338045079556
유성,@Fallingstar_SH,2021-08-06T11:51:57.000Z,"유성
@Fallingstar_SH
·
8월 6일",삼진어묵맛있는데,💫,,,,[],https://twitter.com/Fallingstar_SH/status/1423612808176959493
양잇파,@favchurining,2021-08-18T10:13:11.000Z,"양잇파
@favchurining
·
8월 18일","삼진어묵 고로케 존맛
1",,1,,,[],https://twitter.com/favchurining/status/1427936607080833026
민,@bajirock_1220,2021-08-23T12:35:50.000Z,"민
@bajirock_1220
·
8월 23일","치후유 어묵 들고 있는 그림 꽤 있던데
어묵 좋아하나봄
모짜렐라 어묵, 큐브 어묵, 청양고추 어묵, 소세지 어묵, 만두 어묵, 튀김 어묵
K-어묵들 모두 구해서 치후유 먹여야 함 
삼진어묵, 고래사어묵 공장 사야 함
1",,,,1,['https://pbs.twimg.com/media/E9edXpAVIAQD7l5?format=jpg&name=900x900'],https://twitter.com/bajirock_1220/status/1429784444043292676
리써,@rwlzrwlz,2021-08-21T16:28:53.000Z,"리써
@rwlzrwlz
·
8월 22일",삼진어묵... 맛잇는대,,,,,[],https://twitter.com/rwlzrwlz/status/1429118319890554882
ピアノフォルテ,@PiaFor,2021-08-12T12:35:20.000Z,"ピアノフォルテ
@PiaFor
·
8월 12일","아 올만에 삼진어묵 먹고싶네
1",,,,1,[],https://twitter.com/PiaFor/status/1425798053189931010
(카드 지배자)방쟝,@B_angjang,2021-08-19T10:36:04.000Z,"(카드 지배자)방쟝
@B_angjang
·
8월 19일","삼진어묵
3Strike fish cake",,,,,[],https://twitter.com/B_angjang/status/1428304753625206788
아일랜드,@island71,2021-08-14T09:26:21.000Z,"아일랜드
@island71
·
8월 14일","I'm at 삼진어묵베커리
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기",,,,,[],https://twitter.com/island71/status/1426475268286332929
파노,@p4n0,2021-08-21T07:13:42.000Z,"파노
@p4n0
·
8월 21일","I'm at 삼진어묵 in Song-pa-gu, 서울특별시
P4n0 | 삼진어묵
Get out. Explore. Download Swarm and live your life more checked in.
swarmapp.com",,,,,['https://pbs.twimg.com/card_img/1441930778569363456/At3ASOQ8?format=png&name=240x240'],https://twitter.com/p4n0/status/1428978603979526154
유성,@Fallingstar_SH,2021-08-16T12:04:37.000Z,"유성
@Fallingstar_SH
·
8월 16일","갠적으로 삼진어묵 광고 마음에 듦
그치만 잘 안 사먹음",💫,,,,[],https://twitter.com/Fallingstar_SH/status/1427239875854553089
A.N ∞,@suya0509,2021-08-20T05:50:12.000Z,"A.N ∞
@suya0509
·
8월 20일",부산 사람한테 어묵을 선물로 보내는건 무슨 경우지 그것도 삼진어묵 ㅋㅋㅋㄱㅋㄲㅋㅋㅋ,🌈 🐧 🦀 🐶 😷,,,,[],https://twitter.com/suya0509/status/1428595200142635014
달감 / Hellana :3,@dalgamtree,2021-08-18T04:45:44.000Z,"달감 / Hellana :3
@dalgamtree
·
8월 18일","딸랑구 오마뎅 안드신대… 삼진어묵이 좋으신가보가
2",,2,,,[],https://twitter.com/dalgamtree/status/1427854203364405254
파이가,@goPygargo,2021-08-21T05:52:10.000Z,"파이가
@goPygargo
·
8월 21일","어묵도 삼진어묵 샀어. 입맛 안 버리려고. 근데 계란이 8800원이어서 놀랐다. 
계란 사고 떡볶이 떡이랑 오뎅, 단무지 샀는데 이만 원;;;
1",,1,,,[],https://twitter.com/goPygargo/status/1428958084685131780
ż,@findminesome,2021-08-29T13:56:11.000Z,"ż
@findminesome
·
8월 29일","부산 가서 개신나서 선글라스 쓰고 투어버스 타고 지 무릎 위에 삼진어묵 빡스 올려놓고 우걱대는 안준호 진짜 웃기지 감자 다 떨어졌지 말입니다 웃겨 죽겟음 니도 어쨋든 서울 산다 이거지 수방사 뻗대는거 재수업다 이거지 헌병대 아무리 좃같아도 한호열 박범구가 뒤에 잇는 니 부대다 이거지 ㅋㅋ
2",,,,2,[],https://twitter.com/findminesome/status/1431978993872347147
ż,@findminesome,2021-08-30T14:46:40.000Z,"ż
@findminesome
·
8월 30일","부산 안준호 진짜 좋은 점
선글라스 쓰고 삼진어묵 먹고 투어버스 타고 감자 안 가져왔지 말입니다 개새끼들 아니야 이거 < 휴가 나와서 들뜸 근데 부산 가서 오십배 더 들뜸 지원 나가게 됐으니 할 건 하는데 그래도 들뜬 스무살 남자애 아무리 삶에 다 질렷단 표정을 해도 애는 애
1
4",,,1,4,[],https://twitter.com/findminesome/status/1432354083629776904
일리,@summernitemood,2021-08-05T01:50:21.000Z,"일리
@summernitemood
·
8월 5일","어제 저녁엔 새우오일파스타 먹고 오늘 아침에 삼진어묵 잔뜩넣어 김치어묵탕 끓여마심. 완벽해.
1",,,,1,[],https://twitter.com/summernitemood/status/1423099023699767296
할일을해산,@janjan_0512,2021-08-21T01:49:21.000Z,"할일을해산
@janjan_0512
·
8월 21일","아 삼진어묵카페진짜가고싶어
대낮에 메뉴다있을때가고싶어~!~!~!~!!",🥝,,,,[],https://twitter.com/janjan_0512/status/1428896974917410818
쨘(slow),@chann_dream,2021-08-01T07:20:19.000Z,"쨘(slow)
@chann_dream
·
8월 1일","오늘 부산에서 산 삼진어묵임가 암튼 어묵으로 떡볶이@머글거님
2",,2,,,[],https://twitter.com/chann_dream/status/1421732509008596996
굥 .__.,@Zero9Two6,2021-08-20T09:41:21.000Z,"굥 .__.
@Zero9Two6
·
8월 20일","방앗간 들러서 늘 먹던 삼진어묵 사고 
맥주랑 처묵처묵하면서 궁금한이야기 Y 보며 미친 인간들 조심하자 다짐하고 잠들어야지 
오늘도 바른생활여인.. 아니 노인의 하루군",,,,,[],https://twitter.com/Zero9Two6/status/1428653370437357568
