UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
해조류 엘라니스,@LANIS_bon,2021-08-02T11:43:56.000Z,"해조류 엘라니스
@LANIS_bon
·
8월 2일","오늘 야시오리 섬 열자마자 느낀게 집가고싶다였음
내가 미쳤지 우난아 미안해ㅋㅋㅋㅋㅠㅠㅠ내가 미쳐서 우리아들 이런섬 출신으로 만들어버림
4",,,,4,"['https://pbs.twimg.com/media/E7yHdT4VoAoTjMJ?format=jpg&name=small', 'https://pbs.twimg.com/media/E7yHgGtVIAUniO3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7yIFgDVkAAA-Qp?format=jpg&name=360x360']",https://twitter.com/LANIS_bon/status/1422161237517901826
히네리,@Hineri_ireniH,2021-08-07T08:09:20.000Z,"히네리
@Hineri_ireniH
·
8월 7일","야시오리 섬은 매우 위험해
1",,1,,,['https://pbs.twimg.com/ext_tw_video_thumb/1423918993379794948/pu/img/OwUNMg6BWYDGa5zq.jpg'],https://twitter.com/Hineri_ireniH/status/1423919171067289604
노이,@Grinoy_d,2021-08-11T04:43:27.000Z,"노이
@Grinoy_d
·
8월 11일",야시오리섬 100%,,,,,['https://pbs.twimg.com/media/E8e-HXgVgAcBDQl?format=jpg&name=small'],https://twitter.com/Grinoy_d/status/1425316912955727875
추추다삭,@g_elpie,2021-08-04T03:42:36.000Z,"추추다삭
@g_elpie
·
8월 4일","야시오리섬남쪽에잇는 섬들 횟불에 불붙이면 보물상자떠용
이게 기믹일줄은..몰랏네..
1",,,,1,"['https://pbs.twimg.com/media/E76tHm-XMAEUPeC?format=jpg&name=small', 'https://pbs.twimg.com/media/E76tHnZWQAIPOyG?format=jpg&name=small']",https://twitter.com/g_elpie/status/1422764883028975623
캬루단 북미지부 소속 H-Modeler,@hmodeler,2021-08-01T17:35:26.000Z,"캬루단 북미지부 소속 H-Modeler
@hmodeler
·
8월 2일","원신
번개 쫓는 트레저헌터·Ⅲ (브론즈)
이나즈마의 나루카미섬, 칸나즈카, 야시오리섬에서 보물상자 300개 열기 #PS4share https://store.playstation.com/#!/tid=CUSA23681_00…",,,,,"['https://pbs.twimg.com/media/E7uO-FxXMAY5Yqo?format=jpg&name=small', 'https://pbs.twimg.com/media/E7uO-U6WEAcT1Hp?format=png&name=240x240']",https://twitter.com/hmodeler/status/1421887310816219140
()이프리스(ifless)(),@HG_ifless_mHY,2021-08-05T12:04:21.000Z,"()이프리스(ifless)()
@HG_ifless_mHY
·
8월 5일","내 야시오리섬 왜째서 100%???
1
2",💧 🔶 🔄 ❌ 🐳 🐉 🔄 ❌,1,,2,[],https://twitter.com/HG_ifless_mHY/status/1423253541175525376
길리짐 원신계,@gilijim_genshin,2021-08-03T10:51:41.000Z,"길리짐 원신계
@gilijim_genshin
·
8월 3일","야시오리 섬 왤케 지옥도람
1",,1,,,[],https://twitter.com/gilijim_genshin/status/1422510478270500866
삐,@dear32O,2021-08-03T07:24:31.000Z,"삐
@dear32O
·
8월 3일","원래 오리섬 만들거였어서 리처드는 늘 위시주민이었는데,,  졍말
1",🍀 🥲 🥲,,,1,[],https://twitter.com/dear32O/status/1422458341838577666
젠틀곰,@Gentle_Para,2021-08-10T10:29:43.000Z,"젠틀곰
@Gentle_Para
·
8월 10일","야시오리섬 눈동자 30개짜리 공략영상
클립 7개 중에서 6개 다 끝났고
7번째도 절반은 끝났다! 내가 이겼다!
우어어어 내가 이겼다! 이겼다! 우어엉어",,,,,[],https://twitter.com/Gentle_Para/status/1425041662607183873
코넛,@ccococococonut,2021-08-05T13:27:52.000Z,"코넛
@ccococococonut
·
8월 5일","야시오리섬은 진짜 개끔찍한 곳이잖아…
1",👾,1,,,[],https://twitter.com/ccococococonut/status/1423274558077816832
