UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
거래,@i8jqaz1__,2021-08-21T13:20:57.000Z,"거래
@i8jqaz1__
·
8월 21일","맛 크레이지 마크, 카페 마크 양도합니다!

ㅅㅊㅇ) 엔시티 드림 nct dream 붐 boom we boom 숙면 제노 이제노 맛 크레이지 보링 칠링 카페 마크 크레이지 마크 런쥔 제노 해찬 재민 런쥔 지성 엔시티 포카 양도 엔시티 드림 포카리스트
1
3
10",,1,3,10,['https://pbs.twimg.com/media/E9UUhPLVgAMPbD_?format=jpg&name=small'],https://twitter.com/i8jqaz1__/status/1429071023714955269
이제노 주인님,@jenomaster423,2021-08-09T13:42:19.000Z,"이제노 주인님
@jenomaster423
·
8월 9일","엔시티 드림 nct dream 위 붐 boom 앨범 포토카드 양도합니다 운미포
요기재민 + 재민 써클 : 0.7
천러 + 천러 써클 + 하자 심한 인절미준: 0.6
써클자국 약간 있는 런쥔 + 런쥔 써클 : 0.6
써클자국 약간 있는 반지지성 + 지성 써클 : 1.0
renjun jaemin chenle jisung
2
2
10",,2,2,10,['https://pbs.twimg.com/media/E8WmVLYVgAcBNs1?format=jpg&name=900x900'],https://twitter.com/jenomaster423/status/1424727744072454145
거래계,@7aymwBq4F40IZa7,2021-08-18T13:13:35.000Z,"거래계
@7aymwBq4F40IZa7
·
8월 18일","급전필요해서 진짜 거의 맞춰드려요

준미포 가격 제시해서 디엠주세요

내일 바로 우체국 갑니다ㅠ

ㅅㅊㅇ)엔시티 엔시티드림 NCT DREAM 붐 BOOM 양도 판매 교환 런쥔 해찬 지성 재민 천러 마크 제노 폴라 포카 포토카드 셀카 셀포 이동혁",,,,,['https://pbs.twimg.com/media/E9E2D9xUYAEWMWS?format=jpg&name=small'],https://twitter.com/7aymwBq4F40IZa7/status/1427982004088307712
양도,@yangdomnl,2021-08-28T12:47:00.000Z,"양도
@yangdomnl
·
8월 28일","런쥔 2018 드림쇼 포카 양도합니다

15생각 중이에요 
제시주세요!

엔시티 드림 엔드림 마크 런쥔 제노 해찬 재민 천러 지성 위고업 we go up 마첫 붐 Boom 라이딩 리로드 마지막 첫사랑 드림쇼 드림쇼2회차 2018팬파티 nct dream
1
1
1",,1,1,1,['https://pbs.twimg.com/media/E94P4RHVcAENbQC?format=jpg&name=small'],https://twitter.com/yangdomnl/status/1431599196532969480
모란이보,@moranyibo,2021-08-13T02:48:46.000Z,"모란이보
@moranyibo
·
8월 13일","정답이 붐이야? 이보왕자 BOOM!!!
GIF
3
24",🌺 🐷 🐰,,3,24,['https://pbs.twimg.com/tweet_video_thumb/E8o3CySVkAAmx3L.jpg'],https://twitter.com/moranyibo/status/1426012826536009731
N MARKET 공용계정,@NctNMARKET,2021-08-30T12:17:31.000Z,"N MARKET 공용계정
@NctNMARKET
·
8월 30일","엔시티드림 NCT dream 개봉 앨범 양도 boom 붐 sell 키노 kinho album boom 포토카드

개봉 앨범 opened album    1.2(운미포)
+ 천러 포카

Korean bank  Alipay",👉 ⭕ ⭕,,,,['https://pbs.twimg.com/media/E-CcTqbVkAIOQeN?format=jpg&name=small'],https://twitter.com/NctNMARKET/status/1432316549939875843
거래계,@ZNvoqaUM3fooBxC,2021-08-19T14:38:11.000Z,"거래계
@ZNvoqaUM3fooBxC
·
8월 19일","엔시티 키노 개봉 앨범 양도

각 0.2
개봉 포카

nct 2020 dream 127 wayv reload pt.1 neo zone 네오존 리로드 파트원 레조넌스 파트투 붐 boom",⭕ ❌,,,,['https://pbs.twimg.com/media/E9KTATzVIAARoJK?format=jpg&name=small'],https://twitter.com/ZNvoqaUM3fooBxC/status/1428365683516002304
이승훈 댄스봇,@DanceHoony,2021-08-28T08:22:43.000Z,"이승훈 댄스봇
@DanceHoony
·
8월 28일","오늘은 붐 후니
후니 보고싶어서 Boom
붐 추는 이승훈도 참 멋있지

출처 Zeal chap 트위터

#이승훈 #HOONY #이승훈댄스봇
8
32",🔥,,8,32,['https://pbs.twimg.com/ext_tw_video_thumb/1431532423683080197/pu/img/OOsyZ7kou7Jgunc5.jpg'],https://twitter.com/DanceHoony/status/1431532684669423620
얌전,@milklee82,2021-08-29T09:06:24.000Z,"얌전
@milklee82
·
8월 29일","지성 천러 포카 양도
준미포 가격 (일괄 2)
하자 예민하신 분
 
지성 천러 라이딘 ridin 붐 boom 맛 키노 드론지성 에이전트 nct dream 엔시티 드림 jisung chenle",❌,,,,['https://pbs.twimg.com/media/E98m-eZVgAUkuqW?format=jpg&name=900x900'],https://twitter.com/milklee82/status/1431906067114381322
go,@399ddq,2021-08-06T14:02:01.000Z,"go
@399ddq
·
8월 6일","엔시티 포카 개봉 앨범 스꾸
모든 인증 가능
여러개 사시면 에눌 ㄱㄴ
무모샵 해찬 있음 2.1
스티커 개당 0.25

nct dream 마첫 the first 위영 we young 위고업 we go up 알라딘특전 맛 핫소스 쥬얼 셀포 컨포 크레이지 보링 칠링 헬로퓨처 에이전트 키노 붐 boom 해찬 천러 제노 포카 무모샵 양도
1
1",,,1,1,"['https://pbs.twimg.com/media/E8HOEKmVcAkxQC7?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8HOEKlVUAE1ZPD?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8HOEKlUcAADTLh?format=jpg&name=360x360']",https://twitter.com/399ddq/status/1423645539120283651
