UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
도우,@dough_102,2021-08-28T12:23:07.000Z,"도우
@dough_102
·
Aug 28","#더이상_어리지않은_사나이수현의_13주년을_축하합니다

입구에서부터 환하게 반겨주는 오피피덕에 들어가기 전부터 너무 행복해졌어요 카페 안에조 너무 예쁘고 벽에 틀어진 영상도 좋았어요 그리고 무료나눔 해주신 것도 잘 받았습니다!
1
1
17",🥰 💗 💗 💗 💗 💗,1,1,17,"['https://pbs.twimg.com/media/E94KXDEVkAIXpLQ?format=jpg&name=small', 'https://pbs.twimg.com/media/E94KY6bVUAA25i7?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E94KX2pVkAgMD8n?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E94KZ7vUYAce9AI?format=jpg&name=360x360']",https://twitter.com/dough_102/status/1431593184958636041
일빵,@candyyoung_102,2021-08-03T15:11:05.000Z,"일빵
@candyyoung_102
·
Aug 3","2021 윶녕 생일카페타래~ 
GIF
1
14
18",🐶 🐰 💙 ❤ 💙 ❤ 🐶 🐰,1,14,18,['https://pbs.twimg.com/tweet_video_thumb/E74BEZGUUAMal-w.jpg'],https://twitter.com/candyyoung_102/status/1422575756295622662
하늘달,@sky_moon_102,2021-08-14T06:20:12.000Z,"하늘달
@sky_moon_102
·
Aug 13","세형이 생일 카페 타래
2
25",🍑 💗,2,,25,['https://pbs.twimg.com/media/E8uxEg8VUAEpRwZ?format=jpg&name=small'],https://twitter.com/sky_moon_102/status/1426428422037798915
𝙻𝚒𝚗𝚐𝚗𝚘𝚢 :)),@K_Lingn0y,2021-08-03T07:00:52.000Z,"𝙻𝚒𝚗𝚐𝚗𝚘𝚢 :))
@K_Lingn0y
·
Aug 3","[다음카페] 온앤오프다이어리 #102 #ONF의_네_번째_스크랩북
온앤오프다이어리 #102 #ONF의_네_번째_스크랩북
안녕하세요.온앤오프 담당자입니다. 온앤오프의 4번째 생일을 맞이하여올해도 어김없이 찾아온 스크랩북! 멤버들이 직접 꾸민 스크랩북을 통해행복한 추억이 가득했던 지난 1년을 한 번 돌아볼까요? 앞으로 우리 더 많은 추억 쌓아가요�� 
m.cafe.daum.net",,,,,['https://pbs.twimg.com/card_img/1440326172831715353/Bel7l_DI?format=jpg&name=240x240'],https://twitter.com/K_Lingn0y/status/1422452389643055106
For autism,@bringuhappy,2021-08-17T09:16:54.000Z,"For autism
@bringuhappy
·
Aug 17","<정충신의 밀리터리 카페>생존 애국지사 여성은 오희옥 선생 유일,102세 김유길 선생 최고령 | 다음 뉴스
<정충신의 밀리터리 카페>생존 애국지사 여성은 오희옥 선생 유일,102세 김유길 선생 최고령
보훈처 “생존 애국지사 20명 모두 90세 이상, 광복군 5명 생존”광복회장 지낸 ‘광복군’ 출신 김국주 애국지사 별세 계기 애국지사 근황 일제강점기 광복군으로 활동하고 광복회장을 지낸 애국지사 김국주(건국훈장 애국장) 선생이 26일 96세로 별세한 것을 계기로 20명의 생존 애국지사 근황에 온 국민의 관심이 쏠리고 있다. 20명 애국지사는 국내에 17명
news.v.daum.net",,,,,['https://pbs.twimg.com/card_img/1440281706037080066/lqKlelEr?format=jpg&name=small'],https://twitter.com/bringuhappy/status/1427560052978823168
베리,@berry_102,2021-08-26T09:41:45.000Z,"베리
@berry_102
·
Aug 26","오늘애 느개비 썰
... 롤코 포타 5편을 한창 카페에서 적고 있던 시점이엇읍니다

별안간 중-고딩 동창이 내 옆자리에 앉고는 내가 쓰는 포타를 쭈루루 읽음......죽고싶음 살짝",,,,,['https://pbs.twimg.com/media/E9tSTFeVIAIQ5fa?format=jpg&name=small'],https://twitter.com/berry_102/status/1430827798776537090
강꼬미,@kkomi_kang,2021-08-16T10:08:22.000Z,"강꼬미
@kkomi_kang
·
Aug 16","저희 외삼촌,외숙모네 카페 오픈해서 홍보합니당
남해 보이지 카페
위에 편의점과 옆 식당도 외숙모네와 가족분들이 하시는거라서 만약 남해가시면 한번 방문해주세요

Voyage Cafe
경남 남해군 남면 남면로 1747 101동, 102동
Voyage Cafe : 네이버
리뷰 8 · 매일 11:00 - 20:00
m.place.naver.com
1
2",🐥 💕 ➡ ❣,,1,2,['https://pbs.twimg.com/card_img/1440445352654479360/Kxzpa2UL?format=jpg&name=small'],https://twitter.com/kkomi_kang/status/1427210618847698951
추복이,@sia_1023,2021-08-16T09:38:46.000Z,"추복이
@sia_1023
·
Aug 16","학교에 극장이랑 카페랑 매점이 같이 있구나 부러워 난
메인트 확인 김청
@I_loveu_right
 · Aug 16
Show this thread
2
1",,2,,1,"['https://pbs.twimg.com/profile_images/1427196928068964356/xiyBRW9N_mini.jpg', 'https://pbs.twimg.com/media/E85ndJeVkAE4DbB?format=jpg&name=small']",https://twitter.com/sia_1023/status/1427203169470218249
일빵,@candyyoung_102,2021-08-02T01:30:40.000Z,"일빵
@candyyoung_102
·
Aug 1","작년푸뿌생일때 갔었는데 밤비카페 진짜이뻤음... 케이크개이쁜JMT,",,,,,[],https://twitter.com/candyyoung_102/status/1422006905745014791
.# เจ - อัส #ONF #POPPING,@rarexj_us,2021-08-03T07:07:10.000Z,".# เจ - อัส #ONF #POPPING
@rarexj_us
·
Aug 3",온앤오프다이어리 #102 #ONF의_네_번째_스크랩북 | 다음카페 https://cafe.daum.net/-onoff/R779/103?svc=cafeapi…,🧊 🧊 ⚡ 💡 🔭 💫,,,,[],https://twitter.com/rarexj_us/status/1422453975870099456
