UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
wie,@d_wimy,2021-08-04T00:34:26.000Z,"wie
@d_wimy
·
8월 4일","PROUD !  #BTSARMY #INDOMY
Tedros Adhanom Ghebreyesus
@DrTedros
 · 8월 4일
Inspirational news from #BTSARMY in #Indonesia , who came together for @BTS_twt & organized a #COVID19 vaccination drive for 10,000+ Indonesians.
Thank you, INDOMYS, for your contribution to #VaccinEquity! Keep up the great work!
https://says.com/my/news/indonesian-bts-army-organises-vaccination-programme-for-over-10-000-people…",💜,,,,['https://pbs.twimg.com/profile_images/1337835478704291842/O1A5QF3x_mini.png'],https://twitter.com/d_wimy/status/1422717529823215618
Narumi Momose,@nifujisimp,2021-08-23T00:48:13.000Z,"Narumi Momose
@nifujisimp
·
8월 23일","this was wimy iwaoi
I GUESS I'M IN LOVE
Clinton Kane · Song · 2021
open.spotify.com
1",,1,,,[],https://twitter.com/nifujisimp/status/1429606368693022720
Hirotaka Nifuji,@parakayiwaizumi,2021-08-22T23:25:05.000Z,"Hirotaka Nifuji
@parakayiwaizumi
·
8월 23일","watching alexine suffer cause she's reading wimy for the first time
1
1",😂 😂,1,1,,[],https://twitter.com/parakayiwaizumi/status/1429585446510620674
Shmaptain Shmerica,@evansfanaccount,2021-08-01T12:36:27.000Z,"Shmaptain Shmerica
@evansfanaccount
·
8월 1일","Uh, I have a terrible headache. But I'll see you tonight for the next part of WIMY
1
1",❤,1,,1,[],https://twitter.com/evansfanaccount/status/1421812065317134337
Shmaptain Shmerica,@evansfanaccount,2021-08-22T01:35:42.000Z,"Shmaptain Shmerica
@evansfanaccount
·
8월 22일","It's 3:30 am in my country, I'm awake since 10:30 am, I'm tired but I can't sleep, so I take the opportunity to make pov, one of the few activities that keeps me busy for a long time and that changes my mind. 
I made 4 new episodes of WIMY season 2.
1
3",,1,,3,[],https://twitter.com/evansfanaccount/status/1429255929250435078
❤︎ Torm ❤︎,@Torm_The_Loser,2021-08-21T17:52:36.000Z,"❤︎ Torm ❤︎
@Torm_The_Loser
·
8월 22일","Bitches be like “Omg simy wimy my little rat man my little insane batshit crazy lunatic oomg ur the most revolting thing I’ve ever seen”
It’s me I’m bitches
1
1",🥺 🥺 🥺 🥺 🥺 🥺 🥺 🥺 💕,1,,1,[],https://twitter.com/Torm_The_Loser/status/1429139387451858945
L'Union-L'Ardennais,@UnionArdennais,2021-08-02T18:20:06.000Z,"L'Union-L'Ardennais
@UnionArdennais
·
8월 3일","À #Wimy, des poutres made in #Thierache pour reconstruire Notre-Dame de Paris

#renovation #chantier #bois #construction #NotreDame #Aisne https://lunion.fr/id280288/article/2021-07-31/wimy-des-poutres-de-notre-dame-made-thierache?utm_medium=Social&utm_source=Twitter…
2
14",,,2,14,['https://pbs.twimg.com/media/E7ziyQOWYAASLUr?format=jpg&name=small'],https://twitter.com/UnionArdennais/status/1422260937264877580
pat.,@mycestiel,2021-08-18T07:12:40.000Z,"pat.
@mycestiel
·
8월 18일","hindi ko gagawing sad ending wimy hindi ako nananakit hindi sila lulubog hindi ko gagawing angst ang buong admv series
pat.
@mycestiel
 · 8월 18일
“hindi na naging ako yung buwan niya ngunit pinagpatuloy nyang tuparin ang mga pangarap nya...pero hindi ako ang kasama” twitter.com/ficsenha/statu…
1",,,1,,"['https://pbs.twimg.com/media/E9DjdYwVgAkO4EI?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1439256412463398917/8NjHzoAY_mini.jpg']",https://twitter.com/mycestiel/status/1427891178054164483
ITTELET Isabelle,@ItteletI,2021-08-21T20:33:12.000Z,"ITTELET Isabelle
@ItteletI
·
8월 22일"," Félicitations à l’entreprise thiérachienne Wood Sur Mesure de Wimy !
Félicitations à l’entreprise thiérachienne Wood Sur Mesure de Wimy ! - Isabelle Ittelet
Félicitations à l’entreprise thiérachienne Wood Sur Mesure de Wimy, sélectionnée avec 3 autres entreprises françaises pour fournir en poutres le chantier de reconstruction de la charpente de Notre-...
isabelleittelet.fr
1",👏 👏,,,1,['https://pbs.twimg.com/card_img/1442402253080571905/k1fEyF3s?format=jpg&name=small'],https://twitter.com/ItteletI/status/1429179801932283910
pat.,@mycestiel,2021-08-19T02:58:55.000Z,"pat.
@mycestiel
·
8월 19일",WAIT MALAPIT KONA TALAGA TAPUSIN WIMY PERO AYAW KO PA ,😭 😭 😭 😭 😭,,,,[],https://twitter.com/mycestiel/status/1428189708727701505
